=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 84.1 BPM
Valid interval: 408-1360 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 104 mmHg
Confidence: 0.066
95% CI: [102 - 107] mmHg
Agreement: 1558/360 detectors

MAP: 104 mmHg
Est. Diastolic: 103 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T1.8_D20                   96          0.660        | 236   96          13.1        
BL_W110_T1.8_D4                    96          0.660        | 180   96          13.1        
BL_W110_T1.8_D2                    96          0.660        | 298   96          13.1        
BL_W120_T1.8_D30                   96          0.660        | 208   96          13.1        
BL_W120_T1.8_D25                   96          0.660        | 207   96          13.1        
BL_W120_T1.8_D20                   96          0.660        | 206   96          13.1        
BL_W120_T1.8_D15                   96          0.660        | 205   96          13.1        
BL_W120_T1.8_D10                   96          0.660        | 204   96          13.1        
BL_W130_T1.8_D40                   96          0.660        | 232   96          13.1        
BL_W130_T1.8_D30                   96          0.660        | 233   96          13.1        
BL_W130_T1.8_D25                   96          0.660        | 235   96          13.1        
BL_W110_T1.8_D6                    96          0.660        | 181   96          13.1        
BL_W130_T1.8_D15                   96          0.660        | 237   96          13.1        
BL_W130_T1.8_D10                   96          0.660        | 238   96          13.1        
BL_W130_T1.8_D8                    96          0.660        | 239   96          13.1        
BL_W130_T1.8_D6                    96          0.660        | 240   96          13.1        
BL_W130_T1.8_D4                    96          0.660        | 211   96          13.1        
BL_W130_T1.8_D2                    96          0.660        | 220   96          13.1        
BL_W120_T1.8_D8                    96          0.660        | 203   96          13.1        
BL_W120_T1.8_D6                    96          0.660        | 202   96          13.1        
BL_W120_T1.8_D4                    96          0.660        | 201   96          13.1        
BL_W120_T1.8_D2                    96          0.660        | 234   96          13.1        
BL_W110_T1.8_D8                    96          0.660        | 182   96          13.1        
BL_W120_T1.8_D40                   96          0.660        | 209   96          13.1        
BL_W110_T1.8_D40                   96          0.660        | 190   96          13.1        
BL_W110_T1.8_D30                   96          0.660        | 189   96          13.1        
BL_W110_T1.8_D25                   96          0.660        | 188   96          13.1        
BL_W110_T1.8_D20                   96          0.660        | 185   96          13.1        
BL_W110_T1.8_D15                   96          0.660        | 184   96          13.1        
BL_W110_T1.8_D10                   96          0.660        | 183   96          13.1        
BL_W100_T1.8_D40                   96          0.580        | 317   96          13.1        
BL_W100_T1.8_D30                   96          0.580        | 316   96          13.1        
BL_W100_T1.8_D25                   96          0.580        | 315   96          13.1        
BL_W100_T1.8_D20                   96          0.580        | 314   96          13.1        
BL_W100_T1.8_D15                   96          0.580        | 313   96          13.1        
BL_W100_T1.8_D10                   96          0.580        | 312   96          13.1        
BL_W100_T1.8_D8                    96          0.580        | 311   96          13.1        
BL_W100_T1.8_D6                    96          0.580        | 310   96          13.1        
BL_W100_T1.8_D4                    96          0.580        | 309   96          13.1        
BL_W100_T1.8_D2                    96          0.580        | 296   96          13.1        
BL_W110_T2.0_D15                   96          0.420        | 196   96          13.1        
BL_W110_T2.0_D25                   96          0.420        | 198   96          13.1        
BL_W110_T2.0_D20                   96          0.420        | 197   96          13.1        
BL_W90_T1.8_D2                     96          0.420        | 333   96          13.1        
BL_W80_T2.0_D2                     96          0.420        | 324   96          13.1        
BL_W80_T1.8_D2                     96          0.420        | 264   96          13.1        
BL_W80_T1.8_D4                     96          0.420        | 265   96          13.1        
BL_W80_T1.8_D6                     96          0.420        | 266   96          13.1        
BL_W80_T1.8_D8                     96          0.420        | 267   96          13.1        
BL_W80_T1.8_D10                    96          0.420        | 268   96          13.1        
BL_W80_T1.8_D15                    96          0.420        | 305   96          13.1        
BL_W80_T1.8_D20                    96          0.420        | 320   96          13.1        
BL_W80_T1.8_D25                    96          0.420        | 321   96          13.1        
BL_W80_T1.8_D30                    96          0.420        | 322   96          13.1        
BL_W80_T1.8_D40                    96          0.420        | 323   96          13.1        
BL_W110_T2.0_D30                   96          0.420        | 199   96          13.1        
BL_W80_T2.0_D4                     96          0.420        | 325   96          13.1        
BL_W80_T2.0_D6                     96          0.420        | 326   96          13.1        
BL_W80_T2.0_D8                     96          0.420        | 327   96          13.1        
BL_W80_T2.0_D10                    96          0.420        | 328   96          13.1        
BL_W80_T2.0_D15                    96          0.420        | 329   96          13.1        
BL_W80_T2.0_D20                    96          0.420        | 330   96          13.1        
BL_W80_T2.0_D25                    96          0.420        | 319   96          13.1        
BL_W80_T2.0_D30                    96          0.420        | 331   96          13.1        
BL_W80_T2.0_D40                    96          0.420        | 332   96          13.1        
BL_W110_T2.0_D40                   96          0.420        | 187   96          13.1        
BL_W100_T2.0_D4                    96          0.420        | 307   96          13.1        
BL_W90_T2.0_D10                    95          0.420        | 345   95          13.5        
BL_W90_T2.0_D15                    95          0.420        | 344   95          13.5        
BL_W90_T2.0_D20                    95          0.420        | 343   95          13.5        
BL_W90_T2.0_D25                    95          0.420        | 341   95          13.5        
BL_W90_T2.0_D30                    95          0.420        | 342   95          13.5        
BL_W90_T2.0_D40                    95          0.420        | 350   95          13.5        
BL_W50_T1.8_D2                     96          0.420        | 270   96          13.1        
BL_W100_T2.0_D2                    96          0.420        | 318   96          13.1        
BL_W90_T2.0_D8                     95          0.420        | 346   95          13.5        
BL_W100_T2.0_D6                    96          0.420        | 306   96          13.1        
BL_W100_T2.0_D8                    96          0.420        | 304   96          13.1        
BL_W100_T2.0_D10                   96          0.420        | 303   96          13.1        
BL_W100_T2.0_D15                   96          0.420        | 302   96          13.1        
BL_W100_T2.0_D20                   96          0.420        | 301   96          13.1        
BL_W100_T2.0_D25                   96          0.420        | 300   96          13.1        
BL_W100_T2.0_D30                   96          0.420        | 299   96          13.1        
BL_W100_T2.0_D40                   96          0.420        | 283   96          13.1        
BL_W90_T1.8_D10                    96          0.420        | 337   96          13.1        
BL_W110_T2.0_D8                    96          0.420        | 194   96          13.1        
BL_W110_T2.0_D6                    96          0.420        | 193   96          13.1        
BL_W110_T2.0_D4                    96          0.420        | 192   96          13.1        
BL_W110_T2.0_D2                    96          0.420        | 191   96          13.1        
BL_W50_T1.8_D4                     96          0.420        | 173   96          13.1        
BL_W90_T1.8_D4                     96          0.420        | 334   96          13.1        
BL_W90_T1.8_D6                     96          0.420        | 335   96          13.1        
BL_W90_T1.8_D8                     96          0.420        | 336   96          13.1        
BL_W110_T2.0_D10                   96          0.420        | 195   96          13.1        
BL_W90_T1.8_D15                    96          0.420        | 338   96          13.1        
BL_W90_T1.8_D20                    96          0.420        | 339   96          13.1        
BL_W90_T1.8_D25                    96          0.420        | 340   96          13.1        
BL_W90_T1.8_D30                    96          0.420        | 308   96          13.1        
BL_W90_T1.8_D40                    96          0.420        | 297   96          13.1        
BL_W90_T2.0_D2                     95          0.420        | 349   95          13.5        
BL_W90_T2.0_D4                     95          0.420        | 348   95          13.5        
BL_W90_T2.0_D6                     95          0.420        | 347   95          13.5        
BL_W120_T2.0_D10                   96          0.420        | 214   96          13.1        
BL_W60_T1.8_D25                    96          0.420        | 286   96          13.1        
BL_W60_T1.8_D30                    96          0.420        | 287   96          13.1        
BL_W60_T1.8_D40                    96          0.420        | 288   96          13.1        
BL_W120_T2.0_D40                   96          0.420        | 219   96          13.1        
BL_W120_T2.0_D30                   96          0.420        | 218   96          13.1        
BL_W120_T2.0_D25                   96          0.420        | 217   96          13.1        
BL_W120_T2.0_D20                   96          0.420        | 216   96          13.1        
BL_W120_T2.0_D15                   96          0.420        | 215   96          13.1        
BL_W60_T1.8_D20                    96          0.420        | 285   96          13.1        
BL_W120_T2.0_D8                    96          0.420        | 213   96          13.1        
BL_W120_T2.0_D6                    96          0.420        | 212   96          13.1        
BL_W120_T2.0_D4                    96          0.420        | 200   96          13.1        
BL_W70_T1.8_D2                     96          0.420        | 244   96          13.1        
BL_W70_T1.8_D4                     96          0.420        | 245   96          13.1        
BL_W70_T1.8_D6                     96          0.420        | 246   96          13.1        
BL_W70_T1.8_D8                     96          0.420        | 247   96          13.1        
BL_W70_T1.8_D10                    96          0.420        | 248   96          13.1        
BL_W130_T2.0_D4                    96          0.420        | 230   96          13.1        
BL_W130_T2.0_D40                   96          0.420        | 222   96          13.1        
BL_W130_T2.0_D30                   96          0.420        | 223   96          13.1        
BL_W130_T2.0_D25                   96          0.420        | 224   96          13.1        
BL_W130_T2.0_D20                   96          0.420        | 225   96          13.1        
BL_W130_T2.0_D15                   96          0.420        | 226   96          13.1        
BL_W130_T2.0_D10                   96          0.420        | 227   96          13.1        
BL_W130_T2.0_D8                    96          0.420        | 228   96          13.1        
BL_W130_T2.0_D6                    96          0.420        | 229   96          13.1        
BL_W120_T2.0_D2                    96          0.420        | 210   96          13.1        
BL_W130_T2.0_D2                    96          0.420        | 221   96          13.1        
BL_W60_T1.8_D2                     96          0.420        | 279   96          13.1        
BL_W60_T1.8_D4                     96          0.420        | 280   96          13.1        
BL_W60_T1.8_D6                     96          0.420        | 281   96          13.1        
BL_W60_T1.8_D8                     96          0.420        | 282   96          13.1        
BL_W60_T1.8_D10                    96          0.420        | 269   96          13.1        
BL_W60_T1.8_D15                    96          0.420        | 284   96          13.1        
BL_W130_T2.2_D2                    96          0.420        | 231   96          13.1        
BL_W50_T1.8_D20                    96          0.420        | 275   96          13.1        
BL_W50_T1.8_D25                    96          0.420        | 276   96          13.1        
BL_W50_T1.8_D30                    96          0.420        | 277   96          13.1        
BL_W50_T1.8_D40                    96          0.420        | 278   96          13.1        
BL_W70_T1.8_D15                    96          0.420        | 249   96          13.1        
BL_W130_T2.2_D40                   96          0.420        | 171   96          13.1        
BL_W130_T2.2_D30                   96          0.420        | 172   96          13.1        
BL_W70_T2.0_D40                    96          0.420        | 263   96          13.1        
