=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 77.0 BPM
Valid interval: 437-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 109 mmHg
Confidence: 0.070
95% CI: [107 - 111] mmHg
Agreement: 1647/360 detectors

MAP: 96 mmHg
Est. Diastolic: 89 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W60_T1.8_D10                    125         0.420        | 273   125         11.8        
BL_W130_T1.8_D8                    98          0.420        | 346   98          15.4        
BL_W50_T2.2_D6                     124         0.420        | 267   124         11.4        
BL_W50_T2.2_D8                     125         0.420        | 271   125         11.8        
BL_W130_T1.8_D6                    98          0.420        | 347   98          15.4        
BL_W130_T1.8_D4                    98          0.420        | 348   98          15.4        
BL_W130_T1.8_D2                    98          0.420        | 349   98          15.4        
BL_W120_T1.8_D6                    98          0.420        | 352   98          15.4        
BL_W120_T1.8_D8                    98          0.420        | 357   98          15.4        
BL_W120_T1.8_D10                   98          0.420        | 358   98          15.4        
BL_W120_T1.8_D15                   98          0.420        | 360   98          15.4        
BL_W130_T1.8_D10                   98          0.420        | 345   98          15.4        
BL_W50_T2.4_D6                     124         0.420        | 268   124         11.4        
BL_W50_T2.4_D8                     125         0.420        | 278   125         11.8        
BL_W60_T1.8_D8                     125         0.420        | 282   125         12.0        
BL_W60_T2.2_D10                    125         0.420        | 272   125         11.8        
BL_W60_T2.2_D8                     125         0.420        | 281   125         12.0        
BL_W120_T1.8_D20                   98          0.420        | 336   98          15.4        
BL_W120_T1.8_D25                   98          0.420        | 331   98          15.4        
BL_W120_T1.8_D40                   98          0.420        | 334   98          15.4        
BL_W120_T1.8_D30                   98          0.420        | 332   98          15.4        
BL_W130_T1.8_D15                   98          0.420        | 311   98          15.4        
BL_W50_T1.8_D6                     124         0.420        | 269   124         11.4        
BL_W50_T1.8_D8                     125         0.420        | 275   125         11.8        
BL_W60_T2.0_D10                    125         0.420        | 277   125         11.8        
BL_W60_T2.0_D8                     125         0.420        | 280   125         12.0        
BL_W60_T2.4_D10                    125         0.420        | 274   125         11.8        
