=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 64.8 BPM
Valid interval: 497-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 107 mmHg
Confidence: 0.070
95% CI: [105 - 109] mmHg
Agreement: 1720/360 detectors

MAP: 110 mmHg
Est. Diastolic: 112 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W100_T2.2_D2                    118         0.900        | 3     118         1.5         
BL_W90_T2.2_D10                    118         0.900        | 73    118         2.0         
BL_W100_T1.8_D2                    118         0.900        | 7     118         1.5         
BL_W100_T1.8_D4                    118         0.900        | 6     118         1.5         
BL_W100_T1.8_D6                    118         0.900        | 102   118         2.0         
BL_W100_T1.8_D8                    118         0.900        | 100   118         2.0         
BL_W100_T1.8_D10                   118         0.900        | 99    118         2.0         
BL_W100_T2.0_D2                    118         0.900        | 5     118         1.5         
BL_W100_T2.0_D4                    118         0.900        | 4     118         1.5         
BL_W100_T2.0_D6                    118         0.900        | 110   118         2.0         
BL_W100_T2.0_D8                    118         0.900        | 111   118         2.0         
BL_W100_T2.0_D10                   118         0.900        | 112   118         2.0         
BL_W90_T2.2_D8                     118         0.900        | 84    118         2.0         
BL_W100_T2.2_D4                    118         0.900        | 2     118         1.5         
BL_W100_T2.2_D6                    118         0.900        | 76    118         2.0         
BL_W100_T2.2_D8                    118         0.900        | 77    118         2.0         
BL_W100_T2.2_D10                   118         0.900        | 78    118         2.0         
BL_W110_T1.8_D2                    118         0.900        | 59    118         1.5         
BL_W110_T1.8_D4                    118         0.900        | 58    118         1.5         
BL_W110_T1.8_D6                    118         0.900        | 90    118         2.0         
BL_W110_T1.8_D8                    118         0.900        | 91    118         2.0         
BL_W110_T1.8_D10                   118         0.900        | 92    118         2.0         
BL_W110_T2.0_D2                    118         0.900        | 57    118         1.5         
BL_W110_T2.0_D4                    118         0.900        | 56    118         1.5         
BL_W90_T1.8_D4                     118         0.900        | 12    118         1.5         
BL_W80_T1.8_D2                     118         0.900        | 21    118         1.5         
BL_W80_T1.8_D4                     118         0.900        | 20    118         1.5         
BL_W80_T1.8_D6                     118         0.900        | 94    118         2.0         
BL_W80_T1.8_D8                     118         0.900        | 93    118         2.0         
BL_W80_T1.8_D10                    118         0.900        | 82    118         2.0         
BL_W80_T2.0_D2                     118         0.900        | 19    118         1.5         
BL_W80_T2.0_D4                     118         0.900        | 18    118         1.5         
BL_W80_T2.0_D6                     118         0.900        | 88    118         2.0         
BL_W80_T2.0_D8                     118         0.900        | 87    118         2.0         
BL_W80_T2.0_D10                    118         0.900        | 86    118         2.0         
BL_W90_T1.8_D2                     118         0.900        | 13    118         1.5         
