=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 82.9 BPM
Valid interval: 413-1399 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 92 mmHg
Confidence: 0.183
95% CI: [89 - 95] mmHg
Agreement: 682/360 detectors

MAP: 104 mmHg
Est. Diastolic: 110 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T1.8_D2                    85          0.340        | 148   85          35.4        
BL_W130_T1.8_D4                    85          0.340        | 149   85          35.4        
BL_W130_T1.8_D6                    85          0.340        | 150   85          35.4        
BL_W130_T1.8_D8                    85          0.340        | 151   85          35.4        
BL_W130_T1.8_D10                   85          0.340        | 152   85          35.4        
BL_W130_T1.8_D15                   85          0.340        | 153   85          35.4        
BL_W130_T1.8_D20                   85          0.340        | 154   85          35.4        
BL_W50_T2.0_D15                    119         0.340        | 4     119         1.3         
BL_W130_T1.8_D25                   85          0.340        | 155   85          35.4        
BL_W130_T1.8_D30                   85          0.340        | 156   85          35.4        
BL_W130_T1.8_D40                   85          0.340        | 147   85          35.4        
BL_W50_T2.2_D15                    119         0.340        | 1     119         1.3         
BL_W50_T1.8_D15                    119         0.340        | 2     119         1.3         
BL_W50_T2.4_D15                    119         0.340        | 3     119         1.3         
BL_W70_T2.2_D20                    113         0.260        | 56    113         6.8         
BL_W70_T2.4_D8                     113         0.260        | 63    113         6.8         
BL_W70_T2.4_D6                     113         0.260        | 62    113         6.8         
BL_W70_T2.4_D4                     113         0.260        | 57    113         6.8         
BL_W70_T2.4_D2                     113         0.260        | 54    113         6.8         
BL_W70_T2.2_D30                    113         0.260        | 72    113         6.8         
BL_W70_T2.2_D25                    113         0.260        | 55    113         6.8         
BL_W120_T1.8_D15                   83          0.260        | 230   83          37.4        
BL_W70_T2.4_D10                    113         0.260        | 53    113         6.8         
BL_W70_T2.4_D15                    113         0.260        | 68    113         6.8         
BL_W70_T2.4_D20                    113         0.260        | 69    113         6.8         
BL_W70_T2.4_D25                    113         0.260        | 38    113         6.8         
BL_W70_T2.4_D30                    113         0.260        | 39    113         6.8         
BL_W120_T1.8_D40                   83          0.260        | 199   83          37.4        
BL_W120_T1.8_D30                   83          0.260        | 198   83          37.4        
BL_W120_T1.8_D25                   83          0.260        | 197   83          37.4        
BL_W120_T1.8_D20                   83          0.260        | 221   83          37.4        
BL_W90_T1.8_D6                     83          0.260        | 216   83          37.4        
BL_W70_T2.0_D15                    113         0.260        | 43    113         6.8         
BL_W70_T1.8_D20                    113         0.260        | 42    113         6.8         
BL_W70_T1.8_D25                    113         0.260        | 41    113         6.8         
BL_W70_T1.8_D30                    113         0.260        | 40    113         6.8         
BL_W70_T2.0_D2                     113         0.260        | 37    113         6.8         
BL_W70_T2.0_D4                     113         0.260        | 36    113         6.8         
BL_W70_T2.0_D6                     113         0.260        | 35    113         6.8         
BL_W70_T2.0_D8                     113         0.260        | 64    113         6.8         
BL_W70_T2.0_D10                    113         0.260        | 73    113         6.8         
BL_W70_T2.2_D15                    113         0.260        | 58    113         6.8         
BL_W70_T2.0_D20                    113         0.260        | 71    113         6.8         
BL_W70_T2.0_D25                    113         0.260        | 70    113         6.8         
BL_W70_T2.0_D30                    113         0.260        | 67    113         6.8         
BL_W70_T2.2_D2                     113         0.260        | 66    113         6.8         
BL_W70_T2.2_D4                     113         0.260        | 65    113         6.8         
BL_W70_T2.2_D6                     113         0.260        | 61    113         6.8         
BL_W70_T2.2_D8                     113         0.260        | 60    113         6.8         
BL_W70_T2.2_D10                    113         0.260        | 59    113         6.8         
BL_W100_T1.8_D4                    83          0.260        | 171   83          37.4        
BL_W110_T1.8_D20                   83          0.260        | 181   83          37.4        
BL_W110_T1.8_D15                   83          0.260        | 182   83          37.4        
BL_W110_T1.8_D10                   83          0.260        | 183   83          37.4        
BL_W110_T1.8_D8                    83          0.260        | 184   83          37.4        
BL_W110_T1.8_D6                    83          0.260        | 185   83          37.4        
BL_W110_T1.8_D4                    83          0.260        | 186   83          37.4        
BL_W110_T1.8_D2                    83          0.260        | 177   83          37.4        
BL_W100_T1.8_D2                    83          0.260        | 172   83          37.4        
BL_W110_T1.8_D25                   83          0.260        | 180   83          37.4        
BL_W100_T1.8_D6                    83          0.260        | 170   83          37.4        
BL_W100_T1.8_D8                    83          0.260        | 187   83          37.4        
BL_W100_T1.8_D10                   83          0.260        | 169   83          37.4        
BL_W100_T1.8_D15                   83          0.260        | 168   83          37.4        
BL_W100_T1.8_D20                   83          0.260        | 157   83          37.4        
BL_W100_T1.8_D25                   83          0.260        | 166   83          37.4        
BL_W100_T1.8_D30                   83          0.260        | 165   83          37.4        
BL_W100_T1.8_D40                   83          0.260        | 164   83          37.4        
BL_W90_T1.8_D10                    83          0.260        | 214   83          37.4        
BL_W120_T1.8_D8                    83          0.260        | 228   83          37.4        
BL_W120_T1.8_D6                    83          0.260        | 227   83          37.4        
BL_W120_T1.8_D4                    83          0.260        | 226   83          37.4        
BL_W120_T1.8_D2                    83          0.260        | 225   83          37.4        
BL_W90_T1.8_D2                     83          0.260        | 218   83          37.4        
BL_W90_T1.8_D4                     83          0.260        | 217   83          37.4        
BL_W50_T1.8_D4                     114         0.260        | 16    114         6.5         
BL_W90_T1.8_D8                     83          0.260        | 215   83          37.4        
BL_W120_T1.8_D10                   83          0.260        | 229   83          37.4        
BL_W90_T1.8_D15                    83          0.260        | 213   83          37.4        
BL_W90_T1.8_D20                    83          0.260        | 212   83          37.4        
BL_W90_T1.8_D25                    83          0.260        | 211   83          37.4        
BL_W90_T1.8_D30                    83          0.260        | 210   83          37.4        
BL_W90_T1.8_D40                    83          0.260        | 196   83          37.4        
BL_W110_T1.8_D40                   83          0.260        | 178   83          37.4        
BL_W110_T1.8_D30                   83          0.260        | 179   83          37.4        
BL_W50_T2.0_D4                     114         0.260        | 30    114         6.5         
BL_W50_T2.2_D6                     113         0.260        | 87    113         6.8         
BL_W50_T2.2_D4                     113         0.260        | 88    113         6.8         
BL_W50_T2.2_D2                     113         0.260        | 89    113         6.8         
BL_W50_T2.0_D30                    113         0.260        | 90    113         6.8         
BL_W50_T2.0_D25                    113         0.260        | 91    113         6.8         
BL_W50_T2.0_D20                    114         0.260        | 33    114         6.5         
BL_W50_T2.0_D10                    114         0.260        | 8     114         6.3         
BL_W50_T2.0_D8                     114         0.260        | 32    114         6.5         
BL_W50_T2.0_D6                     114         0.260        | 31    114         6.5         
BL_W50_T2.2_D8                     113         0.260        | 86    113         6.8         
BL_W60_T1.8_D15                    114         0.260        | 18    114         6.5         
BL_W60_T1.8_D20                    114         0.260        | 19    114         6.5         
BL_W60_T1.8_D25                    113         0.260        | 77    113         6.8         
BL_W50_T2.0_D2                     114         0.260        | 29    114         6.5         
BL_W60_T2.0_D2                     113         0.260        | 76    113         6.8         
BL_W60_T2.0_D4                     113         0.260        | 75    113         6.8         
BL_W60_T2.0_D6                     113         0.260        | 103   113         6.8         
BL_W60_T2.0_D8                     113         0.260        | 94    113         6.8         
BL_W60_T1.8_D6                     114         0.260        | 15    114         6.5         
BL_W50_T2.4_D6                     113         0.260        | 81    113         6.8         
BL_W50_T2.4_D8                     113         0.260        | 80    113         6.8         
BL_W50_T2.4_D20                    114         0.260        | 12    114         6.5         
BL_W50_T2.4_D25                    113         0.260        | 79    113         6.8         
BL_W50_T2.4_D30                    113         0.260        | 78    113         6.8         
BL_W50_T2.4_D4                     113         0.260        | 82    113         6.8         
BL_W60_T1.8_D2                     114         0.260        | 13    114         6.5         
BL_W60_T1.8_D4                     114         0.260        | 14    114         6.5         
BL_W60_T1.8_D30                    113         0.260        | 108   113         7.0         
BL_W60_T1.8_D8                     114         0.260        | 9     114         6.5         
BL_W60_T1.8_D10                    114         0.260        | 17    114         6.5         
BL_W50_T2.4_D2                     113         0.260        | 83    113         6.8         
BL_W50_T1.8_D2                     114         0.260        | 11    114         6.5         
BL_W50_T2.2_D30                    113         0.260        | 74    113         6.8         
BL_W50_T2.2_D25                    113         0.260        | 85    113         6.8         
BL_W50_T2.2_D20                    114         0.260        | 10    114         6.5         
BL_W50_T2.2_D10                    114         0.260        | 5     114         6.3         
BL_W60_T2.4_D8                     113         0.260        | 52    113         6.8         
BL_W50_T1.8_D10                    114         0.260        | 6     114         6.3         
BL_W60_T2.0_D10                    113         0.260        | 104   113         6.8         
BL_W60_T2.2_D15                    114         0.260        | 22    114         6.5         
BL_W60_T2.2_D20                    114         0.260        | 23    114         6.5         
BL_W60_T2.2_D25                    113         0.260        | 96    113         6.8         
BL_W60_T2.2_D30                    113         0.260        | 106   113         7.0         
BL_W50_T1.8_D8                     114         0.260        | 27    114         6.5         
BL_W60_T2.4_D2                     113         0.260        | 95    113         6.8         
BL_W60_T2.4_D4                     113         0.260        | 50    113         6.8         
BL_W60_T2.4_D6                     113         0.260        | 84    113         6.8         
BL_W50_T1.8_D6                     114         0.260        | 26    114         6.5         
BL_W60_T2.2_D10                    113         0.260        | 97    113         6.8         
BL_W60_T2.4_D10                    113         0.260        | 51    113         6.8         
BL_W60_T2.4_D15                    114         0.260        | 25    114         6.5         
BL_W60_T2.4_D20                    114         0.260        | 24    114         6.5         
BL_W60_T2.4_D25                    113         0.260        | 49    113         6.8         
BL_W60_T2.4_D30                    113         0.260        | 107   113         7.0         
BL_W70_T1.8_D2                     113         0.260        | 48    113         6.8         
BL_W70_T1.8_D4                     113         0.260        | 47    113         6.8         
BL_W70_T1.8_D15                    113         0.260        | 34    113         6.8         
BL_W70_T1.8_D6                     113         0.260        | 46    113         6.8         
