=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 71.5 BPM
Valid interval: 463-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 91 mmHg
Confidence: 0.137
95% CI: [88 - 93] mmHg
Agreement: 1106/360 detectors

MAP: 93 mmHg
Est. Diastolic: 94 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W110_T1.8_D15                   111         0.660        | 327   111         19.4        
BL_W100_T1.8_D15                   112         0.660        | 336   112         19.7        
BL_W110_T2.0_D15                   111         0.580        | 324   111         19.4        
BL_W80_T1.8_D15                    112         0.580        | 330   112         19.7        
BL_W90_T2.4_D15                    112         0.580        | 328   112         19.7        
BL_W80_T2.4_D15                    112         0.580        | 338   112         19.7        
BL_W80_T2.2_D15                    112         0.580        | 335   112         19.7        
BL_W120_T2.0_D15                   108         0.580        | 318   108         15.6        
BL_W130_T2.0_D15                   108         0.580        | 310   108         15.6        
BL_W110_T2.4_D15                   111         0.580        | 321   111         19.4        
BL_W90_T2.2_D15                    112         0.580        | 333   112         19.7        
BL_W110_T2.2_D15                   111         0.580        | 322   111         19.4        
BL_W100_T2.0_D15                   112         0.580        | 332   112         19.7        
BL_W90_T1.8_D15                    112         0.580        | 337   112         19.7        
BL_W100_T2.4_D15                   112         0.580        | 339   112         19.7        
BL_W80_T2.0_D15                    112         0.580        | 334   112         19.7        
BL_W90_T2.0_D15                    112         0.580        | 329   112         19.7        
BL_W100_T2.2_D15                   112         0.580        | 331   112         19.7        
BL_W130_T1.8_D15                   108         0.528        | 308   108         15.6        
BL_W120_T1.8_D15                   108         0.528        | 313   108         15.6        
BL_W70_T1.8_D15                    108         0.500        | 317   108         15.6        
BL_W120_T2.2_D15                   108         0.500        | 307   108         15.6        
BL_W130_T2.4_D15                   108         0.500        | 316   108         15.6        
BL_W110_T1.8_D10                   104         0.500        | 305   104         11.7        
