=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 68.8 BPM
Valid interval: 476-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 92 mmHg
Confidence: 0.077
95% CI: [89 - 95] mmHg
Agreement: 1282/360 detectors

MAP: 92 mmHg
Est. Diastolic: 92 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W100_T1.8_D4                    83          0.740        | 133   83          11.0        
BL_W80_T1.8_D6                     83          0.740        | 143   83          11.0        
BL_W80_T1.8_D8                     83          0.740        | 132   83          11.0        
BL_W80_T1.8_D10                    83          0.740        | 146   83          11.0        
BL_W80_T1.8_D15                    83          0.740        | 149   83          11.0        
BL_W80_T1.8_D20                    83          0.740        | 150   83          11.0        
BL_W80_T1.8_D25                    83          0.740        | 147   83          11.0        
BL_W80_T1.8_D30                    83          0.740        | 145   83          11.0        
BL_W80_T1.8_D4                     83          0.740        | 148   83          11.0        
BL_W80_T1.8_D40                    83          0.740        | 144   83          11.0        
BL_W100_T1.8_D2                    83          0.740        | 131   83          11.0        
BL_W100_T1.8_D6                    83          0.740        | 134   83          11.0        
BL_W100_T1.8_D8                    83          0.740        | 135   83          11.0        
BL_W100_T1.8_D10                   83          0.740        | 136   83          11.0        
BL_W100_T1.8_D15                   83          0.740        | 137   83          11.0        
BL_W100_T1.8_D20                   83          0.740        | 138   83          11.0        
BL_W100_T1.8_D25                   83          0.740        | 139   83          11.0        
BL_W100_T1.8_D30                   83          0.740        | 140   83          11.0        
BL_W100_T1.8_D40                   83          0.740        | 141   83          11.0        
BL_W80_T1.8_D2                     83          0.740        | 142   83          11.0        
BL_W130_T1.8_D30                   75          0.420        | 262   75          19.5        
BL_W120_T1.8_D6                    112         0.420        | 219   112         18.1        
BL_W90_T1.8_D20                    75          0.420        | 253   75          19.5        
BL_W130_T1.8_D40                   75          0.420        | 261   75          19.5        
BL_W90_T1.8_D15                    75          0.420        | 241   75          19.5        
