=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 49.9 BPM
Valid interval: 559-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 132 mmHg
Confidence: 0.055
95% CI: [127 - 137] mmHg
Agreement: 884/144 detectors

MAP: 109 mmHg
Est. Diastolic: 97 mmHg
Oscillometric MAP Systolic: 132 mmHg
Oscillometric MAP Diastolic: 102 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W100_T1.8_D5                    152         1.200        | 105   152         12.0        
BL_W100_T1.8_D10                   151         1.200        | 102   151         11.1        
BL_W90_T1.8_D5                     153         1.200        | 110   153         12.8        
BL_W70_T1.9_D5                     161         1.200        | 112   161         21.4        
BL_W100_T2.2_D10                   151         1.200        | 104   151         11.1        
BL_W90_T1.9_D5                     153         1.200        | 107   153         12.8        
BL_W100_T1.9_D5                    151         1.200        | 100   151         11.1        
BL_W100_T1.9_D10                   151         1.200        | 101   151         11.1        
BL_W100_T2.0_D10                   151         1.200        | 103   151         11.1        
BL_W70_T1.8_D5                     161         1.200        | 111   161         21.4        
BL_W90_T2.0_D5                     153         1.200        | 109   153         12.8        
BL_W140_T2.0_D18                   144         1.140        | 43    144         4.2         
BL_W80_T2.0_D12                    145         1.140        | 74    145         4.6         
BL_W90_T2.0_D16                    144         1.140        | 27    144         4.1         
BL_W90_T2.0_D12                    145         1.140        | 57    145         4.6         
BL_W90_T2.0_D10                    145         1.140        | 82    145         4.6         
BL_W90_T1.9_D16                    144         1.140        | 16    144         4.1         
BL_W90_T1.9_D12                    145         1.140        | 80    145         4.6         
BL_W90_T1.9_D10                    145         1.140        | 79    145         4.6         
BL_W90_T1.8_D16                    144         1.140        | 22    144         4.1         
BL_W90_T1.8_D12                    145         1.140        | 77    145         4.6         
BL_W90_T1.8_D10                    145         1.140        | 76    145         4.6         
BL_W150_T2.0_D12                   145         1.140        | 65    145         4.6         
BL_W150_T2.0_D18                   144         1.140        | 32    144         4.2         
BL_W80_T2.0_D16                    144         1.140        | 21    144         4.1         
BL_W140_T2.0_D12                   145         1.140        | 61    145         4.6         
BL_W100_T1.8_D12                   145         1.140        | 68    145         4.6         
BL_W100_T1.8_D16                   144         1.140        | 10    144         4.1         
BL_W100_T1.9_D12                   145         1.140        | 48    145         4.6         
BL_W100_T1.9_D16                   144         1.140        | 24    144         4.1         
BL_W100_T2.0_D5                    145         1.140        | 90    145         5.4         
BL_W100_T2.0_D12                   145         1.140        | 51    145         4.6         
BL_W100_T2.0_D16                   144         1.140        | 26    144         4.1         
BL_W100_T2.2_D5                    145         1.140        | 89    145         5.4         
BL_W100_T2.2_D12                   145         1.140        | 50    145         4.6         
BL_W100_T2.2_D16                   144         1.140        | 11    144         4.1         
BL_W110_T2.0_D12                   145         1.140        | 46    145         4.6         
BL_W130_T2.0_D18                   144         1.140        | 13    144         4.1         
BL_W130_T2.0_D12                   145         1.140        | 45    145         4.6         
BL_W120_T2.0_D18                   144         1.140        | 20    144         4.1         
BL_W120_T2.0_D12                   145         1.140        | 53    145         4.6         
BL_W20_T1.8_D12                    144         1.140        | 40    144         4.2         
BL_W40_T1.6_D12                    144         1.140        | 38    144         4.2         
BL_W40_T1.8_D12                    144         1.140        | 34    144         4.2         
BL_W70_T1.8_D10                    145         1.140        | 84    145         4.6         
BL_W70_T1.8_D12                    145         1.140        | 83    145         4.6         
BL_W70_T1.9_D10                    145         1.140        | 81    145         4.6         
BL_W70_T1.9_D12                    145         1.140        | 78    145         4.6         
BL_W80_T2.0_D10                    145         1.140        | 73    145         4.6         
BL_W50_T1.6_D12                    144         1.140        | 31    144         4.2         
BL_W30_T1.6_D12                    144         1.140        | 44    144         4.2         
BL_W20_T2.0_D12                    144         1.140        | 42    144         4.2         
BL_W20_T1.6_D12                    144         1.140        | 30    144         4.2         
BL_W80_T1.9_D5                     145         1.140        | 93    145         5.4         
BL_W80_T2.0_D5                     145         1.140        | 91    145         5.4         
BL_W50_T1.8_D12                    144         1.140        | 35    144         4.2         
BL_W80_T1.9_D16                    144         1.140        | 18    144         4.1         
BL_W80_T1.9_D12                    145         1.140        | 72    145         4.6         
BL_W80_T1.9_D10                    145         1.140        | 71    145         4.6         
BL_W80_T1.8_D5                     145         1.140        | 92    145         5.4         
BL_W80_T1.8_D16                    144         1.140        | 15    144         4.1         
BL_W80_T1.8_D12                    145         1.140        | 70    145         4.6         
BL_W80_T1.8_D10                    145         1.140        | 69    145         4.6         
BL_W20_T2.0_D15                    139         1.060        | 2     139         1.5         
BL_W50_T1.6_D15                    138         1.060        | 7     138         2.0         
BL_W20_T1.8_D15                    139         1.060        | 3     139         1.5         
BL_W20_T1.6_D15                    139         1.060        | 1     139         1.5         
BL_W50_T1.8_D15                    138         1.060        | 5     138         2.0         
BL_W110_T2.0_D18                   138         1.060        | 8     138         2.0         
