=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 54.7 BPM
Valid interval: 558-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 116 mmHg
Confidence: 0.046
95% CI: [110 - 122] mmHg
Agreement: 817/144 detectors

MAP: 103 mmHg
Est. Diastolic: 97 mmHg
Oscillometric MAP Systolic: 132 mmHg
Oscillometric MAP Diastolic: 101 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W20_T1.6_D12                    112         0.820        | 53    112         27.7        
BL_W20_T1.6_D15                    112         0.820        | 54    112         27.7        
BL_W20_T1.8_D12                    109         0.740        | 66    109         31.4        
BL_W40_T1.6_D12                    109         0.740        | 59    109         31.4        
BL_W40_T1.6_D15                    109         0.740        | 58    109         31.4        
BL_W30_T1.6_D15                    109         0.740        | 61    109         31.4        
BL_W30_T1.6_D12                    109         0.740        | 62    109         31.4        
BL_W20_T2.0_D15                    109         0.740        | 63    109         31.4        
BL_W40_T1.8_D12                    109         0.740        | 57    109         31.4        
BL_W40_T1.8_D15                    109         0.740        | 56    109         31.4        
BL_W20_T2.0_D12                    109         0.740        | 64    109         31.4        
BL_W20_T1.8_D15                    109         0.740        | 65    109         31.4        
BL_W150_T2.0_D18                   105         0.660        | 90    105         35.3        
BL_W120_T2.0_D12                   104         0.660        | 124   104         35.8        
BL_W120_T2.0_D18                   104         0.660        | 130   104         35.8        
BL_W130_T2.0_D12                   105         0.660        | 111   105         35.3        
BL_W130_T2.0_D18                   105         0.660        | 112   105         35.3        
BL_W140_T2.0_D12                   105         0.660        | 120   105         35.3        
BL_W140_T2.0_D18                   105         0.660        | 121   105         35.3        
BL_W90_T1.8_D5                     105         0.660        | 94    105         35.3        
BL_W150_T2.0_D12                   105         0.660        | 91    105         35.3        
BL_W80_T1.8_D16                    105         0.660        | 84    105         35.3        
BL_W60_T1.8_D5                     105         0.660        | 74    105         34.9        
BL_W100_T1.9_D10                   105         0.660        | 110   105         35.3        
BL_W100_T1.9_D5                    105         0.660        | 109   105         35.3        
BL_W100_T1.8_D16                   105         0.660        | 113   105         35.3        
BL_W100_T1.8_D12                   105         0.660        | 114   105         35.3        
BL_W100_T1.8_D10                   105         0.660        | 108   105         35.3        
BL_W100_T1.8_D5                    105         0.660        | 117   105         35.3        
BL_W100_T1.9_D12                   105         0.660        | 115   105         35.3        
BL_W100_T1.9_D16                   105         0.660        | 116   105         35.3        
BL_W90_T1.8_D10                    105         0.660        | 122   105         35.3        
BL_W110_T2.0_D12                   104         0.660        | 123   104         35.8        
BL_W110_T2.0_D18                   104         0.660        | 125   104         35.8        
BL_W90_T1.9_D16                    104         0.660        | 134   104         35.8        
BL_W90_T1.9_D12                    104         0.660        | 135   104         35.8        
BL_W90_T1.9_D10                    104         0.660        | 136   104         35.8        
BL_W90_T1.9_D5                     104         0.660        | 137   104         35.8        
BL_W90_T1.8_D16                    105         0.660        | 118   105         35.3        
BL_W90_T1.8_D12                    105         0.660        | 119   105         35.3        
BL_W40_T2.0_D15                    105         0.660        | 68    105         34.9        
BL_W60_T1.8_D10                    105         0.660        | 73    105         34.9        
BL_W60_T1.8_D12                    105         0.660        | 75    105         34.9        
BL_W60_T1.8_D16                    105         0.660        | 76    105         34.9        
BL_W60_T1.9_D5                     105         0.660        | 77    105         34.9        
BL_W60_T1.9_D10                    105         0.660        | 78    105         34.9        
BL_W60_T1.9_D12                    105         0.660        | 79    105         34.9        
BL_W60_T1.9_D16                    105         0.660        | 80    105         34.9        
BL_W50_T1.6_D15                    105         0.660        | 70    105         34.9        
BL_W50_T1.6_D12                    105         0.660        | 69    105         34.9        
BL_W80_T1.9_D16                    105         0.660        | 88    105         35.3        
BL_W40_T2.0_D12                    105         0.660        | 67    105         34.9        
BL_W70_T1.8_D5                     105         0.660        | 103   105         35.3        
BL_W70_T1.8_D12                    105         0.660        | 101   105         35.3        
BL_W80_T1.9_D12                    105         0.660        | 87    105         35.3        
BL_W80_T1.9_D10                    105         0.660        | 86    105         35.3        
BL_W80_T1.9_D5                     105         0.660        | 85    105         35.3        
BL_W80_T1.8_D12                    105         0.660        | 83    105         35.3        
BL_W80_T1.8_D10                    105         0.660        | 81    105         35.3        
BL_W80_T1.8_D5                     105         0.660        | 95    105         35.3        
BL_W70_T1.8_D16                    105         0.660        | 100   105         35.3        
BL_W70_T1.8_D10                    105         0.660        | 102   105         35.3        
BL_W100_T2.0_D10                   104         0.580        | 138   104         35.8        
BL_W50_T1.8_D12                    105         0.580        | 71    105         34.9        
BL_W50_T1.8_D15                    105         0.580        | 72    105         34.9        
BL_W100_T2.0_D12                   104         0.580        | 129   104         35.8        
BL_W100_T2.0_D16                   104         0.580        | 128   104         35.8        
BL_W30_T1.8_D12                    109         0.580        | 60    109         31.4        
BL_W100_T2.0_D5                    104         0.580        | 127   104         35.8        
BL_W30_T1.8_D15                    109         0.580        | 55    109         31.4        
BL_W90_T2.0_D5                     104         0.580        | 133   104         35.8        
BL_W80_T2.0_D5                     105         0.580        | 89    105         35.3        
BL_W80_T2.0_D10                    105         0.580        | 92    105         35.3        
BL_W80_T2.0_D12                    105         0.580        | 93    105         35.3        
BL_W70_T1.9_D16                    105         0.580        | 96    105         35.3        
BL_W70_T1.9_D12                    105         0.580        | 97    105         35.3        
BL_W70_T1.9_D10                    105         0.580        | 98    105         35.3        
BL_W90_T2.0_D10                    104         0.580        | 132   104         35.8        
BL_W70_T1.9_D5                     105         0.580        | 99    105         35.3        
BL_W80_T2.0_D16                    105         0.580        | 82    105         35.3        
BL_W60_T2.0_D16                    105         0.580        | 104   105         35.3        
BL_W90_T2.0_D12                    104         0.580        | 126   104         35.8        
BL_W90_T2.0_D16                    104         0.580        | 131   104         35.8        
BL_W60_T2.0_D12                    105         0.580        | 105   105         35.3        
BL_W60_T2.0_D10                    105         0.580        | 106   105         35.3        
BL_W60_T2.0_D5                     105         0.580        | 107   105         35.3        
BL_W90_T2.2_D12                    144         0.420        | 41    144         4.4         
BL_W130_T3.3_D12                   144         0.420        | 34    144         4.0         
BL_W140_T2.4_D12                   144         0.420        | 31    144         3.8         
BL_W140_T2.4_D18                   100         0.420        | 141   100         40.3        
BL_W140_T2.8_D12                   144         0.420        | 30    144         3.8         
BL_W140_T3.3_D12                   144         0.420        | 25    144         3.8         
BL_W150_T2.4_D12                   100         0.420        | 144   100         40.3        
BL_W150_T2.4_D18                   100         0.420        | 143   100         40.3        
BL_W70_T2.2_D12                    144         0.420        | 29    144         3.8         
BL_W70_T2.2_D10                    144         0.420        | 47    144         4.4         
BL_W70_T2.2_D5                     144         0.420        | 27    144         3.8         
BL_W70_T2.0_D12                    144         0.420        | 26    144         3.8         
BL_W70_T2.0_D10                    144         0.420        | 48    144         4.4         
BL_W70_T2.0_D5                     144         0.420        | 49    144         4.4         
BL_W60_T2.2_D10                    144         0.420        | 28    144         3.8         
BL_W60_T2.2_D5                     148         0.420        | 52    148         8.1         
BL_W120_T2.4_D18                   100         0.420        | 140   100         40.3        
BL_W110_T2.8_D12                   144         0.420        | 40    144         4.4         
BL_W110_T3.3_D12                   144         0.420        | 37    144         4.4         
BL_W110_T2.4_D12                   144         0.420        | 42    144         4.4         
BL_W100_T2.2_D16                   100         0.420        | 139   100         39.9        
BL_W80_T2.2_D12                    144         0.420        | 32    144         4.0         
BL_W120_T2.4_D12                   144         0.420        | 39    144         4.4         
BL_W100_T2.2_D12                   144         0.420        | 43    144         4.4         
BL_W100_T2.2_D10                   145         0.420        | 51    145         4.6         
BL_W100_T2.2_D5                    144         0.420        | 44    144         4.4         
BL_W120_T2.8_D12                   144         0.420        | 38    144         4.4         
BL_W90_T2.2_D5                     144         0.420        | 33    144         4.0         
BL_W120_T3.3_D12                   144         0.420        | 46    144         4.4         
BL_W90_T2.2_D10                    144         0.420        | 45    144         4.4         
BL_W80_T2.2_D10                    144         0.420        | 50    144         4.4         
BL_W80_T2.2_D5                     144         0.420        | 24    144         3.8         
BL_W130_T2.4_D12                   144         0.420        | 36    144         4.0         
BL_W130_T2.4_D18                   100         0.420        | 142   100         40.3        
BL_W130_T2.8_D12                   144         0.420        | 35    144         4.0         
BL_W80_T2.2_D16                    140         0.340        | 8     140         0.1         
