=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 60.6 BPM
Valid interval: 509-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 121 mmHg
Confidence: 0.043
95% CI: [114 - 128] mmHg
Agreement: 961/144 detectors

MAP: 114 mmHg
Est. Diastolic: 110 mmHg
Oscillometric MAP Systolic: 135 mmHg
Oscillometric MAP Diastolic: 109 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W20_T1.6_D12                    126         0.900        | 81    126         18.1        
BL_W20_T1.6_D15                    126         0.900        | 82    126         18.1        
BL_W20_T2.0_D15                    100         0.500        | 89    100         44.2        
BL_W50_T1.6_D15                    100         0.500        | 97    100         44.2        
BL_W50_T1.6_D12                    100         0.500        | 96    100         44.2        
BL_W40_T1.8_D15                    100         0.500        | 95    100         44.2        
BL_W40_T1.8_D12                    100         0.500        | 94    100         44.2        
BL_W40_T1.6_D15                    100         0.500        | 93    100         44.2        
BL_W40_T1.6_D12                    100         0.500        | 91    100         44.2        
BL_W30_T1.8_D15                    100         0.500        | 88    100         43.9        
BL_W30_T1.8_D12                    100         0.500        | 87    100         43.9        
BL_W30_T1.6_D15                    100         0.500        | 86    100         43.9        
BL_W30_T1.6_D12                    100         0.500        | 85    100         43.9        
BL_W60_T1.8_D10                    100         0.500        | 99    100         44.2        
BL_W20_T2.0_D12                    100         0.500        | 90    100         44.2        
BL_W20_T1.8_D15                    100         0.500        | 84    100         43.9        
BL_W20_T1.8_D12                    100         0.500        | 83    100         43.9        
BL_W100_T1.8_D5                    100         0.500        | 100   100         44.2        
BL_W100_T1.8_D10                   100         0.500        | 101   100         44.2        
BL_W100_T1.8_D12                   100         0.500        | 102   100         44.2        
BL_W100_T1.8_D16                   100         0.500        | 103   100         44.2        
BL_W60_T1.8_D5                     100         0.500        | 104   100         44.2        
BL_W60_T1.8_D16                    100         0.500        | 92    100         44.2        
BL_W60_T1.8_D12                    100         0.500        | 98    100         44.2        
BL_W80_T1.9_D10                    95          0.420        | 126   95          48.8        
BL_W60_T2.0_D16                    95          0.420        | 125   95          48.8        
BL_W60_T2.0_D12                    95          0.420        | 124   95          48.8        
BL_W60_T2.0_D10                    95          0.420        | 123   95          48.8        
BL_W60_T2.0_D5                     95          0.420        | 107   95          48.8        
BL_W60_T1.9_D16                    95          0.420        | 109   95          48.8        
BL_W50_T1.8_D15                    96          0.420        | 105   96          48.5        
BL_W60_T1.9_D12                    95          0.420        | 110   95          48.8        
BL_W60_T1.9_D10                    95          0.420        | 111   95          48.8        
BL_W60_T1.9_D5                     95          0.420        | 114   95          48.8        
BL_W80_T1.9_D16                    95          0.420        | 108   95          48.8        
BL_W80_T1.9_D12                    95          0.420        | 112   95          48.8        
BL_W80_T1.9_D5                     95          0.420        | 128   95          48.8        
BL_W80_T1.8_D16                    95          0.420        | 127   95          48.8        
BL_W80_T1.8_D12                    95          0.420        | 119   95          48.8        
BL_W80_T1.8_D10                    95          0.420        | 118   95          48.8        
BL_W80_T1.8_D5                     95          0.420        | 113   95          48.8        
BL_W50_T1.8_D12                    96          0.420        | 106   96          48.5        
BL_W70_T1.8_D5                     95          0.420        | 117   95          48.8        
BL_W70_T1.8_D10                    95          0.420        | 122   95          48.8        
BL_W70_T1.8_D12                    95          0.420        | 121   95          48.8        
BL_W40_T2.0_D12                    95          0.420        | 115   95          48.8        
BL_W40_T2.0_D15                    95          0.420        | 116   95          48.8        
BL_W70_T1.8_D16                    95          0.420        | 120   95          48.8        
BL_W100_T1.9_D16                   91          0.340        | 137   91          53.2        
BL_W100_T1.9_D12                   91          0.340        | 129   91          53.2        
BL_W100_T1.9_D10                   91          0.340        | 135   91          53.2        
BL_W100_T1.9_D5                    91          0.340        | 134   91          53.2        
BL_W70_T1.9_D12                    91          0.340        | 131   91          53.2        
