=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 60.3 BPM
Valid interval: 484-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 104 mmHg
Confidence: 0.076
95% CI: [102 - 106] mmHg
Agreement: 2425/420 detectors

MAP: 139 mmHg
Est. Diastolic: 157 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W5_T1.2_D15                     106         0.980        | 103   106         1.9         
BL_W5_T1.5_D15                     106         0.980        | 108   106         1.9         
BL_W5_T1.7_D15                     106         0.980        | 104   106         1.9         
BL_W5_T1.5_D32                     101         0.900        | 123   101         2.9         
BL_W5_T1.7_D32                     101         0.900        | 121   101         2.9         
BL_W5_T1.7_D28                     101         0.900        | 122   101         2.9         
BL_W5_T1.7_D24                     102         0.900        | 110   102         2.2         
BL_W5_T1.7_D20                     102         0.900        | 101   102         1.8         
BL_W5_T1.5_D28                     101         0.900        | 127   101         2.9         
BL_W5_T1.5_D24                     102         0.900        | 109   102         2.2         
BL_W5_T1.5_D20                     102         0.900        | 102   102         1.8         
BL_W5_T1.2_D32                     101         0.900        | 120   101         2.9         
BL_W5_T1.2_D28                     101         0.900        | 125   101         2.9         
BL_W5_T1.2_D24                     102         0.900        | 116   102         2.2         
BL_W5_T1.2_D20                     102         0.900        | 100   102         1.8         
BL_W180_T1.2_D24                   116         0.820        | 235   116         11.5        
BL_W180_T1.2_D20                   116         0.820        | 263   116         11.8        
BL_W180_T1.2_D15                   116         0.820        | 309   116         11.9        
BL_W120_T1.7_D15                   116         0.660        | 378   116         12.2        
BL_W120_T1.5_D28                   116         0.660        | 237   116         11.5        
BL_W120_T1.7_D20                   116         0.660        | 359   116         11.9        
BL_W120_T1.7_D24                   116         0.660        | 284   116         11.8        
BL_W120_T1.7_D28                   116         0.660        | 226   116         11.5        
BL_W130_T1.2_D15                   116         0.660        | 383   116         12.2        
BL_W130_T1.2_D20                   116         0.660        | 338   116         11.9        
BL_W130_T1.2_D24                   116         0.660        | 274   116         11.8        
BL_W130_T1.5_D15                   116         0.660        | 388   116         12.2        
BL_W130_T1.5_D20                   116         0.660        | 340   116         11.9        
BL_W120_T1.5_D24                   116         0.660        | 288   116         11.8        
BL_W140_T2.0_D20                   116         0.660        | 341   116         11.9        
BL_W120_T1.5_D20                   116         0.660        | 358   116         11.9        
BL_W130_T1.5_D24                   116         0.660        | 290   116         11.8        
BL_W130_T1.7_D15                   116         0.660        | 386   116         12.2        
BL_W130_T1.7_D20                   116         0.660        | 333   116         11.9        
BL_W130_T1.7_D24                   116         0.660        | 250   116         11.8        
BL_W130_T2.0_D20                   116         0.660        | 343   116         11.9        
BL_W130_T2.0_D24                   116         0.660        | 300   116         11.8        
BL_W140_T1.2_D15                   116         0.660        | 329   116         11.9        
BL_W140_T1.2_D20                   116         0.660        | 350   116         11.9        
BL_W140_T1.2_D24                   116         0.660        | 246   116         11.8        
BL_W140_T1.5_D15                   116         0.660        | 348   116         11.9        
BL_W140_T1.5_D20                   116         0.660        | 347   116         11.9        
BL_W140_T1.5_D24                   116         0.660        | 242   116         11.8        
BL_W140_T1.7_D15                   116         0.660        | 345   116         11.9        
BL_W140_T1.7_D20                   116         0.660        | 344   116         11.9        
BL_W140_T1.7_D24                   116         0.660        | 244   116         11.8        
BL_W100_T1.2_D15                   116         0.660        | 385   116         12.2        
BL_W110_T1.2_D20                   116         0.660        | 308   116         11.9        
BL_W120_T1.2_D15                   116         0.660        | 380   116         12.2        
BL_W100_T1.2_D20                   116         0.660        | 321   116         11.9        
BL_W100_T1.2_D24                   116         0.660        | 322   116         11.9        
BL_W100_T1.2_D28                   116         0.660        | 281   116         11.8        
BL_W100_T1.5_D15                   116         0.660        | 363   116         12.2        
BL_W100_T1.5_D20                   116         0.660        | 324   116         11.9        
BL_W100_T1.5_D24                   116         0.660        | 325   116         11.9        
BL_W100_T1.5_D28                   116         0.660        | 276   116         11.8        
BL_W100_T1.7_D15                   116         0.660        | 362   116         12.2        
BL_W100_T1.7_D20                   116         0.660        | 327   116         11.9        
BL_W100_T1.7_D24                   116         0.660        | 328   116         11.9        
BL_W100_T1.7_D28                   116         0.660        | 283   116         11.8        
BL_W110_T1.2_D15                   116         0.660        | 366   116         12.2        
BL_W120_T1.5_D15                   116         0.660        | 387   116         12.2        
BL_W110_T1.2_D24                   116         0.660        | 293   116         11.8        
BL_W110_T1.2_D28                   116         0.660        | 291   116         11.8        
BL_W110_T1.5_D15                   116         0.660        | 371   116         12.2        
BL_W110_T1.5_D20                   116         0.660        | 352   116         11.9        
BL_W110_T1.5_D24                   116         0.660        | 296   116         11.8        
BL_W110_T1.5_D28                   116         0.660        | 298   116         11.8        
BL_W110_T1.7_D15                   116         0.660        | 367   116         12.2        
BL_W110_T1.7_D20                   116         0.660        | 353   116         11.9        
BL_W110_T1.7_D24                   116         0.660        | 303   116         11.8        
BL_W110_T1.7_D28                   116         0.660        | 304   116         11.8        
BL_W120_T1.2_D20                   116         0.660        | 357   116         11.9        
BL_W120_T1.2_D24                   116         0.660        | 289   116         11.8        
BL_W120_T1.2_D28                   116         0.660        | 234   116         11.5        
BL_W180_T1.5_D20                   116         0.660        | 297   116         11.8        
BL_W170_T1.5_D15                   116         0.660        | 320   116         11.9        
BL_W170_T1.5_D20                   116         0.660        | 260   116         11.8        
BL_W170_T1.5_D24                   116         0.660        | 223   116         11.5        
BL_W170_T1.7_D15                   116         0.660        | 318   116         11.9        
BL_W170_T1.7_D20                   116         0.660        | 239   116         11.8        
BL_W170_T1.7_D24                   116         0.660        | 215   116         11.5        
BL_W170_T2.0_D15                   116         0.660        | 317   116         11.9        
BL_W170_T2.0_D20                   116         0.660        | 240   116         11.8        
BL_W170_T2.0_D24                   116         0.660        | 233   116         11.5        
BL_W170_T2.2_D15                   116         0.660        | 315   116         11.9        
BL_W170_T2.2_D20                   116         0.660        | 243   116         11.8        
BL_W170_T2.2_D24                   116         0.660        | 229   116         11.5        
BL_W180_T1.2_D28                   109         0.660        | 168   109         4.6         
BL_W180_T1.5_D15                   116         0.660        | 337   116         11.9        
BL_W170_T1.2_D24                   116         0.660        | 222   116         11.5        
BL_W180_T1.5_D24                   116         0.660        | 221   116         11.5        
BL_W180_T1.7_D15                   116         0.660        | 319   116         11.9        
BL_W180_T1.7_D20                   116         0.660        | 299   116         11.8        
