=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 77.7 BPM
Valid interval: 434-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 103 mmHg
Confidence: 0.071
95% CI: [101 - 105] mmHg
Agreement: 7147/1440 detectors

MAP: 100 mmHg
Est. Diastolic: 98 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T1.5_D4                    121         1.200        | 1335  121         16.6        
BL_W100_T2.0_D2                    127         1.200        | 1388  127         22.5        
BL_W100_T2.2_D2                    126         1.200        | 1368  126         22.2        
BL_W110_T1.2_D2                    127         1.200        | 1389  127         22.5        
BL_W110_T1.5_D2                    127         1.200        | 1390  127         22.5        
BL_W110_T1.7_D2                    127         1.200        | 1392  127         22.5        
BL_W110_T2.0_D2                    126         1.200        | 1371  126         22.2        
BL_W110_T2.2_D2                    126         1.200        | 1370  126         22.2        
BL_W120_T1.2_D2                    126         1.200        | 1375  126         22.2        
BL_W120_T1.5_D2                    126         1.200        | 1374  126         22.2        
BL_W120_T2.0_D2                    120         1.200        | 1332  120         16.3        
BL_W130_T1.2_D2                    121         1.200        | 1365  121         16.8        
BL_W130_T1.2_D4                    121         1.200        | 1353  121         16.6        
BL_W130_T1.5_D2                    121         1.200        | 1352  121         16.6        
BL_W100_T1.7_D2                    127         1.200        | 1387  127         22.5        
BL_W130_T2.0_D2                    120         1.200        | 1331  120         16.3        
BL_W130_T2.0_D4                    121         1.200        | 1349  121         16.6        
BL_W130_T2.2_D4                    121         1.200        | 1348  121         16.6        
BL_W140_T1.2_D2                    121         1.200        | 1363  121         16.8        
BL_W140_T1.2_D4                    121         1.200        | 1343  121         16.6        
BL_W140_T1.5_D2                    121         1.200        | 1339  121         16.6        
BL_W140_T1.5_D4                    121         1.200        | 1340  121         16.6        
BL_W140_T1.7_D2                    120         1.200        | 1333  120         16.3        
BL_W140_T1.7_D4                    121         1.200        | 1341  121         16.6        
BL_W140_T2.0_D4                    121         1.200        | 1342  121         16.6        
BL_W140_T2.2_D4                    121         1.200        | 1344  121         16.6        
BL_W140_T2.4_D4                    121         1.200        | 1338  121         16.6        
BL_W150_T1.2_D2                    118         1.200        | 1328  118         13.8        
BL_W70_T1.5_D2                     127         1.200        | 1415  127         22.7        
BL_W40_T1.2_D2                     127         1.200        | 1382  127         22.5        
BL_W40_T1.5_D2                     127         1.200        | 1385  127         22.5        
BL_W40_T1.7_D2                     127         1.200        | 1383  127         22.5        
BL_W50_T1.2_D2                     127         1.200        | 1377  127         22.5        
BL_W30_T1.5_D2                     127         1.200        | 1379  127         22.5        
BL_W50_T1.5_D2                     127         1.200        | 1404  127         22.5        
BL_W50_T1.7_D2                     127         1.200        | 1401  127         22.5        
BL_W60_T1.2_D2                     127         1.200        | 1403  127         22.5        
BL_W60_T1.5_D2                     127         1.200        | 1400  127         22.5        
BL_W60_T1.7_D2                     127         1.200        | 1398  127         22.5        
BL_W30_T1.2_D2                     127         1.200        | 1378  127         22.5        
BL_W60_T2.0_D2                     127         1.200        | 1399  127         22.5        
BL_W70_T1.2_D2                     127         1.200        | 1414  127         22.7        
BL_W130_T1.7_D4                    121         1.200        | 1350  121         16.6        
BL_W70_T1.7_D2                     127         1.200        | 1416  127         22.7        
BL_W70_T2.0_D2                     127         1.200        | 1417  127         22.7        
BL_W80_T1.2_D2                     127         1.200        | 1412  127         22.7        
BL_W80_T1.5_D2                     127         1.200        | 1402  127         22.5        
BL_W80_T1.7_D2                     127         1.200        | 1409  127         22.5        
BL_W80_T2.0_D2                     127         1.200        | 1410  127         22.5        
BL_W90_T1.2_D2                     127         1.200        | 1419  127         22.7        
BL_W90_T1.5_D2                     127         1.200        | 1384  127         22.5        
BL_W90_T1.7_D2                     127         1.200        | 1381  127         22.5        
BL_W90_T2.0_D2                     127         1.200        | 1380  127         22.5        
BL_W90_T2.2_D2                     126         1.200        | 1367  126         22.2        
BL_W100_T1.2_D2                    127         1.200        | 1413  127         22.7        
BL_W100_T1.5_D2                    127         1.200        | 1386  127         22.5        
BL_W10_T1.2_D2                     127         1.200        | 1397  127         22.5        
BL_W160_T1.2_D2                    117         1.200        | 1318  117         13.1        
BL_W150_T1.5_D2                    117         1.200        | 1321  117         13.4        
BL_W10_T2.0_D2                     127         1.200        | 1394  127         22.5        
BL_W150_T1.2_D4                    117         1.200        | 1320  117         13.4        
BL_W150_T1.5_D4                    117         1.200        | 1322  117         13.4        
BL_W10_T1.5_D2                     127         1.200        | 1396  127         22.5        
BL_W10_T1.7_D2                     127         1.200        | 1395  127         22.5        
BL_W150_T2.0_D4                    117         1.200        | 1324  117         13.4        
BL_W150_T2.2_D4                    117         1.200        | 1325  117         13.4        
BL_W150_T1.7_D4                    117         1.200        | 1323  117         13.4        
BL_W170_T1.2_D2                    114         1.140        | 1299  114         10.2        
