=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 80.0 BPM
Valid interval: 398-1287 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 97 mmHg
Confidence: 0.089
95% CI: [95 - 99] mmHg
Agreement: 8548/1440 detectors

MAP: 111 mmHg
Est. Diastolic: 119 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.2_D4                     107         1.200        | 104   107         0.8         
BL_W10_T1.2_D2                     110         1.200        | 187   110         4.1         
BL_W10_T2.0_D20                    106         1.200        | 81    106         0.4         
BL_W10_T2.0_D15                    106         1.200        | 44    106         0.2         
BL_W10_T2.0_D10                    106         1.200        | 43    106         0.2         
BL_W10_T2.0_D8                     107         1.200        | 135   107         0.8         
BL_W10_T2.0_D6                     107         1.200        | 136   107         0.8         
BL_W10_T2.0_D4                     107         1.200        | 141   107         0.8         
BL_W10_T2.0_D2                     110         1.200        | 188   110         4.1         
BL_W10_T1.7_D20                    106         1.200        | 66    106         0.4         
BL_W10_T1.7_D15                    106         1.200        | 49    106         0.2         
BL_W10_T1.7_D10                    106         1.200        | 50    106         0.2         
BL_W10_T1.7_D8                     107         1.200        | 144   107         0.8         
BL_W10_T1.7_D6                     107         1.200        | 142   107         0.8         
BL_W10_T1.7_D4                     107         1.200        | 139   107         0.8         
BL_W10_T1.7_D2                     117         1.200        | 1021  117         10.7        
BL_W10_T1.5_D20                    106         1.200        | 65    106         0.4         
BL_W10_T1.5_D15                    106         1.200        | 42    106         0.2         
BL_W10_T1.5_D10                    106         1.200        | 45    106         0.2         
BL_W10_T1.5_D8                     107         1.200        | 138   107         0.8         
BL_W10_T1.5_D6                     107         1.200        | 137   107         0.8         
BL_W10_T1.5_D4                     107         1.200        | 140   107         0.8         
BL_W10_T1.5_D2                     117         1.200        | 1020  117         10.7        
BL_W10_T1.2_D6                     107         1.200        | 143   107         0.8         
BL_W10_T1.2_D8                     107         1.200        | 145   107         0.8         
BL_W10_T1.2_D20                    106         1.200        | 82    106         0.4         
BL_W10_T1.2_D15                    106         1.200        | 47    106         0.2         
BL_W10_T1.2_D10                    106         1.200        | 40    106         0.2         
BL_W10_T1.5_D30                    104         1.140        | 184   104         2.3         
BL_W10_T1.5_D25                    104         1.140        | 181   104         2.3         
BL_W10_T2.0_D30                    104         1.140        | 164   104         2.3         
BL_W10_T2.0_D25                    104         1.140        | 186   104         2.3         
BL_W10_T1.2_D30                    104         1.140        | 173   104         2.3         
BL_W10_T1.7_D30                    104         1.140        | 167   104         2.3         
BL_W10_T1.7_D25                    104         1.140        | 165   104         2.3         
BL_W10_T1.2_D25                    104         1.140        | 166   104         2.3         
BL_W190_T1.2_D10                   99          0.980        | 241   99          7.2         
BL_W190_T1.2_D15                   98          0.980        | 555   98          7.8         
BL_W190_T1.2_D20                   98          0.980        | 556   98          7.8         
BL_W190_T1.2_D25                   98          0.980        | 557   98          7.8         
BL_W190_T1.5_D30                   98          0.980        | 560   98          7.8         
BL_W190_T1.7_D30                   98          0.980        | 561   98          7.8         
BL_W200_T1.2_D2                    99          0.980        | 236   99          7.2         
BL_W200_T1.2_D4                    99          0.980        | 239   99          7.2         
BL_W200_T1.2_D6                    99          0.980        | 233   99          7.2         
BL_W200_T1.2_D8                    99          0.980        | 244   99          7.2         
BL_W200_T1.2_D10                   99          0.980        | 248   99          7.2         
BL_W200_T1.2_D15                   98          0.980        | 536   98          7.8         
BL_W200_T1.2_D20                   98          0.980        | 550   98          7.8         
BL_W190_T1.2_D8                    99          0.980        | 242   99          7.2         
BL_W190_T1.2_D6                    99          0.980        | 249   99          7.2         
BL_W190_T1.2_D4                    99          0.980        | 253   99          7.2         
BL_W190_T1.2_D2                    99          0.980        | 251   99          7.2         
BL_W180_T1.2_D30                   98          0.980        | 499   98          7.8         
BL_W180_T1.2_D25                   98          0.980        | 496   98          7.8         
BL_W180_T1.2_D20                   98          0.980        | 495   98          7.8         
BL_W180_T1.2_D15                   98          0.980        | 493   98          7.8         
BL_W180_T1.2_D10                   99          0.980        | 197   99          7.2         
BL_W180_T1.2_D8                    99          0.980        | 196   99          7.2         
BL_W180_T1.2_D6                    99          0.980        | 200   99          7.2         
BL_W180_T1.2_D4                    99          0.980        | 206   99          7.2         
BL_W180_T1.2_D2                    99          0.980        | 207   99          7.2         
BL_W190_T1.2_D30                   98          0.980        | 559   98          7.8         
BL_W200_T1.2_D30                   98          0.980        | 448   98          7.8         
BL_W200_T1.2_D25                   98          0.980        | 449   98          7.8         
BL_W200_T1.7_D30                   98          0.980        | 445   98          7.8         
BL_W200_T1.5_D30                   98          0.980        | 447   98          7.8         
BL_W200_T2.0_D30                   98          0.900        | 503   98          7.8         
BL_W190_T2.0_D30                   98          0.900        | 563   98          7.8         
BL_W10_T2.2_D20                    106         0.820        | 74    106         0.4         
BL_W10_T2.2_D15                    106         0.820        | 20    106         0.2         
BL_W10_T2.2_D30                    104         0.740        | 170   104         2.3         
BL_W10_T2.2_D25                    104         0.740        | 169   104         2.3         
BL_W110_T1.5_D20                   85          0.580        | 1146  85          21.4        
BL_W110_T1.5_D15                   85          0.580        | 1145  85          21.4        
BL_W110_T1.5_D10                   85          0.580        | 1143  85          21.4        
BL_W110_T1.5_D8                    85          0.580        | 1201  85          21.4        
BL_W110_T1.5_D6                    85          0.580        | 1202  85          21.4        
BL_W110_T1.5_D25                   85          0.580        | 1162  85          21.4        
BL_W110_T1.5_D30                   85          0.580        | 1161  85          21.4        
BL_W110_T1.5_D4                    85          0.580        | 1203  85          21.4        
BL_W120_T1.2_D2                    85          0.580        | 1094  85          21.0        
BL_W120_T1.2_D4                    85          0.580        | 1102  85          21.0        
BL_W100_T1.2_D20                   85          0.580        | 1088  85          21.0        
BL_W120_T1.2_D6                    85          0.580        | 1103  85          21.0        
BL_W110_T1.5_D2                    85          0.580        | 1204  85          21.4        
BL_W110_T1.2_D30                   85          0.580        | 1080  85          21.0        
BL_W110_T1.2_D25                   85          0.580        | 1035  85          21.0        
BL_W110_T1.2_D20                   85          0.580        | 1033  85          21.0        
BL_W110_T1.2_D15                   85          0.580        | 1031  85          21.0        
BL_W110_T1.2_D10                   85          0.580        | 1030  85          21.0        
BL_W110_T1.2_D8                    85          0.580        | 1053  85          21.0        
BL_W110_T1.2_D6                    85          0.580        | 1052  85          21.0        
BL_W110_T1.2_D4                    85          0.580        | 1051  85          21.0        
BL_W110_T1.2_D2                    85          0.580        | 1041  85          21.0        
BL_W100_T1.2_D30                   85          0.580        | 1090  85          21.0        
BL_W100_T1.2_D25                   85          0.580        | 1089  85          21.0        
BL_W140_T1.2_D20                   85          0.580        | 1113  85          21.0        
