=== Blood Pressure Measurement Report - Run #2 ===

Baseline HR: 76.1 BPM
Valid interval: 424-1496 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 101 mmHg
Confidence: 0.051
95% CI: [99 - 103] mmHg
Agreement: 10841/1440 detectors

MAP: 83 mmHg
Est. Diastolic: 73 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W110_T1.5_D10                   98          1.200        | 978   98          9.7         
BL_W110_T1.2_D10                   98          1.200        | 988   98          9.7         
BL_W110_T1.2_D15                   98          1.200        | 987   98          9.7         
BL_W110_T1.2_D20                   98          1.200        | 986   98          9.7         
BL_W110_T1.2_D25                   98          1.200        | 985   98          9.7         
BL_W110_T1.2_D30                   98          1.200        | 983   98          9.7         
BL_W110_T1.5_D2                    98          1.200        | 982   98          9.7         
BL_W110_T1.5_D4                    98          1.200        | 970   98          9.7         
BL_W110_T1.5_D6                    98          1.200        | 980   98          9.7         
BL_W110_T1.5_D8                    98          1.200        | 979   98          9.7         
BL_W110_T1.2_D8                    98          1.200        | 990   98          9.7         
BL_W110_T1.5_D15                   98          1.200        | 977   98          9.7         
BL_W110_T1.5_D20                   98          1.200        | 976   98          9.7         
BL_W110_T1.5_D25                   98          1.200        | 974   98          9.7         
BL_W110_T1.5_D30                   98          1.200        | 973   98          9.7         
BL_W120_T1.2_D2                    98          1.200        | 992   98          9.7         
BL_W120_T1.2_D4                    98          1.200        | 993   98          9.7         
BL_W120_T1.2_D6                    98          1.200        | 994   98          9.7         
BL_W120_T1.2_D8                    98          1.200        | 1001  98          9.7         
BL_W100_T1.5_D8                    98          1.200        | 897   98          9.7         
BL_W100_T1.2_D8                    98          1.200        | 906   98          9.7         
BL_W100_T1.2_D10                   98          1.200        | 905   98          9.7         
BL_W100_T1.2_D15                   98          1.200        | 904   98          9.7         
BL_W100_T1.2_D20                   98          1.200        | 903   98          9.7         
BL_W100_T1.2_D25                   98          1.200        | 902   98          9.7         
BL_W100_T1.2_D30                   98          1.200        | 901   98          9.7         
BL_W100_T1.5_D2                    98          1.200        | 900   98          9.7         
BL_W100_T1.5_D4                    98          1.200        | 899   98          9.7         
BL_W100_T1.5_D6                    98          1.200        | 898   98          9.7         
BL_W120_T1.2_D10                   98          1.200        | 991   98          9.7         
BL_W100_T1.5_D10                   98          1.200        | 1025  98          9.7         
BL_W100_T1.5_D15                   98          1.200        | 1024  98          9.7         
BL_W100_T1.5_D20                   98          1.200        | 1023  98          9.7         
BL_W100_T1.5_D25                   98          1.200        | 1012  98          9.7         
BL_W100_T1.5_D30                   98          1.200        | 1021  98          9.7         
BL_W110_T1.2_D2                    98          1.200        | 665   98          9.7         
BL_W110_T1.2_D4                    98          1.200        | 1022  98          9.7         
BL_W110_T1.2_D6                    98          1.200        | 1032  98          9.7         
BL_W130_T1.5_D15                   98          1.200        | 664   98          9.7         
BL_W130_T1.2_D15                   98          1.200        | 652   98          9.7         
BL_W130_T1.2_D20                   98          1.200        | 666   98          9.7         
BL_W130_T1.2_D25                   98          1.200        | 669   98          9.7         
BL_W130_T1.2_D30                   98          1.200        | 670   98          9.7         
BL_W130_T1.5_D2                    98          1.200        | 674   98          9.7         
BL_W130_T1.5_D4                    98          1.200        | 644   98          9.7         
BL_W130_T1.5_D6                    98          1.200        | 651   98          9.7         
BL_W130_T1.5_D8                    98          1.200        | 640   98          9.7         
BL_W130_T1.5_D10                   98          1.200        | 641   98          9.7         
BL_W130_T1.2_D10                   98          1.200        | 935   98          9.7         
BL_W130_T1.5_D20                   98          1.200        | 643   98          9.7         
BL_W130_T1.5_D25                   98          1.200        | 673   98          9.7         
BL_W130_T1.5_D30                   98          1.200        | 671   98          9.7         
BL_W140_T1.2_D2                    98          1.200        | 663   98          9.7         
BL_W140_T1.2_D4                    98          1.200        | 662   98          9.7         
BL_W140_T1.2_D6                    98          1.200        | 660   98          9.7         
BL_W140_T1.2_D8                    98          1.200        | 659   98          9.7         
BL_W140_T1.2_D10                   98          1.200        | 656   98          9.7         
BL_W120_T1.5_D10                   98          1.200        | 971   98          9.7         
BL_W120_T1.2_D15                   98          1.200        | 1003  98          9.7         
BL_W120_T1.2_D20                   98          1.200        | 1004  98          9.7         
BL_W120_T1.2_D25                   98          1.200        | 1005  98          9.7         
BL_W120_T1.2_D30                   98          1.200        | 1006  98          9.7         
BL_W120_T1.5_D2                    98          1.200        | 1007  98          9.7         
BL_W120_T1.5_D4                    98          1.200        | 1008  98          9.7         
BL_W120_T1.5_D6                    98          1.200        | 1011  98          9.7         
BL_W120_T1.5_D8                    98          1.200        | 981   98          9.7         
BL_W100_T1.2_D6                    98          1.200        | 907   98          9.7         
BL_W120_T1.5_D15                   98          1.200        | 972   98          9.7         
BL_W120_T1.5_D20                   98          1.200        | 975   98          9.7         
BL_W120_T1.5_D25                   98          1.200        | 984   98          9.7         
BL_W120_T1.5_D30                   98          1.200        | 989   98          9.7         
BL_W130_T1.2_D2                    98          1.200        | 1015  98          9.7         
BL_W130_T1.2_D4                    98          1.200        | 1016  98          9.7         
BL_W130_T1.2_D6                    98          1.200        | 1017  98          9.7         
BL_W130_T1.2_D8                    98          1.200        | 958   98          9.7         
BL_W70_T1.2_D4                     98          1.200        | 933   98          9.7         
BL_W60_T1.5_D4                     98          1.200        | 1177  98          10.4        
BL_W60_T1.5_D6                     98          1.200        | 1191  98          10.4        
BL_W60_T1.5_D8                     98          1.200        | 1190  98          10.4        
BL_W60_T1.5_D10                    98          1.200        | 1189  98          10.4        
BL_W60_T1.5_D15                    98          1.200        | 1188  98          10.4        
BL_W60_T1.5_D20                    98          1.200        | 1187  98          10.4        
BL_W60_T1.5_D25                    98          1.200        | 1186  98          10.4        
BL_W60_T1.5_D30                    98          1.200        | 1185  98          10.4        
BL_W70_T1.2_D2                     98          1.200        | 921   98          9.7         
BL_W60_T1.5_D2                     98          1.200        | 1042  98          10.4        
BL_W70_T1.2_D6                     98          1.200        | 969   98          9.7         
BL_W70_T1.2_D8                     98          1.200        | 968   98          9.7         
BL_W70_T1.2_D10                    98          1.200        | 967   98          9.7         
BL_W70_T1.2_D15                    98          1.200        | 966   98          9.7         
BL_W70_T1.2_D20                    98          1.200        | 965   98          9.7         
BL_W70_T1.2_D25                    98          1.200        | 964   98          9.7         
BL_W70_T1.2_D30                    98          1.200        | 963   98          9.7         
BL_W80_T1.2_D2                     98          1.200        | 957   98          9.7         
BL_W60_T1.2_D2                     98          1.200        | 936   98          9.7         
BL_W50_T1.5_D4                     98          1.200        | 927   98          9.7         
BL_W50_T1.5_D6                     98          1.200        | 928   98          9.7         
BL_W50_T1.5_D8                     98          1.200        | 929   98          9.7         
BL_W50_T1.5_D10                    98          1.200        | 930   98          9.7         
BL_W50_T1.5_D15                    98          1.200        | 931   98          9.7         
BL_W50_T1.5_D20                    98          1.200        | 932   98          9.7         
BL_W50_T1.5_D25                    98          1.200        | 920   98          9.7         
BL_W50_T1.5_D30                    98          1.200        | 934   98          9.7         
BL_W80_T1.2_D4                     98          1.200        | 956   98          9.7         
BL_W60_T1.2_D4                     98          1.200        | 937   98          9.7         
BL_W60_T1.2_D6                     98          1.200        | 938   98          9.7         
BL_W60_T1.2_D8                     98          1.200        | 939   98          9.7         
BL_W60_T1.2_D10                    98          1.200        | 940   98          9.7         
BL_W60_T1.2_D15                    98          1.200        | 941   98          9.7         
BL_W60_T1.2_D20                    98          1.200        | 942   98          9.7         
BL_W60_T1.2_D25                    98          1.200        | 943   98          9.7         
BL_W60_T1.2_D30                    98          1.200        | 944   98          9.7         
BL_W90_T1.5_D6                     98          1.200        | 916   98          9.7         
BL_W90_T1.2_D6                     98          1.200        | 874   98          9.7         
BL_W90_T1.2_D8                     98          1.200        | 873   98          9.7         
BL_W90_T1.2_D10                    98          1.200        | 872   98          9.7         
BL_W90_T1.2_D15                    98          1.200        | 871   98          9.7         
BL_W90_T1.2_D20                    98          1.200        | 870   98          9.7         
BL_W90_T1.2_D25                    98          1.200        | 882   98          9.7         
BL_W90_T1.2_D30                    98          1.200        | 919   98          9.7         
BL_W90_T1.5_D2                     98          1.200        | 918   98          9.7         
BL_W90_T1.5_D4                     98          1.200        | 917   98          9.7         
BL_W90_T1.2_D4                     98          1.200        | 875   98          9.7         
BL_W90_T1.5_D8                     98          1.200        | 915   98          9.7         
BL_W90_T1.5_D10                    98          1.200        | 914   98          9.7         
BL_W90_T1.5_D15                    98          1.200        | 913   98          9.7         
BL_W90_T1.5_D20                    98          1.200        | 912   98          9.7         
BL_W90_T1.5_D25                    98          1.200        | 911   98          9.7         
BL_W90_T1.5_D30                    98          1.200        | 910   98          9.7         
BL_W100_T1.2_D2                    98          1.200        | 909   98          9.7         
BL_W100_T1.2_D4                    98          1.200        | 895   98          9.7         
BL_W80_T1.5_D4                     98          1.200        | 1153  98          10.4        
BL_W80_T1.2_D6                     98          1.200        | 955   98          9.7         
BL_W80_T1.2_D8                     98          1.200        | 954   98          9.7         
BL_W80_T1.2_D10                    98          1.200        | 953   98          9.7         
BL_W80_T1.2_D15                    98          1.200        | 952   98          9.7         
BL_W80_T1.2_D20                    98          1.200        | 951   98          9.7         
BL_W80_T1.2_D25                    98          1.200        | 950   98          9.7         
BL_W80_T1.2_D30                    98          1.200        | 949   98          9.7         
BL_W80_T1.5_D2                     98          1.200        | 1154  98          10.4        
BL_W140_T1.2_D15                   98          1.200        | 655   98          9.7         
BL_W80_T1.5_D6                     98          1.200        | 1152  98          10.4        
BL_W80_T1.5_D8                     98          1.200        | 1151  98          10.4        
BL_W80_T1.5_D10                    98          1.200        | 1150  98          10.4        
BL_W80_T1.5_D15                    98          1.200        | 1157  98          10.4        
BL_W80_T1.5_D20                    98          1.200        | 1134  98          10.4        
BL_W80_T1.5_D25                    98          1.200        | 1135  98          10.4        
BL_W80_T1.5_D30                    98          1.200        | 1141  98          10.4        
BL_W90_T1.2_D2                     98          1.200        | 876   98          9.7         
BL_W190_T1.2_D30                   98          1.200        | 684   98          9.7         
BL_W180_T1.7_D30                   98          1.200        | 688   98          9.7         
BL_W190_T1.2_D2                    98          1.200        | 676   98          9.7         
BL_W190_T1.2_D4                    98          1.200        | 677   98          9.7         
BL_W190_T1.2_D6                    98          1.200        | 678   98          9.7         
BL_W190_T1.2_D8                    98          1.200        | 679   98          9.7         
BL_W190_T1.2_D10                   98          1.200        | 680   98          9.7         
BL_W190_T1.2_D15                   98          1.200        | 681   98          9.7         
BL_W190_T1.2_D20                   98          1.200        | 682   98          9.7         
BL_W190_T1.2_D25                   98          1.200        | 683   98          9.7         
BL_W180_T1.7_D25                   98          1.200        | 723   98          9.7         
BL_W190_T1.5_D2                    98          1.200        | 685   98          9.7         
BL_W190_T1.5_D4                    98          1.200        | 686   98          9.7         
BL_W190_T1.5_D6                    98          1.200        | 687   98          9.7         
BL_W190_T1.5_D8                    98          1.200        | 675   98          9.7         
BL_W190_T1.5_D10                   98          1.200        | 689   98          9.7         
BL_W190_T1.5_D15                   98          1.200        | 690   98          9.7         
BL_W190_T1.5_D20                   98          1.200        | 691   98          9.7         
BL_W190_T1.5_D25                   98          1.200        | 692   98          9.7         
BL_W180_T1.5_D25                   98          1.200        | 714   98          9.7         
BL_W180_T1.2_D30                   98          1.200        | 706   98          9.7         
BL_W180_T1.5_D2                    98          1.200        | 707   98          9.7         
BL_W180_T1.5_D4                    98          1.200        | 708   98          9.7         
BL_W180_T1.5_D6                    98          1.200        | 709   98          9.7         
BL_W180_T1.5_D8                    98          1.200        | 710   98          9.7         
BL_W180_T1.5_D10                   98          1.200        | 711   98          9.7         
BL_W180_T1.5_D15                   98          1.200        | 700   98          9.7         
BL_W180_T1.5_D20                   98          1.200        | 713   98          9.7         
BL_W190_T1.5_D30                   98          1.200        | 693   98          9.7         
BL_W180_T1.5_D30                   98          1.200        | 715   98          9.7         
BL_W180_T1.7_D2                    98          1.200        | 716   98          9.7         
BL_W180_T1.7_D4                    98          1.200        | 717   98          9.7         
BL_W180_T1.7_D6                    98          1.200        | 718   98          9.7         
BL_W180_T1.7_D8                    98          1.200        | 719   98          9.7         
BL_W180_T1.7_D10                   98          1.200        | 720   98          9.7         
BL_W180_T1.7_D15                   98          1.200        | 721   98          9.7         
BL_W180_T1.7_D20                   98          1.200        | 722   98          9.7         
BL_W200_T1.7_D2                    98          1.200        | 730   98          9.7         
BL_W200_T1.5_D2                    98          1.200        | 769   98          9.7         
BL_W200_T1.5_D4                    98          1.200        | 770   98          9.7         
BL_W200_T1.5_D6                    98          1.200        | 771   98          9.7         
BL_W200_T1.5_D8                    98          1.200        | 736   98          9.7         
BL_W200_T1.5_D10                   98          1.200        | 725   98          9.7         
BL_W200_T1.5_D15                   98          1.200        | 726   98          9.7         
BL_W200_T1.5_D20                   98          1.200        | 727   98          9.7         
BL_W200_T1.5_D25                   98          1.200        | 728   98          9.7         
BL_W200_T1.5_D30                   98          1.200        | 729   98          9.7         
BL_W200_T1.2_D30                   98          1.200        | 768   98          9.7         
BL_W200_T1.7_D4                    98          1.200        | 731   98          9.7         
BL_W200_T1.7_D6                    98          1.200        | 732   98          9.7         
BL_W200_T1.7_D8                    98          1.200        | 733   98          9.7         
BL_W200_T1.7_D10                   98          1.200        | 734   98          9.7         
BL_W200_T1.7_D15                   98          1.200        | 735   98          9.7         
BL_W200_T1.7_D20                   98          1.200        | 724   98          9.7         
BL_W200_T1.7_D25                   98          1.200        | 737   98          9.7         
BL_W200_T1.7_D30                   98          1.200        | 738   98          9.7         
BL_W190_T1.7_D30                   98          1.200        | 750   98          9.7         
BL_W190_T1.7_D2                    98          1.200        | 694   98          9.7         
BL_W190_T1.7_D4                    98          1.200        | 695   98          9.7         
BL_W190_T1.7_D6                    98          1.200        | 696   98          9.7         
BL_W190_T1.7_D8                    98          1.200        | 697   98          9.7         
BL_W190_T1.7_D10                   98          1.200        | 698   98          9.7         
BL_W190_T1.7_D15                   98          1.200        | 699   98          9.7         
BL_W190_T1.7_D20                   98          1.200        | 712   98          9.7         
BL_W190_T1.7_D25                   98          1.200        | 749   98          9.7         
BL_W180_T1.2_D25                   98          1.200        | 705   98          9.7         
BL_W200_T1.2_D2                    98          1.200        | 748   98          9.7         
