=== Blood Pressure Measurement Report - Run #7 ===

Baseline HR: 100.4 BPM
Valid interval: 343-947 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 88 mmHg
Confidence: 0.050
95% CI: [86 - 90] mmHg
Agreement: 2312/420 detectors

MAP: 90 mmHg
Est. Diastolic: 91 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T1.5_D24                   92          1.200        | 209   92          18.2        
BL_W140_T1.2_D15                   101         1.200        | 25    101         9.1         
BL_W130_T2.2_D20                   99          1.200        | 100   99          11.5        
BL_W130_T2.2_D15                   101         1.200        | 21    101         9.1         
BL_W130_T2.0_D20                   99          1.200        | 102   99          11.5        
BL_W130_T2.0_D15                   101         1.200        | 19    101         9.1         
BL_W130_T1.7_D20                   99          1.200        | 104   99          11.5        
BL_W130_T1.7_D15                   101         1.200        | 17    101         9.1         
BL_W130_T1.5_D32                   91          1.200        | 397   91          19.4        
BL_W130_T1.5_D28                   91          1.200        | 396   91          19.4        
BL_W140_T1.2_D20                   99          1.200        | 96    99          11.5        
BL_W130_T1.5_D20                   99          1.200        | 107   99          11.5        
BL_W130_T1.5_D15                   101         1.200        | 14    101         9.1         
BL_W130_T1.2_D32                   91          1.200        | 395   91          19.4        
BL_W130_T1.2_D28                   91          1.200        | 385   91          19.4        
BL_W130_T1.2_D24                   92          1.200        | 190   92          18.2        
BL_W130_T1.2_D20                   99          1.200        | 94    99          11.5        
BL_W130_T1.2_D15                   101         1.200        | 12    101         9.1         
BL_W120_T2.2_D20                   99          1.200        | 114   99          11.5        
BL_W140_T1.7_D15                   101         1.200        | 28    101         9.1         
BL_W150_T1.2_D20                   99          1.200        | 103   99          11.5        
BL_W150_T1.2_D15                   101         1.200        | 20    101         9.1         
