=== Blood Pressure Measurement Report - Run #5 ===

Baseline HR: 66.4 BPM
Valid interval: 460-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 103 mmHg
Confidence: 0.075
95% CI: [101 - 105] mmHg
Agreement: 9071/1440 detectors

MAP: 88 mmHg
Est. Diastolic: 81 mmHg
Oscillometric MAP Systolic: 106 mmHg
Oscillometric MAP Diastolic: 85 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W20_T1.2_D30                    99          1.060        | 702   99          13.9        
BL_W10_T1.7_D4                     100         1.060        | 674   100         13.4        
BL_W10_T1.7_D6                     100         1.060        | 673   100         13.4        
BL_W10_T1.7_D8                     100         1.060        | 672   100         13.4        
BL_W10_T1.7_D10                    100         1.060        | 671   100         13.4        
BL_W10_T1.7_D15                    100         1.060        | 670   100         13.4        
BL_W10_T1.7_D20                    100         1.060        | 669   100         13.4        
BL_W10_T1.7_D25                    100         1.060        | 668   100         13.4        
BL_W10_T1.7_D30                    100         1.060        | 667   100         13.4        
BL_W10_T1.2_D2                     100         1.060        | 691   100         13.4        
BL_W10_T1.2_D4                     100         1.060        | 665   100         13.4        
BL_W20_T1.2_D25                    99          1.060        | 701   99          13.9        
BL_W20_T1.2_D20                    99          1.060        | 700   99          13.9        
BL_W20_T1.2_D15                    99          1.060        | 699   99          13.9        
BL_W20_T1.2_D10                    99          1.060        | 698   99          13.9        
BL_W20_T1.2_D2                     99          1.060        | 695   99          13.9        
BL_W20_T1.2_D4                     99          1.060        | 694   99          13.9        
BL_W20_T1.2_D6                     99          1.060        | 696   99          13.9        
BL_W20_T1.2_D8                     99          1.060        | 697   99          13.9        
BL_W10_T1.5_D30                    100         1.060        | 676   100         13.4        
BL_W10_T1.5_D2                     100         1.060        | 683   100         13.4        
BL_W10_T1.2_D30                    100         1.060        | 684   100         13.4        
BL_W10_T1.2_D25                    100         1.060        | 685   100         13.4        
BL_W10_T1.2_D20                    100         1.060        | 686   100         13.4        
BL_W10_T1.2_D15                    100         1.060        | 687   100         13.4        
BL_W10_T1.2_D10                    100         1.060        | 688   100         13.4        
BL_W10_T1.5_D4                     100         1.060        | 682   100         13.4        
BL_W10_T1.2_D8                     100         1.060        | 689   100         13.4        
BL_W10_T1.7_D2                     100         1.060        | 675   100         13.4        
BL_W10_T1.5_D6                     100         1.060        | 681   100         13.4        
BL_W10_T1.5_D8                     100         1.060        | 680   100         13.4        
BL_W10_T1.5_D10                    100         1.060        | 679   100         13.4        
BL_W10_T1.5_D15                    100         1.060        | 666   100         13.4        
BL_W10_T1.5_D20                    100         1.060        | 678   100         13.4        
BL_W10_T1.5_D25                    100         1.060        | 677   100         13.4        
BL_W10_T1.2_D6                     100         1.060        | 690   100         13.4        
BL_W80_T1.5_D15                    97          0.980        | 982   97          15.7        
BL_W80_T1.5_D10                    97          0.980        | 981   97          15.7        
BL_W80_T1.5_D8                     97          0.980        | 965   97          15.7        
BL_W80_T1.5_D6                     97          0.980        | 979   97          15.7        
BL_W80_T1.5_D4                     97          0.980        | 978   97          15.7        
BL_W80_T1.5_D2                     97          0.980        | 977   97          15.7        
BL_W80_T1.2_D30                    97          0.980        | 976   97          15.7        
BL_W80_T1.2_D25                    97          0.980        | 997   97          15.7        
BL_W80_T1.2_D20                    97          0.980        | 996   97          15.7        
BL_W80_T1.2_D15                    97          0.980        | 995   97          15.7        
BL_W80_T1.2_D10                    97          0.980        | 1161  97          15.7        
BL_W80_T1.2_D8                     97          0.980        | 1120  97          15.7        
BL_W80_T1.2_D6                     97          0.980        | 1160  97          15.7        
BL_W80_T1.2_D4                     97          0.980        | 1159  97          15.7        
BL_W80_T1.2_D2                     97          0.980        | 1158  97          15.7        
BL_W110_T1.2_D8                    97          0.980        | 1045  97          15.7        
BL_W100_T1.2_D2                    97          0.980        | 1077  97          15.7        
BL_W40_T1.2_D2                     98          0.980        | 747   98          14.8        
BL_W110_T1.2_D6                    97          0.980        | 1046  97          15.7        
BL_W110_T1.2_D4                    97          0.980        | 1047  97          15.7        
BL_W100_T1.2_D30                   97          0.980        | 1104  97          15.7        
BL_W100_T1.2_D25                   97          0.980        | 1105  97          15.7        
BL_W100_T1.2_D20                   97          0.980        | 1187  97          15.7        
BL_W100_T1.2_D15                   97          0.980        | 1148  97          15.7        
BL_W100_T1.2_D10                   97          0.980        | 1186  97          15.7        
BL_W100_T1.2_D8                    97          0.980        | 1185  97          15.7        
BL_W100_T1.2_D6                    97          0.980        | 1184  97          15.7        
BL_W100_T1.2_D4                    97          0.980        | 1183  97          15.7        
BL_W80_T1.5_D20                    97          0.980        | 983   97          15.7        
BL_W90_T1.2_D30                    97          0.980        | 1049  97          15.7        
BL_W90_T1.2_D25                    97          0.980        | 1058  97          15.7        
BL_W90_T1.2_D20                    97          0.980        | 1057  97          15.7        
BL_W90_T1.2_D15                    97          0.980        | 1056  97          15.7        
BL_W90_T1.2_D10                    97          0.980        | 1055  97          15.7        
BL_W90_T1.2_D8                     97          0.980        | 1054  97          15.7        
