=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 83.9 BPM
Valid interval: 375-1128 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 115 mmHg
Confidence: 0.143
95% CI: [113 - 117] mmHg
Agreement: 2136/420 detectors

MAP: 108 mmHg
Est. Diastolic: 104 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T1.2_D15                   118         0.660        | 4     118         0.1         
BL_W150_T1.2_D20                   118         0.660        | 93    118         0.4         
BL_W150_T1.2_D15                   118         0.660        | 92    118         0.4         
BL_W140_T1.7_D20                   118         0.660        | 37    118         0.4         
BL_W140_T1.7_D15                   118         0.660        | 36    118         0.4         
BL_W140_T1.5_D20                   118         0.660        | 35    118         0.4         
BL_W140_T1.5_D15                   118         0.660        | 34    118         0.4         
BL_W140_T1.2_D20                   118         0.660        | 33    118         0.4         
BL_W140_T1.2_D15                   118         0.660        | 32    118         0.4         
BL_W130_T1.7_D20                   118         0.660        | 26    118         0.4         
BL_W130_T1.7_D15                   118         0.660        | 6     118         0.1         
BL_W130_T1.5_D20                   118         0.660        | 24    118         0.4         
BL_W130_T1.5_D15                   118         0.660        | 5     118         0.1         
BL_W130_T1.2_D20                   118         0.660        | 22    118         0.4         
BL_W150_T1.5_D15                   118         0.660        | 94    118         0.4         
BL_W120_T1.7_D20                   118         0.660        | 59    118         0.4         
BL_W120_T1.7_D15                   118         0.660        | 58    118         0.4         
BL_W120_T1.5_D20                   118         0.660        | 57    118         0.4         
BL_W120_T1.5_D15                   118         0.660        | 56    118         0.4         
BL_W120_T1.2_D20                   118         0.660        | 55    118         0.4         
BL_W120_T1.2_D15                   118         0.660        | 40    118         0.4         
BL_W110_T1.5_D20                   118         0.660        | 49    118         0.4         
BL_W110_T1.2_D20                   118         0.660        | 48    118         0.4         
BL_W110_T1.2_D15                   118         0.660        | 3     118         0.1         
BL_W100_T1.5_D20                   118         0.660        | 42    118         0.4         
