=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 60.4 BPM
Valid interval: 522-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 105 mmHg
Confidence: 0.056
95% CI: [103 - 107] mmHg
Agreement: 1749/420 detectors

MAP: 110 mmHg
Est. Diastolic: 113 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W5_T1.2_D20                     114         0.900        | 272   114         5.8         
BL_W5_T1.2_D15                     115         0.900        | 96    115         5.2         
BL_W5_T1.5_D15                     115         0.900        | 99    115         5.2         
BL_W5_T1.5_D20                     114         0.900        | 273   114         5.8         
BL_W5_T1.7_D20                     114         0.900        | 274   114         5.8         
BL_W140_T1.5_D28                   114         0.820        | 150   114         5.8         
BL_W140_T2.0_D32                   114         0.820        | 143   114         5.8         
BL_W140_T1.5_D32                   114         0.820        | 156   114         5.8         
BL_W140_T1.7_D15                   115         0.820        | 30    115         5.2         
BL_W140_T1.7_D20                   115         0.820        | 59    115         5.2         
BL_W140_T1.7_D24                   114         0.820        | 161   114         5.8         
BL_W140_T1.7_D28                   114         0.820        | 164   114         5.8         
BL_W140_T1.7_D32                   114         0.820        | 165   114         5.8         
BL_W140_T2.0_D15                   115         0.820        | 76    115         5.2         
BL_W140_T2.0_D20                   115         0.820        | 41    115         5.2         
BL_W140_T2.0_D24                   114         0.820        | 146   114         5.8         
BL_W140_T2.0_D28                   114         0.820        | 140   114         5.8         
BL_W130_T2.4_D15                   115         0.820        | 124   115         5.2         
BL_W140_T1.5_D24                   114         0.820        | 153   114         5.8         
BL_W140_T1.5_D20                   115         0.820        | 9     115         5.2         
BL_W140_T1.5_D15                   115         0.820        | 4     115         5.2         
BL_W140_T1.2_D32                   114         0.820        | 157   114         5.8         
BL_W140_T1.2_D28                   114         0.820        | 149   114         5.8         
BL_W140_T1.2_D24                   114         0.820        | 167   114         5.8         
BL_W140_T1.2_D20                   115         0.820        | 33    115         5.2         
BL_W140_T1.2_D15                   115         0.820        | 20    115         5.2         
BL_W130_T2.4_D32                   114         0.820        | 148   114         5.8         
BL_W130_T2.4_D28                   114         0.820        | 139   114         5.8         
BL_W130_T2.4_D24                   114         0.820        | 155   114         5.8         
BL_W130_T2.4_D20                   115         0.820        | 125   115         5.2         
BL_W150_T2.0_D15                   115         0.820        | 63    115         5.2         
BL_W150_T1.2_D28                   114         0.820        | 219   114         5.8         
BL_W120_T1.2_D28                   114         0.820        | 310   114         5.8         
BL_W150_T1.7_D32                   114         0.820        | 212   114         5.8         
BL_W150_T1.7_D28                   114         0.820        | 213   114         5.8         
BL_W150_T1.7_D24                   114         0.820        | 214   114         5.8         
BL_W150_T1.7_D20                   115         0.820        | 58    115         5.2         
BL_W150_T1.7_D15                   115         0.820        | 69    115         5.2         
BL_W150_T1.5_D32                   114         0.820        | 215   114         5.8         
BL_W150_T1.5_D28                   114         0.820        | 216   114         5.8         
BL_W150_T1.5_D24                   114         0.820        | 207   114         5.8         
BL_W150_T1.5_D20                   115         0.820        | 71    115         5.2         
BL_W150_T1.5_D15                   115         0.820        | 74    115         5.2         
BL_W150_T1.2_D32                   114         0.820        | 218   114         5.8         
BL_W140_T2.2_D15                   115         0.820        | 54    115         5.2         
BL_W150_T1.2_D24                   114         0.820        | 220   114         5.8         
BL_W150_T1.2_D20                   115         0.820        | 42    115         5.2         
BL_W150_T1.2_D15                   115         0.820        | 43    115         5.2         
