=== Blood Pressure Measurement Report - Run #3 ===

Baseline HR: 79.3 BPM
Valid interval: 411-1387 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 101 mmHg
Confidence: 0.072
95% CI: [99 - 103] mmHg
Agreement: 6978/1440 detectors

MAP: 104 mmHg
Est. Diastolic: 106 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.2_D4                     132         1.200        | 782   132         12.1        
BL_W10_T1.2_D2                     134         1.200        | 784   134         13.5        
BL_W10_T1.7_D20                    103         1.200        | 833   103         17.2        
BL_W10_T1.7_D15                    103         1.200        | 798   103         16.6        
BL_W10_T1.7_D10                    104         1.200        | 789   104         16.2        
BL_W10_T1.7_D8                     104         1.200        | 787   104         16.2        
BL_W10_T1.7_D6                     104         1.200        | 785   104         16.2        
BL_W10_T1.7_D4                     104         1.200        | 786   104         16.2        
BL_W10_T1.7_D2                     104         1.200        | 788   104         16.2        
BL_W10_T1.5_D20                    103         1.200        | 824   103         17.2        
BL_W10_T1.5_D15                    103         1.200        | 822   103         17.2        
BL_W10_T1.5_D10                    103         1.200        | 821   103         17.2        
BL_W10_T1.5_D6                     103         1.200        | 819   103         17.2        
BL_W10_T1.5_D4                     103         1.200        | 818   103         17.2        
BL_W10_T1.5_D2                     103         1.200        | 817   103         17.2        
BL_W10_T1.5_D8                     103         1.200        | 820   103         17.2        
BL_W10_T1.2_D6                     127         1.200        | 684   127         7.3         
BL_W10_T1.2_D8                     119         1.200        | 197   119         1.2         
BL_W10_T1.2_D20                    113         1.200        | 538   113         6.8         
BL_W10_T1.2_D15                    114         1.200        | 307   114         6.5         
BL_W10_T1.2_D10                    119         1.200        | 231   119         1.3         
BL_W10_T1.7_D30                    98          1.140        | 1073  98          22.2        
BL_W10_T1.7_D25                    98          1.140        | 948   98          21.9        
BL_W10_T1.2_D30                    98          1.140        | 1071  98          22.2        
BL_W10_T1.5_D30                    98          1.140        | 1072  98          22.2        
BL_W10_T1.2_D25                    98          1.140        | 970   98          21.9        
BL_W10_T1.5_D25                    98          1.140        | 944   98          21.9        
BL_W10_T2.0_D30                    109         0.960        | 778   109         11.4        
BL_W10_T2.0_D20                    103         0.960        | 828   103         17.2        
BL_W10_T2.0_D25                    103         0.960        | 827   103         17.2        
BL_W10_T2.0_D15                    103         0.912        | 797   103         16.6        
BL_W30_T1.2_D30                    103         0.900        | 802   103         16.9        
BL_W30_T1.2_D25                    103         0.900        | 809   103         16.9        
BL_W30_T1.2_D20                    103         0.900        | 804   103         16.9        
BL_W30_T1.2_D15                    103         0.900        | 803   103         16.9        
BL_W30_T1.2_D10                    103         0.900        | 800   103         16.9        
BL_W30_T1.2_D8                     103         0.900        | 799   103         16.9        
BL_W30_T1.2_D6                     103         0.900        | 801   103         16.9        
BL_W30_T1.2_D4                     103         0.900        | 805   103         16.9        
BL_W30_T1.2_D2                     103         0.900        | 806   103         16.9        
BL_W40_T1.2_D25                    103         0.900        | 815   103         16.9        
BL_W40_T1.2_D30                    103         0.900        | 816   103         16.9        
BL_W40_T1.2_D2                     103         0.900        | 807   103         16.9        
