=== Blood Pressure Measurement Report - Run #2 ===

Baseline HR: 94.8 BPM
Valid interval: 370-1095 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 116 mmHg
Confidence: 0.065
95% CI: [114 - 118] mmHg
Agreement: 9019/1440 detectors

MAP: 106 mmHg
Est. Diastolic: 100 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T1.7_D20                   123         1.200        | 31    123         0.1         
BL_W130_T1.5_D15                   128         1.200        | 809   128         4.6         
BL_W130_T1.5_D20                   123         1.200        | 60    123         0.1         
BL_W130_T1.5_D25                   127         1.200        | 717   127         4.3         
BL_W130_T1.5_D30                   127         1.200        | 718   127         4.3         
BL_W130_T1.7_D2                    128         1.200        | 1012  128         4.8         
BL_W130_T1.7_D4                    128         1.200        | 1014  128         4.8         
BL_W130_T1.7_D6                    128         1.200        | 1015  128         4.8         
BL_W130_T1.7_D8                    128         1.200        | 1001  128         4.8         
BL_W130_T1.7_D10                   128         1.200        | 1018  128         4.8         
BL_W130_T1.7_D15                   128         1.200        | 823   128         4.6         
BL_W130_T1.5_D10                   128         1.200        | 1011  128         4.8         
BL_W130_T1.7_D25                   127         1.200        | 720   127         4.3         
BL_W130_T1.7_D30                   127         1.200        | 721   127         4.3         
BL_W140_T1.2_D2                    128         1.200        | 832   128         4.6         
BL_W140_T1.2_D4                    128         1.200        | 876   128         4.6         
BL_W140_T1.2_D6                    128         1.200        | 868   128         4.6         
BL_W140_T1.2_D8                    128         1.200        | 867   128         4.6         
BL_W140_T1.2_D10                   128         1.200        | 887   128         4.8         
BL_W140_T1.2_D15                   128         1.200        | 860   128         4.6         
BL_W140_T1.2_D20                   127         1.200        | 729   127         4.3         
BL_W130_T1.2_D8                    128         1.200        | 1017  128         4.8         
BL_W120_T1.5_D6                    128         1.200        | 1108  128         5.1         
BL_W120_T1.5_D8                    128         1.200        | 953   128         4.8         
BL_W120_T1.5_D10                   128         1.200        | 952   128         4.8         
BL_W120_T1.5_D15                   128         1.200        | 871   128         4.6         
BL_W120_T1.5_D20                   123         1.200        | 54    123         0.1         
BL_W120_T1.5_D25                   127         1.200        | 680   127         4.3         
BL_W120_T1.5_D30                   127         1.200        | 681   127         4.3         
BL_W130_T1.2_D2                    128         1.200        | 1043  128         4.8         
BL_W130_T1.2_D4                    128         1.200        | 1002  128         4.8         
BL_W130_T1.2_D6                    128         1.200        | 1003  128         4.8         
BL_W140_T1.2_D25                   127         1.200        | 726   127         4.3         
BL_W130_T1.2_D10                   128         1.200        | 1004  128         4.8         
BL_W130_T1.2_D15                   128         1.200        | 804   128         4.6         
BL_W130_T1.2_D20                   123         1.200        | 62    123         0.1         
BL_W130_T1.2_D25                   127         1.200        | 751   127         4.3         
BL_W130_T1.2_D30                   127         1.200        | 752   127         4.3         
BL_W130_T1.5_D2                    128         1.200        | 1006  128         4.8         
BL_W130_T1.5_D4                    128         1.200        | 1007  128         4.8         
BL_W130_T1.5_D6                    128         1.200        | 1008  128         4.8         
BL_W130_T1.5_D8                    128         1.200        | 1010  128         4.8         
BL_W150_T1.5_D8                    128         1.200        | 840   128         4.6         
BL_W150_T1.2_D6                    128         1.200        | 856   128         4.6         
BL_W150_T1.2_D8                    128         1.200        | 831   128         4.6         
BL_W150_T1.2_D10                   128         1.200        | 889   128         4.8         
BL_W150_T1.2_D15                   128         1.200        | 834   128         4.6         
BL_W150_T1.2_D20                   127         1.200        | 713   127         4.3         
BL_W150_T1.2_D25                   127         1.200        | 712   127         4.3         
BL_W150_T1.2_D30                   127         1.200        | 660   127         4.0         
BL_W150_T1.5_D2                    128         1.200        | 836   128         4.6         
BL_W150_T1.5_D4                    128         1.200        | 838   128         4.6         
BL_W150_T1.5_D6                    128         1.200        | 839   128         4.6         
BL_W150_T1.2_D4                    128         1.200        | 878   128         4.6         
BL_W150_T1.5_D10                   123         1.200        | 606   123         0.2         
BL_W150_T1.5_D15                   128         1.200        | 841   128         4.6         
BL_W150_T1.5_D20                   127         1.200        | 711   127         4.3         
BL_W150_T1.5_D25                   127         1.200        | 710   127         4.3         
BL_W150_T1.5_D30                   127         1.200        | 672   127         4.0         
BL_W150_T1.7_D2                    123         1.200        | 504   123         0.1         
BL_W150_T1.7_D4                    123         1.200        | 503   123         0.1         
BL_W150_T1.7_D6                    123         1.200        | 502   123         0.1         
BL_W150_T1.7_D8                    123         1.200        | 501   123         0.1         
BL_W140_T1.7_D2                    128         1.200        | 816   128         4.6         
BL_W140_T1.2_D30                   127         1.200        | 655   127         4.0         
