=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 59.0 BPM
Valid interval: 530-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 121 mmHg
Confidence: 0.085
95% CI: [119 - 123] mmHg
Agreement: 7029/1440 detectors

MAP: 108 mmHg
Est. Diastolic: 101 mmHg
Oscillometric MAP Systolic: 133 mmHg
Oscillometric MAP Diastolic: 105 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T2.2_D4                     130         1.140        | 1125  130         2.2         
BL_W10_T1.7_D10                    130         1.140        | 400   130         1.5         
BL_W10_T1.7_D15                    129         1.140        | 130   129         0.8         
BL_W10_T2.0_D2                     131         1.140        | 1254  131         2.7         
BL_W10_T2.0_D4                     130         1.140        | 1168  130         2.2         
BL_W10_T2.0_D6                     130         1.140        | 1167  130         2.2         
BL_W10_T2.0_D8                     130         1.140        | 411   130         1.5         
BL_W10_T2.0_D10                    130         1.140        | 410   130         1.5         
BL_W10_T2.0_D15                    129         1.140        | 133   129         0.8         
BL_W180_T1.7_D2                    133         1.140        | 1366  133         4.9         
BL_W10_T2.2_D2                     131         1.140        | 1260  131         2.7         
BL_W10_T1.2_D4                     130         1.140        | 809   130         2.2         
BL_W10_T2.2_D6                     130         1.140        | 1124  130         2.2         
BL_W10_T2.2_D8                     130         1.140        | 406   130         1.5         
BL_W10_T2.2_D10                    130         1.140        | 405   130         1.5         
BL_W10_T2.2_D15                    129         1.140        | 147   129         0.8         
BL_W10_T1.2_D2                     131         1.140        | 1244  131         2.7         
BL_W180_T2.0_D2                    133         1.140        | 1367  133         4.9         
BL_W190_T1.2_D2                    132         1.140        | 1357  132         4.3         
BL_W190_T1.5_D2                    132         1.140        | 1354  132         4.3         
BL_W190_T2.0_D2                    132         1.140        | 1360  132         4.3         
BL_W190_T1.7_D2                    132         1.140        | 1355  132         4.3         
BL_W10_T1.7_D6                     130         1.140        | 1175  130         2.2         
BL_W10_T1.2_D6                     130         1.140        | 1156  130         2.2         
BL_W10_T1.2_D8                     130         1.140        | 424   130         1.5         
BL_W10_T1.2_D10                    130         1.140        | 423   130         1.5         
BL_W10_T1.2_D15                    129         1.140        | 176   129         0.8         
BL_W180_T1.5_D2                    133         1.140        | 1364  133         4.9         
BL_W10_T1.5_D2                     131         1.140        | 1238  131         2.7         
BL_W10_T1.5_D4                     130         1.140        | 1152  130         2.2         
BL_W10_T1.5_D6                     130         1.140        | 1148  130         2.2         
BL_W10_T1.5_D8                     130         1.140        | 419   130         1.5         
BL_W10_T1.5_D10                    130         1.140        | 418   130         1.5         
BL_W10_T1.5_D15                    129         1.140        | 142   129         0.8         
BL_W180_T1.2_D2                    133         1.140        | 1362  133         4.9         
BL_W10_T1.7_D2                     131         1.140        | 1249  131         2.7         
BL_W10_T1.7_D4                     130         1.140        | 1179  130         2.2         
BL_W10_T1.7_D8                     130         1.140        | 414   130         1.5         
BL_W110_T1.5_D10                   130         1.060        | 264   130         1.5         
BL_W120_T1.2_D10                   130         1.060        | 243   130         1.5         
BL_W110_T1.5_D15                   130         1.060        | 267   130         1.5         
BL_W110_T1.5_D20                   129         1.060        | 173   129         0.8         
BL_W110_T1.7_D2                    131         1.060        | 1277  131         2.7         
BL_W110_T1.7_D4                    130         1.060        | 1194  130         2.2         
BL_W110_T1.7_D6                    130         1.060        | 1195  130         2.2         
BL_W110_T1.7_D8                    130         1.060        | 1196  130         2.2         
BL_W100_T1.7_D2                    131         1.060        | 1274  131         2.7         
BL_W110_T1.7_D10                   130         1.060        | 276   130         1.5         
BL_W110_T1.7_D15                   130         1.060        | 277   130         1.5         
BL_W110_T1.7_D20                   129         1.060        | 62    129         0.8         
BL_W120_T1.2_D2                    131         1.060        | 1326  131         2.7         
BL_W120_T1.2_D4                    130         1.060        | 1228  130         2.2         
BL_W120_T1.2_D6                    130         1.060        | 1230  130         2.2         
BL_W120_T1.2_D8                    130         1.060        | 1235  130         2.2         
BL_W100_T1.5_D8                    130         1.060        | 1016  130         2.2         
BL_W100_T1.7_D8                    130         1.060        | 1135  130         2.2         
BL_W110_T1.2_D8                    130         1.060        | 1187  130         2.2         
BL_W100_T1.7_D10                   130         1.060        | 506   130         1.5         
BL_W100_T1.5_D15                   130         1.060        | 364   130         1.5         
BL_W100_T1.5_D20                   129         1.060        | 63    129         0.8         
BL_W100_T1.5_D10                   130         1.060        | 365   130         1.5         
BL_W100_T1.7_D15                   130         1.060        | 505   130         1.5         
BL_W100_T1.7_D20                   129         1.060        | 91    129         0.8         
BL_W140_T1.5_D2                    131         1.060        | 1301  131         2.7         
BL_W110_T1.2_D4                    130         1.060        | 1185  130         2.2         
BL_W110_T1.2_D6                    130         1.060        | 1186  130         2.2         
BL_W100_T1.7_D4                    130         1.060        | 1018  130         2.2         
BL_W100_T1.7_D6                    130         1.060        | 1019  130         2.2         
BL_W110_T1.2_D10                   130         1.060        | 266   130         1.5         
BL_W110_T1.2_D15                   130         1.060        | 257   130         1.5         
BL_W110_T1.2_D20                   129         1.060        | 139   129         0.8         
BL_W110_T1.5_D2                    131         1.060        | 1275  131         2.7         
BL_W110_T1.5_D4                    130         1.060        | 1190  130         2.2         
BL_W110_T1.5_D6                    130         1.060        | 1191  130         2.2         
BL_W110_T1.5_D8                    130         1.060        | 1192  130         2.2         
BL_W130_T1.7_D10                   130         1.060        | 527   130         1.5         
BL_W130_T1.5_D2                    131         1.060        | 1313  131         2.7         
BL_W130_T1.5_D4                    130         1.060        | 1126  130         2.2         
BL_W130_T1.5_D6                    130         1.060        | 1127  130         2.2         
BL_W130_T1.5_D8                    130         1.060        | 1137  130         2.2         
BL_W130_T1.5_D10                   130         1.060        | 520   130         1.5         
BL_W130_T1.5_D15                   130         1.060        | 522   130         1.5         
BL_W130_T1.5_D20                   129         1.060        | 122   129         0.8         
BL_W130_T1.7_D2                    131         1.060        | 1311  131         2.7         
BL_W130_T1.7_D4                    130         1.060        | 1164  130         2.2         
BL_W130_T1.7_D6                    130         1.060        | 1165  130         2.2         
BL_W130_T1.7_D8                    130         1.060        | 1166  130         2.2         
BL_W130_T1.2_D20                   129         1.060        | 83    129         0.8         
BL_W130_T1.7_D15                   130         1.060        | 473   130         1.5         
BL_W130_T1.7_D20                   129         1.060        | 105   129         0.8         
BL_W140_T1.2_D2                    131         1.060        | 1302  131         2.7         
BL_W140_T1.2_D4                    130         1.060        | 1153  130         2.2         
BL_W140_T1.2_D6                    130         1.060        | 1145  130         2.2         
BL_W140_T1.2_D8                    130         1.060        | 1155  130         2.2         
BL_W140_T1.2_D10                   130         1.060        | 444   130         1.5         
BL_W140_T1.2_D15                   130         1.060        | 445   130         1.5         
BL_W140_T1.2_D20                   129         1.060        | 126   129         0.8         
BL_W60_T1.5_D8                     130         1.060        | 1062  130         2.2         
BL_W120_T1.7_D6                    130         1.060        | 1134  130         2.2         
BL_W120_T1.2_D20                   129         1.060        | 44    129         0.8         
BL_W120_T1.5_D2                    131         1.060        | 1325  131         2.7         
BL_W120_T1.5_D4                    130         1.060        | 1129  130         2.2         
BL_W120_T1.5_D6                    130         1.060        | 1130  130         2.2         
BL_W120_T1.5_D8                    130         1.060        | 1131  130         2.2         
BL_W120_T1.5_D10                   130         1.060        | 232   130         1.5         
BL_W120_T1.5_D15                   130         1.060        | 222   130         1.5         
BL_W120_T1.5_D20                   129         1.060        | 195   129         0.8         
BL_W120_T1.7_D2                    131         1.060        | 1323  131         2.7         
BL_W120_T1.7_D4                    130         1.060        | 1133  130         2.2         
BL_W120_T1.2_D15                   130         1.060        | 244   130         1.5         
BL_W120_T1.7_D8                    130         1.060        | 1172  130         2.2         
BL_W120_T1.7_D10                   130         1.060        | 247   130         1.5         
BL_W120_T1.7_D15                   130         1.060        | 253   130         1.5         
BL_W120_T1.7_D20                   129         1.060        | 134   129         0.8         
BL_W130_T1.2_D2                    131         1.060        | 1298  131         2.7         
BL_W130_T1.2_D4                    130         1.060        | 1121  130         2.2         
BL_W130_T1.2_D6                    130         1.060        | 1122  130         2.2         
BL_W130_T1.2_D8                    130         1.060        | 1123  130         2.2         
BL_W130_T1.2_D10                   130         1.060        | 537   130         1.5         
BL_W130_T1.2_D15                   130         1.060        | 516   130         1.5         
BL_W70_T1.7_D20                    129         1.060        | 108   129         0.8         
BL_W70_T1.5_D8                     130         1.060        | 1097  130         2.2         
BL_W70_T1.5_D10                    130         1.060        | 303   130         1.5         
BL_W70_T1.5_D15                    130         1.060        | 302   130         1.5         
BL_W70_T1.5_D20                    129         1.060        | 113   129         0.8         
BL_W70_T1.7_D2                     131         1.060        | 1336  131         2.7         
BL_W70_T1.7_D4                     130         1.060        | 1099  130         2.2         
BL_W70_T1.7_D6                     130         1.060        | 1100  130         2.2         
BL_W70_T1.7_D8                     130         1.060        | 1092  130         2.2         
BL_W70_T1.7_D10                    130         1.060        | 345   130         1.5         
BL_W70_T1.7_D15                    130         1.060        | 344   130         1.5         
BL_W70_T1.5_D6                     130         1.060        | 1096  130         2.2         
BL_W80_T1.2_D2                     131         1.060        | 1340  131         2.7         
BL_W80_T1.2_D4                     130         1.060        | 1087  130         2.2         
BL_W80_T1.2_D6                     130         1.060        | 1088  130         2.2         
BL_W80_T1.2_D8                     130         1.060        | 1089  130         2.2         
BL_W80_T1.2_D10                    130         1.060        | 254   130         1.5         
BL_W80_T1.2_D15                    130         1.060        | 265   130         1.5         
BL_W80_T1.2_D20                    129         1.060        | 169   129         0.8         
BL_W80_T1.5_D2                     131         1.060        | 1341  131         2.7         
BL_W80_T1.5_D4                     130         1.060        | 1029  130         2.2         
BL_W60_T1.7_D20                    129         1.060        | 60    129         0.8         
BL_W110_T1.2_D2                    131         1.060        | 1265  131         2.7         
BL_W60_T1.5_D10                    130         1.060        | 225   130         1.5         
BL_W60_T1.5_D15                    130         1.060        | 230   130         1.5         
BL_W60_T1.5_D20                    129         1.060        | 50    129         0.8         
BL_W60_T1.7_D2                     131         1.060        | 1346  131         2.7         
BL_W60_T1.7_D4                     130         1.060        | 1064  130         2.2         
BL_W60_T1.7_D6                     130         1.060        | 1056  130         2.2         
BL_W60_T1.7_D8                     130         1.060        | 1066  130         2.2         
BL_W60_T1.7_D10                    130         1.060        | 221   130         1.5         
BL_W60_T1.7_D15                    130         1.060        | 220   130         1.5         
BL_W80_T1.5_D6                     130         1.060        | 985   130         2.2         
BL_W70_T1.2_D2                     131         1.060        | 1339  131         2.7         
BL_W70_T1.2_D4                     130         1.060        | 1055  130         2.2         
BL_W70_T1.2_D6                     130         1.060        | 1065  130         2.2         
BL_W70_T1.2_D8                     130         1.060        | 1093  130         2.2         
BL_W70_T1.2_D10                    130         1.060        | 307   130         1.5         
BL_W70_T1.2_D15                    130         1.060        | 306   130         1.5         
BL_W70_T1.2_D20                    129         1.060        | 120   129         0.8         
BL_W70_T1.5_D2                     131         1.060        | 1338  131         2.7         
BL_W70_T1.5_D4                     130         1.060        | 1095  130         2.2         
BL_W90_T1.7_D20                    129         1.060        | 59    129         0.8         
BL_W90_T1.5_D8                     130         1.060        | 983   130         2.2         
BL_W90_T1.5_D10                    130         1.060        | 308   130         1.5         
BL_W90_T1.5_D15                    130         1.060        | 309   130         1.5         
BL_W90_T1.5_D20                    129         1.060        | 86    129         0.8         
BL_W90_T1.7_D2                     131         1.060        | 1294  131         2.7         
BL_W90_T1.7_D4                     130         1.060        | 993   130         2.2         
BL_W90_T1.7_D6                     130         1.060        | 1021  130         2.2         
BL_W90_T1.7_D8                     130         1.060        | 1022  130         2.2         
BL_W90_T1.7_D10                    130         1.060        | 219   130         1.5         
BL_W90_T1.7_D15                    130         1.060        | 224   130         1.5         
BL_W90_T1.5_D6                     130         1.060        | 982   130         2.2         
