=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 56.5 BPM
Valid interval: 547-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 113 mmHg
Confidence: 0.052
95% CI: [111 - 115] mmHg
Agreement: 7736/1440 detectors

MAP: 100 mmHg
Est. Diastolic: 94 mmHg
Oscillometric MAP Systolic: 121 mmHg
Oscillometric MAP Diastolic: 98 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T2.0_D4                     141         1.200        | 427   141         10.7        
BL_W10_T1.7_D4                     141         1.200        | 426   141         10.7        
BL_W10_T1.7_D6                     140         1.200        | 399   140         10.4        
BL_W10_T1.7_D8                     137         1.200        | 320   137         6.7         
BL_W10_T1.7_D10                    136         1.200        | 289   136         6.3         
BL_W10_T1.7_D15                    136         1.200        | 283   136         6.3         
BL_W10_T1.7_D20                    136         1.200        | 183   136         5.9         
BL_W10_T1.7_D25                    136         1.200        | 184   136         5.9         
BL_W10_T1.7_D30                    131         1.200        | 56    131         1.4         
BL_W10_T2.0_D2                     141         1.200        | 433   141         11.1        
BL_W10_T1.2_D4                     141         1.200        | 424   141         10.7        
BL_W10_T2.0_D6                     140         1.200        | 403   140         10.4        
BL_W10_T2.0_D8                     137         1.200        | 324   137         6.7         
BL_W10_T2.0_D10                    136         1.200        | 299   136         6.3         
BL_W10_T2.0_D15                    136         1.200        | 294   136         6.3         
BL_W10_T2.0_D20                    136         1.200        | 190   136         5.9         
BL_W10_T2.0_D25                    136         1.200        | 189   136         5.9         
BL_W10_T2.0_D30                    131         1.200        | 29    131         1.4         
BL_W10_T1.2_D2                     141         1.200        | 430   141         11.1        
BL_W10_T1.5_D30                    131         1.200        | 47    131         1.4         
BL_W10_T1.7_D2                     141         1.200        | 432   141         11.1        
BL_W10_T1.2_D6                     140         1.200        | 398   140         10.4        
BL_W10_T1.2_D8                     137         1.200        | 330   137         6.7         
BL_W10_T1.2_D10                    136         1.200        | 307   136         6.3         
BL_W10_T1.2_D15                    136         1.200        | 275   136         6.3         
BL_W10_T1.2_D20                    136         1.200        | 200   136         5.9         
BL_W10_T1.2_D25                    136         1.200        | 191   136         5.9         
BL_W10_T1.2_D30                    131         1.200        | 38    131         1.4         
BL_W10_T1.5_D4                     141         1.200        | 425   141         10.7        
BL_W10_T1.5_D6                     140         1.200        | 404   140         10.4        
BL_W10_T1.5_D8                     137         1.200        | 328   137         6.7         
BL_W10_T1.5_D10                    136         1.200        | 276   136         6.3         
BL_W10_T1.5_D15                    136         1.200        | 266   136         6.3         
BL_W10_T1.5_D20                    136         1.200        | 162   136         5.9         
BL_W10_T1.5_D25                    136         1.200        | 163   136         5.9         
BL_W10_T1.5_D2                     141         1.200        | 431   141         11.1        
BL_W20_T1.5_D2                     118         0.980        | 448   118         12.3        
BL_W20_T1.2_D30                    119         0.980        | 436   119         11.5        
BL_W20_T1.2_D25                    119         0.980        | 437   119         11.5        
