=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 53.6 BPM
Valid interval: 527-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 115 mmHg
Confidence: 0.047
95% CI: [113 - 117] mmHg
Agreement: 2467/420 detectors

MAP: 116 mmHg
Est. Diastolic: 116 mmHg
Oscillometric MAP Systolic: 132 mmHg
Oscillometric MAP Diastolic: 99 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T1.2_D15                   134         1.200        | 14    134         0.8         
BL_W110_T1.5_D32                   130         1.200        | 148   130         3.1         
BL_W120_T1.2_D15                   134         1.200        | 9     134         0.5         
BL_W120_T1.2_D20                   130         1.200        | 32    130         2.7         
BL_W120_T1.2_D24                   130         1.200        | 23    130         2.7         
BL_W120_T1.2_D28                   130         1.200        | 34    130         2.7         
BL_W120_T1.2_D32                   130         1.200        | 159   130         3.1         
BL_W120_T1.5_D15                   134         1.200        | 8     134         0.5         
BL_W120_T1.5_D20                   130         1.200        | 36    130         2.7         
BL_W120_T1.5_D24                   130         1.200        | 37    130         2.7         
BL_W120_T1.5_D28                   130         1.200        | 39    130         2.7         
BL_W120_T1.5_D32                   130         1.200        | 160   130         3.1         
BL_W110_T1.5_D28                   130         1.200        | 67    130         2.7         
BL_W130_T1.2_D20                   130         1.200        | 96    130         2.7         
BL_W130_T1.2_D24                   130         1.200        | 97    130         2.7         
BL_W130_T1.2_D28                   130         1.200        | 98    130         2.7         
BL_W130_T1.2_D32                   130         1.200        | 164   130         3.1         
BL_W130_T1.5_D15                   134         1.200        | 13    134         0.8         
BL_W130_T1.5_D20                   130         1.200        | 99    130         2.7         
BL_W130_T1.5_D24                   130         1.200        | 100   130         2.7         
BL_W130_T1.5_D28                   130         1.200        | 101   130         2.7         
BL_W130_T1.5_D32                   130         1.200        | 166   130         3.1         
BL_W130_T1.7_D15                   134         1.200        | 12    134         0.8         
BL_W130_T1.7_D20                   130         1.200        | 102   130         2.7         
BL_W100_T1.5_D20                   130         1.200        | 69    130         2.7         
BL_W50_T1.2_D15                    130         1.200        | 43    130         2.7         
BL_W50_T1.2_D20                    130         1.200        | 40    130         2.7         
BL_W50_T1.2_D24                    130         1.200        | 38    130         2.7         
BL_W50_T1.2_D28                    130         1.200        | 182   130         3.1         
BL_W50_T1.2_D32                    130         1.200        | 181   130         3.1         
BL_W100_T1.2_D15                   130         1.200        | 58    130         2.7         
BL_W100_T1.2_D20                   130         1.200        | 65    130         2.7         
BL_W100_T1.2_D24                   130         1.200        | 56    130         2.7         
BL_W100_T1.2_D28                   130         1.200        | 55    130         2.7         
BL_W100_T1.2_D32                   130         1.200        | 175   130         3.1         
BL_W100_T1.5_D15                   130         1.200        | 50    130         2.7         
BL_W130_T1.7_D24                   130         1.200        | 103   130         2.7         
BL_W100_T1.5_D24                   130         1.200        | 46    130         2.7         
BL_W100_T1.5_D28                   130         1.200        | 47    130         2.7         
BL_W100_T1.5_D32                   130         1.200        | 176   130         3.1         
BL_W110_T1.2_D15                   130         1.200        | 59    130         2.7         
BL_W110_T1.2_D20                   130         1.200        | 60    130         2.7         
BL_W110_T1.2_D24                   130         1.200        | 61    130         2.7         
BL_W110_T1.2_D28                   130         1.200        | 62    130         2.7         
BL_W110_T1.2_D32                   130         1.200        | 150   130         3.1         
BL_W110_T1.5_D15                   130         1.200        | 63    130         2.7         
BL_W110_T1.5_D20                   130         1.200        | 64    130         2.7         
BL_W110_T1.5_D24                   130         1.200        | 66    130         2.7         
BL_W160_T1.2_D28                   129         1.200        | 200   129         3.9         
BL_W150_T1.5_D24                   130         1.200        | 80    130         2.7         
BL_W150_T1.5_D28                   130         1.200        | 81    130         2.7         
BL_W150_T1.5_D32                   130         1.200        | 82    130         2.7         
BL_W150_T1.7_D15                   130         1.200        | 18    130         2.5         
BL_W150_T1.7_D20                   130         1.200        | 70    130         2.7         
BL_W150_T1.7_D24                   130         1.200        | 84    130         2.7         
BL_W150_T1.7_D28                   130         1.200        | 85    130         2.7         
BL_W150_T1.7_D32                   130         1.200        | 86    130         2.7         
BL_W160_T1.2_D15                   129         1.200        | 203   129         3.9         
BL_W160_T1.2_D20                   129         1.200        | 202   129         3.9         
BL_W160_T1.2_D24                   129         1.200        | 201   129         3.9         
BL_W150_T1.5_D20                   130         1.200        | 79    130         2.7         
BL_W160_T1.2_D32                   129         1.200        | 199   129         3.9         
BL_W160_T1.5_D15                   129         1.200        | 198   129         3.9         
BL_W160_T1.5_D20                   129         1.200        | 197   129         3.9         
BL_W160_T1.5_D24                   129         1.200        | 196   129         3.9         
