=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 99.0 BPM
Valid interval: 336-912 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 112 mmHg
Confidence: 0.078
95% CI: [110 - 114] mmHg
Agreement: 6352/1440 detectors

MAP: 88 mmHg
Est. Diastolic: 75 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W110_T1.5_D8                    117         1.200        | 375   117         18.1        
BL_W110_T1.2_D8                    127         1.200        | 179   127         8.2         
BL_W110_T1.2_D10                   127         1.200        | 180   127         8.2         
BL_W110_T1.2_D15                   127         1.200        | 181   127         8.2         
BL_W110_T1.2_D20                   127         1.200        | 182   127         8.2         
BL_W110_T1.2_D25                   127         1.200        | 193   127         8.2         
BL_W110_T1.2_D30                   127         1.200        | 183   127         8.2         
BL_W110_T1.5_D2                    117         1.200        | 372   117         18.1        
BL_W110_T1.5_D4                    117         1.200        | 373   117         18.1        
BL_W110_T1.5_D6                    117         1.200        | 374   117         18.1        
BL_W110_T1.2_D6                    127         1.200        | 178   127         8.2         
BL_W110_T1.5_D10                   117         1.200        | 387   117         18.1        
BL_W110_T1.5_D15                   117         1.200        | 419   117         18.1        
BL_W110_T1.5_D20                   117         1.200        | 420   117         18.1        
BL_W110_T1.5_D25                   117         1.200        | 421   117         18.1        
BL_W110_T1.5_D30                   117         1.200        | 422   117         18.1        
BL_W120_T1.2_D2                    127         1.200        | 184   127         8.2         
BL_W120_T1.2_D4                    127         1.200        | 175   127         8.2         
BL_W120_T1.2_D6                    127         1.200        | 186   127         8.2         
BL_W100_T1.5_D6                    117         1.200        | 383   117         18.1        
BL_W100_T1.2_D6                    127         1.200        | 206   127         8.2         
BL_W100_T1.2_D8                    127         1.200        | 207   127         8.2         
BL_W100_T1.2_D10                   127         1.200        | 208   127         8.2         
BL_W100_T1.2_D15                   127         1.200        | 209   127         8.2         
BL_W100_T1.2_D20                   127         1.200        | 210   127         8.2         
BL_W100_T1.2_D25                   127         1.200        | 211   127         8.2         
BL_W100_T1.2_D30                   127         1.200        | 185   127         8.2         
BL_W100_T1.5_D2                    117         1.200        | 381   117         18.1        
BL_W100_T1.5_D4                    117         1.200        | 382   117         18.1        
BL_W120_T1.2_D8                    127         1.200        | 187   127         8.2         
BL_W100_T1.5_D8                    117         1.200        | 384   117         18.1        
BL_W100_T1.5_D10                   117         1.200        | 385   117         18.1        
BL_W100_T1.5_D15                   117         1.200        | 386   117         18.1        
BL_W100_T1.5_D20                   117         1.200        | 377   117         18.1        
BL_W100_T1.5_D25                   117         1.200        | 376   117         18.1        
BL_W100_T1.5_D30                   117         1.200        | 388   117         18.1        
BL_W110_T1.2_D2                    127         1.200        | 176   127         8.2         
BL_W110_T1.2_D4                    127         1.200        | 177   127         8.2         
BL_W130_T1.5_D10                   117         1.200        | 551   117         18.1        
BL_W130_T1.2_D10                   126         1.200        | 234   126         8.6         
BL_W130_T1.2_D15                   126         1.200        | 263   126         8.6         
BL_W130_T1.2_D20                   126         1.200        | 265   126         8.6         
BL_W130_T1.2_D25                   126         1.200        | 264   126         8.6         
BL_W130_T1.2_D30                   126         1.200        | 254   126         8.6         
BL_W130_T1.5_D2                    117         1.200        | 602   117         18.1        
BL_W130_T1.5_D4                    117         1.200        | 548   117         18.1        
BL_W130_T1.5_D6                    117         1.200        | 549   117         18.1        
BL_W130_T1.5_D8                    117         1.200        | 550   117         18.1        
BL_W130_T1.2_D8                    126         1.200        | 251   126         8.6         
BL_W130_T1.5_D15                   117         1.200        | 552   117         18.1        
BL_W130_T1.5_D20                   117         1.200        | 553   117         18.1        
BL_W130_T1.5_D25                   117         1.200        | 554   117         18.1        
BL_W130_T1.5_D30                   117         1.200        | 555   117         18.1        
BL_W140_T1.2_D2                    121         1.200        | 271   121         14.2        
BL_W140_T1.2_D4                    121         1.200        | 274   121         14.2        
BL_W140_T1.2_D6                    121         1.200        | 275   121         14.2        
BL_W140_T1.2_D8                    121         1.200        | 287   121         14.2        
BL_W120_T1.5_D8                    117         1.200        | 428   117         18.1        
BL_W120_T1.2_D10                   127         1.200        | 188   127         8.2         
BL_W120_T1.2_D15                   127         1.200        | 189   127         8.2         
BL_W120_T1.2_D20                   127         1.200        | 190   127         8.2         
BL_W120_T1.2_D25                   127         1.200        | 191   127         8.2         
BL_W120_T1.2_D30                   127         1.200        | 192   127         8.2         
BL_W120_T1.5_D2                    117         1.200        | 415   117         18.1        
BL_W120_T1.5_D4                    117         1.200        | 416   117         18.1        
BL_W120_T1.5_D6                    117         1.200        | 417   117         18.1        
BL_W100_T1.2_D4                    127         1.200        | 205   127         8.2         
BL_W120_T1.5_D10                   117         1.200        | 316   117         18.1        
BL_W120_T1.5_D15                   117         1.200        | 309   117         18.1        
BL_W120_T1.5_D20                   117         1.200        | 315   117         18.1        
BL_W120_T1.5_D25                   117         1.200        | 314   117         18.1        
BL_W120_T1.5_D30                   117         1.200        | 313   117         18.1        
BL_W130_T1.2_D2                    126         1.200        | 252   126         8.6         
BL_W130_T1.2_D4                    126         1.200        | 250   126         8.6         
BL_W130_T1.2_D6                    126         1.200        | 249   126         8.6         
BL_W70_T1.5_D2                     117         1.200        | 634   117         18.1        
BL_W70_T1.2_D2                     117         1.200        | 643   117         18.1        
BL_W70_T1.2_D4                     117         1.200        | 642   117         18.1        
BL_W70_T1.2_D6                     117         1.200        | 641   117         18.1        
BL_W70_T1.2_D8                     117         1.200        | 640   117         18.1        
BL_W70_T1.2_D10                    117         1.200        | 639   117         18.1        
BL_W70_T1.2_D15                    117         1.200        | 638   117         18.1        
BL_W70_T1.2_D20                    117         1.200        | 637   117         18.1        
BL_W70_T1.2_D25                    117         1.200        | 636   117         18.1        
BL_W70_T1.2_D30                    117         1.200        | 635   117         18.1        
BL_W60_T1.5_D30                    117         1.200        | 717   117         18.1        
BL_W70_T1.5_D4                     117         1.200        | 633   117         18.1        
BL_W70_T1.5_D6                     117         1.200        | 632   117         18.1        
BL_W70_T1.5_D8                     117         1.200        | 631   117         18.1        
BL_W70_T1.5_D10                    117         1.200        | 630   117         18.1        
BL_W70_T1.5_D15                    117         1.200        | 621   117         18.1        
BL_W70_T1.5_D20                    117         1.200        | 613   117         18.1        
BL_W70_T1.5_D25                    117         1.200        | 614   117         18.1        
BL_W70_T1.5_D30                    117         1.200        | 615   117         18.1        
BL_W60_T1.2_D30                    117         1.200        | 726   117         18.1        
BL_W60_T1.2_D2                     117         1.200        | 734   117         18.1        
BL_W60_T1.2_D4                     117         1.200        | 733   117         18.1        
BL_W60_T1.2_D6                     117         1.200        | 732   117         18.1        
BL_W60_T1.2_D8                     117         1.200        | 731   117         18.1        
BL_W60_T1.2_D10                    117         1.200        | 730   117         18.1        
BL_W60_T1.2_D15                    117         1.200        | 729   117         18.1        
BL_W60_T1.2_D20                    117         1.200        | 728   117         18.1        
BL_W60_T1.2_D25                    117         1.200        | 711   117         18.1        
BL_W80_T1.2_D2                     117         1.200        | 677   117         18.1        
BL_W60_T1.5_D2                     117         1.200        | 725   117         18.1        
BL_W60_T1.5_D4                     117         1.200        | 724   117         18.1        
BL_W60_T1.5_D6                     117         1.200        | 723   117         18.1        
BL_W60_T1.5_D8                     117         1.200        | 722   117         18.1        
BL_W60_T1.5_D10                    117         1.200        | 721   117         18.1        
BL_W60_T1.5_D15                    117         1.200        | 720   117         18.1        
BL_W60_T1.5_D20                    117         1.200        | 719   117         18.1        
BL_W60_T1.5_D25                    117         1.200        | 718   117         18.1        
BL_W90_T1.5_D4                     117         1.200        | 760   117         18.1        
BL_W90_T1.2_D4                     117         1.200        | 746   117         18.1        
BL_W90_T1.2_D6                     117         1.200        | 747   117         18.1        
BL_W90_T1.2_D8                     117         1.200        | 753   117         18.1        
BL_W90_T1.2_D10                    117         1.200        | 754   117         18.1        
BL_W90_T1.2_D15                    117         1.200        | 755   117         18.1        
BL_W90_T1.2_D20                    117         1.200        | 743   117         18.1        
BL_W90_T1.2_D25                    117         1.200        | 757   117         18.1        
BL_W90_T1.2_D30                    117         1.200        | 758   117         18.1        
BL_W90_T1.5_D2                     117         1.200        | 759   117         18.1        
BL_W90_T1.2_D2                     117         1.200        | 745   117         18.1        
BL_W90_T1.5_D6                     117         1.200        | 761   117         18.1        
BL_W90_T1.5_D8                     117         1.200        | 762   117         18.1        
BL_W90_T1.5_D10                    117         1.200        | 763   117         18.1        
BL_W90_T1.5_D15                    117         1.200        | 764   117         18.1        
BL_W90_T1.5_D20                    117         1.200        | 767   117         18.1        
BL_W90_T1.5_D25                    117         1.200        | 766   117         18.1        
BL_W90_T1.5_D30                    117         1.200        | 765   117         18.1        
BL_W100_T1.2_D2                    127         1.200        | 204   127         8.2         
BL_W80_T1.5_D2                     117         1.200        | 668   117         18.1        
BL_W80_T1.2_D4                     117         1.200        | 676   117         18.1        
BL_W80_T1.2_D6                     117         1.200        | 675   117         18.1        
BL_W80_T1.2_D8                     117         1.200        | 674   117         18.1        
BL_W80_T1.2_D10                    117         1.200        | 673   117         18.1        
BL_W80_T1.2_D15                    117         1.200        | 672   117         18.1        
BL_W80_T1.2_D20                    117         1.200        | 671   117         18.1        
BL_W80_T1.2_D25                    117         1.200        | 670   117         18.1        
BL_W80_T1.2_D30                    117         1.200        | 669   117         18.1        
BL_W140_T1.2_D10                   121         1.200        | 281   121         14.2        
BL_W80_T1.5_D4                     117         1.200        | 667   117         18.1        
BL_W80_T1.5_D6                     117         1.200        | 666   117         18.1        
BL_W80_T1.5_D8                     117         1.200        | 665   117         18.1        
BL_W80_T1.5_D10                    117         1.200        | 664   117         18.1        
BL_W80_T1.5_D15                    117         1.200        | 663   117         18.1        
BL_W80_T1.5_D20                    117         1.200        | 654   117         18.1        
