=== Blood Pressure Measurement Report - Run #4 ===

Baseline HR: 54.8 BPM
Valid interval: 557-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 124 mmHg
Confidence: 0.045
95% CI: [121 - 126] mmHg
Agreement: 3034/420 detectors

MAP: 103 mmHg
Est. Diastolic: 92 mmHg
Oscillometric MAP Systolic: 124 mmHg
Oscillometric MAP Diastolic: 100 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T2.0_D32                   138         1.200        | 112   138         1.9         
BL_W140_T1.5_D15                   142         1.200        | 234   142         2.2         
BL_W140_T1.2_D32                   138         1.200        | 117   138         1.9         
BL_W140_T1.2_D28                   138         1.200        | 116   138         1.9         
BL_W140_T1.2_D24                   139         1.200        | 28    139         1.5         
BL_W140_T1.2_D20                   147         1.200        | 250   147         6.9         
BL_W140_T1.2_D15                   147         1.200        | 241   147         6.8         
BL_W130_T2.2_D32                   138         1.200        | 114   138         1.9         
BL_W130_T2.2_D28                   138         1.200        | 113   138         1.9         
BL_W130_T2.2_D24                   147         1.200        | 247   147         6.9         
BL_W130_T2.2_D20                   147         1.200        | 280   147         7.2         
BL_W130_T2.2_D15                   142         1.200        | 239   142         2.2         
BL_W140_T1.5_D20                   147         1.200        | 246   147         6.9         
BL_W130_T2.0_D28                   138         1.200        | 103   138         1.9         
BL_W130_T2.0_D24                   147         1.200        | 243   147         6.9         
BL_W130_T2.0_D20                   147         1.200        | 284   147         7.2         
BL_W130_T2.0_D15                   142         1.200        | 236   142         2.2         
BL_W130_T1.7_D32                   138         1.200        | 95    138         1.9         
BL_W130_T1.7_D28                   138         1.200        | 96    138         1.9         
BL_W130_T1.7_D24                   147         1.200        | 248   147         6.9         
BL_W130_T1.7_D20                   147         1.200        | 276   147         7.2         
BL_W130_T1.7_D15                   147         1.200        | 240   147         6.8         
BL_W130_T1.5_D32                   138         1.200        | 97    138         1.9         
BL_W140_T2.0_D24                   139         1.200        | 31    139         1.5         
BL_W150_T1.5_D28                   138         1.200        | 82    138         1.9         
BL_W150_T1.5_D24                   139         1.200        | 34    139         1.5         
BL_W150_T1.5_D20                   142         1.200        | 70    142         1.6         
BL_W150_T1.5_D15                   142         1.200        | 80    142         1.8         
BL_W150_T1.2_D32                   138         1.200        | 111   138         1.9         
BL_W150_T1.2_D28                   138         1.200        | 126   138         1.9         
BL_W150_T1.2_D24                   139         1.200        | 33    139         1.5         
BL_W150_T1.2_D20                   142         1.200        | 72    142         1.6         
