=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 61.4 BPM
Valid interval: 516-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 122 mmHg
Confidence: 0.053
95% CI: [120 - 124] mmHg
Agreement: 8673/1440 detectors

MAP: 134 mmHg
Est. Diastolic: 140 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T2.0_D4                     152         1.200        | 544   152         10.3        
BL_W10_T1.7_D4                     152         1.200        | 542   152         10.3        
BL_W10_T1.7_D6                     149         1.200        | 373   149         7.2         
BL_W10_T1.7_D8                     149         1.200        | 401   149         7.2         
BL_W10_T1.7_D10                    149         1.200        | 400   149         7.2         
BL_W10_T1.7_D15                    149         1.200        | 342   149         6.8         
BL_W10_T1.7_D20                    144         1.200        | 167   144         2.2         
BL_W10_T1.7_D25                    144         1.200        | 95    144         1.8         
BL_W10_T1.7_D30                    144         1.200        | 94    144         1.8         
BL_W10_T2.0_D2                     160         1.200        | 846   160         18.3        
BL_W10_T1.2_D4                     152         1.200        | 540   152         10.3        
BL_W10_T2.0_D6                     149         1.200        | 397   149         7.2         
BL_W10_T2.0_D8                     149         1.200        | 392   149         7.2         
BL_W10_T2.0_D10                    149         1.200        | 390   149         7.2         
BL_W10_T2.0_D15                    149         1.200        | 340   149         6.8         
BL_W10_T2.0_D20                    144         1.200        | 162   144         2.2         
BL_W10_T2.0_D25                    144         1.200        | 91    144         1.8         
BL_W10_T2.0_D30                    144         1.200        | 90    144         1.8         
BL_W10_T1.2_D2                     160         1.200        | 844   160         18.3        
BL_W10_T1.5_D30                    144         1.200        | 99    144         1.8         
BL_W10_T1.7_D2                     160         1.200        | 847   160         18.3        
BL_W10_T1.2_D6                     149         1.200        | 441   149         7.2         
BL_W10_T1.2_D8                     149         1.200        | 436   149         7.2         
BL_W10_T1.2_D10                    149         1.200        | 378   149         7.2         
BL_W10_T1.2_D15                    149         1.200        | 335   149         6.8         
BL_W10_T1.2_D20                    144         1.200        | 163   144         2.2         
BL_W10_T1.2_D25                    144         1.200        | 108   144         1.8         
BL_W10_T1.2_D30                    144         1.200        | 107   144         1.8         
BL_W10_T1.5_D4                     152         1.200        | 541   152         10.3        
BL_W10_T1.5_D6                     149         1.200        | 424   149         7.2         
BL_W10_T1.5_D8                     149         1.200        | 421   149         7.2         
BL_W10_T1.5_D10                    149         1.200        | 445   149         7.2         
BL_W10_T1.5_D15                    149         1.200        | 329   149         6.8         
BL_W10_T1.5_D20                    144         1.200        | 165   144         2.2         
BL_W10_T1.5_D25                    144         1.200        | 100   144         1.8         
BL_W10_T1.5_D2                     160         1.200        | 843   160         18.3        
BL_W120_T1.5_D30                   124         0.980        | 1058  124         18.4        
BL_W120_T1.5_D25                   124         0.980        | 1057  124         18.4        
BL_W130_T1.2_D4                    124         0.980        | 616   124         17.7        
BL_W120_T1.5_D20                   124         0.980        | 1056  124         18.4        
BL_W120_T1.5_D15                   124         0.980        | 1044  124         18.4        
BL_W120_T1.5_D10                   124         0.980        | 1043  124         18.4        
BL_W120_T1.5_D8                    124         0.980        | 1042  124         18.4        
BL_W120_T1.5_D6                    124         0.980        | 1041  124         18.4        
BL_W120_T1.5_D4                    124         0.980        | 1040  124         18.4        
BL_W120_T1.5_D2                    124         0.980        | 1000  124         18.4        
BL_W120_T1.2_D30                   124         0.980        | 647   124         17.7        
BL_W120_T1.7_D2                    124         0.980        | 1059  124         18.4        
BL_W120_T1.7_D4                    124         0.980        | 1060  124         18.4        
BL_W120_T1.7_D6                    124         0.980        | 1061  124         18.4        
BL_W120_T1.7_D8                    124         0.980        | 1062  124         18.4        
BL_W120_T1.7_D10                   124         0.980        | 1063  124         18.4        
BL_W120_T1.7_D15                   124         0.980        | 1026  124         18.4        
BL_W120_T1.7_D20                   124         0.980        | 1028  124         18.4        
BL_W120_T1.7_D25                   124         0.980        | 1035  124         18.4        
BL_W120_T1.7_D30                   124         0.980        | 1034  124         18.4        
BL_W130_T1.2_D2                    124         0.980        | 617   124         17.7        
BL_W110_T1.5_D15                   124         0.980        | 1014  124         18.4        
