=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 69.0 BPM
Valid interval: 420-1463 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 80 mmHg
Confidence: 0.053
95% CI: [78 - 83] mmHg
Agreement: 3480/420 detectors

MAP: 62 mmHg
Est. Diastolic: 53 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W100_T1.2_D15                   89          1.200        | 245   89          3.2         
BL_W120_T1.2_D32                   92          1.200        | 73    92          0.4         
BL_W120_T1.2_D28                   92          1.200        | 74    92          0.4         
BL_W120_T1.2_D24                   92          1.200        | 75    92          0.4         
BL_W120_T1.2_D20                   92          1.200        | 76    92          0.4         
BL_W120_T1.2_D15                   92          1.200        | 151   92          0.4         
BL_W110_T1.2_D32                   92          1.200        | 48    92          0.4         
BL_W110_T1.2_D28                   92          1.200        | 49    92          0.4         
BL_W110_T1.2_D24                   92          1.200        | 50    92          0.4         
BL_W110_T1.2_D20                   92          1.200        | 41    92          0.4         
BL_W110_T1.2_D15                   92          1.200        | 52    92          0.4         
BL_W100_T1.2_D32                   92          1.200        | 231   92          0.4         
BL_W100_T1.2_D28                   92          1.200        | 230   92          0.4         
BL_W100_T1.2_D24                   89          1.200        | 238   89          3.2         
BL_W100_T1.2_D20                   89          1.200        | 246   89          3.2         
BL_W130_T1.2_D15                   92          1.200        | 64    92          0.4         
BL_W50_T1.2_D32                    89          1.200        | 267   89          3.2         
BL_W50_T1.2_D28                    89          1.200        | 268   89          3.2         
BL_W50_T1.2_D24                    89          1.200        | 269   89          3.2         
BL_W50_T1.2_D20                    89          1.200        | 270   89          3.2         
BL_W50_T1.2_D15                    89          1.200        | 271   89          3.2         
BL_W40_T1.2_D32                    89          1.200        | 313   89          3.4         
BL_W40_T1.2_D28                    89          1.200        | 277   89          3.4         
BL_W40_T1.2_D24                    89          1.200        | 309   89          3.4         
BL_W40_T1.2_D20                    89          1.200        | 296   89          3.4         
BL_W40_T1.2_D15                    89          1.200        | 308   89          3.4         
BL_W30_T1.2_D32                    89          1.200        | 284   89          3.4         
BL_W30_T1.2_D28                    89          1.200        | 286   89          3.4         
BL_W30_T1.2_D24                    89          1.200        | 276   89          3.4         
BL_W30_T1.2_D20                    89          1.200        | 287   89          3.4         
BL_W160_T1.2_D15                   92          1.200        | 127   92          0.4         
BL_W180_T1.2_D32                   92          1.200        | 119   92          0.4         
BL_W180_T1.2_D28                   92          1.200        | 120   92          0.4         
BL_W180_T1.2_D24                   92          1.200        | 91    92          0.4         
BL_W180_T1.2_D20                   92          1.200        | 82    92          0.4         
BL_W180_T1.2_D15                   92          1.200        | 83    92          0.4         
BL_W170_T1.2_D32                   92          1.200        | 111   92          0.4         
BL_W170_T1.2_D28                   92          1.200        | 142   92          0.4         
BL_W170_T1.2_D24                   92          1.200        | 143   92          0.4         
BL_W170_T1.2_D20                   92          1.200        | 144   92          0.4         
BL_W170_T1.2_D15                   92          1.200        | 145   92          0.4         
BL_W160_T1.2_D32                   92          1.200        | 123   92          0.4         
BL_W160_T1.2_D28                   92          1.200        | 124   92          0.4         
BL_W160_T1.2_D24                   92          1.200        | 125   92          0.4         
BL_W160_T1.2_D20                   92          1.200        | 126   92          0.4         
BL_W5_T1.2_D20                     92          1.200        | 199   92          0.4         
BL_W150_T1.2_D32                   92          1.200        | 24    92          0.4         
BL_W150_T1.2_D28                   92          1.200        | 25    92          0.4         
BL_W150_T1.2_D24                   92          1.200        | 26    92          0.4         
BL_W150_T1.2_D20                   92          1.200        | 27    92          0.4         
BL_W150_T1.2_D15                   92          1.200        | 28    92          0.4         
BL_W140_T1.2_D32                   92          1.200        | 11    92          0.4         
BL_W140_T1.2_D28                   92          1.200        | 2     92          0.4         
BL_W140_T1.2_D24                   92          1.200        | 3     92          0.4         
BL_W140_T1.2_D20                   92          1.200        | 4     92          0.4         
BL_W140_T1.2_D15                   92          1.200        | 5     92          0.4         
BL_W130_T1.2_D32                   92          1.200        | 20    92          0.4         
BL_W130_T1.2_D28                   92          1.200        | 31    92          0.4         
BL_W130_T1.2_D24                   92          1.200        | 62    92          0.4         
BL_W130_T1.2_D20                   92          1.200        | 63    92          0.4         
