=== Blood Pressure Measurement Report - Run #3 ===

Baseline HR: 70.6 BPM
Valid interval: 467-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 89 mmHg
Confidence: 0.058
95% CI: [86 - 92] mmHg
Agreement: 2700/420 detectors

MAP: 92 mmHg
Est. Diastolic: 93 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W170_T1.2_D32                   102         1.200        | 99    102         8.2         
BL_W180_T1.2_D28                   102         1.200        | 70    102         8.2         
BL_W180_T1.2_D24                   108         1.200        | 269   108         13.5        
BL_W180_T1.2_D20                   108         1.200        | 279   108         13.7        
BL_W180_T1.2_D15                   108         1.200        | 291   108         13.7        
BL_W150_T1.2_D15                   108         1.200        | 287   108         13.7        
BL_W150_T1.2_D20                   108         1.200        | 286   108         13.7        
BL_W150_T1.2_D24                   108         1.200        | 255   108         13.5        
BL_W150_T1.2_D28                   102         1.200        | 82    102         8.2         
BL_W150_T1.2_D32                   102         1.200        | 83    102         8.2         
BL_W180_T1.2_D32                   102         1.200        | 69    102         8.2         
BL_W170_T1.2_D28                   102         1.200        | 98    102         8.2         
BL_W170_T1.2_D24                   108         1.200        | 253   108         13.5        
BL_W170_T1.2_D20                   108         1.200        | 297   108         13.7        
BL_W170_T1.2_D15                   108         1.200        | 296   108         13.7        
BL_W160_T1.2_D15                   108         1.200        | 299   108         13.7        
BL_W160_T1.2_D20                   108         1.200        | 290   108         13.7        
BL_W160_T1.2_D24                   108         1.200        | 264   108         13.5        
BL_W160_T1.2_D28                   102         1.200        | 88    102         8.2         
BL_W160_T1.2_D32                   102         1.200        | 89    102         8.2         
BL_W5_T1.7_D15                     102         1.200        | 105   102         8.2         
BL_W5_T1.2_D20                     102         1.200        | 39    102         7.5         
BL_W5_T1.2_D24                     102         1.200        | 66    102         7.5         
BL_W5_T1.2_D28                     102         1.200        | 65    102         7.5         
BL_W5_T1.2_D32                     102         1.200        | 64    102         7.5         
BL_W5_T1.5_D15                     102         1.200        | 102   102         8.2         
BL_W5_T1.5_D20                     102         1.200        | 62    102         7.5         
BL_W5_T1.5_D24                     102         1.200        | 61    102         7.5         
BL_W5_T1.5_D28                     102         1.200        | 50    102         7.5         
BL_W5_T1.5_D32                     102         1.200        | 59    102         7.5         
BL_W5_T1.7_D20                     102         1.200        | 57    102         7.5         
BL_W5_T1.7_D24                     102         1.200        | 55    102         7.5         
BL_W5_T1.7_D28                     102         1.200        | 52    102         7.5         
BL_W5_T1.7_D32                     102         1.200        | 51    102         7.5         
BL_W5_T1.2_D15                     102         1.200        | 76    102         8.2         
BL_W30_T1.2_D15                    94          1.060        | 7     94          0.2         
BL_W30_T1.2_D32                    94          1.060        | 8     94          0.2         
BL_W30_T1.2_D28                    94          1.060        | 9     94          0.2         
BL_W30_T1.2_D24                    94          1.060        | 10    94          0.2         
BL_W30_T1.2_D20                    94          1.060        | 11    94          0.2         
BL_W50_T1.2_D15                    92          0.980        | 16    92          2.0         
BL_W50_T1.2_D20                    92          0.980        | 15    92          2.0         
BL_W50_T1.2_D24                    92          0.980        | 14    92          2.0         
BL_W50_T1.2_D28                    92          0.980        | 13    92          2.0         
BL_W50_T1.2_D32                    92          0.980        | 12    92          2.0         
BL_W110_T1.2_D24                   84          0.740        | 191   84          10.5        
BL_W120_T1.5_D28                   83          0.740        | 232   83          11.0        
BL_W110_T1.2_D28                   84          0.740        | 206   84          10.5        
BL_W110_T1.2_D32                   84          0.740        | 152   84          10.5        
BL_W110_T1.5_D15                   83          0.740        | 224   83          11.0        
BL_W110_T1.5_D20                   83          0.740        | 225   83          11.0        
BL_W110_T1.5_D24                   83          0.740        | 226   83          11.0        
BL_W110_T1.5_D28                   83          0.740        | 227   83          11.0        
BL_W110_T1.5_D32                   83          0.740        | 228   83          11.0        
BL_W180_T1.5_D32                   84          0.740        | 156   84          10.5        
BL_W120_T1.2_D20                   84          0.740        | 150   84          10.5        
BL_W120_T1.2_D24                   84          0.740        | 149   84          10.5        
BL_W120_T1.2_D28                   84          0.740        | 148   84          10.5        
BL_W120_T1.2_D32                   84          0.740        | 147   84          10.5        
BL_W120_T1.5_D15                   83          0.740        | 229   83          11.0        
BL_W120_T1.5_D20                   83          0.740        | 230   83          11.0        
BL_W120_T1.5_D24                   83          0.740        | 231   83          11.0        
BL_W120_T1.5_D32                   83          0.740        | 233   83          11.0        
BL_W100_T1.2_D28                   84          0.740        | 190   84          10.5        
BL_W50_T1.5_D15                    84          0.740        | 211   84          10.5        
BL_W50_T1.5_D20                    84          0.740        | 212   84          10.5        
BL_W50_T1.5_D24                    84          0.740        | 213   84          10.5        
BL_W50_T1.5_D28                    84          0.740        | 214   84          10.5        
BL_W50_T1.5_D32                    84          0.740        | 205   84          10.5        
BL_W100_T1.2_D15                   84          0.740        | 187   84          10.5        
BL_W100_T1.2_D20                   84          0.740        | 188   84          10.5        
BL_W100_T1.2_D24                   84          0.740        | 189   84          10.5        
BL_W110_T1.2_D20                   84          0.740        | 192   84          10.5        
BL_W100_T1.2_D32                   84          0.740        | 194   84          10.5        
BL_W100_T1.5_D15                   84          0.740        | 185   84          10.5        
BL_W100_T1.5_D20                   84          0.740        | 196   84          10.5        
