=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 67.9 BPM
Valid interval: 453-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 97 mmHg
Confidence: 0.075
95% CI: [95 - 99] mmHg
Agreement: 4966/990 detectors

MAP: 100 mmHg
Est. Diastolic: 101 mmHg
Oscillometric MAP Systolic: 108 mmHg
Oscillometric MAP Diastolic: 87 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W120_T1.0_D4                    88          0.820        | 617   88          17.1        
BL_W80_T1.0_D25                    88          0.820        | 902   88          17.1        
BL_W80_T1.0_D20                    88          0.820        | 903   88          17.1        
BL_W80_T1.0_D15                    88          0.820        | 904   88          17.1        
BL_W80_T1.0_D10                    88          0.820        | 905   88          17.1        
BL_W80_T1.0_D8                     88          0.820        | 906   88          17.1        
BL_W80_T1.0_D6                     88          0.820        | 907   88          17.1        
BL_W80_T1.0_D4                     88          0.820        | 908   88          17.1        
BL_W80_T1.0_D2                     88          0.820        | 909   88          17.1        
BL_W110_T1.4_D40                   88          0.820        | 851   88          17.1        
BL_W120_T1.0_D2                    88          0.820        | 618   88          17.1        
BL_W80_T1.0_D30                    88          0.820        | 901   88          17.1        
BL_W120_T1.0_D6                    88          0.820        | 616   88          17.1        
BL_W120_T1.0_D8                    88          0.820        | 615   88          17.1        
BL_W120_T1.0_D10                   88          0.820        | 614   88          17.1        
BL_W120_T1.0_D15                   88          0.820        | 613   88          17.1        
BL_W120_T1.0_D20                   88          0.820        | 612   88          17.1        
BL_W120_T1.0_D25                   88          0.820        | 611   88          17.1        
BL_W120_T1.0_D30                   88          0.820        | 599   88          17.1        
BL_W120_T1.0_D40                   88          0.820        | 609   88          17.1        
BL_W120_T1.2_D2                    88          0.820        | 608   88          17.1        
BL_W80_T1.2_D30                    88          0.820        | 758   88          17.1        
BL_W80_T1.4_D25                    88          0.820        | 821   88          17.1        
BL_W80_T1.4_D20                    88          0.820        | 820   88          17.1        
BL_W80_T1.4_D15                    88          0.820        | 779   88          17.1        
BL_W80_T1.4_D10                    88          0.820        | 764   88          17.1        
BL_W80_T1.4_D8                     88          0.820        | 763   88          17.1        
BL_W80_T1.4_D6                     88          0.820        | 762   88          17.1        
BL_W80_T1.4_D4                     88          0.820        | 761   88          17.1        
BL_W80_T1.4_D2                     88          0.820        | 760   88          17.1        
BL_W80_T1.2_D40                    88          0.820        | 759   88          17.1        
BL_W120_T1.2_D4                    88          0.820        | 607   88          17.1        
BL_W80_T1.2_D25                    88          0.820        | 772   88          17.1        
BL_W80_T1.2_D20                    88          0.820        | 771   88          17.1        
BL_W80_T1.2_D15                    88          0.820        | 770   88          17.1        
BL_W80_T1.2_D10                    88          0.820        | 769   88          17.1        
BL_W80_T1.2_D8                     88          0.820        | 768   88          17.1        
BL_W80_T1.2_D6                     88          0.820        | 767   88          17.1        
BL_W80_T1.2_D4                     88          0.820        | 766   88          17.1        
BL_W80_T1.2_D2                     88          0.820        | 853   88          17.1        
BL_W80_T1.0_D40                    88          0.820        | 900   88          17.1        
BL_W120_T1.4_D6                    88          0.820        | 639   88          17.1        
BL_W70_T1.0_D30                    88          0.820        | 879   88          17.1        
BL_W70_T1.0_D25                    88          0.820        | 878   88          17.1        
BL_W70_T1.0_D20                    88          0.820        | 877   88          17.1        
BL_W70_T1.0_D15                    88          0.820        | 876   88          17.1        
BL_W70_T1.0_D10                    88          0.820        | 875   88          17.1        
BL_W70_T1.0_D8                     88          0.820        | 833   88          17.1        
BL_W70_T1.0_D6                     88          0.820        | 874   88          17.1        
BL_W70_T1.0_D4                     88          0.820        | 620   88          17.1        
BL_W70_T1.0_D2                     88          0.820        | 619   88          17.1        
BL_W120_T1.4_D4                    88          0.820        | 640   88          17.1        
BL_W70_T1.0_D40                    88          0.820        | 880   88          17.1        
BL_W120_T1.4_D8                    88          0.820        | 638   88          17.1        
BL_W120_T1.4_D10                   88          0.820        | 637   88          17.1        
BL_W120_T1.4_D15                   88          0.820        | 636   88          17.1        
BL_W120_T1.4_D20                   88          0.820        | 635   88          17.1        
BL_W120_T1.4_D25                   88          0.820        | 634   88          17.1        
BL_W120_T1.4_D30                   88          0.820        | 633   88          17.1        
BL_W120_T1.4_D40                   88          0.820        | 621   88          17.1        
BL_W130_T1.0_D2                    88          0.820        | 736   88          17.1        
BL_W130_T1.0_D4                    88          0.820        | 735   88          17.1        
BL_W70_T1.2_D40                    88          0.820        | 890   88          17.1        
BL_W120_T1.2_D6                    88          0.820        | 594   88          17.1        
BL_W120_T1.2_D8                    88          0.820        | 605   88          17.1        
BL_W120_T1.2_D10                   88          0.820        | 604   88          17.1        
BL_W120_T1.2_D15                   88          0.820        | 603   88          17.1        
BL_W120_T1.2_D20                   88          0.820        | 602   88          17.1        
BL_W120_T1.2_D25                   88          0.820        | 601   88          17.1        
BL_W120_T1.2_D30                   88          0.820        | 600   88          17.1        
BL_W120_T1.2_D40                   88          0.820        | 610   88          17.1        
BL_W120_T1.4_D2                    88          0.820        | 641   88          17.1        
BL_W80_T1.4_D30                    88          0.820        | 822   88          17.1        
BL_W70_T1.2_D30                    88          0.820        | 889   88          17.1        
BL_W70_T1.2_D25                    88          0.820        | 888   88          17.1        
BL_W70_T1.2_D20                    88          0.820        | 887   88          17.1        
BL_W70_T1.2_D15                    88          0.820        | 873   88          17.1        
BL_W70_T1.2_D10                    88          0.820        | 885   88          17.1        
BL_W70_T1.2_D8                     88          0.820        | 884   88          17.1        
BL_W70_T1.2_D6                     88          0.820        | 697   88          17.1        
BL_W70_T1.2_D4                     88          0.820        | 882   88          17.1        
BL_W70_T1.2_D2                     88          0.820        | 881   88          17.1        
BL_W90_T1.2_D40                    88          0.820        | 883   88          17.1        
BL_W100_T1.4_D2                    88          0.820        | 751   88          17.1        
BL_W100_T1.4_D4                    88          0.820        | 791   88          17.1        
BL_W100_T1.4_D6                    88          0.820        | 790   88          17.1        
BL_W100_T1.4_D8                    88          0.820        | 789   88          17.1        
BL_W100_T1.4_D10                   88          0.820        | 788   88          17.1        
BL_W100_T1.4_D15                   88          0.820        | 787   88          17.1        
BL_W100_T1.4_D20                   88          0.820        | 786   88          17.1        
BL_W100_T1.4_D25                   88          0.820        | 785   88          17.1        
BL_W100_T1.4_D30                   88          0.820        | 784   88          17.1        
BL_W100_T1.4_D40                   88          0.820        | 783   88          17.1        
BL_W100_T1.2_D40                   88          0.820        | 738   88          17.1        
BL_W90_T1.2_D30                    88          0.820        | 798   88          17.1        
BL_W90_T1.2_D25                    88          0.820        | 797   88          17.1        
BL_W90_T1.2_D20                    88          0.820        | 796   88          17.1        
BL_W90_T1.2_D15                    88          0.820        | 795   88          17.1        
BL_W90_T1.2_D10                    88          0.820        | 794   88          17.1        
BL_W90_T1.2_D8                     88          0.820        | 793   88          17.1        
BL_W90_T1.2_D6                     88          0.820        | 806   88          17.1        
BL_W90_T1.2_D4                     88          0.820        | 845   88          17.1        
BL_W90_T1.2_D2                     88          0.820        | 844   88          17.1        
BL_W100_T1.0_D40                   88          0.820        | 748   88          17.1        
BL_W100_T1.0_D2                    88          0.820        | 757   88          17.1        
BL_W100_T1.0_D4                    88          0.820        | 756   88          17.1        
BL_W100_T1.0_D6                    88          0.820        | 755   88          17.1        
BL_W100_T1.0_D8                    88          0.820        | 754   88          17.1        
BL_W100_T1.0_D10                   88          0.820        | 753   88          17.1        
BL_W100_T1.0_D15                   88          0.820        | 752   88          17.1        
