=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 79.1 BPM
Valid interval: 428-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 101 mmHg
Confidence: 0.065
95% CI: [99 - 103] mmHg
Agreement: 5207/990 detectors

MAP: 83 mmHg
Est. Diastolic: 74 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W100_T1.4_D40                   98          1.200        | 701   98          9.7         
BL_W90_T1.0_D40                    98          1.200        | 619   98          9.7         
BL_W130_T1.0_D40                   98          1.200        | 555   98          9.7         
BL_W130_T1.0_D30                   98          1.200        | 554   98          9.7         
BL_W100_T1.0_D40                   98          1.200        | 668   98          9.7         
BL_W80_T1.2_D30                    98          1.200        | 642   98          9.7         
BL_W70_T1.4_D40                    98          1.200        | 742   98          10.4        
BL_W70_T1.2_D40                    98          1.200        | 588   98          9.7         
BL_W60_T1.4_D40                    98          1.200        | 793   98          10.4        
BL_W100_T1.2_D40                   98          1.200        | 680   98          9.7         
BL_W70_T1.2_D30                    98          1.200        | 589   98          9.7         
BL_W60_T1.0_D40                    98          1.200        | 605   98          9.7         
BL_W70_T1.0_D40                    98          1.200        | 659   98          9.7         
BL_W70_T1.0_D30                    98          1.200        | 638   98          9.7         
BL_W90_T1.2_D30                    98          1.200        | 611   98          9.7         
BL_W70_T1.4_D30                    98          1.200        | 741   98          10.4        
BL_W60_T1.0_D30                    98          1.200        | 604   98          9.7         
BL_W80_T1.2_D40                    98          1.200        | 641   98          9.7         
BL_W90_T1.2_D40                    98          1.200        | 610   98          9.7         
BL_W110_T1.0_D30                   98          1.200        | 577   98          9.7         
BL_W110_T1.0_D40                   98          1.200        | 566   98          9.7         
BL_W60_T1.4_D30                    98          1.200        | 794   98          10.4        
BL_W80_T1.4_D30                    98          1.200        | 826   98          10.4        
BL_W80_T1.4_D40                    98          1.200        | 825   98          10.4        
BL_W110_T1.4_D40                   98          1.200        | 517   98          9.7         
BL_W110_T1.4_D30                   98          1.200        | 518   98          9.7         
BL_W110_T1.2_D40                   98          1.200        | 567   98          9.7         
BL_W110_T1.2_D30                   98          1.200        | 568   98          9.7         
BL_W90_T1.4_D40                    98          1.200        | 720   98          9.7         
BL_W90_T1.4_D30                    98          1.200        | 719   98          9.7         
BL_W50_T1.4_D40                    98          1.200        | 721   98          9.7         
BL_W130_T1.4_D40                   98          1.200        | 494   98          9.7         
BL_W130_T1.4_D30                   98          1.200        | 485   98          9.7         
BL_W120_T1.0_D30                   98          1.200        | 535   98          9.7         
BL_W120_T1.0_D40                   98          1.200        | 526   98          9.7         
BL_W50_T1.0_D30                    98          1.200        | 699   98          9.7         
BL_W50_T1.0_D40                    98          1.200        | 700   98          9.7         
BL_W130_T1.2_D40                   98          1.200        | 565   98          9.7         
BL_W120_T1.2_D30                   98          1.200        | 545   98          9.7         
BL_W120_T1.2_D40                   98          1.200        | 516   98          9.7         
BL_W60_T1.2_D30                    98          1.200        | 655   98          9.7         
BL_W130_T1.2_D30                   98          1.200        | 564   98          9.7         
BL_W50_T1.2_D30                    98          1.200        | 727   98          9.7         
BL_W50_T1.2_D40                    98          1.200        | 728   98          9.7         
BL_W120_T1.4_D30                   98          1.200        | 515   98          9.7         
BL_W120_T1.4_D40                   98          1.200        | 506   98          9.7         
BL_W80_T1.0_D40                    98          1.200        | 630   98          9.7         
BL_W60_T1.2_D40                    98          1.200        | 656   98          9.7         
BL_W50_T1.4_D30                    98          1.200        | 722   98          9.7         
BL_W90_T1.0_D30                    98          1.200        | 620   98          9.7         
BL_W80_T1.0_D30                    98          1.200        | 629   98          9.7         
BL_W120_T1.2_D25                   98          1.140        | 544   98          9.7         
BL_W110_T1.2_D25                   98          1.140        | 569   98          9.7         
BL_W120_T1.0_D25                   98          1.140        | 534   98          9.7         
BL_W80_T1.2_D25                    98          1.140        | 643   98          9.7         
BL_W110_T1.4_D25                   98          1.140        | 519   98          9.7         
BL_W50_T1.4_D25                    98          1.140        | 723   98          9.7         
