=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 62.6 BPM
Valid interval: 509-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 99 mmHg
Confidence: 0.049
95% CI: [97 - 101] mmHg
Agreement: 6239/990 detectors

MAP: 87 mmHg
Est. Diastolic: 81 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W100_T1.0_D10                   99          0.500        | 147   99          9.4         
BL_W100_T1.0_D40                   99          0.500        | 139   99          9.4         
BL_W100_T1.0_D30                   99          0.500        | 148   99          9.4         
BL_W130_T1.0_D40                   99          0.500        | 210   99          9.4         
BL_W130_T1.0_D30                   99          0.500        | 209   99          9.4         
BL_W130_T1.0_D25                   99          0.500        | 208   99          9.4         
BL_W130_T1.0_D20                   99          0.500        | 207   99          9.4         
BL_W130_T1.0_D15                   99          0.500        | 206   99          9.4         
BL_W130_T1.0_D10                   99          0.500        | 195   99          9.4         
BL_W130_T1.0_D8                    99          0.500        | 204   99          9.4         
BL_W130_T1.0_D6                    99          0.500        | 203   99          9.4         
BL_W130_T1.0_D4                    99          0.500        | 202   99          9.4         
BL_W130_T1.0_D2                    99          0.500        | 201   99          9.4         
BL_W100_T1.0_D25                   99          0.500        | 149   99          9.4         
BL_W100_T1.0_D20                   99          0.500        | 145   99          9.4         
BL_W100_T1.0_D15                   99          0.500        | 146   99          9.4         
BL_W70_T1.0_D4                     126         0.500        | 689   126         17.7        
BL_W100_T1.0_D8                    99          0.500        | 194   99          9.4         
BL_W100_T1.0_D6                    99          0.500        | 192   99          9.4         
BL_W100_T1.0_D4                    99          0.500        | 191   99          9.4         
BL_W120_T1.0_D2                    99          0.500        | 300   99          9.4         
BL_W120_T1.0_D4                    99          0.500        | 261   99          9.4         
BL_W120_T1.0_D6                    99          0.500        | 301   99          9.4         
BL_W120_T1.0_D8                    99          0.500        | 302   99          9.4         
BL_W120_T1.0_D10                   99          0.500        | 303   99          9.4         
BL_W120_T1.0_D15                   99          0.500        | 304   99          9.4         
BL_W120_T1.0_D20                   99          0.500        | 305   99          9.4         
BL_W120_T1.0_D25                   99          0.500        | 314   99          9.4         
BL_W120_T1.0_D30                   99          0.500        | 310   99          9.4         
BL_W120_T1.0_D40                   99          0.500        | 299   99          9.4         
BL_W100_T1.0_D2                    99          0.500        | 190   99          9.4         
