=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 73.4 BPM
Valid interval: 454-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 131 mmHg
Confidence: 0.398
95% CI: [129 - 133] mmHg
Agreement: 1015/990 detectors

MAP: 133 mmHg
Est. Diastolic: 133 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W60_T1.4_D2                     122         0.340        | 45    122         11.8        
BL_W50_T1.0_D4                     134         0.272        | 580   134         24.3        
BL_W50_T2.0_D4                     134         0.272        | 586   134         24.3        
BL_W50_T1.8_D4                     134         0.272        | 585   134         24.3        
BL_W50_T2.2_D4                     134         0.272        | 587   134         24.3        
BL_W50_T1.6_D4                     134         0.272        | 583   134         24.3        
BL_W50_T2.4_D4                     134         0.272        | 584   134         24.3        
BL_W50_T1.4_D4                     134         0.272        | 581   134         24.3        
BL_W50_T2.6_D4                     134         0.272        | 579   134         24.3        
BL_W50_T1.2_D4                     134         0.272        | 578   134         24.3        
BL_W50_T2.8_D4                     134         0.272        | 588   134         24.3        
BL_W50_T3.0_D4                     134         0.272        | 582   134         24.3        
BL_W50_T1.0_D2                     134         0.272        | 589   134         24.4        
BL_W60_T2.2_D4                     133         0.260        | 404   133         23.3        
BL_W120_T1.0_D2                    134         0.260        | 563   134         23.8        
BL_W60_T1.8_D2                     133         0.260        | 274   133         22.5        
BL_W60_T1.8_D4                     133         0.260        | 397   133         23.3        
BL_W60_T1.8_D6                     133         0.260        | 444   133         23.4        
BL_W60_T2.0_D2                     133         0.260        | 266   133         22.5        
BL_W60_T2.0_D4                     133         0.260        | 402   133         23.3        
BL_W60_T2.0_D6                     133         0.260        | 445   133         23.4        
BL_W120_T1.0_D4                    134         0.260        | 571   134         23.8        
BL_W90_T1.4_D2                     122         0.260        | 47    122         11.8        
BL_W60_T2.2_D6                     133         0.260        | 447   133         23.4        
BL_W60_T2.4_D4                     133         0.260        | 405   133         23.3        
BL_W60_T2.4_D6                     133         0.260        | 436   133         23.4        
BL_W60_T2.6_D4                     133         0.260        | 401   133         23.3        
BL_W60_T2.6_D6                     133         0.260        | 438   133         23.4        
BL_W60_T2.8_D4                     133         0.260        | 393   133         23.3        
BL_W60_T2.8_D6                     133         0.260        | 439   133         23.4        
BL_W120_T2.2_D8                    134         0.260        | 468   134         23.8        
BL_W60_T1.4_D4                     133         0.260        | 403   133         23.3        
BL_W60_T1.0_D4                     133         0.260        | 400   133         23.3        
BL_W120_T1.8_D8                    134         0.260        | 454   134         23.8        
BL_W120_T1.6_D8                    134         0.260        | 553   134         23.8        
BL_W60_T1.2_D2                     133         0.260        | 392   133         23.3        
BL_W60_T1.2_D4                     133         0.260        | 407   133         23.3        
BL_W60_T1.0_D2                     133         0.260        | 394   133         23.3        
BL_W60_T1.2_D6                     133         0.260        | 434   133         23.4        
BL_W120_T1.4_D8                    134         0.260        | 559   134         23.8        
BL_W120_T2.0_D8                    134         0.260        | 474   134         23.8        
BL_W60_T1.0_D6                     133         0.260        | 442   133         23.4        
BL_W60_T1.4_D6                     133         0.260        | 443   133         23.4        
BL_W120_T1.2_D8                    134         0.260        | 550   134         23.8        
BL_W60_T1.6_D2                     133         0.260        | 437   133         23.4        
BL_W60_T1.6_D4                     133         0.260        | 406   133         23.3        
BL_W60_T1.6_D6                     133         0.260        | 435   133         23.4        
BL_W50_T3.0_D6                     133         0.260        | 261   133         22.5        
BL_W120_T1.0_D8                    134         0.260        | 575   134         23.8        
BL_W120_T1.0_D6                    134         0.260        | 572   134         23.8        
BL_W80_T1.6_D2                     122         0.260        | 46    122         11.8        
BL_W70_T2.6_D6                     133         0.260        | 284   133         22.5        
BL_W70_T2.8_D6                     133         0.260        | 281   133         22.5        
BL_W70_T3.0_D6                     133         0.260        | 278   133         22.5        
BL_W80_T1.0_D2                     132         0.260        | 190   132         21.9        
BL_W80_T1.0_D4                     132         0.260        | 189   132         21.9        
BL_W80_T1.0_D6                     132         0.260        | 188   132         21.9        
BL_W80_T1.2_D2                     123         0.260        | 66    123         13.3        
BL_W80_T1.2_D6                     132         0.260        | 252   132         22.1        
