=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 82.9 BPM
Valid interval: 413-1399 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 92 mmHg
Confidence: 0.118
95% CI: [90 - 94] mmHg
Agreement: 3582/990 detectors

MAP: 104 mmHg
Est. Diastolic: 110 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T1.0_D2                    98          1.140        | 337   98          21.9        
BL_W120_T1.0_D2                    98          1.140        | 375   98          21.9        
BL_W120_T1.0_D4                    98          1.140        | 381   98          21.9        
BL_W120_T1.0_D6                    98          1.140        | 390   98          21.9        
BL_W120_T1.0_D8                    98          1.140        | 312   98          21.9        
BL_W120_T1.0_D10                   98          1.140        | 318   98          21.9        
BL_W120_T1.0_D15                   98          1.140        | 317   98          21.9        
BL_W120_T1.0_D20                   98          1.140        | 316   98          21.9        
BL_W120_T1.0_D25                   98          1.140        | 315   98          21.9        
BL_W120_T1.0_D30                   98          1.140        | 314   98          21.9        
BL_W120_T1.0_D40                   98          1.140        | 313   98          21.9        
BL_W110_T1.0_D2                    98          1.140        | 364   98          21.9        
BL_W130_T1.0_D4                    98          1.140        | 336   98          21.9        
BL_W130_T1.0_D6                    98          1.140        | 335   98          21.9        
BL_W130_T1.0_D8                    98          1.140        | 334   98          21.9        
BL_W130_T1.0_D10                   98          1.140        | 333   98          21.9        
BL_W130_T1.0_D15                   98          1.140        | 332   98          21.9        
BL_W130_T1.0_D20                   98          1.140        | 331   98          21.9        
BL_W130_T1.0_D25                   98          1.140        | 320   98          21.9        
BL_W130_T1.0_D30                   98          1.140        | 329   98          21.9        
BL_W130_T1.0_D40                   98          1.140        | 328   98          21.9        
BL_W100_T1.0_D4                    98          1.140        | 339   98          21.9        
BL_W110_T1.0_D4                    98          1.140        | 394   98          21.9        
BL_W110_T1.0_D6                    98          1.140        | 385   98          21.9        
BL_W110_T1.0_D8                    98          1.140        | 389   98          21.9        
BL_W110_T1.0_D10                   98          1.140        | 386   98          21.9        
BL_W110_T1.0_D15                   98          1.140        | 382   98          21.9        
BL_W110_T1.0_D20                   98          1.140        | 383   98          21.9        
BL_W110_T1.0_D25                   98          1.140        | 384   98          21.9        
BL_W110_T1.0_D30                   98          1.140        | 387   98          21.9        
BL_W110_T1.0_D40                   98          1.140        | 388   98          21.9        
BL_W100_T1.0_D40                   98          1.140        | 340   98          21.9        
BL_W100_T1.0_D30                   98          1.140        | 351   98          21.9        
BL_W100_T1.0_D25                   98          1.140        | 352   98          21.9        
BL_W100_T1.0_D20                   98          1.140        | 353   98          21.9        
BL_W100_T1.0_D15                   98          1.140        | 354   98          21.9        
BL_W100_T1.0_D10                   98          1.140        | 355   98          21.9        
BL_W100_T1.0_D8                    98          1.140        | 356   98          21.9        
BL_W100_T1.0_D6                    98          1.140        | 338   98          21.9        
BL_W100_T1.0_D2                    98          1.140        | 319   98          21.9        
BL_W60_T1.0_D2                     99          0.820        | 293   99          21.3        
BL_W50_T1.0_D2                     100         0.820        | 266   100         19.7        
BL_W60_T1.0_D4                     99          0.820        | 292   99          21.3        
BL_W60_T1.0_D6                     99          0.820        | 294   99          21.3        
BL_W60_T1.0_D8                     99          0.820        | 295   99          21.3        
BL_W60_T1.0_D10                    99          0.820        | 296   99          21.3        
BL_W60_T1.0_D15                    99          0.820        | 297   99          21.3        
BL_W60_T1.0_D20                    99          0.820        | 298   99          21.3        
BL_W60_T1.0_D25                    99          0.820        | 299   99          21.3        
BL_W60_T1.0_D30                    99          0.820        | 300   99          21.3        
BL_W60_T1.0_D40                    99          0.820        | 301   99          21.3        
BL_W50_T1.0_D4                     100         0.820        | 265   100         19.7        
BL_W50_T1.0_D6                     100         0.820        | 279   100         19.7        
BL_W50_T1.2_D10                    100         0.820        | 280   100         20.2        
BL_W50_T1.2_D8                     100         0.820        | 288   100         20.2        
BL_W50_T1.2_D6                     100         0.820        | 287   100         20.2        
BL_W50_T1.2_D4                     100         0.820        | 286   100         20.2        
BL_W50_T1.2_D15                    100         0.820        | 284   100         20.2        
BL_W50_T1.2_D20                    100         0.820        | 283   100         20.2        
BL_W50_T1.2_D25                    100         0.820        | 282   100         20.2        
BL_W50_T1.2_D30                    100         0.820        | 281   100         20.2        
BL_W50_T1.2_D40                    100         0.820        | 271   100         19.7        
BL_W50_T1.0_D8                     100         0.820        | 278   100         19.7        
BL_W50_T1.0_D10                    100         0.820        | 277   100         19.7        
BL_W50_T1.0_D15                    100         0.820        | 276   100         19.7        
BL_W50_T1.0_D20                    100         0.820        | 275   100         19.7        
BL_W50_T1.0_D25                    100         0.820        | 274   100         19.7        
BL_W50_T1.0_D30                    100         0.820        | 273   100         19.7        
BL_W50_T1.0_D40                    100         0.820        | 272   100         19.7        
BL_W50_T1.2_D2                     100         0.820        | 285   100         20.2        
BL_W80_T1.0_D4                     98          0.740        | 359   98          21.9        
BL_W130_T1.4_D20                   98          0.740        | 464   98          22.2        
BL_W80_T1.2_D4                     98          0.740        | 480   98          22.2        
BL_W80_T1.0_D6                     98          0.740        | 371   98          21.9        
BL_W80_T1.0_D2                     98          0.740        | 370   98          21.9        
BL_W130_T1.4_D4                    98          0.740        | 469   98          22.2        
BL_W90_T1.0_D2                     98          0.740        | 350   98          21.9        
BL_W90_T1.0_D4                     98          0.740        | 341   98          21.9        
BL_W90_T1.0_D6                     98          0.740        | 342   98          21.9        
BL_W90_T1.0_D8                     98          0.740        | 343   98          21.9        
BL_W130_T1.4_D6                    98          0.740        | 468   98          22.2        
BL_W130_T1.4_D8                    98          0.740        | 467   98          22.2        
BL_W130_T1.4_D10                   98          0.740        | 466   98          22.2        
BL_W130_T1.4_D15                   98          0.740        | 465   98          22.2        
BL_W80_T1.0_D8                     98          0.740        | 372   98          21.9        
BL_W100_T1.2_D25                   98          0.740        | 463   98          22.2        
BL_W80_T1.2_D2                     98          0.740        | 482   98          22.2        
BL_W80_T1.0_D40                    98          0.740        | 376   98          21.9        
BL_W80_T1.0_D30                    98          0.740        | 377   98          21.9        
BL_W80_T1.0_D25                    98          0.740        | 379   98          21.9        
BL_W80_T1.0_D20                    98          0.740        | 380   98          21.9        
BL_W80_T1.0_D15                    98          0.740        | 374   98          21.9        
BL_W80_T1.0_D10                    98          0.740        | 373   98          21.9        
BL_W100_T1.2_D2                    98          0.740        | 460   98          22.2        
BL_W100_T1.2_D40                   98          0.740        | 432   98          22.2        
BL_W100_T1.2_D30                   98          0.740        | 433   98          22.2        
BL_W100_T1.2_D20                   98          0.740        | 454   98          22.2        
BL_W100_T1.2_D15                   98          0.740        | 455   98          22.2        
BL_W100_T1.2_D10                   98          0.740        | 456   98          22.2        
BL_W100_T1.2_D8                    98          0.740        | 457   98          22.2        
BL_W100_T1.2_D6                    98          0.740        | 458   98          22.2        
BL_W100_T1.2_D4                    98          0.740        | 459   98          22.2        
BL_W70_T1.0_D8                     98          0.740        | 395   98          21.9        
BL_W90_T1.2_D25                    98          0.740        | 512   98          22.2        
BL_W90_T1.2_D30                    98          0.740        | 513   98          22.2        
BL_W90_T1.2_D40                    98          0.740        | 514   98          22.2        
BL_W120_T1.2_D15                   98          0.740        | 483   98          22.2        
BL_W120_T1.2_D20                   98          0.740        | 486   98          22.2        
BL_W120_T1.2_D25                   98          0.740        | 531   98          22.2        
BL_W70_T1.0_D2                     98          0.740        | 391   98          21.9        
BL_W70_T1.0_D4                     98          0.740        | 392   98          21.9        
BL_W70_T1.0_D6                     98          0.740        | 393   98          21.9        
BL_W120_T1.2_D10                   98          0.740        | 472   98          22.2        
BL_W70_T1.0_D10                    98          0.740        | 396   98          21.9        
BL_W70_T1.0_D15                    98          0.740        | 365   98          21.9        
BL_W70_T1.0_D20                    98          0.740        | 366   98          21.9        
BL_W70_T1.0_D25                    98          0.740        | 367   98          21.9        
BL_W70_T1.0_D30                    98          0.740        | 369   98          21.9        
BL_W70_T1.0_D40                    98          0.740        | 378   98          21.9        
BL_W120_T1.4_D2                    98          0.740        | 535   98          22.2        
BL_W120_T1.2_D40                   98          0.740        | 525   98          22.2        
