=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 96.9 BPM
Valid interval: 363-1054 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 97 mmHg
Confidence: 0.107
95% CI: [95 - 99] mmHg
Agreement: 5220/990 detectors

MAP: 87 mmHg
Est. Diastolic: 82 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W50_T1.0_D4                     115         1.200        | 81    115         8.1         
BL_W50_T1.0_D2                     115         1.200        | 82    115         8.1         
BL_W50_T1.0_D40                    115         1.200        | 90    115         8.1         
BL_W50_T1.0_D30                    115         1.200        | 89    115         8.1         
BL_W50_T1.0_D25                    115         1.200        | 88    115         8.1         
BL_W50_T1.0_D20                    115         1.200        | 87    115         8.1         
BL_W50_T1.0_D10                    115         1.200        | 85    115         8.1         
BL_W50_T1.0_D8                     115         1.200        | 84    115         8.1         
BL_W50_T1.0_D6                     115         1.200        | 83    115         8.1         
BL_W50_T1.0_D15                    115         1.200        | 86    115         8.1         
BL_W110_T1.4_D10                   108         1.060        | 286   108         14.8        
BL_W70_T1.0_D25                    108         1.060        | 147   108         14.6        
BL_W110_T1.4_D15                   108         1.060        | 272   108         14.8        
BL_W110_T1.4_D20                   108         1.060        | 273   108         14.8        
BL_W110_T1.4_D25                   108         1.060        | 274   108         14.8        
BL_W110_T1.4_D30                   108         1.060        | 275   108         14.8        
BL_W110_T1.4_D40                   108         1.060        | 276   108         14.8        
BL_W70_T1.2_D40                    108         1.060        | 107   108         14.6        
BL_W70_T1.2_D30                    108         1.060        | 108   108         14.6        
BL_W70_T1.2_D25                    108         1.060        | 109   108         14.6        
BL_W70_T1.2_D20                    108         1.060        | 110   108         14.6        
BL_W70_T1.2_D15                    108         1.060        | 111   108         14.6        
BL_W70_T1.2_D10                    108         1.060        | 112   108         14.6        
BL_W70_T1.2_D8                     108         1.060        | 106   108         14.6        
BL_W70_T1.2_D6                     108         1.060        | 140   108         14.6        
BL_W70_T1.2_D4                     108         1.060        | 151   108         14.6        
BL_W70_T1.2_D2                     108         1.060        | 150   108         14.6        
BL_W70_T1.0_D40                    108         1.060        | 149   108         14.6        
BL_W70_T1.0_D30                    108         1.060        | 148   108         14.6        
BL_W110_T1.2_D15                   108         1.060        | 212   108         14.6        
BL_W120_T1.4_D40                   108         1.060        | 301   108         14.8        
BL_W80_T1.0_D6                     108         1.060        | 200   108         14.6        
BL_W80_T1.0_D4                     108         1.060        | 201   108         14.6        
BL_W80_T1.0_D2                     108         1.060        | 202   108         14.6        
BL_W110_T1.2_D2                    108         1.060        | 207   108         14.6        
BL_W110_T1.2_D4                    108         1.060        | 208   108         14.6        
BL_W110_T1.2_D6                    108         1.060        | 209   108         14.6        
BL_W110_T1.2_D8                    108         1.060        | 210   108         14.6        
BL_W110_T1.2_D10                   108         1.060        | 211   108         14.6        
BL_W110_T1.4_D8                    108         1.060        | 287   108         14.8        
BL_W110_T1.2_D20                   108         1.060        | 204   108         14.6        
BL_W110_T1.2_D25                   108         1.060        | 214   108         14.6        
BL_W110_T1.2_D30                   108         1.060        | 215   108         14.6        
BL_W110_T1.2_D40                   108         1.060        | 216   108         14.6        
BL_W80_T1.0_D8                     108         1.060        | 199   108         14.6        
BL_W110_T1.4_D2                    108         1.060        | 290   108         14.8        
BL_W110_T1.4_D4                    108         1.060        | 289   108         14.8        
BL_W110_T1.4_D6                    108         1.060        | 288   108         14.8        
BL_W120_T1.4_D4                    108         1.060        | 303   108         14.8        
BL_W120_T1.2_D6                    108         1.060        | 116   108         14.6        
BL_W120_T1.2_D8                    108         1.060        | 115   108         14.6        
BL_W120_T1.2_D10                   108         1.060        | 114   108         14.6        
BL_W120_T1.2_D15                   108         1.060        | 102   108         14.6        
BL_W120_T1.2_D20                   108         1.060        | 103   108         14.6        
BL_W120_T1.2_D25                   108         1.060        | 104   108         14.6        
BL_W120_T1.2_D30                   108         1.060        | 105   108         14.6        
BL_W120_T1.2_D40                   108         1.060        | 101   108         14.6        
BL_W120_T1.4_D2                    108         1.060        | 302   108         14.8        
BL_W120_T1.2_D4                    108         1.060        | 117   108         14.6        
BL_W120_T1.4_D6                    108         1.060        | 304   108         14.8        
BL_W120_T1.4_D8                    108         1.060        | 305   108         14.8        
BL_W120_T1.4_D10                   108         1.060        | 306   108         14.8        
BL_W120_T1.4_D15                   108         1.060        | 307   108         14.8        
BL_W120_T1.4_D20                   108         1.060        | 308   108         14.8        
BL_W120_T1.4_D25                   108         1.060        | 309   108         14.8        
BL_W120_T1.4_D30                   108         1.060        | 310   108         14.8        
BL_W100_T1.0_D2                    108         1.060        | 128   108         14.6        
BL_W120_T1.0_D6                    108         1.060        | 126   108         14.6        
BL_W70_T1.0_D15                    108         1.060        | 145   108         14.6        
BL_W70_T1.0_D10                    108         1.060        | 144   108         14.6        
BL_W70_T1.0_D8                     108         1.060        | 113   108         14.6        
BL_W70_T1.0_D6                     108         1.060        | 142   108         14.6        
BL_W70_T1.0_D4                     108         1.060        | 141   108         14.6        
BL_W70_T1.0_D2                     108         1.060        | 127   108         14.6        
BL_W120_T1.0_D2                    108         1.060        | 143   108         14.6        
BL_W120_T1.0_D4                    108         1.060        | 213   108         14.6        
BL_W70_T1.0_D20                    108         1.060        | 146   108         14.6        
BL_W120_T1.0_D8                    108         1.060        | 125   108         14.6        
BL_W120_T1.0_D10                   108         1.060        | 124   108         14.6        
BL_W120_T1.0_D15                   108         1.060        | 123   108         14.6        
BL_W120_T1.0_D20                   108         1.060        | 122   108         14.6        
BL_W120_T1.0_D25                   108         1.060        | 121   108         14.6        
BL_W120_T1.0_D30                   108         1.060        | 120   108         14.6        
BL_W120_T1.0_D40                   108         1.060        | 119   108         14.6        
BL_W120_T1.2_D2                    108         1.060        | 118   108         14.6        
BL_W90_T1.2_D2                     108         1.060        | 180   108         14.6        
BL_W90_T1.2_D40                    108         1.060        | 154   108         14.6        
BL_W90_T1.2_D30                    108         1.060        | 153   108         14.6        
BL_W90_T1.2_D25                    108         1.060        | 161   108         14.6        
BL_W90_T1.2_D20                    108         1.060        | 186   108         14.6        
BL_W90_T1.2_D15                    108         1.060        | 185   108         14.6        
BL_W90_T1.2_D10                    108         1.060        | 184   108         14.6        
BL_W90_T1.2_D8                     108         1.060        | 183   108         14.6        
BL_W90_T1.2_D6                     108         1.060        | 182   108         14.6        
BL_W90_T1.2_D4                     108         1.060        | 181   108         14.6        
BL_W100_T1.2_D40                   108         1.060        | 155   108         14.6        
BL_W90_T1.0_D40                    108         1.060        | 170   108         14.6        
BL_W90_T1.0_D30                    108         1.060        | 178   108         14.6        
BL_W90_T1.0_D25                    108         1.060        | 177   108         14.6        
BL_W90_T1.0_D20                    108         1.060        | 176   108         14.6        
BL_W90_T1.0_D15                    108         1.060        | 175   108         14.6        
BL_W90_T1.0_D10                    108         1.060        | 174   108         14.6        
BL_W90_T1.0_D8                     108         1.060        | 173   108         14.6        
BL_W90_T1.0_D6                     108         1.060        | 172   108         14.6        
BL_W100_T1.2_D2                    108         1.060        | 138   108         14.6        
BL_W100_T1.0_D4                    108         1.060        | 129   108         14.6        
BL_W100_T1.0_D6                    108         1.060        | 130   108         14.6        
BL_W100_T1.0_D8                    108         1.060        | 131   108         14.6        
BL_W100_T1.0_D10                   108         1.060        | 132   108         14.6        
BL_W100_T1.0_D15                   108         1.060        | 133   108         14.6        
BL_W100_T1.0_D20                   108         1.060        | 134   108         14.6        
BL_W100_T1.0_D25                   108         1.060        | 135   108         14.6        
BL_W100_T1.0_D30                   108         1.060        | 136   108         14.6        
BL_W100_T1.0_D40                   108         1.060        | 137   108         14.6        
BL_W90_T1.0_D4                     108         1.060        | 171   108         14.6        
BL_W100_T1.2_D4                    108         1.060        | 139   108         14.6        
BL_W100_T1.2_D6                    108         1.060        | 162   108         14.6        
BL_W100_T1.2_D8                    108         1.060        | 152   108         14.6        
BL_W100_T1.2_D10                   108         1.060        | 160   108         14.6        
BL_W100_T1.2_D15                   108         1.060        | 159   108         14.6        
BL_W100_T1.2_D20                   108         1.060        | 158   108         14.6        
BL_W100_T1.2_D25                   108         1.060        | 157   108         14.6        
BL_W100_T1.2_D30                   108         1.060        | 156   108         14.6        
BL_W80_T1.2_D8                     108         1.060        | 189   108         14.6        
BL_W110_T1.0_D25                   108         1.060        | 179   108         14.6        
BL_W110_T1.0_D30                   108         1.060        | 205   108         14.6        
BL_W110_T1.0_D40                   108         1.060        | 206   108         14.6        
BL_W80_T1.2_D40                    108         1.060        | 217   108         14.6        
BL_W80_T1.2_D30                    108         1.060        | 218   108         14.6        
BL_W80_T1.2_D25                    108         1.060        | 219   108         14.6        
BL_W80_T1.2_D20                    108         1.060        | 220   108         14.6        
BL_W80_T1.2_D15                    108         1.060        | 196   108         14.6        
BL_W80_T1.2_D10                    108         1.060        | 188   108         14.6        
BL_W110_T1.0_D20                   108         1.060        | 169   108         14.6        
BL_W80_T1.2_D6                     108         1.060        | 190   108         14.6        
BL_W80_T1.2_D4                     108         1.060        | 191   108         14.6        
BL_W80_T1.2_D2                     108         1.060        | 192   108         14.6        
BL_W80_T1.0_D40                    108         1.060        | 193   108         14.6        
BL_W80_T1.0_D30                    108         1.060        | 194   108         14.6        
BL_W80_T1.0_D25                    108         1.060        | 195   108         14.6        
BL_W80_T1.0_D20                    108         1.060        | 187   108         14.6        
BL_W80_T1.0_D15                    108         1.060        | 197   108         14.6        
BL_W100_T1.4_D25                   108         1.060        | 298   108         14.8        
BL_W90_T1.0_D2                     108         1.060        | 203   108         14.6        
BL_W100_T1.4_D2                    108         1.060        | 291   108         14.8        
BL_W100_T1.4_D4                    108         1.060        | 292   108         14.8        
BL_W100_T1.4_D6                    108         1.060        | 293   108         14.8        
BL_W100_T1.4_D8                    108         1.060        | 294   108         14.8        
BL_W100_T1.4_D10                   108         1.060        | 295   108         14.8        
BL_W100_T1.4_D15                   108         1.060        | 296   108         14.8        
BL_W100_T1.4_D20                   108         1.060        | 297   108         14.8        
BL_W80_T1.0_D10                    108         1.060        | 198   108         14.6        
BL_W100_T1.4_D30                   108         1.060        | 300   108         14.8        
BL_W100_T1.4_D40                   108         1.060        | 299   108         14.8        
BL_W110_T1.0_D2                    108         1.060        | 163   108         14.6        
BL_W110_T1.0_D4                    108         1.060        | 164   108         14.6        
BL_W110_T1.0_D6                    108         1.060        | 165   108         14.6        
BL_W110_T1.0_D8                    108         1.060        | 166   108         14.6        
BL_W110_T1.0_D10                   108         1.060        | 167   108         14.6        
BL_W110_T1.0_D15                   108         1.060        | 168   108         14.6        
BL_W60_T1.0_D10                    108         1.060        | 269   108         14.6        
BL_W130_T1.2_D4                    108         1.060        | 245   108         14.6        
BL_W130_T1.2_D2                    108         1.060        | 244   108         14.6        
BL_W130_T1.0_D40                   108         1.060        | 243   108         14.6        
BL_W130_T1.0_D25                   108         1.060        | 241   108         14.6        
BL_W130_T1.0_D20                   108         1.060        | 240   108         14.6        
BL_W130_T1.0_D15                   108         1.060        | 239   108         14.6        
BL_W130_T1.0_D10                   108         1.060        | 238   108         14.6        
BL_W130_T1.0_D8                    108         1.060        | 237   108         14.6        
BL_W130_T1.0_D6                    108         1.060        | 236   108         14.6        
BL_W130_T1.0_D4                    108         1.060        | 221   108         14.6        
BL_W130_T1.0_D2                    108         1.060        | 234   108         14.6        
BL_W60_T1.0_D2                     108         1.060        | 265   108         14.6        
BL_W60_T1.0_D4                     108         1.060        | 266   108         14.6        
BL_W60_T1.0_D6                     108         1.060        | 267   108         14.6        
BL_W60_T1.0_D8                     108         1.060        | 268   108         14.6        
BL_W130_T1.0_D30                   108         1.060        | 242   108         14.6        
BL_W60_T1.0_D15                    108         1.060        | 270   108         14.6        
BL_W60_T1.0_D20                    108         1.060        | 235   108         14.6        
BL_W60_T1.0_D25                    108         1.060        | 222   108         14.6        
BL_W60_T1.0_D30                    108         1.060        | 223   108         14.6        
BL_W60_T1.2_D40                    108         1.060        | 249   108         14.6        
