=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 62.6 BPM
Valid interval: 510-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 118 mmHg
Confidence: 0.069
95% CI: [116 - 120] mmHg
Agreement: 5722/990 detectors

MAP: 103 mmHg
Est. Diastolic: 95 mmHg
Oscillometric MAP Systolic: 125 mmHg
Oscillometric MAP Diastolic: 99 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W110_T1.0_D4                    143         1.200        | 837   143         11.5        
BL_W130_T1.0_D6                    143         1.200        | 832   143         11.5        
BL_W130_T1.0_D4                    143         1.200        | 831   143         11.5        
BL_W130_T1.0_D2                    143         1.200        | 830   143         11.5        
BL_W60_T1.0_D2                     143         1.200        | 834   143         11.5        
BL_W60_T1.0_D4                     143         1.200        | 844   143         11.5        
BL_W60_T1.2_D2                     143         1.200        | 849   143         11.5        
BL_W60_T1.2_D4                     143         1.200        | 850   143         11.5        
BL_W120_T1.0_D4                    143         1.200        | 851   143         11.5        
BL_W120_T1.0_D2                    143         1.200        | 852   143         11.5        
BL_W70_T1.0_D4                     143         1.200        | 835   143         11.5        
BL_W70_T1.0_D2                     143         1.200        | 836   143         11.5        
BL_W110_T1.0_D2                    143         1.200        | 838   143         11.5        
BL_W80_T1.0_D2                     143         1.200        | 839   143         11.5        
BL_W80_T1.0_D4                     143         1.200        | 840   143         11.5        
BL_W100_T1.0_D4                    143         1.200        | 841   143         11.5        
BL_W100_T1.0_D2                    143         1.200        | 842   143         11.5        
BL_W50_T1.0_D2                     143         1.200        | 843   143         11.5        
BL_W90_T1.2_D4                     143         1.200        | 845   143         11.5        
BL_W90_T1.2_D2                     143         1.200        | 846   143         11.5        
BL_W90_T1.0_D4                     143         1.200        | 847   143         11.5        
BL_W90_T1.0_D2                     143         1.200        | 848   143         11.5        
BL_W50_T1.0_D4                     143         1.200        | 833   143         11.5        
BL_W70_T1.4_D2                     137         1.140        | 686   137         5.8         
BL_W130_T1.2_D6                    137         1.140        | 674   137         5.8         
BL_W70_T1.2_D2                     137         1.140        | 701   137         6.2         
BL_W50_T1.2_D6                     137         1.140        | 692   137         5.8         
BL_W110_T1.4_D2                    137         1.140        | 634   137         5.8         
BL_W110_T1.4_D4                    137         1.140        | 719   137         6.2         
BL_W110_T1.4_D6                    137         1.140        | 637   137         5.8         
BL_W110_T1.6_D4                    137         1.140        | 733   137         6.2         
BL_W110_T1.6_D6                    137         1.140        | 645   137         5.8         
BL_W110_T1.8_D4                    137         1.140        | 739   137         6.2         
BL_W110_T1.8_D6                    137         1.140        | 639   137         5.8         
BL_W110_T2.0_D4                    137         1.140        | 735   137         6.2         
BL_W110_T2.0_D6                    137         1.140        | 642   137         5.8         
BL_W120_T1.0_D6                    137         1.140        | 641   137         5.8         
BL_W120_T1.2_D2                    137         1.140        | 632   137         5.8         
BL_W120_T1.2_D4                    137         1.140        | 638   137         5.8         
BL_W120_T1.2_D6                    137         1.140        | 643   137         5.8         
BL_W120_T1.4_D2                    136         1.140        | 630   136         5.4         
