=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 53.4 BPM
Valid interval: 526-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 122 mmHg
Confidence: 0.081
95% CI: [120 - 124] mmHg
Agreement: 5681/990 detectors

MAP: 116 mmHg
Est. Diastolic: 113 mmHg
Oscillometric MAP Systolic: 132 mmHg
Oscillometric MAP Diastolic: 99 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W80_T1.4_D4                     138         0.660        | 820   138         4.6         
BL_W60_T1.0_D2                     138         0.660        | 848   138         4.8         
BL_W60_T1.2_D2                     138         0.660        | 849   138         4.8         
BL_W60_T1.4_D2                     138         0.660        | 850   138         4.8         
BL_W70_T1.2_D2                     138         0.660        | 832   138         4.8         
BL_W70_T1.4_D2                     138         0.660        | 833   138         4.8         
BL_W80_T1.0_D2                     138         0.660        | 862   138         4.8         
BL_W80_T1.0_D4                     138         0.660        | 815   138         4.6         
BL_W80_T1.2_D2                     138         0.660        | 817   138         4.6         
BL_W80_T1.2_D4                     138         0.660        | 818   138         4.6         
BL_W70_T1.0_D2                     138         0.660        | 835   138         4.8         
BL_W80_T1.6_D4                     138         0.660        | 822   138         4.6         
BL_W100_T1.0_D6                    138         0.660        | 826   138         4.6         
BL_W100_T1.0_D4                    138         0.660        | 812   138         4.6         
BL_W100_T1.0_D2                    138         0.660        | 813   138         4.6         
BL_W50_T1.0_D2                     138         0.660        | 837   138         4.8         
BL_W90_T1.2_D4                     138         0.660        | 814   138         4.6         
BL_W90_T1.2_D2                     138         0.660        | 816   138         4.6         
BL_W90_T1.0_D4                     138         0.660        | 860   138         4.8         
BL_W90_T1.0_D2                     138         0.660        | 861   138         4.8         
BL_W50_T1.2_D2                     138         0.660        | 838   138         4.8         
BL_W100_T1.6_D6                    134         0.580        | 292   134         1.2         
BL_W120_T1.8_D6                    134         0.580        | 19    134         0.5         
BL_W120_T1.8_D4                    134         0.580        | 20    134         0.5         
BL_W120_T1.8_D2                    134         0.580        | 21    134         0.5         
BL_W100_T1.6_D2                    134         0.580        | 286   134         1.2         
BL_W120_T1.6_D10                   134         0.580        | 23    134         0.5         
BL_W120_T1.6_D8                    134         0.580        | 24    134         0.5         
BL_W120_T1.6_D6                    134         0.580        | 25    134         0.5         
BL_W120_T1.6_D4                    134         0.580        | 26    134         0.5         
BL_W120_T1.6_D2                    134         0.580        | 27    134         0.5         
BL_W100_T1.6_D4                    134         0.580        | 296   134         1.2         
BL_W120_T1.8_D8                    134         0.580        | 10    134         0.5         
BL_W100_T1.6_D8                    134         0.580        | 107   134         0.8         
BL_W100_T1.6_D10                   134         0.580        | 119   134         0.8         
BL_W120_T1.4_D10                   134         0.580        | 29    134         0.5         
BL_W120_T1.4_D8                    134         0.580        | 30    134         0.5         
BL_W120_T1.4_D6                    134         0.580        | 31    134         0.5         
BL_W120_T1.4_D4                    134         0.580        | 32    134         0.5         
BL_W120_T1.4_D2                    134         0.580        | 80    134         0.5         
BL_W100_T1.8_D2                    134         0.580        | 297   134         1.2         
BL_W120_T1.2_D10                   134         0.580        | 77    134         0.5         
BL_W120_T1.2_D8                    134         0.580        | 83    134         0.5         
BL_W120_T1.2_D6                    134         0.580        | 84    134         0.5         
BL_W100_T1.2_D8                    134         0.580        | 169   134         0.8         
BL_W80_T1.0_D10                    134         0.580        | 16    134         0.5         
BL_W80_T1.0_D8                     134         0.580        | 99    134         0.8         
BL_W80_T1.0_D6                     134         0.580        | 195   134         1.2         
BL_W50_T1.2_D8                     134         0.580        | 129   134         0.8         
BL_W60_T1.2_D4                     134         0.580        | 280   134         1.2         
BL_W60_T1.2_D6                     134         0.580        | 281   134         1.2         
BL_W60_T1.2_D8                     134         0.580        | 165   134         0.8         
BL_W60_T1.2_D10                    134         0.580        | 11    134         0.5         
BL_W50_T1.2_D10                    134         0.580        | 72    134         0.5         
BL_W100_T1.2_D4                    134         0.580        | 179   134         1.2         
BL_W100_T1.2_D6                    134         0.580        | 187   134         1.2         
BL_W120_T1.2_D4                    134         0.580        | 85    134         0.5         
BL_W100_T1.2_D10                   134         0.580        | 138   134         0.8         
BL_W60_T1.4_D4                     134         0.580        | 284   134         1.2         
BL_W60_T1.4_D6                     134         0.580        | 285   134         1.2         
BL_W60_T1.4_D8                     134         0.580        | 105   134         0.8         
BL_W60_T1.4_D10                    134         0.580        | 17    134         0.5         
BL_W100_T1.4_D2                    134         0.580        | 311   134         1.2         
BL_W100_T1.4_D4                    134         0.580        | 309   134         1.2         
BL_W100_T1.4_D6                    134         0.580        | 288   134         1.2         
BL_W100_T1.4_D8                    134         0.580        | 137   134         0.8         
BL_W100_T1.4_D10                   134         0.580        | 135   134         0.8         
BL_W120_T1.8_D10                   134         0.580        | 4     134         0.5         
BL_W110_T1.4_D4                    134         0.580        | 253   134         1.2         
BL_W110_T1.2_D10                   134         0.580        | 97    134         0.8         
BL_W110_T1.6_D10                   134         0.580        | 167   134         0.8         
BL_W110_T1.6_D8                    134         0.580        | 294   134         1.2         
BL_W110_T1.6_D6                    134         0.580        | 295   134         1.2         
BL_W110_T1.6_D4                    134         0.580        | 303   134         1.2         
BL_W110_T1.6_D2                    134         0.580        | 304   134         1.2         
BL_W70_T1.0_D4                     134         0.580        | 290   134         1.2         
BL_W70_T1.0_D6                     134         0.580        | 289   134         1.2         
BL_W70_T1.0_D8                     134         0.580        | 175   134         0.8         
BL_W70_T1.0_D10                    134         0.580        | 39    134         0.5         
BL_W110_T1.4_D2                    134         0.580        | 251   134         1.2         
BL_W110_T1.2_D8                    134         0.580        | 241   134         1.2         
BL_W110_T1.4_D6                    134         0.580        | 254   134         1.2         
BL_W70_T1.2_D4                     134         0.580        | 317   134         1.2         
BL_W70_T1.2_D6                     134         0.580        | 314   134         1.2         
BL_W70_T1.2_D8                     134         0.580        | 145   134         0.8         
BL_W70_T1.2_D10                    134         0.580        | 36    134         0.5         
BL_W110_T1.4_D8                    134         0.580        | 316   134         1.2         
BL_W110_T1.4_D10                   134         0.580        | 114   134         0.8         
BL_W70_T1.4_D4                     134         0.580        | 188   134         1.2         
BL_W70_T1.4_D6                     134         0.580        | 191   134         1.2         
BL_W70_T1.4_D8                     134         0.580        | 139   134         0.8         
BL_W70_T1.4_D10                    134         0.580        | 38    134         0.5         
BL_W110_T1.0_D4                    134         0.580        | 263   134         1.2         
BL_W120_T1.2_D2                    134         0.580        | 75    134         0.5         
BL_W100_T1.8_D4                    134         0.580        | 301   134         1.2         
BL_W100_T1.8_D6                    134         0.580        | 261   134         1.2         
BL_W100_T1.8_D8                    134         0.580        | 112   134         0.8         
BL_W100_T1.8_D10                   134         0.580        | 113   134         0.8         
BL_W120_T1.0_D10                   134         0.580        | 81    134         0.5         
BL_W120_T1.0_D8                    134         0.580        | 67    134         0.5         
BL_W120_T1.0_D6                    134         0.580        | 71    134         0.5         
BL_W120_T1.0_D4                    134         0.580        | 78    134         0.5         
BL_W120_T1.0_D2                    134         0.580        | 88    134         0.5         
BL_W110_T1.0_D2                    134         0.580        | 276   134         1.2         
BL_W50_T1.0_D4                     134         0.580        | 180   134         1.2         
BL_W110_T1.0_D6                    134         0.580        | 272   134         1.2         
BL_W110_T1.0_D8                    134         0.580        | 273   134         1.2         
BL_W110_T1.0_D10                   134         0.580        | 172   134         0.8         
BL_W110_T1.2_D2                    134         0.580        | 250   134         1.2         
BL_W110_T1.8_D10                   134         0.580        | 158   134         0.8         
BL_W110_T1.8_D8                    134         0.580        | 258   134         1.2         
BL_W110_T1.8_D6                    134         0.580        | 279   134         1.2         
BL_W110_T1.8_D4                    134         0.580        | 168   134         0.8         
BL_W110_T1.8_D2                    134         0.580        | 106   134         0.8         
BL_W110_T1.2_D4                    134         0.580        | 239   134         1.2         
BL_W110_T1.2_D6                    134         0.580        | 240   134         1.2         
BL_W90_T1.2_D8                     134         0.580        | 152   134         0.8         
BL_W90_T1.0_D10                    134         0.580        | 82    134         0.5         
BL_W90_T1.6_D2                     134         0.580        | 228   134         1.2         
BL_W80_T1.4_D2                     135         0.580        | 324   135         1.5         
BL_W80_T1.4_D6                     134         0.580        | 201   134         1.2         
BL_W80_T1.4_D8                     134         0.580        | 170   134         0.8         
BL_W80_T1.4_D10                    134         0.580        | 7     134         0.5         
BL_W50_T1.0_D8                     134         0.580        | 143   134         0.8         
BL_W50_T1.0_D10                    134         0.580        | 68    134         0.5         
BL_W90_T1.2_D6                     134         0.580        | 183   134         1.2         
BL_W100_T1.0_D8                    134         0.580        | 120   134         0.8         
BL_W100_T1.0_D10                   134         0.580        | 94    134         0.8         
BL_W90_T1.6_D4                     134         0.580        | 233   134         1.2         
BL_W80_T1.6_D2                     135         0.580        | 318   135         1.5         
BL_W90_T1.2_D10                    134         0.580        | 50    134         0.5         
BL_W80_T1.6_D6                     134         0.580        | 204   134         1.2         
BL_W80_T1.6_D8                     134         0.580        | 147   134         0.8         
BL_W80_T1.6_D10                    134         0.580        | 3     134         0.5         
BL_W90_T1.4_D10                    134         0.580        | 74    134         0.5         
BL_W90_T1.4_D8                     134         0.580        | 110   134         0.8         
BL_W100_T1.2_D2                    134         0.580        | 185   134         1.2         
BL_W90_T1.4_D6                     134         0.580        | 218   134         1.2         
BL_W90_T1.4_D2                     134         0.580        | 192   134         1.2         
BL_W90_T1.4_D4                     134         0.580        | 190   134         1.2         
BL_W80_T1.2_D6                     134         0.580        | 197   134         1.2         
BL_W120_T2.0_D2                    134         0.580        | 12    134         0.5         
BL_W120_T2.0_D4                    134         0.580        | 13    134         0.5         
BL_W120_T2.0_D6                    134         0.580        | 14    134         0.5         
BL_W120_T2.0_D8                    134         0.580        | 15    134         0.5         
BL_W120_T2.0_D10                   134         0.580        | 18    134         0.5         
BL_W90_T1.6_D8                     134         0.580        | 102   134         0.8         
BL_W90_T1.6_D6                     134         0.580        | 236   134         1.2         
BL_W50_T1.0_D6                     134         0.580        | 291   134         1.2         
BL_W50_T1.2_D6                     134         0.580        | 302   134         1.2         
BL_W50_T1.2_D4                     134         0.580        | 307   134         1.2         
BL_W90_T1.6_D10                    134         0.580        | 76    134         0.5         
BL_W80_T1.2_D8                     134         0.580        | 161   134         0.8         
BL_W90_T1.0_D6                     134         0.580        | 182   134         1.2         
BL_W90_T1.0_D8                     134         0.580        | 116   134         0.8         
BL_W60_T1.0_D4                     134         0.580        | 277   134         1.2         
BL_W60_T1.0_D6                     134         0.580        | 278   134         1.2         
BL_W60_T1.0_D8                     134         0.580        | 166   134         0.8         
BL_W60_T1.0_D10                    134         0.580        | 8     134         0.5         
BL_W80_T1.2_D10                    134         0.580        | 1     134         0.5         
BL_W90_T1.4_D15                    130         0.500        | 384   130         2.7         
BL_W90_T1.6_D15                    130         0.500        | 393   130         2.7         
BL_W90_T1.4_D20                    130         0.500        | 385   130         2.7         
BL_W110_T1.0_D25                   130         0.500        | 391   130         2.7         
BL_W90_T1.4_D25                    130         0.500        | 386   130         2.7         
