=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 58.4 BPM
Valid interval: 519-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 126 mmHg
Confidence: 0.045
95% CI: [124 - 128] mmHg
Agreement: 6051/990 detectors

MAP: 102 mmHg
Est. Diastolic: 89 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W110_T1.4_D25                   143         1.200        | 161   143         3.4         
BL_W110_T1.2_D15                   144         1.200        | 230   144         3.8         
BL_W110_T1.2_D20                   143         1.200        | 162   143         3.4         
BL_W110_T1.2_D25                   143         1.200        | 150   143         3.4         
BL_W110_T1.2_D30                   143         1.200        | 22    143         3.2         
BL_W110_T1.4_D2                    151         1.200        | 583   151         10.5        
BL_W110_T1.4_D4                    151         1.200        | 551   151         10.5        
BL_W110_T1.4_D6                    151         1.200        | 552   151         10.5        
BL_W110_T1.4_D8                    150         1.200        | 534   150         10.1        
BL_W110_T1.4_D10                   144         1.200        | 291   144         3.8         
BL_W110_T1.4_D15                   144         1.200        | 292   144         3.8         
BL_W110_T1.4_D20                   143         1.200        | 159   143         3.4         
BL_W110_T1.2_D10                   144         1.200        | 248   144         3.8         
BL_W110_T1.4_D30                   143         1.200        | 15    143         3.2         
BL_W110_T1.6_D2                    151         1.200        | 558   151         10.5        
BL_W110_T1.6_D4                    151         1.200        | 559   151         10.5        
BL_W110_T1.6_D6                    151         1.200        | 560   151         10.5        
BL_W110_T1.6_D8                    150         1.200        | 531   150         10.1        
BL_W110_T1.6_D10                   144         1.200        | 262   144         3.8         
BL_W70_T1.4_D30                    143         1.200        | 18    143         3.2         
BL_W70_T1.4_D25                    143         1.200        | 102   143         3.4         
BL_W70_T1.4_D20                    143         1.200        | 101   143         3.4         
BL_W70_T1.4_D15                    144         1.200        | 294   144         3.8         
