=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 46.9 BPM
Valid interval: 559-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 131 mmHg
Confidence: 0.050
95% CI: [129 - 133] mmHg
Agreement: 6080/990 detectors

MAP: 108 mmHg
Est. Diastolic: 97 mmHg
Oscillometric MAP Systolic: 129 mmHg
Oscillometric MAP Diastolic: 105 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W70_T1.2_D4                     163         1.200        | 840   163         23.4        
BL_W100_T1.8_D6                    156         1.200        | 674   156         16.0        
BL_W80_T1.4_D6                     163         1.200        | 725   163         22.6        
BL_W80_T1.4_D4                     163         1.200        | 726   163         22.6        
BL_W80_T1.4_D2                     163         1.200        | 728   163         22.6        
BL_W80_T1.2_D6                     163         1.200        | 736   163         23.0        
BL_W80_T1.2_D4                     163         1.200        | 729   163         23.0        
BL_W80_T1.2_D2                     163         1.200        | 737   163         23.0        
BL_W80_T1.0_D6                     163         1.200        | 834   163         23.4        
BL_W70_T1.6_D6                     163         1.200        | 719   163         22.6        
BL_W70_T1.6_D4                     163         1.200        | 716   163         22.6        
BL_W70_T1.6_D2                     163         1.200        | 717   163         22.6        
BL_W70_T1.4_D6                     163         1.200        | 721   163         22.6        
BL_W70_T1.4_D4                     163         1.200        | 720   163         22.6        
BL_W70_T1.4_D2                     163         1.200        | 718   163         22.6        
BL_W70_T1.2_D6                     163         1.200        | 837   163         23.4        
BL_W50_T1.0_D4                     163         1.200        | 828   163         23.4        
BL_W70_T1.2_D2                     163         1.200        | 841   163         23.4        
BL_W70_T1.0_D6                     163         1.200        | 842   163         23.4        
BL_W70_T1.0_D4                     163         1.200        | 843   163         23.4        
BL_W70_T1.0_D2                     163         1.200        | 844   163         23.4        
BL_W60_T1.6_D6                     163         1.200        | 727   163         22.6        
BL_W60_T1.4_D6                     163         1.200        | 741   163         23.0        
BL_W60_T1.4_D4                     163         1.200        | 740   163         23.0        
BL_W60_T1.4_D2                     163         1.200        | 739   163         23.0        
BL_W60_T1.2_D6                     163         1.200        | 832   163         23.4        
BL_W60_T1.2_D4                     163         1.200        | 831   163         23.4        
BL_W60_T1.2_D2                     163         1.200        | 830   163         23.4        
BL_W60_T1.0_D6                     163         1.200        | 853   163         23.4        
BL_W60_T1.0_D4                     163         1.200        | 847   163         23.4        
BL_W60_T1.0_D2                     163         1.200        | 854   163         23.4        
BL_W100_T1.6_D6                    156         1.200        | 675   156         16.0        
BL_W100_T1.0_D6                    163         1.200        | 723   163         22.6        
BL_W90_T1.0_D6                     163         1.200        | 738   163         23.0        
BL_W100_T1.2_D6                    156         1.200        | 676   156         16.0        
BL_W50_T1.2_D4                     163         1.200        | 849   163         23.4        
BL_W50_T1.2_D2                     163         1.200        | 852   163         23.4        
BL_W100_T1.4_D6                    156         1.200        | 677   156         16.0        
BL_W120_T1.2_D8                    151         1.140        | 597   151         11.0        
BL_W90_T1.0_D4                     163         1.140        | 734   163         23.0        
BL_W120_T1.2_D6                    151         1.140        | 639   151         11.2        
BL_W120_T1.0_D8                    151         1.140        | 601   151         11.0        
BL_W120_T1.0_D6                    151         1.140        | 627   151         11.2        
BL_W120_T1.0_D4                    152         1.140        | 661   152         12.4        
BL_W120_T1.0_D2                    152         1.140        | 660   152         12.4        
BL_W90_T1.4_D2                     151         1.140        | 619   151         11.2        
BL_W90_T1.2_D8                     151         1.140        | 618   151         11.2        
BL_W90_T1.2_D6                     153         1.140        | 662   153         13.0        
BL_W90_T1.2_D4                     152         1.140        | 655   152         12.4        
BL_W90_T1.2_D2                     152         1.140        | 656   152         12.4        
BL_W90_T1.0_D8                     151         1.140        | 632   151         11.2        
BL_W50_T1.0_D2                     163         1.140        | 838   163         23.4        
BL_W60_T1.6_D2                     151         1.140        | 584   151         11.0        
BL_W100_T1.0_D2                    163         1.140        | 724   163         22.6        
BL_W90_T1.6_D8                     151         1.140        | 622   151         11.2        
BL_W90_T1.6_D6                     153         1.140        | 670   153         13.0        
BL_W90_T1.6_D4                     151         1.140        | 571   151         11.0        
BL_W90_T1.6_D2                     151         1.140        | 570   151         11.0        
BL_W90_T1.4_D8                     151         1.140        | 613   151         11.2        
BL_W90_T1.4_D6                     153         1.140        | 663   153         13.0        
BL_W90_T1.4_D4                     151         1.140        | 629   151         11.2        
BL_W120_T1.4_D2                    151         1.140        | 596   151         11.0        
BL_W60_T1.6_D4                     151         1.140        | 628   151         11.2        
BL_W120_T1.8_D8                    151         1.140        | 590   151         11.0        
BL_W120_T1.6_D8                    151         1.140        | 591   151         11.0        
BL_W120_T1.6_D6                    151         1.140        | 608   151         11.2        
BL_W120_T1.4_D8                    151         1.140        | 594   151         11.0        
BL_W120_T1.4_D6                    151         1.140        | 610   151         11.2        
BL_W120_T1.4_D4                    151         1.140        | 595   151         11.0        
BL_W80_T1.6_D4                     151         1.140        | 566   151         11.0        
BL_W80_T1.0_D8                     151         1.140        | 606   151         11.0        
BL_W100_T1.2_D4                    151         1.140        | 645   151         11.2        
BL_W100_T1.4_D2                    151         1.140        | 633   151         11.2        
BL_W80_T1.2_D8                     151         1.140        | 602   151         11.0        
BL_W100_T1.4_D4                    151         1.140        | 630   151         11.2        
BL_W100_T1.6_D2                    151         1.140        | 605   151         11.0        
BL_W80_T1.4_D8                     151         1.140        | 586   151         11.0        
BL_W80_T1.6_D2                     151         1.140        | 579   151         11.0        
BL_W100_T1.2_D2                    151         1.140        | 646   151         11.2        
BL_W80_T1.6_D6                     156         1.140        | 693   156         16.4        
BL_W80_T1.6_D8                     151         1.140        | 573   151         11.0        
BL_W110_T1.0_D6                    152         1.140        | 649   152         12.4        
BL_W110_T1.0_D4                    156         1.140        | 684   156         16.0        
BL_W110_T1.0_D2                    156         1.140        | 685   156         16.0        
BL_W100_T1.6_D4                    151         1.140        | 607   151         11.0        
BL_W100_T1.8_D4                    151         1.140        | 549   151         10.6        
BL_W100_T1.8_D2                    151         1.140        | 550   151         10.6        
BL_W110_T1.4_D6                    152         1.140        | 650   152         12.4        
BL_W100_T1.0_D4                    163         1.140        | 722   163         22.6        
BL_W110_T1.8_D10                   151         1.140        | 548   151         10.6        
BL_W110_T1.8_D6                    152         1.140        | 647   152         12.4        
BL_W110_T1.6_D10                   151         1.140        | 544   151         10.6        
BL_W110_T1.6_D6                    152         1.140        | 653   152         12.4        
BL_W110_T1.6_D4                    151         1.140        | 565   151         11.0        
BL_W110_T1.6_D2                    151         1.140        | 574   151         11.0        
BL_W110_T1.4_D10                   151         1.140        | 542   151         10.6        
BL_W90_T1.0_D2                     163         1.140        | 730   163         23.0        
BL_W110_T1.4_D4                    151         1.140        | 553   151         11.0        
BL_W110_T1.4_D2                    151         1.140        | 576   151         11.0        
BL_W110_T1.2_D10                   151         1.140        | 543   151         10.6        
BL_W110_T1.2_D6                    152         1.140        | 652   152         12.4        
BL_W110_T1.0_D10                   151         1.140        | 551   151         10.6        
BL_W80_T1.0_D2                     163         1.140        | 836   163         23.4        
BL_W80_T1.0_D4                     163         1.140        | 835   163         23.4        
BL_W130_T1.6_D6                    151         1.140        | 617   151         11.2        
BL_W130_T1.8_D6                    151         1.140        | 640   151         11.2        
BL_W130_T1.8_D8                    151         1.140        | 583   151         11.0        
BL_W130_T1.2_D6                    151         1.140        | 641   151         11.2        
BL_W130_T1.4_D8                    151         1.140        | 561   151         11.0        
BL_W130_T1.4_D6                    151         1.140        | 623   151         11.2        
BL_W130_T1.4_D4                    151         1.140        | 588   151         11.0        
BL_W130_T1.2_D8                    151         1.140        | 592   151         11.0        
BL_W130_T1.0_D8                    151         1.140        | 557   151         11.0        
BL_W130_T2.0_D8                    151         1.140        | 603   151         11.0        
BL_W130_T1.6_D4                    151         1.140        | 541   151         10.6        
BL_W130_T1.4_D2                    151         1.140        | 587   151         11.0        
BL_W130_T1.6_D2                    151         1.140        | 547   151         10.6        
BL_W130_T1.0_D6                    151         1.140        | 635   151         11.2        
BL_W130_T1.0_D4                    151         1.140        | 636   151         11.2        
BL_W130_T1.0_D2                    151         1.140        | 637   151         11.2        
BL_W130_T1.6_D8                    151         1.140        | 589   151         11.0        
