=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 64.3 BPM
Valid interval: 500-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 88 mmHg
Confidence: 0.069
95% CI: [85 - 92] mmHg
Agreement: 5597/990 detectors

MAP: 80 mmHg
Est. Diastolic: 76 mmHg
Oscillometric MAP Systolic: 99 mmHg
Oscillometric MAP Diastolic: 78 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W100_T1.0_D30                   60          0.580        | 647   60          30.5        
BL_W100_T1.0_D25                   60          0.580        | 652   60          30.5        
BL_W100_T1.0_D6                    104         0.580        | 597   104         14.5        
BL_W100_T1.0_D2                    104         0.580        | 596   104         14.5        
BL_W100_T1.0_D4                    104         0.580        | 592   104         14.5        
BL_W100_T1.0_D40                   60          0.580        | 640   60          30.5        
BL_W100_T1.0_D8                    104         0.580        | 598   104         14.5        
BL_W100_T1.0_D10                   104         0.580        | 599   104         14.5        
BL_W130_T1.0_D10                   100         0.500        | 510   100         10.1        
BL_W130_T1.0_D6                    100         0.500        | 512   100         10.1        
BL_W100_T1.0_D20                   60          0.500        | 653   60          30.5        
BL_W90_T1.0_D25                    55          0.500        | 658   55          34.6        
BL_W80_T1.4_D15                    101         0.500        | 556   101         11.3        
BL_W120_T1.0_D40                   55          0.500        | 668   55          34.6        
BL_W120_T1.0_D30                   55          0.500        | 667   55          34.6        
BL_W90_T1.0_D30                    55          0.500        | 664   55          34.6        
BL_W70_T1.0_D2                     101         0.500        | 546   101         11.3        
BL_W70_T1.0_D4                     101         0.500        | 545   101         11.3        
BL_W130_T1.0_D8                    100         0.500        | 511   100         10.1        
BL_W70_T1.0_D8                     101         0.500        | 543   101         11.3        
BL_W130_T1.0_D4                    100         0.500        | 513   100         10.1        
BL_W130_T1.0_D2                    100         0.500        | 509   100         10.1        
BL_W60_T1.0_D10                    102         0.500        | 571   102         11.8        
BL_W60_T1.0_D8                     102         0.500        | 572   102         11.8        
BL_W60_T1.0_D6                     102         0.500        | 573   102         11.8        
BL_W60_T1.0_D4                     102         0.500        | 574   102         11.8        
BL_W60_T1.0_D2                     102         0.500        | 575   102         11.8        
BL_W90_T1.0_D2                     101         0.500        | 517   101         11.3        
BL_W90_T1.0_D4                     101         0.500        | 516   101         11.3        
BL_W90_T1.0_D6                     101         0.500        | 514   101         11.3        
BL_W90_T1.0_D8                     101         0.500        | 522   101         11.3        
BL_W90_T1.0_D10                    101         0.500        | 523   101         11.3        
BL_W90_T1.0_D15                    101         0.500        | 524   101         11.3        
BL_W90_T1.0_D20                    55          0.500        | 663   55          34.6        
BL_W80_T1.0_D40                    55          0.500        | 659   55          34.6        
BL_W90_T1.2_D15                    101         0.500        | 550   101         11.3        
BL_W90_T1.2_D10                    101         0.500        | 541   101         11.3        
BL_W90_T1.2_D8                     101         0.500        | 529   101         11.3        
BL_W90_T1.2_D6                     101         0.500        | 528   101         11.3        
BL_W90_T1.2_D4                     101         0.500        | 527   101         11.3        
BL_W80_T1.0_D2                     101         0.500        | 521   101         11.3        
BL_W80_T1.0_D4                     101         0.500        | 519   101         11.3        
BL_W80_T1.0_D6                     101         0.500        | 515   101         11.3        
BL_W80_T1.0_D8                     101         0.500        | 564   101         11.3        
BL_W80_T1.0_D10                    101         0.500        | 562   101         11.3        
BL_W80_T1.0_D15                    101         0.500        | 561   101         11.3        
BL_W90_T1.2_D2                     101         0.500        | 525   101         11.3        
BL_W80_T1.0_D25                    55          0.500        | 661   55          34.6        
BL_W80_T1.0_D30                    55          0.500        | 660   55          34.6        
BL_W70_T1.0_D6                     101         0.500        | 544   101         11.3        
BL_W80_T1.2_D2                     101         0.500        | 555   101         11.3        
BL_W80_T1.2_D4                     101         0.500        | 554   101         11.3        
BL_W80_T1.2_D6                     101         0.500        | 553   101         11.3        
BL_W70_T1.2_D15                    101         0.500        | 540   101         11.3        
BL_W80_T1.2_D8                     101         0.500        | 552   101         11.3        
BL_W80_T1.2_D10                    101         0.500        | 551   101         11.3        
BL_W80_T1.2_D15                    101         0.500        | 569   101         11.3        
BL_W90_T1.0_D40                    55          0.500        | 665   55          34.6        
BL_W110_T1.0_D30                   55          0.500        | 670   55          34.6        
BL_W110_T1.0_D40                   55          0.500        | 669   55          34.6        
BL_W90_T1.4_D15                    101         0.500        | 548   101         11.3        
BL_W70_T1.0_D15                    101         0.500        | 530   101         11.3        
BL_W70_T1.0_D10                    101         0.500        | 542   101         11.3        
BL_W120_T1.0_D25                   55          0.420        | 666   55          34.6        
BL_W110_T1.0_D25                   55          0.420        | 671   55          34.6        
BL_W80_T1.0_D20                    55          0.420        | 662   55          34.6        
BL_W100_T1.0_D15                   90          0.340        | 69    90          0.0         
BL_W90_T2.2_D15                    101         0.340        | 567   101         11.3        
