=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 71.5 BPM
Valid interval: 463-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 92 mmHg
Confidence: 0.095
95% CI: [90 - 94] mmHg
Agreement: 3762/990 detectors

MAP: 93 mmHg
Est. Diastolic: 93 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T1.0_D6                    112         1.200        | 815   112         19.7        
BL_W120_T1.0_D15                   108         1.200        | 716   108         15.6        
BL_W120_T1.2_D2                    112         1.200        | 882   112         19.7        
BL_W120_T1.2_D4                    112         1.200        | 883   112         19.7        
BL_W120_T1.2_D6                    112         1.200        | 884   112         19.7        
BL_W120_T1.2_D8                    112         1.200        | 853   112         19.7        
BL_W120_T1.2_D10                   112         1.200        | 857   112         19.7        
BL_W120_T1.2_D15                   108         1.200        | 727   108         15.6        
BL_W130_T1.0_D2                    112         1.200        | 813   112         19.7        
BL_W120_T1.0_D10                   112         1.200        | 881   112         19.7        
BL_W130_T1.0_D8                    112         1.200        | 816   112         19.7        
BL_W130_T1.0_D10                   112         1.200        | 818   112         19.7        
BL_W130_T1.0_D15                   108         1.200        | 721   108         15.6        
BL_W130_T1.2_D2                    112         1.200        | 812   112         19.7        
BL_W130_T1.2_D4                    112         1.200        | 817   112         19.7        
BL_W130_T1.2_D6                    112         1.200        | 819   112         19.7        
BL_W130_T1.2_D8                    112         1.200        | 821   112         19.7        
BL_W110_T1.0_D8                    112         1.200        | 870   112         19.7        
BL_W110_T1.2_D6                    112         1.200        | 862   112         19.7        
BL_W110_T1.2_D8                    112         1.200        | 875   112         19.7        
BL_W110_T1.2_D10                   112         1.200        | 876   112         19.7        
BL_W110_T1.2_D15                   111         1.200        | 787   111         19.4        
BL_W110_T1.2_D4                    112         1.200        | 873   112         19.7        
BL_W110_T1.2_D2                    112         1.200        | 872   112         19.7        
BL_W110_T1.0_D15                   111         1.200        | 785   111         19.4        
BL_W110_T1.0_D10                   112         1.200        | 871   112         19.7        
BL_W130_T1.0_D4                    112         1.200        | 814   112         19.7        
BL_W110_T1.0_D6                    112         1.200        | 869   112         19.7        
BL_W110_T1.0_D4                    112         1.200        | 868   112         19.7        
BL_W110_T1.0_D2                    112         1.200        | 867   112         19.7        
BL_W120_T1.0_D2                    112         1.200        | 877   112         19.7        
BL_W120_T1.0_D4                    112         1.200        | 878   112         19.7        
BL_W120_T1.0_D6                    112         1.200        | 879   112         19.7        
BL_W120_T1.0_D8                    112         1.200        | 880   112         19.7        
BL_W130_T1.2_D15                   108         1.200        | 743   108         15.6        
BL_W80_T1.0_D2                     112         1.200        | 907   112         20.0        
BL_W80_T1.0_D4                     112         1.200        | 908   112         20.0        
BL_W80_T1.0_D6                     112         1.200        | 946   112         20.0        
BL_W80_T1.0_D8                     112         1.200        | 936   112         20.0        
BL_W80_T1.0_D10                    112         1.200        | 926   112         20.0        
BL_W80_T1.0_D15                    112         1.200        | 847   112         19.7        
BL_W90_T1.0_D2                     112         1.200        | 933   112         20.0        
BL_W90_T1.0_D4                     112         1.200        | 934   112         20.0        
BL_W90_T1.0_D6                     112         1.200        | 935   112         20.0        
BL_W90_T1.0_D8                     112         1.200        | 927   112         20.0        
BL_W90_T1.0_D10                    112         1.200        | 937   112         20.0        
BL_W90_T1.0_D15                    112         1.200        | 825   112         19.7        
BL_W100_T1.0_D2                    112         1.200        | 955   112         20.0        
BL_W100_T1.0_D4                    112         1.200        | 954   112         20.0        
BL_W100_T1.0_D10                   112         1.200        | 951   112         20.0        
BL_W130_T1.2_D10                   112         1.200        | 822   112         19.7        
BL_W100_T1.0_D15                   112         1.200        | 840   112         19.7        
BL_W100_T1.0_D8                    112         1.200        | 952   112         20.0        
BL_W100_T1.0_D6                    112         1.200        | 953   112         20.0        
BL_W110_T1.0_D25                   95          0.980        | 489   95          2.9         
BL_W80_T1.0_D20                    95          0.980        | 501   95          2.9         
BL_W80_T1.0_D25                    95          0.980        | 500   95          2.9         
BL_W130_T1.0_D25                   95          0.980        | 609   95          2.9         
BL_W130_T1.0_D20                   95          0.980        | 608   95          2.9         
BL_W100_T1.0_D20                   95          0.980        | 346   95          2.9         
BL_W100_T1.0_D25                   95          0.980        | 345   95          2.9         
BL_W130_T1.2_D25                   95          0.980        | 599   95          2.9         
BL_W120_T1.0_D20                   95          0.980        | 431   95          2.9         
BL_W120_T1.0_D25                   95          0.980        | 430   95          2.9         
BL_W130_T1.2_D20                   95          0.980        | 612   95          2.9         
BL_W110_T1.0_D20                   95          0.980        | 490   95          2.9         
BL_W90_T1.0_D20                    95          0.980        | 611   95          2.9         
BL_W90_T1.0_D25                    95          0.980        | 610   95          2.9         
BL_W110_T1.2_D25                   95          0.980        | 483   95          2.9         
BL_W120_T1.2_D20                   95          0.980        | 426   95          2.9         
BL_W120_T1.2_D25                   95          0.980        | 425   95          2.9         
BL_W110_T1.2_D20                   95          0.980        | 484   95          2.9         
BL_W100_T1.2_D8                    112         0.960        | 874   112         19.7        
BL_W70_T1.0_D2                     112         0.960        | 919   112         20.0        
BL_W70_T1.0_D4                     112         0.960        | 920   112         20.0        
BL_W70_T1.0_D6                     112         0.960        | 921   112         20.0        
BL_W70_T1.0_D8                     112         0.960        | 922   112         20.0        
BL_W70_T1.0_D10                    112         0.960        | 923   112         20.0        
BL_W100_T1.2_D2                    112         0.960        | 841   112         19.7        
BL_W60_T1.2_D8                     112         0.960        | 911   112         20.0        
BL_W100_T1.2_D4                    112         0.960        | 842   112         19.7        
BL_W60_T1.0_D2                     123         0.960        | 978   123         30.7        
BL_W100_T1.2_D10                   112         0.960        | 896   112         19.7        
BL_W100_T1.2_D6                    112         0.960        | 893   112         19.7        
BL_W60_T1.0_D4                     123         0.960        | 979   123         30.7        
BL_W60_T1.0_D6                     123         0.960        | 980   123         30.7        
BL_W100_T1.2_D15                   112         0.960        | 888   112         19.7        
BL_W50_T1.0_D2                     123         0.960        | 984   123         30.9        
BL_W50_T1.0_D4                     123         0.960        | 985   123         30.9        
BL_W60_T1.2_D10                    112         0.960        | 910   112         20.0        
BL_W60_T1.0_D8                     123         0.960        | 981   123         30.7        
BL_W60_T1.0_D10                    123         0.960        | 982   123         30.7        
BL_W60_T1.2_D2                     112         0.960        | 902   112         20.0        
BL_W60_T1.2_D4                     112         0.960        | 913   112         20.0        
BL_W60_T1.2_D6                     112         0.960        | 912   112         20.0        
BL_W50_T1.0_D10                    112         0.960        | 943   112         20.0        
BL_W50_T1.2_D10                    112         0.960        | 929   112         20.0        
BL_W50_T1.2_D8                     112         0.960        | 930   112         20.0        
BL_W50_T1.2_D6                     112         0.960        | 932   112         20.0        
BL_W50_T1.2_D4                     112         0.960        | 931   112         20.0        
BL_W50_T1.2_D2                     112         0.960        | 928   112         20.0        
BL_W50_T1.0_D6                     123         0.960        | 983   123         30.9        
BL_W50_T1.0_D8                     112         0.960        | 944   112         20.0        
BL_W70_T1.0_D15                    108         0.912        | 735   108         15.6        
BL_W70_T1.2_D2                     112         0.912        | 924   112         20.0        
BL_W70_T1.2_D4                     112         0.912        | 925   112         20.0        
BL_W70_T1.2_D6                     112         0.912        | 900   112         20.0        
BL_W70_T1.2_D8                     112         0.912        | 918   112         20.0        
BL_W70_T1.2_D10                    112         0.912        | 899   112         20.0        
BL_W90_T1.2_D15                    112         0.912        | 826   112         19.7        
BL_W90_T1.2_D10                    112         0.912        | 942   112         20.0        
BL_W90_T1.2_D8                     112         0.912        | 941   112         20.0        
BL_W90_T1.2_D4                     112         0.912        | 939   112         20.0        
BL_W90_T1.2_D2                     112         0.912        | 938   112         20.0        
BL_W90_T1.2_D6                     112         0.912        | 940   112         20.0        
BL_W80_T1.2_D10                    112         0.912        | 945   112         20.0        
BL_W70_T1.4_D6                     112         0.912        | 846   112         19.7        
BL_W70_T1.4_D4                     112         0.912        | 845   112         19.7        
BL_W70_T1.4_D8                     112         0.912        | 898   112         20.0        
BL_W70_T1.4_D2                     112         0.912        | 844   112         19.7        
BL_W80_T1.2_D2                     112         0.912        | 947   112         20.0        
BL_W70_T1.4_D10                    112         0.912        | 901   112         20.0        
BL_W80_T1.2_D4                     112         0.912        | 948   112         20.0        
BL_W80_T1.2_D6                     112         0.912        | 949   112         20.0        
BL_W80_T1.2_D8                     112         0.912        | 950   112         20.0        
BL_W80_T1.2_D15                    112         0.912        | 848   112         19.7        
BL_W130_T1.0_D30                   93          0.900        | 2     93          0.5         
BL_W110_T1.2_D40                   93          0.900        | 125   93          0.5         
BL_W130_T1.0_D40                   93          0.900        | 3     93          0.5         
BL_W100_T1.0_D40                   93          0.900        | 175   93          0.5         
BL_W110_T1.2_D30                   93          0.900        | 126   93          0.5         
BL_W100_T1.0_D30                   93          0.900        | 176   93          0.5         
BL_W130_T1.2_D30                   93          0.900        | 8     93          0.5         
BL_W130_T1.2_D40                   93          0.900        | 1     93          0.5         
BL_W110_T1.0_D30                   93          0.900        | 128   93          0.5         
BL_W110_T1.0_D40                   93          0.900        | 127   93          0.5         
BL_W120_T1.2_D40                   93          0.900        | 143   93          0.5         
BL_W120_T1.0_D30                   93          0.900        | 146   93          0.5         
BL_W80_T1.0_D40                    93          0.900        | 94    93          0.5         
BL_W120_T1.0_D40                   93          0.900        | 145   93          0.5         
BL_W120_T1.2_D30                   93          0.900        | 144   93          0.5         
BL_W90_T1.0_D40                    93          0.900        | 4     93          0.5         
BL_W90_T1.0_D30                    93          0.900        | 5     93          0.5         
BL_W80_T1.0_D30                    93          0.900        | 95    93          0.5         
BL_W70_T1.4_D15                    108         0.848        | 725   108         15.6        
BL_W70_T1.2_D15                    108         0.848        | 734   108         15.6        
BL_W120_T1.4_D2                    108         0.784        | 719   108         15.6        
BL_W120_T1.4_D8                    108         0.784        | 731   108         15.6        
BL_W130_T1.4_D2                    107         0.784        | 705   107         15.2        
BL_W130_T1.4_D4                    107         0.784        | 704   107         15.2        
BL_W130_T1.4_D6                    107         0.784        | 708   107         15.2        
BL_W130_T1.4_D8                    107         0.784        | 709   107         15.2        
BL_W130_T1.4_D10                   107         0.784        | 707   107         15.2        
BL_W130_T1.4_D15                   108         0.784        | 738   108         15.6        
BL_W120_T1.4_D4                    108         0.784        | 729   108         15.6        
BL_W120_T1.4_D6                    108         0.784        | 730   108         15.6        
BL_W120_T1.4_D10                   108         0.784        | 732   108         15.6        
BL_W120_T1.4_D15                   108         0.784        | 733   108         15.6        
BL_W50_T1.0_D15                    95          0.720        | 663   95          3.5         
BL_W50_T1.0_D20                    95          0.720        | 421   95          2.9         
BL_W50_T1.0_D25                    95          0.720        | 424   95          2.9         
BL_W70_T1.0_D20                    95          0.720        | 567   95          2.9         
BL_W50_T1.2_D25                    95          0.720        | 382   95          2.9         
BL_W50_T1.2_D20                    95          0.720        | 381   95          2.9         
BL_W50_T1.2_D15                    95          0.720        | 659   95          3.5         
BL_W70_T1.0_D25                    95          0.720        | 566   95          2.9         
BL_W60_T1.0_D15                    95          0.720        | 660   95          3.5         
BL_W60_T1.0_D20                    95          0.720        | 342   95          2.9         
BL_W60_T1.0_D25                    95          0.720        | 341   95          2.9         
BL_W60_T1.2_D15                    95          0.720        | 656   95          3.5         
BL_W60_T1.2_D20                    95          0.720        | 363   95          2.9         
BL_W60_T1.2_D25                    95          0.720        | 336   95          2.9         
BL_W100_T1.2_D25                   95          0.720        | 377   95          2.9         
BL_W100_T1.2_D20                   95          0.720        | 378   95          2.9         
BL_W80_T1.6_D15                    112         0.660        | 855   112         19.7        
BL_W110_T1.8_D15                   111         0.660        | 796   111         19.4        
BL_W100_T1.8_D15                   112         0.660        | 897   112         19.7        
BL_W100_T1.2_D40                   93          0.656        | 167   93          0.5         
BL_W70_T1.4_D25                    95          0.656        | 554   95          2.9         
BL_W70_T1.4_D20                    95          0.656        | 555   95          2.9         
BL_W70_T1.0_D30                    93          0.656        | 77    93          0.5         
BL_W50_T1.0_D30                    93          0.656        | 294   93          0.5         
BL_W60_T1.0_D30                    93          0.656        | 280   93          0.5         
BL_W50_T1.2_D30                    93          0.656        | 282   93          0.5         
BL_W50_T1.2_D40                    93          0.656        | 283   93          0.5         
BL_W60_T1.0_D40                    93          0.656        | 279   93          0.5         
BL_W50_T1.0_D40                    93          0.656        | 298   93          0.5         
BL_W60_T1.2_D30                    93          0.656        | 296   93          0.5         
BL_W60_T1.2_D40                    93          0.656        | 285   93          0.5         
BL_W70_T1.2_D25                    95          0.656        | 561   95          2.9         
BL_W70_T1.2_D20                    95          0.656        | 562   95          2.9         
BL_W70_T1.0_D40                    93          0.656        | 76    93          0.5         
BL_W100_T1.2_D30                   93          0.656        | 168   93          0.5         
BL_W70_T1.2_D30                    93          0.592        | 75    93          0.5         
BL_W90_T1.4_D4                     112         0.592        | 828   112         19.7        
BL_W70_T1.2_D40                    93          0.592        | 74    93          0.5         
BL_W70_T1.4_D30                    93          0.592        | 71    93          0.5         
BL_W70_T1.4_D40                    93          0.592        | 70    93          0.5         
BL_W80_T1.4_D2                     112         0.592        | 849   112         19.7        
BL_W80_T1.4_D4                     112         0.592        | 850   112         19.7        
BL_W80_T1.4_D6                     112         0.592        | 851   112         19.7        
BL_W90_T1.6_D15                    112         0.592        | 823   112         19.7        
BL_W100_T1.6_D15                   112         0.592        | 895   112         19.7        
BL_W100_T1.4_D15                   112         0.592        | 894   112         19.7        
BL_W100_T1.4_D10                   112         0.592        | 886   112         19.7        
BL_W100_T1.4_D8                    112         0.592        | 885   112         19.7        
BL_W100_T1.4_D6                    112         0.592        | 889   112         19.7        
BL_W100_T1.4_D4                    112         0.592        | 890   112         19.7        
BL_W100_T1.4_D2                    112         0.592        | 891   112         19.7        
BL_W120_T1.4_D20                   95          0.592        | 423   95          2.9         
BL_W120_T1.4_D25                   95          0.592        | 408   95          2.9         
BL_W130_T1.4_D20                   95          0.592        | 534   95          2.9         
BL_W90_T1.4_D15                    112         0.592        | 832   112         19.7        
BL_W90_T1.4_D10                    112         0.592        | 831   112         19.7        
BL_W90_T1.4_D8                     112         0.592        | 830   112         19.7        
BL_W90_T1.4_D2                     112         0.592        | 827   112         19.7        
BL_W80_T1.4_D10                    112         0.592        | 843   112         19.7        
BL_W80_T1.4_D15                    112         0.592        | 854   112         19.7        
BL_W80_T1.4_D8                     112         0.592        | 852   112         19.7        
BL_W110_T1.4_D15                   111         0.592        | 793   111         19.4        
BL_W110_T1.6_D15                   111         0.592        | 791   111         19.4        
BL_W130_T1.4_D25                   95          0.592        | 535   95          2.9         
BL_W90_T1.4_D6                     112         0.592        | 829   112         19.7        
BL_W100_T2.8_D15                   112         0.580        | 865   112         19.7        
BL_W100_T2.6_D15                   112         0.580        | 864   112         19.7        
BL_W110_T3.0_D15                   111         0.580        | 807   111         19.4        
BL_W100_T2.4_D15                   112         0.580        | 863   112         19.7        
BL_W100_T2.2_D15                   112         0.580        | 887   112         19.7        
BL_W100_T2.0_D15                   112         0.580        | 892   112         19.7        
BL_W110_T2.6_D15                   111         0.580        | 798   111         19.4        
BL_W110_T2.4_D15                   111         0.580        | 797   111         19.4        
BL_W110_T2.2_D15                   111         0.580        | 804   111         19.4        
BL_W110_T2.0_D15                   111         0.580        | 799   111         19.4        
BL_W110_T2.8_D15                   111         0.580        | 803   111         19.4        
BL_W100_T3.0_D15                   112         0.580        | 866   112         19.7        
BL_W90_T2.0_D15                    112         0.580        | 820   112         19.7        
BL_W120_T2.0_D15                   108         0.580        | 726   108         15.6        
BL_W90_T3.0_D15                    112         0.580        | 839   112         19.7        
BL_W90_T2.8_D15                    112         0.580        | 838   112         19.7        
BL_W90_T2.6_D15                    112         0.580        | 837   112         19.7        
BL_W90_T2.4_D15                    112         0.580        | 836   112         19.7        
BL_W90_T2.2_D15                    112         0.580        | 835   112         19.7        
BL_W90_T1.8_D15                    112         0.580        | 834   112         19.7        
BL_W130_T2.0_D15                   108         0.580        | 755   108         15.6        
BL_W80_T3.0_D15                    112         0.580        | 824   112         19.7        
BL_W80_T2.8_D15                    112         0.580        | 833   112         19.7        
BL_W80_T2.6_D15                    112         0.580        | 861   112         19.7        
BL_W80_T2.4_D15                    112         0.580        | 860   112         19.7        
BL_W80_T2.2_D15                    112         0.580        | 859   112         19.7        
BL_W80_T2.0_D15                    112         0.580        | 858   112         19.7        
BL_W80_T1.8_D15                    112         0.580        | 856   112         19.7        
BL_W120_T1.8_D15                   108         0.528        | 728   108         15.6        
BL_W130_T1.4_D40                   93          0.528        | 91    93          0.5         
BL_W130_T1.6_D15                   108         0.528        | 742   108         15.6        
BL_W110_T1.6_D8                    107         0.528        | 711   107         15.2        
BL_W110_T1.6_D6                    107         0.528        | 712   107         15.2        
BL_W110_T1.6_D4                    107         0.528        | 713   107         15.2        
BL_W110_T1.6_D2                    107         0.528        | 706   107         15.2        
BL_W130_T1.4_D30                   93          0.528        | 88    93          0.5         
BL_W110_T1.4_D10                   108         0.528        | 748   108         15.6        
BL_W110_T1.4_D8                    108         0.528        | 749   108         15.6        
BL_W130_T1.8_D15                   108         0.528        | 756   108         15.6        
BL_W110_T1.4_D6                    108         0.528        | 750   108         15.6        
BL_W110_T1.4_D4                    108         0.528        | 751   108         15.6        
BL_W110_T1.4_D2                    108         0.528        | 739   108         15.6        
BL_W110_T1.6_D10                   107         0.528        | 710   107         15.2        
BL_W120_T1.4_D30                   93          0.528        | 142   93          0.5         
BL_W120_T1.4_D40                   93          0.528        | 141   93          0.5         
BL_W120_T1.6_D15                   108         0.528        | 736   108         15.6        
BL_W130_T2.6_D15                   108         0.500        | 714   108         15.6        
BL_W70_T2.4_D15                    108         0.500        | 744   108         15.6        
BL_W70_T3.0_D15                    108         0.500        | 753   108         15.6        
BL_W70_T2.6_D15                    108         0.500        | 740   108         15.6        
BL_W130_T2.8_D15                   108         0.500        | 722   108         15.6        
BL_W120_T2.2_D15                   108         0.500        | 754   108         15.6        
BL_W70_T1.8_D15                    108         0.500        | 720   108         15.6        
BL_W110_T1.8_D10                   104         0.500        | 695   104         11.7        
BL_W70_T2.2_D15                    108         0.500        | 745   108         15.6        
BL_W70_T1.6_D15                    108         0.500        | 718   108         15.6        
BL_W130_T3.0_D15                   108         0.500        | 724   108         15.6        
BL_W130_T2.2_D15                   108         0.500        | 737   108         15.6        
BL_W120_T3.0_D15                   108         0.500        | 715   108         15.6        
BL_W70_T2.8_D15                    108         0.500        | 746   108         15.6        
BL_W70_T2.0_D15                    108         0.500        | 752   108         15.6        
BL_W120_T2.8_D15                   108         0.500        | 747   108         15.6        
BL_W120_T2.4_D15                   108         0.500        | 723   108         15.6        
BL_W130_T2.4_D15                   108         0.500        | 741   108         15.6        
BL_W120_T2.6_D15                   108         0.500        | 717   108         15.6        
BL_W130_T1.6_D4                    103         0.464        | 685   103         11.3        
BL_W120_T1.6_D2                    103         0.464        | 693   103         11.3        
BL_W120_T1.6_D4                    103         0.464        | 691   103         11.3        
BL_W120_T1.6_D8                    103         0.464        | 692   103         11.3        
BL_W120_T1.6_D10                   103         0.464        | 684   103         11.3        
BL_W120_T1.6_D6                    103         0.464        | 690   103         11.3        
BL_W130_T1.6_D2                    103         0.464        | 686   103         11.3        
BL_W130_T1.6_D6                    103         0.464        | 687   103         11.3        
BL_W130_T1.6_D8                    103         0.464        | 688   103         11.3        
BL_W130_T1.6_D10                   103         0.464        | 689   103         11.3        
BL_W60_T1.4_D15                    75          0.420        | 780   75          17.1        
BL_W50_T1.4_D6                     75          0.420        | 769   75          16.8        
BL_W50_T1.4_D4                     75          0.420        | 757   75          16.8        
BL_W120_T2.0_D10                   100         0.420        | 681   100         7.6         
BL_W80_T1.2_D30                    75          0.420        | 771   75          17.1        
BL_W110_T2.4_D10                   104         0.420        | 694   104         11.7        
BL_W110_T2.2_D10                   104         0.420        | 697   104         11.7        
BL_W90_T1.2_D20                    75          0.420        | 770   75          16.8        
BL_W90_T1.2_D25                    75          0.420        | 766   75          16.8        
BL_W90_T1.2_D30                    75          0.420        | 762   75          16.8        
BL_W90_T1.2_D40                    75          0.420        | 758   75          16.8        
BL_W110_T2.0_D10                   104         0.420        | 700   104         11.7        
BL_W80_T1.2_D40                    75          0.420        | 777   75          17.1        
BL_W50_T1.4_D8                     75          0.420        | 767   75          16.8        
BL_W80_T1.2_D25                    75          0.420        | 782   75          17.1        
BL_W80_T1.2_D20                    75          0.420        | 775   75          17.1        
BL_W50_T1.4_D40                    75          0.420        | 759   75          16.8        
BL_W50_T1.4_D30                    75          0.420        | 760   75          16.8        
BL_W50_T1.4_D25                    75          0.420        | 761   75          16.8        
BL_W50_T1.4_D20                    75          0.420        | 763   75          16.8        
BL_W50_T1.4_D15                    75          0.420        | 764   75          16.8        
BL_W50_T1.4_D10                    75          0.420        | 765   75          16.8        
BL_W60_T1.4_D40                    75          0.420        | 772   75          17.1        
BL_W60_T1.4_D20                    75          0.420        | 784   75          17.1        
BL_W60_T1.4_D4                     75          0.420        | 774   75          17.1        
BL_W60_T1.4_D6                     75          0.420        | 776   75          17.1        
BL_W60_T1.4_D8                     75          0.420        | 783   75          17.1        
BL_W60_T1.4_D10                    75          0.420        | 781   75          17.1        
BL_W50_T1.4_D2                     75          0.420        | 768   75          16.8        
BL_W130_T2.0_D10                   99          0.420        | 676   99          7.2         
BL_W60_T1.4_D25                    75          0.420        | 778   75          17.1        
BL_W60_T1.4_D30                    75          0.420        | 779   75          17.1        
BL_W60_T1.4_D2                     75          0.420        | 773   75          17.1        
BL_W120_T1.8_D10                   100         0.400        | 680   100         7.6         
BL_W130_T1.8_D10                   99          0.400        | 675   99          7.2         
BL_W80_T1.4_D20                    72          0.340        | 811   72          19.6        
BL_W80_T1.4_D25                    72          0.340        | 809   72          19.6        
BL_W80_T1.4_D30                    72          0.340        | 808   72          19.6        
BL_W120_T2.0_D20                   95          0.340        | 429   95          2.9         
BL_W80_T1.4_D40                    72          0.340        | 810   72          19.6        
