=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 56.1 BPM
Valid interval: 517-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 94 mmHg
Confidence: 0.097
95% CI: [92 - 96] mmHg
Agreement: 12272/2000 detectors

MAP: 90 mmHg
Est. Diastolic: 89 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.4_D8                     106         1.200        | 845   106         5.8         
BL_W10_T2.0_D8                     106         1.200        | 814   106         5.8         
BL_W10_T1.6_D10                    105         1.200        | 484   105         5.1         
BL_W10_T1.6_D8                     106         1.200        | 866   106         5.8         
BL_W10_T1.6_D6                     106         1.200        | 875   106         5.8         
BL_W10_T1.6_D4                     106         1.200        | 873   106         5.8         
BL_W10_T1.6_D2                     106         1.200        | 943   106         5.9         
BL_W10_T2.0_D10                    105         1.200        | 404   105         5.1         
BL_W10_T2.0_D6                     106         1.200        | 812   106         5.8         
BL_W10_T2.0_D4                     106         1.200        | 810   106         5.8         
BL_W10_T1.4_D10                    105         1.200        | 468   105         5.1         
BL_W10_T1.4_D6                     106         1.200        | 841   106         5.8         
BL_W10_T1.8_D2                     106         1.200        | 927   106         5.9         
BL_W10_T1.8_D4                     106         1.200        | 754   106         5.8         
BL_W10_T1.8_D6                     106         1.200        | 755   106         5.8         
BL_W10_T2.0_D2                     106         1.200        | 937   106         5.9         
BL_W10_T1.8_D8                     106         1.200        | 757   106         5.8         
BL_W10_T1.2_D10                    105         1.200        | 491   105         5.1         
BL_W10_T1.2_D8                     106         1.200        | 855   106         5.8         
BL_W10_T1.8_D10                    105         1.200        | 396   105         5.1         
BL_W10_T1.4_D15                    99          1.140        | 80    99          0.6         
BL_W10_T1.8_D15                    99          1.140        | 74    99          0.6         
BL_W10_T2.0_D15                    99          1.140        | 111   99          0.6         
BL_W10_T1.2_D15                    99          1.140        | 101   99          0.6         
BL_W10_T1.2_D6                     106         1.140        | 854   106         5.8         
BL_W10_T1.6_D15                    99          1.140        | 96    99          0.6         
BL_W10_T2.0_D20                    94          1.060        | 989   94          6.1         
BL_W10_T1.6_D20                    94          1.060        | 974   94          6.1         
BL_W10_T1.4_D20                    94          1.060        | 973   94          6.1         
BL_W10_T1.4_D4                     106         1.060        | 840   106         5.8         
BL_W10_T1.4_D2                     106         1.060        | 924   106         5.9         
BL_W10_T1.8_D20                    94          1.060        | 950   94          6.1         
BL_W10_T1.2_D20                    94          1.060        | 990   94          6.1         
BL_W10_T1.8_D40                    91          0.980        | 1545  91          9.2         
BL_W10_T1.2_D4                     106         0.980        | 665   106         5.8         
BL_W10_T2.0_D25                    91          0.980        | 1098  91          8.8         
BL_W10_T2.0_D30                    91          0.980        | 1097  91          8.8         
BL_W10_T2.0_D40                    91          0.980        | 1544  91          9.2         
BL_W10_T1.2_D2                     106         0.980        | 929   106         5.9         
BL_W10_T1.8_D25                    91          0.980        | 1110  91          8.8         
BL_W10_T1.8_D30                    91          0.980        | 1095  91          8.8         
BL_W10_T1.2_D25                    91          0.980        | 1083  91          8.8         
BL_W10_T1.2_D30                    91          0.980        | 1093  91          8.8         
BL_W10_T1.2_D40                    91          0.980        | 1548  91          9.2         
BL_W10_T1.4_D25                    91          0.980        | 1065  91          8.8         
BL_W10_T1.4_D40                    91          0.980        | 1547  91          9.2         
BL_W10_T1.6_D25                    91          0.980        | 1171  91          8.8         
BL_W10_T1.6_D30                    91          0.980        | 1170  91          8.8         
BL_W10_T1.6_D40                    91          0.980        | 1546  91          9.2         
BL_W10_T1.4_D30                    91          0.980        | 1165  91          8.8         
BL_W70_T1.6_D6                     127         0.740        | 1871  127         27.4        
BL_W70_T1.4_D6                     127         0.740        | 1872  127         27.4        
BL_W70_T1.4_D4                     127         0.740        | 1853  127         27.0        
BL_W70_T1.4_D2                     127         0.740        | 1849  127         27.0        
BL_W70_T1.2_D6                     127         0.740        | 1866  127         27.4        
BL_W70_T1.2_D4                     127         0.740        | 1877  127         27.4        
BL_W70_T1.2_D2                     127         0.740        | 1876  127         27.4        
BL_W60_T1.8_D6                     127         0.740        | 1886  127         27.4        
BL_W60_T1.6_D6                     127         0.740        | 1887  127         27.4        
BL_W60_T1.4_D6                     127         0.740        | 1889  127         27.4        
BL_W80_T2.2_D6                     127         0.740        | 1838  127         27.0        
BL_W60_T1.2_D6                     127         0.740        | 1885  127         27.4        
BL_W70_T1.8_D6                     127         0.740        | 1869  127         27.4        
BL_W70_T2.0_D6                     127         0.740        | 1868  127         27.4        
BL_W80_T1.2_D2                     127         0.740        | 1817  127         26.8        
BL_W80_T1.2_D4                     127         0.740        | 1806  127         26.8        
BL_W80_T1.2_D6                     127         0.740        | 1851  127         27.0        
BL_W80_T1.4_D6                     127         0.740        | 1850  127         27.0        
BL_W80_T1.6_D6                     127         0.740        | 1852  127         27.0        
BL_W20_T1.2_D4                     128         0.740        | 1894  128         27.9        
BL_W20_T1.2_D2                     128         0.740        | 1891  128         27.6        
BL_W80_T1.8_D6                     127         0.740        | 1857  127         27.0        
BL_W80_T2.0_D6                     127         0.740        | 1855  127         27.0        
BL_W60_T1.2_D2                     127         0.740        | 1878  127         27.4        
BL_W60_T1.2_D4                     127         0.740        | 1884  127         27.4        
BL_W50_T1.4_D4                     127         0.740        | 1813  127         26.8        
BL_W50_T1.2_D4                     127         0.740        | 1856  127         27.0        
BL_W50_T1.2_D2                     127         0.740        | 1854  127         27.0        
BL_W40_T1.4_D4                     127         0.740        | 1847  127         27.0        
BL_W40_T1.2_D4                     128         0.740        | 1914  128         28.0        
BL_W40_T1.2_D2                     128         0.740        | 1907  128         28.0        
BL_W110_T1.2_D2                    120         0.660        | 1719  120         20.1        
BL_W30_T1.2_D4                     127         0.660        | 1875  127         27.4        
BL_W30_T1.2_D6                     76          0.660        | 1787  76          23.6        
BL_W30_T1.2_D8                     76          0.660        | 1786  76          23.6        
BL_W30_T1.2_D10                    76          0.660        | 1785  76          23.6        
BL_W30_T1.2_D15                    76          0.660        | 1784  76          23.6        
BL_W30_T1.2_D20                    76          0.660        | 1782  76          23.6        
BL_W30_T1.2_D25                    76          0.660        | 1780  76          23.6        
BL_W30_T1.2_D30                    76          0.660        | 1777  76          23.6        
BL_W30_T1.2_D40                    76          0.660        | 1772  76          23.6        
BL_W30_T1.4_D4                     127         0.660        | 1810  127         26.8        
BL_W30_T1.6_D4                     127         0.660        | 1814  127         26.8        
BL_W30_T1.2_D2                     127         0.660        | 1874  127         27.4        
BL_W40_T1.6_D4                     127         0.660        | 1812  127         26.8        
BL_W50_T1.6_D4                     120         0.660        | 1717  120         20.1        
BL_W110_T1.2_D6                    120         0.660        | 1701  120         20.1        
BL_W100_T1.6_D6                    121         0.660        | 1731  121         20.6        
BL_W100_T1.6_D8                    120         0.660        | 1708  120         20.1        
BL_W100_T1.8_D6                    121         0.660        | 1729  121         20.6        
BL_W100_T1.8_D8                    120         0.660        | 1707  120         20.1        
BL_W100_T2.0_D6                    121         0.660        | 1726  121         20.6        
BL_W100_T2.0_D8                    120         0.660        | 1704  120         20.1        
BL_W100_T2.2_D6                    121         0.660        | 1743  121         20.6        
BL_W100_T2.2_D8                    120         0.660        | 1699  120         20.1        
BL_W100_T2.4_D6                    121         0.660        | 1742  121         20.6        
BL_W100_T2.4_D8                    120         0.660        | 1723  120         20.1        
BL_W110_T1.2_D4                    120         0.660        | 1698  120         20.1        
