=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 57.6 BPM
Valid interval: 524-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 104 mmHg
Confidence: 0.080
95% CI: [102 - 106] mmHg
Agreement: 9286/2000 detectors

MAP: 87 mmHg
Est. Diastolic: 79 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W160_T1.2_D20                   109         0.980        | 1059  109         6.9         
BL_W110_T1.4_D2                    109         0.980        | 1562  109         7.1         
BL_W70_T1.2_D2                     109         0.980        | 1280  109         7.1         
BL_W70_T1.2_D4                     109         0.980        | 1281  109         7.1         
BL_W70_T1.2_D6                     109         0.980        | 1282  109         7.1         
BL_W70_T1.2_D8                     109         0.980        | 1283  109         7.1         
BL_W70_T1.2_D10                    109         0.980        | 1284  109         7.1         
BL_W70_T1.2_D15                    109         0.980        | 1285  109         7.1         
BL_W70_T1.2_D20                    109         0.980        | 1286  109         7.1         
BL_W160_T1.2_D2                    109         0.980        | 1046  109         6.9         
BL_W160_T1.2_D4                    109         0.980        | 1045  109         6.9         
BL_W160_T1.2_D6                    109         0.980        | 1044  109         6.9         
BL_W160_T1.2_D8                    109         0.980        | 1036  109         6.9         
BL_W160_T1.2_D10                   109         0.980        | 1035  109         6.9         
BL_W160_T1.2_D15                   109         0.980        | 1034  109         6.9         
BL_W110_T1.4_D4                    109         0.980        | 1563  109         7.1         
BL_W160_T1.2_D25                   109         0.980        | 1058  109         6.9         
BL_W160_T1.2_D30                   109         0.980        | 1057  109         6.9         
BL_W160_T1.2_D40                   109         0.980        | 1056  109         6.9         
BL_W160_T1.4_D2                    109         0.980        | 1055  109         6.9         
BL_W160_T1.4_D4                    109         0.980        | 1164  109         6.9         
BL_W160_T1.4_D6                    109         0.980        | 1183  109         6.9         
BL_W160_T1.4_D8                    109         0.980        | 1182  109         6.9         
BL_W160_T1.4_D10                   109         0.980        | 1181  109         6.9         
BL_W160_T1.4_D15                   109         0.980        | 1179  109         6.9         
BL_W160_T1.4_D20                   109         0.980        | 1178  109         6.9         
BL_W160_T1.4_D25                   109         0.980        | 1177  109         6.9         
BL_W160_T1.4_D30                   109         0.980        | 1176  109         6.9         
BL_W160_T1.4_D40                   109         0.980        | 1175  109         6.9         
BL_W160_T1.6_D2                    109         0.980        | 1174  109         6.9         
