=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 59.4 BPM
Valid interval: 486-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 96 mmHg
Confidence: 0.123
95% CI: [94 - 98] mmHg
Agreement: 6956/2000 detectors

MAP: 94 mmHg
Est. Diastolic: 93 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.8_D30                    98          0.740        | 116   98          5.5         
BL_W10_T1.6_D20                    98          0.740        | 160   98          5.5         
BL_W10_T1.6_D25                    98          0.740        | 161   98          5.5         
BL_W10_T1.6_D30                    98          0.740        | 162   98          5.5         
BL_W10_T1.6_D40                    98          0.740        | 121   98          5.5         
BL_W10_T1.8_D2                     98          0.740        | 108   98          5.5         
BL_W10_T1.8_D4                     98          0.740        | 109   98          5.5         
BL_W10_T1.8_D6                     98          0.740        | 110   98          5.5         
BL_W10_T1.8_D8                     98          0.740        | 111   98          5.5         
BL_W10_T1.8_D10                    98          0.740        | 112   98          5.5         
BL_W10_T1.8_D15                    98          0.740        | 113   98          5.5         
BL_W10_T1.8_D20                    98          0.740        | 114   98          5.5         
BL_W10_T1.8_D25                    98          0.740        | 115   98          5.5         
BL_W10_T1.2_D4                     98          0.740        | 84    98          5.5         
BL_W10_T1.8_D40                    98          0.740        | 117   98          5.5         
BL_W10_T2.0_D2                     98          0.740        | 118   98          5.5         
BL_W10_T2.0_D4                     98          0.740        | 119   98          5.5         
BL_W10_T2.0_D6                     98          0.740        | 120   98          5.5         
BL_W10_T2.0_D8                     98          0.740        | 107   98          5.5         
BL_W10_T2.0_D10                    98          0.740        | 122   98          5.5         
BL_W10_T2.0_D15                    98          0.740        | 123   98          5.5         
BL_W10_T2.0_D20                    98          0.740        | 124   98          5.5         
BL_W10_T2.0_D25                    98          0.740        | 125   98          5.5         
BL_W10_T2.0_D30                    98          0.740        | 126   98          5.5         
BL_W10_T2.0_D40                    98          0.740        | 127   98          5.5         
BL_W10_T1.2_D2                     98          0.740        | 187   98          5.5         
BL_W10_T1.6_D10                    98          0.740        | 158   98          5.5         
BL_W10_T1.2_D6                     98          0.740        | 136   98          5.5         
BL_W10_T1.2_D8                     98          0.740        | 137   98          5.5         
BL_W10_T1.2_D10                    98          0.740        | 138   98          5.5         
BL_W10_T1.2_D15                    98          0.740        | 139   98          5.5         
BL_W10_T1.2_D20                    98          0.740        | 140   98          5.5         
BL_W10_T1.2_D25                    98          0.740        | 141   98          5.5         
BL_W10_T1.2_D30                    98          0.740        | 142   98          5.5         
BL_W10_T1.2_D40                    98          0.740        | 143   98          5.5         
BL_W10_T1.4_D2                     98          0.740        | 144   98          5.5         
BL_W10_T1.4_D4                     98          0.740        | 145   98          5.5         
BL_W10_T1.4_D6                     98          0.740        | 146   98          5.5         
BL_W10_T1.4_D10                    98          0.740        | 148   98          5.5         
BL_W10_T1.6_D15                    98          0.740        | 159   98          5.5         
BL_W10_T1.6_D8                     98          0.740        | 157   98          5.5         
BL_W10_T1.6_D6                     98          0.740        | 156   98          5.5         
BL_W10_T1.6_D4                     98          0.740        | 155   98          5.5         
BL_W10_T1.6_D2                     98          0.740        | 154   98          5.5         
BL_W10_T1.4_D40                    98          0.740        | 153   98          5.5         
BL_W10_T1.4_D30                    98          0.740        | 152   98          5.5         
BL_W10_T1.4_D25                    98          0.740        | 151   98          5.5         
BL_W10_T1.4_D20                    98          0.740        | 150   98          5.5         
BL_W10_T1.4_D15                    98          0.740        | 135   98          5.5         
BL_W10_T1.4_D8                     98          0.740        | 147   98          5.5         
BL_W10_T2.2_D4                     98          0.660        | 129   98          5.5         
BL_W10_T2.2_D40                    98          0.660        | 192   98          5.5         
BL_W10_T2.2_D30                    98          0.660        | 188   98          5.5         
BL_W10_T2.2_D25                    98          0.660        | 185   98          5.5         
