=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 71.2 BPM
Valid interval: 464-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 102 mmHg
Confidence: 0.093
95% CI: [100 - 104] mmHg
Agreement: 9548/2000 detectors

MAP: 88 mmHg
Est. Diastolic: 81 mmHg
Oscillometric MAP Systolic: 110 mmHg
Oscillometric MAP Diastolic: 84 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T2.0_D20                    108         1.200        | 338   108         0.3         
BL_W10_T1.8_D4                     119         1.200        | 1548  119         10.8        
BL_W10_T1.8_D6                     117         1.200        | 1533  117         9.1         
BL_W10_T1.8_D8                     116         1.200        | 1444  116         8.5         
BL_W10_T1.8_D10                    108         1.200        | 350   108         0.3         
BL_W10_T1.8_D15                    108         1.200        | 351   108         0.3         
BL_W10_T1.8_D20                    108         1.200        | 352   108         0.3         
BL_W10_T1.8_D25                    108         1.200        | 270   108         0.0         
BL_W10_T1.8_D30                    108         1.200        | 272   108         0.0         
BL_W10_T2.0_D2                     122         1.200        | 1662  122         13.9        
BL_W10_T2.0_D4                     119         1.200        | 1549  119         10.8        
BL_W10_T2.0_D6                     117         1.200        | 1536  117         9.1         
BL_W10_T2.0_D8                     116         1.200        | 1442  116         8.5         
BL_W10_T2.0_D10                    108         1.200        | 362   108         0.3         
BL_W10_T2.0_D15                    108         1.200        | 336   108         0.3         
BL_W10_T1.8_D40                    108         1.200        | 274   108         0.0         
BL_W10_T2.0_D25                    108         1.200        | 276   108         0.0         
BL_W10_T2.0_D30                    108         1.200        | 266   108         0.0         
BL_W10_T2.0_D40                    108         1.200        | 268   108         0.0         
BL_W10_T2.2_D2                     114         1.200        | 1121  114         5.6         
BL_W10_T2.2_D4                     119         1.200        | 1550  119         10.8        
BL_W10_T2.2_D6                     117         1.200        | 1535  117         9.1         
BL_W10_T2.2_D8                     116         1.200        | 1440  116         8.5         
BL_W10_T2.2_D10                    108         1.200        | 340   108         0.3         
BL_W10_T2.2_D15                    108         1.200        | 339   108         0.3         
BL_W10_T2.2_D20                    108         1.200        | 367   108         0.3         
BL_W10_T2.2_D25                    108         1.200        | 233   108         0.0         
BL_W10_T2.2_D30                    108         1.200        | 232   108         0.0         
BL_W10_T2.2_D40                    108         1.200        | 265   108         0.0         
BL_W10_T1.2_D2                     138         1.200        | 1749  138         30.1        
BL_W10_T1.2_D25                    108         1.200        | 325   108         0.0         
BL_W10_T1.2_D4                     119         1.200        | 1542  119         10.8        
BL_W10_T1.2_D6                     117         1.200        | 1540  117         9.1         
BL_W10_T1.2_D8                     116         1.200        | 1451  116         8.5         
BL_W10_T1.2_D10                    108         1.200        | 365   108         0.3         
BL_W10_T1.2_D15                    108         1.200        | 341   108         0.3         
BL_W10_T1.2_D20                    108         1.200        | 345   108         0.3         
BL_W10_T1.8_D2                     122         1.200        | 1666  122         13.9        
BL_W10_T1.2_D30                    108         1.200        | 323   108         0.0         
BL_W10_T1.2_D40                    108         1.200        | 320   108         0.0         
BL_W10_T1.4_D2                     122         1.200        | 1680  122         13.9        
BL_W10_T1.4_D4                     119         1.200        | 1545  119         10.8        
BL_W10_T1.4_D6                     117         1.200        | 1537  117         9.1         
BL_W10_T1.4_D8                     116         1.200        | 1450  116         8.5         
BL_W10_T1.4_D10                    108         1.200        | 347   108         0.3         
BL_W10_T1.4_D15                    108         1.200        | 342   108         0.3         
BL_W10_T1.4_D25                    108         1.200        | 258   108         0.0         
BL_W10_T1.6_D40                    108         1.200        | 240   108         0.0         
BL_W10_T1.6_D30                    108         1.200        | 230   108         0.0         
BL_W10_T1.6_D25                    108         1.200        | 236   108         0.0         
BL_W10_T1.6_D20                    108         1.200        | 361   108         0.3         
BL_W10_T1.6_D15                    108         1.200        | 356   108         0.3         
BL_W10_T1.6_D10                    108         1.200        | 359   108         0.3         
BL_W10_T1.6_D8                     116         1.200        | 1447  116         8.5         
BL_W10_T1.4_D20                    108         1.200        | 337   108         0.3         
BL_W10_T1.6_D4                     119         1.200        | 1546  119         10.8        
BL_W10_T1.6_D2                     122         1.200        | 1667  122         13.9        
BL_W10_T1.4_D40                    108         1.200        | 262   108         0.0         
BL_W10_T1.4_D30                    108         1.200        | 259   108         0.0         
BL_W10_T1.6_D6                     117         1.200        | 1534  117         9.1         
BL_W30_T1.4_D8                     97          1.060        | 1565  97          11.4        
BL_W80_T1.2_D40                    96          1.060        | 1621  96          11.9        
BL_W80_T1.2_D30                    96          1.060        | 1622  96          11.9        
BL_W80_T1.2_D25                    96          1.060        | 1623  96          11.9        
BL_W80_T1.2_D20                    96          1.060        | 1606  96          11.9        
BL_W80_T1.2_D15                    96          1.060        | 1605  96          11.9        
BL_W30_T1.4_D40                    97          1.060        | 1570  97          11.4        
BL_W30_T1.4_D30                    97          1.060        | 1569  97          11.4        
BL_W30_T1.4_D25                    97          1.060        | 1568  97          11.4        
BL_W30_T1.4_D20                    97          1.060        | 1559  97          11.4        
BL_W30_T1.4_D15                    97          1.060        | 1567  97          11.4        
BL_W30_T1.4_D10                    97          1.060        | 1566  97          11.4        
BL_W30_T1.2_D40                    97          1.060        | 1556  97          11.4        
BL_W30_T1.2_D30                    97          1.060        | 1557  97          11.4        
BL_W30_T1.2_D25                    97          1.060        | 1558  97          11.4        
BL_W30_T1.2_D20                    97          1.060        | 1552  97          11.4        
BL_W30_T1.2_D15                    97          1.060        | 1560  97          11.4        
BL_W30_T1.2_D8                     97          1.060        | 1562  97          11.4        
BL_W30_T1.2_D10                    97          1.060        | 1561  97          11.4        
BL_W50_T1.2_D30                    96          0.980        | 1611  96          11.9        
BL_W50_T1.2_D20                    96          0.980        | 1619  96          11.9        
BL_W50_T1.2_D15                    96          0.980        | 1620  96          11.9        
BL_W50_T1.2_D10                    96          0.980        | 1624  96          11.9        
BL_W50_T1.2_D8                     96          0.980        | 1625  96          11.9        
BL_W30_T1.2_D2                     97          0.980        | 1571  97          11.4        
BL_W30_T1.2_D4                     97          0.980        | 1564  97          11.4        
BL_W30_T1.2_D6                     97          0.980        | 1563  97          11.4        
BL_W50_T1.2_D6                     96          0.980        | 1626  96          11.9        
BL_W50_T1.2_D25                    96          0.980        | 1618  96          11.9        
BL_W50_T1.2_D40                    96          0.980        | 1610  96          11.9        
BL_W30_T1.4_D2                     97          0.980        | 1555  97          11.4        
BL_W30_T1.4_D4                     97          0.980        | 1554  97          11.4        
BL_W30_T1.4_D6                     97          0.980        | 1553  97          11.4        
BL_W80_T1.2_D2                     96          0.900        | 1609  96          11.9        
BL_W80_T1.2_D4                     96          0.900        | 1608  96          11.9        
BL_W80_T1.2_D6                     96          0.900        | 1641  96          11.9        
BL_W80_T1.2_D8                     96          0.900        | 1629  96          11.9        
BL_W80_T1.2_D10                    96          0.900        | 1638  96          11.9        
BL_W180_T1.2_D40                   106         0.820        | 601   106         2.2         
BL_W180_T1.2_D2                    106         0.820        | 607   106         2.2         
BL_W180_T1.2_D4                    106         0.820        | 600   106         2.2         
BL_W180_T1.2_D30                   106         0.820        | 597   106         2.2         
BL_W180_T1.2_D25                   106         0.820        | 598   106         2.2         
BL_W180_T1.2_D20                   106         0.820        | 602   106         2.2         
BL_W180_T1.2_D15                   106         0.820        | 604   106         2.2         
BL_W180_T1.2_D10                   106         0.820        | 605   106         2.2         
BL_W180_T1.2_D6                    106         0.820        | 608   106         2.2         
BL_W180_T1.2_D8                    106         0.820        | 606   106         2.2         
BL_W190_T1.2_D10                   103         0.740        | 914   103         4.9         
BL_W40_T1.2_D40                    86          0.740        | 1692  86          21.7        
BL_W190_T1.2_D15                   103         0.740        | 913   103         4.9         
BL_W190_T1.2_D20                   103         0.740        | 912   103         4.9         
BL_W190_T1.2_D25                   103         0.740        | 911   103         4.9         
BL_W40_T1.2_D2                     86          0.740        | 1690  86          21.7        
BL_W40_T1.2_D4                     86          0.740        | 1691  86          21.7        
BL_W40_T1.2_D6                     86          0.740        | 1698  86          21.7        
BL_W40_T1.2_D8                     86          0.740        | 1707  86          21.7        
BL_W40_T1.2_D10                    86          0.740        | 1697  86          21.7        
BL_W40_T1.2_D15                    86          0.740        | 1696  86          21.7        
BL_W40_T1.2_D20                    86          0.740        | 1695  86          21.7        
BL_W40_T1.2_D25                    86          0.740        | 1694  86          21.7        
BL_W40_T1.2_D30                    86          0.740        | 1693  86          21.7        
BL_W20_T1.2_D8                     86          0.740        | 1700  86          21.7        
BL_W200_T1.2_D8                    102         0.740        | 1187  102         6.2         
BL_W200_T1.2_D10                   102         0.740        | 1186  102         6.2         
BL_W20_T1.2_D40                    86          0.740        | 1706  86          21.7        
BL_W20_T1.2_D30                    86          0.740        | 1705  86          21.7        
