=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 62.6 BPM
Valid interval: 509-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 99 mmHg
Confidence: 0.068
95% CI: [97 - 101] mmHg
Agreement: 12237/2000 detectors

MAP: 87 mmHg
Est. Diastolic: 82 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T2.0_D40                    115         1.200        | 121   115         6.9         
BL_W10_T1.6_D40                    115         1.200        | 107   115         6.9         
BL_W10_T1.6_D30                    115         1.200        | 108   115         6.9         
BL_W10_T1.6_D25                    115         1.200        | 109   115         6.9         
BL_W10_T1.8_D25                    115         1.200        | 101   115         6.9         
BL_W10_T1.4_D40                    115         1.200        | 96    115         6.9         
BL_W10_T1.4_D30                    115         1.200        | 113   115         6.9         
BL_W10_T1.4_D25                    115         1.200        | 112   115         6.9         
BL_W10_T1.8_D30                    115         1.200        | 110   115         6.9         
BL_W10_T1.8_D40                    115         1.200        | 99    115         6.9         
BL_W10_T2.0_D2                     114         1.200        | 72    114         6.3         
BL_W10_T2.0_D4                     114         1.200        | 71    114         6.3         
BL_W10_T2.0_D8                     114         1.200        | 75    114         6.3         
BL_W10_T1.2_D40                    115         1.200        | 111   115         6.9         
BL_W10_T1.2_D30                    115         1.200        | 114   115         6.9         
BL_W10_T2.0_D6                     114         1.200        | 89    114         6.4         
BL_W10_T1.2_D25                    115         1.200        | 106   115         6.9         
BL_W10_T2.0_D10                    114         1.200        | 79    114         6.3         
BL_W10_T2.0_D30                    115         1.200        | 120   115         6.9         
BL_W10_T2.0_D25                    115         1.200        | 119   115         6.9         
BL_W10_T1.8_D20                    114         1.140        | 69    114         6.3         
BL_W10_T1.6_D20                    114         1.140        | 63    114         6.3         
BL_W10_T2.0_D20                    114         1.140        | 82    114         6.3         
BL_W10_T1.6_D8                     114         1.060        | 60    114         6.3         
BL_W10_T1.6_D10                    114         1.060        | 61    114         6.3         
BL_W10_T1.8_D8                     114         1.060        | 66    114         6.3         
BL_W10_T1.8_D10                    114         1.060        | 67    114         6.3         
BL_W10_T1.6_D6                     114         0.980        | 85    114         6.4         
BL_W10_T1.6_D4                     114         0.980        | 59    114         6.3         
BL_W10_T1.6_D2                     114         0.980        | 58    114         6.3         
BL_W10_T2.0_D15                    114         0.980        | 84    114         6.3         
BL_W10_T1.8_D2                     114         0.980        | 54    114         6.3         
BL_W10_T1.8_D4                     114         0.980        | 65    114         6.3         
BL_W10_T1.8_D6                     114         0.980        | 87    114         6.4         
BL_W10_T1.8_D15                    114         0.980        | 68    114         6.3         
BL_W10_T1.4_D20                    114         0.980        | 57    114         6.3         
BL_W10_T1.6_D15                    114         0.900        | 62    114         6.3         
BL_W10_T1.2_D20                    114         0.900        | 80    114         6.3         
BL_W10_T1.4_D15                    114         0.820        | 56    114         6.3         
BL_W10_T1.4_D10                    114         0.820        | 64    114         6.3         
BL_W10_T1.4_D8                     114         0.820        | 55    114         6.3         
BL_W200_T1.2_D40                   111         0.740        | 48    111         3.2         
BL_W200_T1.2_D4                    111         0.740        | 41    111         3.2         
BL_W200_T1.2_D6                    111         0.740        | 42    111         3.2         
BL_W200_T1.2_D8                    111         0.740        | 43    111         3.2         
BL_W200_T1.2_D10                   111         0.740        | 44    111         3.2         
BL_W200_T1.2_D15                   111         0.740        | 45    111         3.2         
BL_W200_T1.2_D20                   111         0.740        | 46    111         3.2         
BL_W200_T1.2_D25                   111         0.740        | 47    111         3.2         
BL_W200_T1.2_D30                   111         0.740        | 39    111         3.2         
BL_W10_T1.4_D6                     114         0.740        | 90    114         6.4         
BL_W10_T1.4_D4                     114         0.740        | 81    114         6.3         
