=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 85.6 BPM
Valid interval: 383-1182 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 99 mmHg
Confidence: 0.073
95% CI: [97 - 101] mmHg
Agreement: 14418/2000 detectors

MAP: 96 mmHg
Est. Diastolic: 95 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W110_T1.4_D8                    97          1.200        | 1570  97          13.4        
BL_W180_T1.2_D25                   97          1.200        | 915   97          12.7        
BL_W180_T1.2_D30                   97          1.200        | 1116  97          13.1        
BL_W180_T1.2_D40                   97          1.200        | 1505  97          13.4        
BL_W110_T1.4_D10                   97          1.200        | 1569  97          13.4        
BL_W150_T1.6_D6                    97          1.200        | 1805  97          13.4        
BL_W180_T1.4_D10                   97          1.200        | 1070  97          13.1        
BL_W180_T1.4_D15                   97          1.200        | 1056  97          13.1        
BL_W180_T1.4_D20                   108         1.200        | 564   108         2.0         
BL_W180_T1.4_D25                   97          1.200        | 907   97          12.7        
BL_W180_T1.4_D30                   97          1.200        | 1053  97          13.1        
BL_W180_T1.4_D40                   97          1.200        | 1504  97          13.4        
BL_W180_T1.2_D20                   108         1.200        | 552   108         2.0         
BL_W150_T1.4_D40                   97          1.200        | 1802  97          13.4        
BL_W150_T1.4_D30                   97          1.200        | 1087  97          13.1        
BL_W180_T1.6_D10                   97          1.200        | 1034  97          13.1        
BL_W180_T1.6_D15                   97          1.200        | 1077  97          13.1        
BL_W180_T1.6_D20                   108         1.200        | 617   108         2.0         
BL_W180_T1.6_D25                   97          1.200        | 935   97          12.7        
BL_W180_T1.6_D30                   97          1.200        | 1074  97          13.1        
BL_W180_T1.6_D40                   97          1.200        | 1503  97          13.4        
BL_W150_T1.4_D25                   97          1.200        | 906   97          12.7        
BL_W150_T1.4_D20                   108         1.200        | 579   108         2.0         
BL_W150_T1.4_D15                   97          1.200        | 1086  97          13.1        
BL_W150_T1.6_D20                   108         1.200        | 570   108         2.0         
BL_W50_T1.4_D20                    97          1.200        | 1231  97          13.1        
BL_W50_T1.4_D25                    97          1.200        | 1232  97          13.1        
BL_W50_T1.4_D30                    97          1.200        | 1233  97          13.1        
BL_W170_T1.8_D25                   97          1.200        | 897   97          12.7        
BL_W50_T1.4_D40                    97          1.200        | 1236  97          13.1        
BL_W150_T1.6_D40                   97          1.200        | 1828  97          13.4        
BL_W150_T1.6_D30                   97          1.200        | 1088  97          13.1        
BL_W120_T1.6_D25                   97          1.200        | 861   97          12.7        
BL_W150_T1.6_D25                   97          1.200        | 902   97          12.7        
BL_W120_T1.6_D30                   97          1.200        | 1346  97          13.1        
BL_W120_T1.6_D40                   97          1.200        | 1663  97          13.4        
BL_W150_T1.4_D10                   97          1.200        | 1084  97          13.1        
BL_W150_T1.6_D15                   97          1.200        | 1824  97          13.4        
BL_W150_T1.6_D10                   97          1.200        | 1825  97          13.4        
BL_W110_T1.4_D40                   97          1.200        | 1678  97          13.4        
BL_W110_T1.4_D30                   97          1.200        | 1343  97          13.1        
BL_W110_T1.4_D25                   97          1.200        | 1616  97          13.4        
BL_W110_T1.4_D20                   97          1.200        | 1567  97          13.4        
BL_W110_T1.4_D15                   97          1.200        | 1568  97          13.4        
