=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 77.0 BPM
Valid interval: 437-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 104 mmHg
Confidence: 0.085
95% CI: [102 - 106] mmHg
Agreement: 9027/2000 detectors

MAP: 96 mmHg
Est. Diastolic: 92 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.2_D4                     132         1.200        | 1864  132         19.0        
BL_W10_T1.8_D30                    113         1.200        | 57    113         0.2         
BL_W10_T1.4_D30                    113         1.200        | 48    113         0.2         
BL_W10_T1.6_D30                    113         1.200        | 47    113         0.2         
BL_W10_T2.0_D30                    113         1.200        | 21    113         0.2         
BL_W10_T1.2_D2                     132         1.200        | 1884  132         19.0        
BL_W10_T1.2_D30                    113         1.200        | 59    113         0.2         
BL_W10_T1.2_D25                    116         1.200        | 433   116         2.7         
BL_W10_T1.2_D20                    119         1.200        | 703   119         6.0         
BL_W10_T1.2_D15                    119         1.200        | 773   119         6.2         
BL_W10_T1.2_D10                    119         1.200        | 774   119         6.2         
BL_W10_T1.2_D8                     119         1.200        | 777   119         6.2         
BL_W10_T1.2_D6                     132         1.200        | 1883  132         19.0        
BL_W10_T2.2_D30                    113         1.140        | 15    113         0.2         
BL_W10_T2.0_D4                     103         0.980        | 828   103         9.7         
BL_W10_T1.8_D6                     104         0.980        | 823   104         9.2         
BL_W10_T1.8_D8                     104         0.980        | 822   104         9.2         
BL_W10_T1.8_D10                    104         0.980        | 821   104         9.2         
BL_W10_T1.8_D15                    104         0.980        | 820   104         9.2         
BL_W10_T1.8_D20                    104         0.980        | 819   104         9.2         
BL_W10_T1.8_D25                    104         0.980        | 818   104         9.2         
BL_W10_T1.8_D4                     104         0.980        | 824   104         9.2         
BL_W10_T1.8_D40                    104         0.980        | 817   104         9.2         
BL_W10_T2.0_D2                     103         0.980        | 836   103         9.7         
BL_W10_T2.0_D6                     103         0.980        | 831   103         9.7         
BL_W10_T2.0_D8                     103         0.980        | 829   103         9.7         
BL_W10_T2.0_D10                    103         0.980        | 830   103         9.7         
BL_W10_T2.0_D15                    103         0.980        | 832   103         9.7         
BL_W10_T2.0_D20                    103         0.980        | 833   103         9.7         
BL_W10_T2.0_D25                    103         0.980        | 834   103         9.7         
BL_W10_T2.0_D40                    103         0.980        | 835   103         9.7         
BL_W10_T1.6_D40                    104         0.980        | 815   104         9.2         
BL_W10_T1.2_D40                    104         0.980        | 808   104         9.2         
BL_W10_T1.4_D2                     104         0.980        | 809   104         9.2         
BL_W10_T1.4_D4                     104         0.980        | 810   104         9.2         
BL_W10_T1.4_D6                     104         0.980        | 812   104         9.2         
BL_W10_T1.4_D8                     104         0.980        | 827   104         9.2         
BL_W10_T1.4_D10                    104         0.980        | 816   104         9.2         
BL_W10_T1.4_D15                    104         0.980        | 800   104         9.2         
BL_W10_T1.4_D20                    104         0.980        | 811   104         9.2         
BL_W10_T1.4_D25                    104         0.980        | 813   104         9.2         
BL_W10_T1.4_D40                    104         0.980        | 814   104         9.2         
BL_W10_T1.6_D2                     104         0.980        | 804   104         9.2         
BL_W10_T1.6_D4                     104         0.980        | 807   104         9.2         
BL_W10_T1.6_D6                     104         0.980        | 806   104         9.2         
BL_W10_T1.6_D8                     104         0.980        | 805   104         9.2         
BL_W10_T1.6_D10                    104         0.980        | 801   104         9.2         
BL_W10_T1.6_D15                    104         0.980        | 802   104         9.2         
BL_W10_T1.6_D20                    104         0.980        | 803   104         9.2         
BL_W10_T1.8_D2                     104         0.980        | 826   104         9.2         
BL_W10_T1.6_D25                    104         0.980        | 825   104         9.2         
BL_W180_T1.2_D2                    100         0.900        | 991   100         12.5        
BL_W170_T1.2_D40                   100         0.900        | 1028  100         13.0        
BL_W170_T1.2_D30                   100         0.900        | 1027  100         13.0        
BL_W170_T1.2_D25                   100         0.900        | 1026  100         13.0        
BL_W30_T1.2_D25                    101         0.900        | 884   101         11.7        
BL_W170_T1.2_D20                   100         0.900        | 1025  100         13.0        
BL_W170_T1.2_D15                   100         0.900        | 1024  100         13.0        
BL_W170_T1.2_D10                   100         0.900        | 1023  100         13.0        
BL_W170_T1.2_D8                    100         0.900        | 1022  100         13.0        
BL_W170_T1.2_D6                    100         0.900        | 1021  100         13.0        
BL_W170_T1.2_D4                    100         0.900        | 1019  100         13.0        
BL_W170_T1.2_D2                    100         0.900        | 1020  100         13.0        
BL_W30_T1.2_D10                    101         0.900        | 887   101         11.7        
BL_W30_T1.2_D15                    101         0.900        | 886   101         11.7        
BL_W30_T1.2_D20                    101         0.900        | 885   101         11.7        
BL_W180_T1.2_D4                    100         0.900        | 992   100         12.5        
BL_W180_T1.2_D6                    100         0.900        | 993   100         12.5        
BL_W180_T1.2_D8                    100         0.900        | 994   100         12.5        
BL_W180_T1.2_D10                   100         0.900        | 995   100         12.5        
BL_W180_T1.2_D15                   100         0.900        | 996   100         12.5        
BL_W180_T1.2_D20                   100         0.900        | 997   100         12.5        
BL_W180_T1.2_D25                   100         0.900        | 998   100         12.5        
BL_W180_T1.2_D30                   100         0.900        | 999   100         12.5        
BL_W180_T1.2_D40                   100         0.900        | 1000  100         12.5        
BL_W20_T1.4_D40                    101         0.900        | 909   101         11.7        
BL_W20_T1.4_D30                    101         0.900        | 891   101         11.7        
BL_W20_T1.4_D25                    101         0.900        | 908   101         11.7        
BL_W20_T1.4_D20                    101         0.900        | 907   101         11.7        
BL_W20_T1.4_D15                    101         0.900        | 906   101         11.7        
BL_W50_T1.2_D15                    100         0.900        | 985   100         12.5        
BL_W20_T1.4_D10                    101         0.900        | 905   101         11.7        
BL_W40_T1.2_D8                     101         0.900        | 946   101         12.2        
BL_W50_T1.2_D10                    100         0.900        | 986   100         12.5        
BL_W50_T1.2_D8                     100         0.900        | 987   100         12.5        
BL_W50_T1.2_D6                     100         0.900        | 988   100         12.5        
BL_W50_T1.2_D4                     100         0.900        | 989   100         12.5        
BL_W50_T1.2_D2                     100         0.900        | 978   100         12.5        
BL_W50_T1.2_D20                    100         0.900        | 984   100         12.5        
BL_W50_T1.2_D25                    100         0.900        | 982   100         12.5        
BL_W50_T1.2_D30                    100         0.900        | 981   100         12.5        
BL_W50_T1.2_D40                    100         0.900        | 975   100         12.5        
BL_W40_T1.2_D40                    101         0.900        | 942   101         12.2        
BL_W40_T1.2_D30                    101         0.900        | 951   101         12.2        
BL_W40_T1.2_D25                    101         0.900        | 950   101         12.2        
BL_W40_T1.2_D20                    101         0.900        | 949   101         12.2        
BL_W40_T1.2_D15                    101         0.900        | 948   101         12.2        
BL_W40_T1.2_D10                    101         0.900        | 947   101         12.2        
BL_W30_T1.2_D30                    101         0.900        | 883   101         11.7        
BL_W40_T1.2_D6                     101         0.900        | 945   101         12.2        
BL_W40_T1.2_D4                     101         0.900        | 944   101         12.2        
BL_W40_T1.2_D2                     101         0.900        | 943   101         12.2        
BL_W30_T1.4_D40                    101         0.900        | 872   101         11.7        
BL_W30_T1.4_D30                    101         0.900        | 873   101         11.7        
BL_W30_T1.4_D25                    101         0.900        | 874   101         11.7        
BL_W30_T1.4_D20                    101         0.900        | 875   101         11.7        
BL_W30_T1.4_D15                    101         0.900        | 876   101         11.7        
BL_W30_T1.4_D10                    101         0.900        | 877   101         11.7        
BL_W30_T1.4_D8                     101         0.900        | 878   101         11.7        
BL_W30_T1.4_D6                     101         0.900        | 879   101         11.7        
BL_W30_T1.4_D4                     101         0.900        | 880   101         11.7        
BL_W30_T1.4_D2                     101         0.900        | 871   101         11.7        
BL_W30_T1.2_D40                    101         0.900        | 882   101         11.7        
BL_W190_T1.2_D40                   100         0.900        | 1002  100         12.5        
BL_W20_T1.2_D2                     101         0.900        | 892   101         11.7        
BL_W190_T1.2_D2                    100         0.900        | 1013  100         12.5        
BL_W190_T1.2_D4                    100         0.900        | 1014  100         12.5        
BL_W190_T1.2_D6                    100         0.900        | 1015  100         12.5        
BL_W190_T1.2_D8                    100         0.900        | 1016  100         12.5        
BL_W190_T1.2_D10                   100         0.900        | 1017  100         12.5        
BL_W190_T1.2_D15                   100         0.900        | 1005  100         12.5        
BL_W190_T1.2_D20                   100         0.900        | 1018  100         12.5        
BL_W190_T1.2_D25                   100         0.900        | 1004  100         12.5        
BL_W190_T1.2_D30                   100         0.900        | 1003  100         12.5        
BL_W20_T1.4_D6                     101         0.900        | 903   101         11.7        
BL_W200_T1.2_D40                   100         0.900        | 965   100         12.5        
BL_W200_T1.2_D30                   100         0.900        | 1001  100         12.5        
BL_W200_T1.2_D25                   100         0.900        | 990   100         12.5        
BL_W200_T1.2_D20                   100         0.900        | 1006  100         12.5        
BL_W200_T1.2_D15                   100         0.900        | 1007  100         12.5        
BL_W200_T1.2_D10                   100         0.900        | 1008  100         12.5        
BL_W200_T1.2_D8                    100         0.900        | 1009  100         12.5        
BL_W200_T1.2_D6                    100         0.900        | 1010  100         12.5        
BL_W200_T1.2_D4                    100         0.900        | 1011  100         12.5        
BL_W200_T1.2_D2                    100         0.900        | 1012  100         12.5        
BL_W20_T1.2_D6                     101         0.900        | 893   101         11.7        
BL_W10_T2.2_D6                     102         0.900        | 841   102         11.1        
BL_W10_T2.2_D8                     102         0.900        | 842   102         11.1        
BL_W10_T2.2_D10                    102         0.900        | 844   102         11.1        
BL_W10_T2.2_D15                    102         0.900        | 839   102         11.1        
BL_W10_T2.2_D20                    102         0.900        | 848   102         11.1        
BL_W10_T2.2_D25                    102         0.900        | 849   102         11.1        
BL_W10_T2.2_D40                    102         0.900        | 840   102         11.1        
BL_W20_T1.2_D20                    101         0.900        | 897   101         11.7        
BL_W10_T2.2_D4                     102         0.900        | 837   102         11.1        
BL_W10_T2.2_D2                     102         0.900        | 838   102         11.1        
BL_W20_T1.2_D25                    101         0.900        | 898   101         11.7        
BL_W20_T1.2_D30                    101         0.900        | 899   101         11.7        
BL_W20_T1.4_D8                     101         0.900        | 904   101         11.7        
BL_W20_T1.2_D40                    101         0.900        | 900   101         11.7        
BL_W20_T1.4_D2                     101         0.900        | 901   101         11.7        
BL_W20_T1.4_D4                     101         0.900        | 902   101         11.7        
BL_W20_T1.2_D4                     101         0.900        | 881   101         11.7        
BL_W20_T1.2_D15                    101         0.900        | 896   101         11.7        
BL_W20_T1.2_D10                    101         0.900        | 895   101         11.7        
BL_W20_T1.2_D8                     101         0.900        | 894   101         11.7        
BL_W100_T1.2_D20                   98          0.820        | 1341  98          14.9        
BL_W200_T1.4_D40                   98          0.820        | 1154  98          14.9        
BL_W100_T1.2_D25                   98          0.820        | 1342  98          14.9        
BL_W100_T1.2_D30                   98          0.820        | 1343  98          14.9        
BL_W100_T1.2_D40                   98          0.820        | 1334  98          14.9        
BL_W100_T1.4_D2                    98          0.820        | 1345  98          14.9        
BL_W100_T1.4_D4                    98          0.820        | 1346  98          14.9        
BL_W100_T1.4_D6                    98          0.820        | 1347  98          14.9        
BL_W100_T1.4_D8                    98          0.820        | 1348  98          14.9        
BL_W100_T1.4_D10                   98          0.820        | 1349  98          14.9        
BL_W100_T1.4_D15                   98          0.820        | 1350  98          14.9        
BL_W110_T1.4_D40                   98          0.820        | 1383  98          14.9        
BL_W100_T1.2_D15                   98          0.820        | 1340  98          14.9        
BL_W100_T1.2_D10                   98          0.820        | 1339  98          14.9        
BL_W100_T1.2_D8                    98          0.820        | 1338  98          14.9        
BL_W100_T1.2_D6                    98          0.820        | 1337  98          14.9        
BL_W100_T1.2_D4                    98          0.820        | 1336  98          14.9        
BL_W100_T1.2_D2                    98          0.820        | 1335  98          14.9        
BL_W90_T1.4_D40                    98          0.820        | 1436  98          14.9        
BL_W90_T1.4_D30                    98          0.820        | 1435  98          14.9        
BL_W90_T1.4_D25                    98          0.820        | 1434  98          14.9        
BL_W90_T1.4_D20                    98          0.820        | 1433  98          14.9        
BL_W90_T1.4_D15                    98          0.820        | 1432  98          14.9        
BL_W90_T1.4_D10                    98          0.820        | 1431  98          14.9        
BL_W110_T1.2_D10                   98          0.820        | 1330  98          14.9        
BL_W110_T1.2_D2                    98          0.820        | 1326  98          14.9        
BL_W110_T1.4_D30                   98          0.820        | 1382  98          14.9        
BL_W110_T1.4_D25                   98          0.820        | 1372  98          14.9        
BL_W110_T1.4_D20                   98          0.820        | 1380  98          14.9        
BL_W110_T1.4_D15                   98          0.820        | 1379  98          14.9        
BL_W110_T1.4_D10                   98          0.820        | 1378  98          14.9        
BL_W110_T1.4_D8                    98          0.820        | 1377  98          14.9        
BL_W110_T1.4_D6                    98          0.820        | 1376  98          14.9        
BL_W110_T1.4_D4                    98          0.820        | 1375  98          14.9        
BL_W110_T1.4_D2                    98          0.820        | 1374  98          14.9        
BL_W110_T1.2_D40                   98          0.820        | 1373  98          14.9        
BL_W110_T1.2_D30                   98          0.820        | 1344  98          14.9        
BL_W110_T1.2_D25                   98          0.820        | 1333  98          14.9        
BL_W110_T1.2_D20                   98          0.820        | 1332  98          14.9        
BL_W110_T1.2_D15                   98          0.820        | 1331  98          14.9        
BL_W200_T1.4_D30                   98          0.820        | 1155  98          14.9        
BL_W110_T1.2_D8                    98          0.820        | 1329  98          14.9        
BL_W110_T1.2_D6                    98          0.820        | 1328  98          14.9        
