=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 83.2 BPM
Valid interval: 411-1387 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 109 mmHg
Confidence: 0.077
95% CI: [107 - 111] mmHg
Agreement: 7213/2000 detectors

MAP: 101 mmHg
Est. Diastolic: 97 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T1.2_D4                    105         1.200        | 1341  105         15.1        
BL_W110_T1.2_D20                   105         1.200        | 1475  105         15.1        
BL_W110_T1.2_D25                   105         1.200        | 1476  105         15.1        
BL_W110_T1.2_D30                   105         1.200        | 1451  105         15.1        
BL_W110_T1.2_D40                   105         1.200        | 1477  105         15.1        
BL_W120_T1.2_D2                    105         1.200        | 1363  105         15.1        
BL_W120_T1.2_D4                    105         1.200        | 1364  105         15.1        
BL_W120_T1.2_D6                    105         1.200        | 1365  105         15.1        
BL_W120_T1.2_D8                    105         1.200        | 1366  105         15.1        
BL_W120_T1.2_D10                   105         1.200        | 1367  105         15.1        
BL_W120_T1.2_D15                   105         1.200        | 1368  105         15.1        
BL_W120_T1.2_D20                   105         1.200        | 1378  105         15.1        
BL_W120_T1.2_D25                   105         1.200        | 1406  105         15.1        
BL_W120_T1.2_D30                   105         1.200        | 1407  105         15.1        
BL_W120_T1.2_D40                   105         1.200        | 1408  105         15.1        
BL_W130_T1.2_D2                    105         1.200        | 1403  105         15.1        
BL_W110_T1.2_D15                   105         1.200        | 1474  105         15.1        
BL_W130_T1.2_D6                    105         1.200        | 1404  105         15.1        
BL_W130_T1.2_D8                    105         1.200        | 1047  105         15.1        
BL_W130_T1.2_D10                   105         1.200        | 1051  105         15.1        
BL_W130_T1.2_D15                   105         1.200        | 1063  105         15.1        
BL_W130_T1.2_D20                   105         1.200        | 1062  105         15.1        
BL_W130_T1.2_D25                   105         1.200        | 1052  105         15.1        
BL_W130_T1.2_D30                   105         1.200        | 1060  105         15.1        
BL_W130_T1.2_D40                   105         1.200        | 1059  105         15.1        
BL_W140_T1.2_D2                    112         1.200        | 849   112         8.0         
BL_W140_T1.2_D4                    112         1.200        | 853   112         8.0         
BL_W140_T1.2_D6                    112         1.200        | 851   112         8.0         
