=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 52.8 BPM
Valid interval: 559-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 121 mmHg
Confidence: 0.078
95% CI: [119 - 123] mmHg
Agreement: 8081/2000 detectors

MAP: 98 mmHg
Est. Diastolic: 87 mmHg
Oscillometric MAP Systolic: 129 mmHg
Oscillometric MAP Diastolic: 97 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T2.2_D2                     145         1.200        | 1997  145         18.6        
BL_W10_T1.6_D2                     145         1.200        | 1993  145         18.6        
BL_W10_T1.6_D4                     137         1.200        | 1791  137         10.9        
BL_W10_T1.6_D6                     132         1.200        | 1520  132         6.2         
BL_W10_T1.8_D2                     145         1.200        | 1999  145         18.6        
BL_W10_T1.8_D4                     137         1.200        | 1798  137         10.9        
BL_W10_T1.8_D6                     132         1.200        | 1516  132         6.2         
BL_W10_T2.0_D2                     145         1.200        | 1998  145         18.6        
BL_W10_T2.0_D4                     137         1.200        | 1788  137         10.9        
BL_W10_T2.0_D6                     132         1.200        | 1522  132         6.2         
BL_W10_T1.2_D4                     137         1.200        | 1806  137         10.9        
BL_W10_T2.2_D4                     137         1.200        | 1782  137         10.9        
BL_W10_T2.2_D6                     132         1.200        | 1517  132         6.2         
BL_W10_T1.2_D2                     145         1.200        | 1992  145         18.6        
BL_W20_T1.2_D2                     144         1.200        | 1991  144         18.3        
BL_W20_T1.4_D2                     144         1.200        | 1990  144         18.3        
BL_W20_T1.6_D2                     144         1.200        | 1989  144         18.3        
BL_W40_T1.2_D2                     141         1.200        | 1973  141         15.2        
BL_W30_T1.4_D2                     142         1.200        | 1981  142         15.8        
BL_W30_T1.2_D2                     142         1.200        | 1982  142         15.8        
BL_W10_T1.4_D6                     132         1.200        | 1519  132         6.2         
BL_W10_T1.4_D4                     137         1.200        | 1808  137         10.9        
BL_W10_T1.2_D6                     132         1.200        | 1521  132         6.2         
BL_W10_T1.4_D2                     145         1.200        | 1994  145         18.6        
BL_W80_T1.4_D2                     137         1.140        | 1858  137         10.9        
BL_W80_T1.6_D2                     137         1.140        | 1860  137         10.9        
BL_W80_T1.4_D8                     136         1.140        | 1756  136         10.4        
BL_W80_T1.4_D6                     137         1.140        | 1772  137         10.5        
BL_W10_T1.2_D10                    128         1.140        | 1122  128         1.8         
BL_W20_T1.6_D4                     137         1.140        | 1807  137         10.9        
BL_W20_T1.6_D6                     136         1.140        | 1702  136         10.4        
BL_W80_T1.4_D4                     137         1.140        | 1859  137         10.9        
BL_W80_T1.6_D4                     137         1.140        | 1861  137         10.9        
BL_W80_T1.2_D8                     136         1.140        | 1755  136         10.4        
BL_W80_T1.2_D6                     137         1.140        | 1771  137         10.5        
BL_W80_T1.2_D4                     137         1.140        | 1847  137         10.9        
BL_W80_T1.2_D2                     137         1.140        | 1856  137         10.9        
BL_W70_T1.4_D8                     136         1.140        | 1736  136         10.4        
BL_W70_T1.4_D6                     137         1.140        | 1757  137         10.5        
BL_W70_T1.4_D4                     137         1.140        | 1879  137         10.9        
BL_W70_T1.4_D2                     137         1.140        | 1878  137         10.9        
BL_W90_T1.4_D2                     137         1.140        | 1833  137         10.9        
BL_W100_T1.2_D2                    137         1.140        | 1889  137         10.9        
BL_W90_T1.6_D6                     136         1.140        | 1734  136         10.4        
BL_W90_T1.6_D4                     137         1.140        | 1829  137         10.9        
BL_W90_T1.6_D2                     137         1.140        | 1778  137         10.5        
BL_W10_T1.2_D20                    127         1.140        | 878   127         1.3         
BL_W20_T1.2_D4                     137         1.140        | 1804  137         10.9        
BL_W20_T1.2_D6                     136         1.140        | 1700  136         10.4        
BL_W90_T1.4_D6                     136         1.140        | 1733  136         10.4        
BL_W90_T1.4_D4                     137         1.140        | 1831  137         10.9        
BL_W70_T1.2_D4                     137         1.140        | 1877  137         10.9        
BL_W90_T1.2_D6                     136         1.140        | 1732  136         10.4        
BL_W90_T1.2_D4                     137         1.140        | 1834  137         10.9        
BL_W10_T1.2_D15                    128         1.140        | 1106  128         1.8         
BL_W20_T1.4_D4                     137         1.140        | 1793  137         10.9        
BL_W20_T1.4_D6                     136         1.140        | 1692  136         10.4        
BL_W90_T1.2_D2                     137         1.140        | 1840  137         10.9        
BL_W80_T1.6_D8                     136         1.140        | 1711  136         10.4        
BL_W80_T1.6_D6                     137         1.140        | 1773  137         10.5        
BL_W40_T1.4_D4                     137         1.140        | 1908  137         10.9        
BL_W50_T1.4_D2                     138         1.140        | 1935  138         11.6        
BL_W50_T1.2_D6                     137         1.140        | 1902  137         10.9        
BL_W50_T1.2_D4                     137         1.140        | 1914  137         10.9        
BL_W50_T1.2_D2                     138         1.140        | 1938  138         11.6        
BL_W40_T1.6_D6                     137         1.140        | 1913  137         10.9        
BL_W40_T1.6_D4                     137         1.140        | 1911  137         10.9        
BL_W40_T1.6_D2                     138         1.140        | 1939  138         11.6        
BL_W40_T1.4_D6                     137         1.140        | 1909  137         10.9        
BL_W50_T1.4_D4                     137         1.140        | 1925  137         10.9        
BL_W40_T1.4_D2                     138         1.140        | 1936  138         11.6        
BL_W40_T1.2_D6                     137         1.140        | 1906  137         10.9        
