=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 102.0 BPM
Valid interval: 347-967 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 119 mmHg
Confidence: 0.052
95% CI: [117 - 121] mmHg
Agreement: 11247/2000 detectors

MAP: 105 mmHg
Est. Diastolic: 98 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.2_D4                     144         1.200        | 878   144         9.2         
BL_W10_T1.6_D40                    125         1.200        | 900   125         9.8         
BL_W10_T1.6_D30                    125         1.200        | 885   125         9.8         
BL_W10_T1.6_D25                    125         1.200        | 879   125         9.8         
BL_W10_T1.6_D20                    125         1.200        | 887   125         9.8         
BL_W10_T1.6_D15                    125         1.200        | 888   125         9.8         
BL_W10_T1.2_D2                     144         1.200        | 870   144         9.2         
BL_W10_T1.4_D40                    134         1.200        | 64    134         1.2         
BL_W10_T1.4_D30                    138         1.200        | 408   138         3.4         
BL_W10_T1.4_D25                    138         1.200        | 409   138         3.4         
BL_W10_T1.4_D20                    140         1.200        | 678   140         5.2         
BL_W10_T1.4_D15                    140         1.200        | 688   140         5.2         
BL_W10_T1.4_D10                    140         1.200        | 668   140         5.2         
BL_W10_T1.4_D6                     144         1.200        | 874   144         9.2         
BL_W10_T1.2_D6                     144         1.200        | 877   144         9.2         
BL_W10_T1.2_D8                     144         1.200        | 866   144         8.9         
BL_W10_T1.2_D10                    140         1.200        | 673   140         5.2         
BL_W10_T1.2_D15                    140         1.200        | 682   140         5.2         
BL_W10_T1.4_D8                     144         1.200        | 865   144         8.9         
BL_W10_T1.2_D20                    140         1.200        | 681   140         5.2         
BL_W10_T1.2_D30                    138         1.200        | 424   138         3.4         
BL_W10_T1.2_D25                    138         1.200        | 411   138         3.4         
BL_W10_T1.2_D40                    134         1.200        | 67    134         1.2         
BL_W10_T1.4_D2                     144         1.200        | 876   144         9.2         
BL_W10_T1.4_D4                     144         1.200        | 875   144         9.2         
BL_W180_T1.4_D4                    107         1.140        | 1257  107         27.6        
BL_W180_T1.4_D2                    107         1.140        | 1256  107         27.6        
BL_W180_T1.2_D40                   107         1.140        | 1255  107         27.6        
BL_W180_T1.2_D30                   107         1.140        | 1243  107         27.6        
BL_W180_T1.2_D25                   107         1.140        | 1253  107         27.6        
BL_W180_T1.2_D20                   107         1.140        | 1252  107         27.6        
BL_W180_T1.2_D15                   107         1.140        | 1251  107         27.6        
BL_W180_T1.2_D10                   107         1.140        | 1250  107         27.6        
BL_W180_T1.2_D8                    107         1.140        | 1249  107         27.6        
BL_W170_T1.4_D40                   107         1.140        | 1488  107         28.2        
BL_W180_T1.2_D6                    107         1.140        | 1248  107         27.6        
BL_W180_T1.2_D4                    107         1.140        | 1247  107         27.6        
BL_W180_T1.2_D2                    107         1.140        | 1246  107         27.6        
BL_W180_T1.4_D6                    107         1.140        | 1258  107         27.6        
BL_W180_T1.4_D8                    107         1.140        | 1259  107         27.6        
BL_W180_T1.4_D10                   107         1.140        | 1260  107         27.6        
BL_W180_T1.4_D15                   107         1.140        | 1261  107         27.6        
BL_W180_T1.4_D20                   107         1.140        | 1262  107         27.6        
BL_W180_T1.4_D25                   107         1.140        | 1263  107         27.6        
BL_W180_T1.4_D30                   107         1.140        | 1254  107         27.6        
BL_W180_T1.4_D40                   107         1.140        | 1236  107         27.6        
BL_W190_T1.2_D8                    107         1.140        | 1308  107         27.6        
BL_W190_T1.2_D2                    107         1.140        | 1305  107         27.6        
BL_W190_T1.2_D4                    107         1.140        | 1306  107         27.6        
BL_W190_T1.2_D6                    107         1.140        | 1307  107         27.6        
BL_W190_T1.4_D8                    107         1.140        | 1318  107         27.6        
BL_W150_T1.4_D25                   107         1.140        | 1528  107         28.2        
BL_W160_T1.4_D2                    107         1.140        | 1430  107         28.2        
BL_W160_T1.4_D4                    107         1.140        | 1429  107         28.2        
BL_W160_T1.4_D6                    107         1.140        | 1428  107         28.2        
BL_W160_T1.4_D8                    107         1.140        | 1448  107         28.2        
BL_W160_T1.4_D10                   107         1.140        | 1453  107         28.2        
BL_W160_T1.4_D15                   107         1.140        | 1452  107         28.2        
BL_W160_T1.4_D20                   107         1.140        | 1451  107         28.2        
BL_W160_T1.4_D25                   107         1.140        | 1450  107         28.2        
BL_W160_T1.4_D30                   107         1.140        | 1449  107         28.2        
BL_W160_T1.4_D40                   107         1.140        | 1439  107         28.2        
BL_W150_T1.4_D40                   107         1.140        | 1530  107         28.2        
BL_W150_T1.4_D30                   107         1.140        | 1529  107         28.2        
BL_W170_T1.4_D30                   107         1.140        | 1489  107         28.2        
BL_W150_T1.4_D20                   107         1.140        | 1527  107         28.2        
BL_W150_T1.4_D15                   107         1.140        | 1526  107         28.2        
BL_W170_T1.4_D2                    107         1.140        | 1472  107         28.2        
BL_W150_T1.4_D10                   107         1.140        | 1514  107         28.2        
BL_W170_T1.4_D4                    107         1.140        | 1462  107         28.2        
BL_W170_T1.4_D6                    107         1.140        | 1461  107         28.2        
BL_W170_T1.4_D8                    107         1.140        | 1460  107         28.2        
BL_W170_T1.4_D10                   107         1.140        | 1459  107         28.2        
BL_W170_T1.4_D15                   107         1.140        | 1458  107         28.2        
BL_W170_T1.4_D20                   107         1.140        | 1466  107         28.2        
BL_W170_T1.4_D25                   107         1.140        | 1490  107         28.2        
BL_W200_T1.4_D15                   107         1.140        | 1281  107         27.6        
BL_W200_T1.2_D15                   107         1.140        | 1271  107         27.6        
BL_W200_T1.2_D20                   107         1.140        | 1272  107         27.6        
BL_W200_T1.2_D25                   107         1.140        | 1273  107         27.6        
BL_W200_T1.2_D30                   107         1.140        | 1274  107         27.6        
BL_W200_T1.2_D40                   107         1.140        | 1275  107         27.6        
BL_W200_T1.4_D2                    107         1.140        | 1276  107         27.6        
BL_W200_T1.4_D4                    107         1.140        | 1277  107         27.6        
BL_W200_T1.4_D6                    107         1.140        | 1278  107         27.6        
BL_W200_T1.4_D8                    107         1.140        | 1279  107         27.6        
BL_W200_T1.4_D10                   107         1.140        | 1264  107         27.6        
BL_W190_T1.2_D15                   107         1.140        | 1295  107         27.6        
BL_W200_T1.4_D20                   107         1.140        | 1282  107         27.6        
BL_W200_T1.4_D25                   107         1.140        | 1315  107         27.6        
BL_W200_T1.4_D30                   107         1.140        | 1294  107         27.6        
BL_W200_T1.4_D40                   107         1.140        | 1293  107         27.6        
BL_W150_T1.4_D8                    107         1.140        | 1524  107         28.2        
BL_W150_T1.4_D6                    107         1.140        | 1523  107         28.2        
BL_W150_T1.4_D4                    107         1.140        | 1522  107         28.2        
BL_W150_T1.4_D2                    107         1.140        | 1521  107         28.2        
BL_W10_T1.6_D10                    125         1.140        | 889   125         9.8         
BL_W200_T1.2_D8                    107         1.140        | 1269  107         27.6        
BL_W190_T1.2_D10                   107         1.140        | 1309  107         27.6        
BL_W190_T1.2_D20                   107         1.140        | 1311  107         27.6        
BL_W190_T1.2_D25                   107         1.140        | 1312  107         27.6        
BL_W190_T1.2_D30                   107         1.140        | 1313  107         27.6        
BL_W190_T1.2_D40                   107         1.140        | 1314  107         27.6        
BL_W190_T1.4_D2                    107         1.140        | 1235  107         27.6        
BL_W190_T1.4_D4                    107         1.140        | 1316  107         27.6        
BL_W190_T1.4_D6                    107         1.140        | 1317  107         27.6        
BL_W190_T1.4_D10                   107         1.140        | 1319  107         27.6        
BL_W190_T1.4_D20                   107         1.140        | 1323  107         27.6        
BL_W190_T1.4_D25                   107         1.140        | 1324  107         27.6        
BL_W190_T1.4_D30                   107         1.140        | 1280  107         27.6        
BL_W190_T1.4_D40                   107         1.140        | 1265  107         27.6        
BL_W200_T1.2_D2                    107         1.140        | 1266  107         27.6        
BL_W200_T1.2_D4                    107         1.140        | 1267  107         27.6        
BL_W200_T1.2_D6                    107         1.140        | 1268  107         27.6        
