=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 61.0 BPM
Valid interval: 518-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 123 mmHg
Confidence: 0.056
95% CI: [121 - 125] mmHg
Agreement: 10601/2000 detectors

MAP: 107 mmHg
Est. Diastolic: 100 mmHg
Oscillometric MAP Systolic: 138 mmHg
Oscillometric MAP Diastolic: 105 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.8_D30                    138         1.200        | 561   138         3.8         
BL_W10_T1.6_D20                    139         1.200        | 381   139         3.4         
BL_W10_T1.6_D25                    138         1.200        | 578   138         3.8         
BL_W10_T1.6_D30                    138         1.200        | 577   138         3.8         
BL_W10_T1.6_D40                    138         1.200        | 576   138         3.8         
BL_W10_T1.8_D2                     170         1.200        | 1951  170         28.3        
BL_W10_T1.8_D4                     143         1.200        | 345   143         0.8         
BL_W10_T1.8_D6                     143         1.200        | 367   143         0.8         
BL_W10_T1.8_D8                     143         1.200        | 316   143         0.8         
BL_W10_T1.8_D10                    142         1.200        | 191   142         0.4         
BL_W10_T1.8_D15                    142         1.200        | 65    142         0.2         
BL_W10_T1.8_D20                    139         1.200        | 377   139         3.4         
BL_W10_T1.8_D25                    138         1.200        | 575   138         3.8         
BL_W10_T1.2_D4                     143         1.200        | 228   143         0.8         
BL_W10_T1.8_D40                    138         1.200        | 573   138         3.8         
BL_W10_T2.0_D2                     170         1.200        | 1952  170         28.3        
BL_W10_T2.0_D4                     143         1.200        | 311   143         0.8         
BL_W10_T2.0_D6                     143         1.200        | 310   143         0.8         
BL_W10_T2.0_D8                     143         1.200        | 329   143         0.8         
BL_W10_T2.0_D10                    142         1.200        | 196   142         0.4         
BL_W10_T2.0_D15                    142         1.200        | 19    142         0.2         
BL_W10_T2.0_D20                    139         1.200        | 385   139         3.4         
BL_W10_T2.0_D25                    138         1.200        | 572   138         3.8         
BL_W10_T2.0_D30                    138         1.200        | 570   138         3.8         
BL_W10_T2.0_D40                    138         1.200        | 569   138         3.8         
BL_W10_T1.4_D8                     143         1.200        | 340   143         0.8         
BL_W10_T1.6_D15                    142         1.200        | 42    142         0.2         
BL_W10_T1.2_D6                     143         1.200        | 364   143         0.8         
BL_W10_T1.2_D8                     143         1.200        | 363   143         0.8         
BL_W10_T1.2_D10                    142         1.200        | 176   142         0.4         
BL_W10_T1.2_D15                    142         1.200        | 55    142         0.2         
BL_W10_T1.2_D20                    139         1.200        | 378   139         3.4         
BL_W10_T1.2_D25                    138         1.200        | 585   138         3.8         
BL_W10_T1.2_D30                    138         1.200        | 584   138         3.8         
BL_W10_T1.2_D40                    138         1.200        | 583   138         3.8         
BL_W10_T1.4_D2                     170         1.200        | 1949  170         28.3        
BL_W10_T1.4_D4                     143         1.200        | 343   143         0.8         
BL_W10_T1.4_D6                     143         1.200        | 348   143         0.8         
BL_W10_T1.4_D10                    142         1.200        | 181   142         0.4         
BL_W10_T1.4_D15                    142         1.200        | 49    142         0.2         
BL_W10_T1.4_D20                    139         1.200        | 372   139         3.4         
BL_W10_T1.4_D25                    138         1.200        | 582   138         3.8         
BL_W10_T1.4_D30                    138         1.200        | 581   138         3.8         
BL_W10_T1.4_D40                    138         1.200        | 579   138         3.8         
BL_W10_T1.6_D2                     170         1.200        | 1950  170         28.3        
BL_W10_T1.6_D4                     143         1.200        | 354   143         0.8         
BL_W10_T1.6_D6                     143         1.200        | 353   143         0.8         
BL_W10_T1.6_D8                     143         1.200        | 351   143         0.8         
BL_W10_T1.6_D10                    142         1.200        | 187   142         0.4         
BL_W10_T1.2_D2                     154         1.060        | 713   154         12.3        
BL_W30_T1.2_D4                     125         0.980        | 727   125         16.8        
BL_W30_T1.2_D6                     125         0.980        | 726   125         16.8        
BL_W30_T1.2_D8                     125         0.980        | 725   125         16.8        
BL_W30_T1.2_D10                    125         0.980        | 724   125         16.8        
BL_W30_T1.2_D15                    125         0.980        | 723   125         16.8        
BL_W30_T1.2_D20                    125         0.980        | 720   125         16.8        
BL_W30_T1.2_D40                    125         0.980        | 722   125         16.8        
BL_W30_T1.2_D30                    125         0.980        | 721   125         16.8        
BL_W30_T1.2_D25                    125         0.980        | 719   125         16.8        
BL_W110_T1.4_D30                   122         0.900        | 1488  122         20.4        
BL_W100_T1.2_D4                    122         0.900        | 1280  122         20.4        
BL_W110_T1.2_D4                    122         0.900        | 1288  122         20.4        
BL_W110_T1.2_D6                    122         0.900        | 1289  122         20.4        
BL_W110_T1.2_D8                    122         0.900        | 1290  122         20.4        
BL_W110_T1.2_D10                   122         0.900        | 1291  122         20.4        
BL_W110_T1.2_D15                   122         0.900        | 1292  122         20.4        
BL_W110_T1.2_D20                   122         0.900        | 1282  122         20.4        
BL_W110_T1.2_D25                   122         0.900        | 1294  122         20.4        
BL_W110_T1.2_D30                   122         0.900        | 1295  122         20.4        
BL_W110_T1.2_D40                   122         0.900        | 1296  122         20.4        
BL_W110_T1.4_D2                    122         0.900        | 1297  122         20.4        
BL_W110_T1.4_D4                    122         0.900        | 1298  122         20.4        
BL_W110_T1.4_D6                    122         0.900        | 1299  122         20.4        
BL_W110_T1.4_D8                    122         0.900        | 1300  122         20.4        
BL_W110_T1.4_D10                   122         0.900        | 1301  122         20.4        
BL_W110_T1.4_D15                   122         0.900        | 1302  122         20.4        
BL_W110_T1.4_D20                   122         0.900        | 1303  122         20.4        
BL_W110_T1.4_D25                   122         0.900        | 1528  122         20.4        
BL_W100_T1.4_D15                   122         0.900        | 1237  122         20.4        
