=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 60.6 BPM
Valid interval: 509-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 126 mmHg
Confidence: 0.048
95% CI: [124 - 128] mmHg
Agreement: 12825/2000 detectors

MAP: 114 mmHg
Est. Diastolic: 108 mmHg
Oscillometric MAP Systolic: 135 mmHg
Oscillometric MAP Diastolic: 109 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.8_D2                     160         1.200        | 1048  160         16.4        
BL_W10_T1.6_D2                     160         1.200        | 1047  160         16.4        
BL_W10_T1.6_D4                     146         1.200        | 877   146         2.2         
BL_W10_T1.6_D6                     146         1.200        | 878   146         2.2         
BL_W10_T1.6_D8                     146         1.200        | 879   146         2.2         
BL_W10_T1.6_D10                    146         1.200        | 880   146         2.2         
BL_W10_T1.6_D15                    146         1.200        | 881   146         2.2         
BL_W10_T1.6_D20                    146         1.200        | 517   146         1.8         
BL_W10_T1.6_D25                    146         1.200        | 380   146         1.8         
BL_W10_T1.6_D30                    145         1.200        | 174   145         1.5         
BL_W10_T1.2_D4                     146         1.200        | 867   146         2.2         
BL_W10_T1.8_D4                     146         1.200        | 882   146         2.2         
BL_W10_T1.8_D6                     146         1.200        | 883   146         2.2         
BL_W10_T1.8_D8                     146         1.200        | 857   146         2.2         
BL_W10_T1.8_D10                    146         1.200        | 848   146         2.2         
BL_W10_T1.8_D15                    146         1.200        | 849   146         2.2         
BL_W10_T1.8_D20                    146         1.200        | 355   146         1.8         
BL_W10_T1.8_D25                    146         1.200        | 351   146         1.8         
BL_W10_T1.8_D30                    145         1.200        | 160   145         1.5         
BL_W10_T1.4_D30                    145         1.200        | 152   145         1.5         
BL_W10_T1.2_D6                     146         1.200        | 868   146         2.2         
BL_W10_T1.2_D8                     146         1.200        | 869   146         2.2         
BL_W10_T1.2_D10                    146         1.200        | 870   146         2.2         
BL_W10_T1.2_D15                    146         1.200        | 871   146         2.2         
BL_W10_T1.2_D20                    146         1.200        | 487   146         1.8         
BL_W10_T1.2_D25                    146         1.200        | 489   146         1.8         
BL_W10_T1.2_D30                    145         1.200        | 186   145         1.5         
BL_W10_T1.4_D2                     160         1.200        | 1046  160         16.4        
BL_W10_T1.4_D6                     146         1.200        | 873   146         2.2         
BL_W10_T1.4_D8                     146         1.200        | 874   146         2.2         
BL_W10_T1.4_D10                    146         1.200        | 866   146         2.2         
BL_W10_T1.4_D15                    146         1.200        | 876   146         2.2         
BL_W10_T1.4_D20                    146         1.200        | 537   146         1.8         
BL_W10_T1.4_D25                    146         1.200        | 538   146         1.8         
BL_W10_T1.4_D4                     146         1.200        | 872   146         2.2         
BL_W10_T1.6_D40                    141         1.140        | 1030  141         3.1         
BL_W10_T1.2_D2                     160         1.140        | 1050  160         16.4        
BL_W10_T1.8_D40                    141         1.140        | 1029  141         3.1         
BL_W10_T1.4_D40                    141         1.140        | 1028  141         3.1         
BL_W10_T1.2_D40                    141         1.140        | 1027  141         3.1         
BL_W130_T1.4_D25                   124         0.900        | 1348  124         19.9        
BL_W130_T1.4_D30                   124         0.900        | 1352  124         19.9        
BL_W130_T1.4_D20                   124         0.900        | 1347  124         19.9        
BL_W130_T1.4_D40                   124         0.900        | 1350  124         19.9        
BL_W140_T1.2_D2                    124         0.900        | 1200  124         19.9        
BL_W140_T1.2_D4                    124         0.900        | 1199  124         19.9        
BL_W140_T1.2_D6                    124         0.900        | 1198  124         19.9        
BL_W140_T1.2_D8                    124         0.900        | 1197  124         19.9        
BL_W140_T1.2_D10                   124         0.900        | 1196  124         19.9        
BL_W140_T1.2_D15                   124         0.900        | 1195  124         19.9        
BL_W140_T1.2_D20                   124         0.900        | 1194  124         19.9        
