=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 72.1 BPM
Valid interval: 460-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 94 mmHg
Confidence: 0.064
95% CI: [92 - 96] mmHg
Agreement: 11433/2000 detectors

MAP: 86 mmHg
Est. Diastolic: 82 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.8_D8                     110         1.200        | 1662  110         15.6        
BL_W10_T1.6_D6                     110         1.200        | 1676  110         15.9        
BL_W10_T1.6_D10                    110         1.200        | 1670  110         15.6        
BL_W10_T1.6_D15                    109         1.200        | 1326  109         15.3        
BL_W10_T1.6_D20                    104         1.200        | 961   104         10.1        
BL_W10_T1.6_D25                    104         1.200        | 962   104         10.1        
BL_W10_T1.6_D30                    104         1.200        | 963   104         10.1        
BL_W10_T2.2_D20                    104         1.200        | 971   104         10.1        
BL_W10_T2.2_D15                    109         1.200        | 1397  109         15.3        
BL_W10_T1.8_D4                     110         1.200        | 1667  110         15.6        
BL_W10_T1.8_D6                     110         1.200        | 1675  110         15.9        
BL_W10_T1.6_D8                     110         1.200        | 1671  110         15.6        
BL_W10_T1.8_D10                    110         1.200        | 1672  110         15.6        
BL_W10_T1.8_D15                    109         1.200        | 1390  109         15.3        
BL_W10_T1.8_D20                    104         1.200        | 964   104         10.1        
BL_W10_T1.8_D25                    104         1.200        | 965   104         10.1        
BL_W10_T1.8_D30                    104         1.200        | 968   104         10.1        
BL_W10_T2.0_D30                    104         1.200        | 970   104         10.1        
BL_W10_T2.0_D25                    104         1.200        | 960   104         10.1        
BL_W10_T2.0_D15                    109         1.200        | 1386  109         15.3        
BL_W10_T2.0_D20                    104         1.200        | 969   104         10.1        
BL_W10_T2.2_D25                    104         1.200        | 973   104         10.1        
BL_W10_T1.2_D4                     110         1.200        | 1659  110         15.6        
BL_W10_T1.2_D6                     110         1.200        | 1678  110         15.9        
BL_W10_T1.2_D8                     110         1.200        | 1658  110         15.6        
BL_W10_T1.2_D10                    110         1.200        | 1656  110         15.6        
BL_W10_T1.2_D15                    109         1.200        | 1350  109         15.3        
BL_W10_T1.2_D20                    104         1.200        | 953   104         10.1        
BL_W10_T1.2_D25                    104         1.200        | 956   104         10.1        
BL_W10_T1.2_D30                    104         1.200        | 976   104         10.1        
BL_W10_T1.4_D4                     110         1.200        | 1661  110         15.6        
BL_W10_T1.4_D6                     110         1.200        | 1677  110         15.9        
BL_W10_T1.4_D8                     110         1.200        | 1653  110         15.6        
BL_W10_T1.4_D10                    110         1.200        | 1655  110         15.6        
BL_W10_T1.4_D15                    109         1.200        | 1388  109         15.3        
BL_W10_T1.4_D20                    104         1.200        | 966   104         10.1        
BL_W10_T1.4_D25                    104         1.200        | 967   104         10.1        
BL_W10_T1.4_D30                    104         1.200        | 972   104         10.1        
BL_W10_T2.2_D30                    104         1.200        | 974   104         10.1        
BL_W10_T1.6_D4                     110         1.200        | 1673  110         15.6        
BL_W10_T2.2_D40                    98          1.140        | 446   98          3.7         
BL_W10_T2.4_D40                    98          1.140        | 453   98          3.7         
BL_W10_T2.2_D10                    98          1.140        | 437   98          3.7         
BL_W10_T2.2_D8                     98          1.140        | 443   98          3.7         
BL_W10_T2.2_D2                     98          1.140        | 452   98          3.7         
BL_W10_T2.0_D40                    98          1.140        | 458   98          3.7         
BL_W10_T2.2_D4                     98          1.140        | 454   98          3.7         
BL_W10_T2.0_D8                     98          1.140        | 464   98          3.7         
BL_W10_T1.2_D40                    98          1.140        | 456   98          3.7         
BL_W10_T2.0_D4                     98          1.140        | 467   98          3.7         
BL_W10_T2.0_D10                    98          1.140        | 463   98          3.7         
BL_W10_T2.0_D2                     98          1.140        | 468   98          3.7         
BL_W10_T1.8_D40                    98          1.140        | 447   98          3.7         
BL_W10_T1.4_D40                    98          1.140        | 442   98          3.7         
BL_W10_T1.6_D40                    98          1.140        | 461   98          3.7         
BL_W10_T1.4_D2                     110         1.060        | 1654  110         15.6        
BL_W10_T1.2_D2                     110         1.060        | 1657  110         15.6        
BL_W10_T1.6_D2                     110         1.060        | 1674  110         15.6        
BL_W10_T1.8_D2                     110         1.060        | 1666  110         15.6        
BL_W10_T2.2_D6                     98          1.060        | 455   98          3.7         
BL_W10_T2.0_D6                     98          1.060        | 465   98          3.7         
BL_W100_T1.2_D30                   86          0.820        | 557   86          8.2         
BL_W110_T1.2_D30                   86          0.820        | 538   86          8.2         
BL_W100_T1.2_D40                   86          0.820        | 556   86          8.2         
BL_W100_T1.4_D2                    86          0.820        | 555   86          8.2         
BL_W100_T1.4_D4                    86          0.820        | 554   86          8.2         
BL_W100_T1.4_D6                    86          0.820        | 553   86          8.2         
BL_W100_T1.4_D8                    86          0.820        | 552   86          8.2         
BL_W100_T1.4_D10                   86          0.820        | 551   86          8.2         
BL_W100_T1.4_D15                   86          0.820        | 534   86          8.2         
BL_W100_T1.4_D20                   86          0.820        | 549   86          8.2         
BL_W100_T1.4_D25                   86          0.820        | 548   86          8.2         
BL_W100_T1.4_D30                   86          0.820        | 547   86          8.2         
BL_W100_T1.4_D40                   86          0.820        | 546   86          8.2         
BL_W110_T1.2_D4                    86          0.820        | 545   86          8.2         
BL_W110_T1.2_D6                    86          0.820        | 544   86          8.2         
BL_W110_T1.2_D8                    86          0.820        | 543   86          8.2         
BL_W110_T1.2_D10                   86          0.820        | 542   86          8.2         
BL_W110_T1.2_D15                   86          0.820        | 541   86          8.2         
BL_W110_T1.2_D20                   86          0.820        | 540   86          8.2         
BL_W110_T1.2_D25                   86          0.820        | 539   86          8.2         
BL_W90_T1.4_D20                    86          0.820        | 586   86          8.2         
BL_W90_T1.2_D25                    86          0.820        | 577   86          8.2         
BL_W140_T1.2_D2                    86          0.820        | 699   86          8.2         
BL_W90_T1.2_D30                    86          0.820        | 578   86          8.2         
BL_W90_T1.2_D40                    86          0.820        | 579   86          8.2         
BL_W90_T1.4_D2                     86          0.820        | 580   86          8.2         
BL_W90_T1.4_D4                     86          0.820        | 581   86          8.2         
BL_W90_T1.4_D6                     86          0.820        | 566   86          8.2         
BL_W90_T1.4_D8                     86          0.820        | 583   86          8.2         
BL_W90_T1.4_D10                    86          0.820        | 584   86          8.2         
BL_W90_T1.4_D15                    86          0.820        | 585   86          8.2         
BL_W100_T1.2_D25                   86          0.820        | 558   86          8.2         
BL_W90_T1.4_D25                    86          0.820        | 587   86          8.2         
BL_W90_T1.4_D30                    86          0.820        | 588   86          8.2         
BL_W90_T1.4_D40                    86          0.820        | 589   86          8.2         
BL_W100_T1.2_D2                    86          0.820        | 565   86          8.2         
BL_W100_T1.2_D4                    86          0.820        | 564   86          8.2         
BL_W100_T1.2_D6                    86          0.820        | 563   86          8.2         
BL_W100_T1.2_D8                    86          0.820        | 562   86          8.2         
BL_W100_T1.2_D10                   86          0.820        | 561   86          8.2         
BL_W100_T1.2_D15                   86          0.820        | 560   86          8.2         
BL_W100_T1.2_D20                   86          0.820        | 559   86          8.2         
BL_W130_T1.4_D4                    86          0.820        | 720   86          8.2         
BL_W130_T1.2_D4                    86          0.820        | 710   86          8.2         
BL_W130_T1.2_D6                    86          0.820        | 711   86          8.2         
BL_W130_T1.2_D8                    86          0.820        | 712   86          8.2         
BL_W130_T1.2_D10                   86          0.820        | 713   86          8.2         
BL_W130_T1.2_D15                   86          0.820        | 714   86          8.2         
BL_W130_T1.2_D20                   86          0.820        | 715   86          8.2         
BL_W130_T1.2_D25                   86          0.820        | 716   86          8.2         
BL_W130_T1.2_D30                   86          0.820        | 717   86          8.2         
BL_W130_T1.2_D40                   86          0.820        | 707   86          8.2         
BL_W130_T1.4_D2                    86          0.820        | 719   86          8.2         
BL_W130_T1.2_D2                    86          0.820        | 709   86          8.2         
BL_W130_T1.4_D6                    86          0.820        | 721   86          8.2         
BL_W130_T1.4_D8                    86          0.820        | 722   86          8.2         
BL_W130_T1.4_D10                   86          0.820        | 723   86          8.2         
BL_W130_T1.4_D15                   86          0.820        | 724   86          8.2         
BL_W130_T1.4_D20                   86          0.820        | 725   86          8.2         
BL_W130_T1.4_D25                   86          0.820        | 726   86          8.2         
BL_W130_T1.4_D30                   86          0.820        | 727   86          8.2         
BL_W130_T1.4_D40                   86          0.820        | 728   86          8.2         
BL_W50_T1.2_D6                     86          0.820        | 851   86          8.2         
BL_W120_T1.2_D2                    86          0.820        | 569   86          8.2         
BL_W110_T1.4_D2                    86          0.820        | 536   86          8.2         
BL_W110_T1.4_D4                    86          0.820        | 535   86          8.2         
BL_W110_T1.4_D6                    86          0.820        | 550   86          8.2         
BL_W110_T1.4_D8                    86          0.820        | 596   86          8.2         
BL_W110_T1.4_D10                   86          0.820        | 595   86          8.2         
BL_W110_T1.4_D15                   86          0.820        | 594   86          8.2         
BL_W110_T1.4_D20                   86          0.820        | 593   86          8.2         
BL_W110_T1.4_D25                   86          0.820        | 592   86          8.2         
BL_W110_T1.4_D30                   86          0.820        | 591   86          8.2         
BL_W110_T1.4_D40                   86          0.820        | 590   86          8.2         
BL_W110_T1.2_D40                   86          0.820        | 537   86          8.2         
BL_W120_T1.2_D4                    86          0.820        | 568   86          8.2         
BL_W120_T1.2_D6                    86          0.820        | 567   86          8.2         
BL_W120_T1.2_D8                    86          0.820        | 582   86          8.2         
BL_W120_T1.2_D10                   86          0.820        | 503   86          8.2         
BL_W120_T1.2_D15                   86          0.820        | 506   86          8.2         
BL_W120_T1.2_D20                   86          0.820        | 504   86          8.2         
BL_W120_T1.2_D25                   86          0.820        | 507   86          8.2         
BL_W120_T1.2_D30                   86          0.820        | 521   86          8.2         
BL_W120_T1.2_D40                   86          0.820        | 533   86          8.2         
BL_W70_T1.2_D8                     86          0.820        | 821   86          8.2         
BL_W60_T1.4_D8                     86          0.820        | 899   86          8.2         
BL_W60_T1.4_D10                    86          0.820        | 898   86          8.2         
BL_W60_T1.4_D15                    86          0.820        | 897   86          8.2         
BL_W60_T1.4_D20                    86          0.820        | 896   86          8.2         
BL_W60_T1.4_D25                    86          0.820        | 895   86          8.2         
BL_W60_T1.4_D30                    86          0.820        | 894   86          8.2         
BL_W60_T1.4_D40                    86          0.820        | 893   86          8.2         
BL_W70_T1.2_D2                     86          0.820        | 872   86          8.2         
BL_W70_T1.2_D4                     86          0.820        | 871   86          8.2         
BL_W70_T1.2_D6                     86          0.820        | 870   86          8.2         
