=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 59.6 BPM
Valid interval: 527-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 90 mmHg
Confidence: 0.118
95% CI: [88 - 92] mmHg
Agreement: 4924/2500 detectors

MAP: 84 mmHg
Est. Diastolic: 81 mmHg
Oscillometric MAP Systolic: 105 mmHg
Oscillometric MAP Diastolic: 81 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W160_T1.8_D25                   103         0.900        | 262   103         2.3         
BL_W160_T2.0_D25                   103         0.900        | 258   103         2.3         
BL_W150_T1.8_D25                   103         0.900        | 168   103         2.3         
BL_W140_T1.8_D25                   103         0.900        | 312   103         2.3         
BL_W180_T2.0_D25                   100         0.820        | 513   100         5.1         
BL_W170_T1.8_D25                   100         0.820        | 523   100         5.1         
BL_W170_T2.0_D25                   100         0.820        | 487   100         5.1         
BL_W190_T1.8_D25                   97          0.820        | 610   97          7.9         
BL_W190_T2.0_D25                   97          0.820        | 612   97          7.9         
BL_W180_T1.8_D25                   100         0.820        | 509   100         5.1         
BL_W200_T2.0_D25                   95          0.740        | 652   95          10.1        
BL_W200_T1.8_D25                   95          0.740        | 654   95          10.1        
BL_W200_T2.2_D25                   95          0.740        | 655   95          10.1        
BL_W190_T1.8_D30                   92          0.660        | 750   92          13.0        
BL_W190_T2.0_D30                   92          0.660        | 739   92          13.0        
BL_W220_T2.2_D30                   92          0.660        | 788   92          13.0        
BL_W220_T1.8_D25                   93          0.660        | 682   93          12.4        
BL_W220_T1.8_D30                   92          0.660        | 803   92          13.0        
BL_W190_T2.2_D30                   92          0.660        | 713   92          13.0        
BL_W200_T2.2_D30                   92          0.660        | 746   92          13.0        
BL_W220_T2.0_D20                   93          0.660        | 711   93          12.4        
BL_W220_T2.0_D25                   93          0.660        | 697   93          12.4        
BL_W220_T2.0_D30                   92          0.660        | 794   92          13.0        
BL_W170_T1.8_D30                   92          0.660        | 785   92          13.0        
BL_W220_T2.2_D20                   93          0.660        | 688   93          12.4        
BL_W220_T2.2_D25                   93          0.660        | 687   93          12.4        
BL_W220_T1.8_D20                   93          0.660        | 681   93          12.4        
BL_W220_T2.4_D30                   92          0.660        | 786   92          13.0        
BL_W170_T2.0_D30                   92          0.660        | 792   92          13.0        
BL_W230_T2.2_D25                   91          0.660        | 851   91          14.2        
BL_W180_T2.0_D30                   92          0.660        | 760   92          13.0        
BL_W230_T2.2_D20                   91          0.660        | 849   91          14.2        
BL_W230_T2.0_D25                   91          0.660        | 861   91          14.2        
BL_W230_T2.0_D20                   91          0.660        | 858   91          14.2        
BL_W140_T1.8_D30                   92          0.660        | 755   92          13.0        
BL_W180_T1.8_D30                   92          0.660        | 714   92          13.0        
BL_W230_T1.8_D25                   91          0.660        | 848   91          14.2        
BL_W230_T1.8_D20                   91          0.660        | 847   91          14.2        
BL_W200_T2.0_D30                   92          0.660        | 718   92          13.0        
BL_W160_T2.0_D30                   92          0.660        | 783   92          13.0        
BL_W200_T1.8_D30                   92          0.660        | 747   92          13.0        
BL_W130_T1.8_D30                   92          0.660        | 797   92          13.0        
BL_W150_T1.8_D30                   92          0.660        | 766   92          13.0        
BL_W160_T1.8_D30                   92          0.660        | 727   92          13.0        
BL_W230_T2.4_D30                   91          0.580        | 842   91          13.8        
BL_W250_T1.8_D4                    88          0.580        | 1269  88          16.6        
BL_W250_T1.8_D2                    88          0.580        | 1273  88          16.6        
BL_W150_T2.2_D40                   91          0.580        | 1135  91          14.4        
BL_W230_T2.4_D40                   91          0.580        | 981   91          14.4        
BL_W250_T1.8_D10                   88          0.580        | 1266  88          16.6        
BL_W230_T2.2_D40                   91          0.580        | 980   91          14.4        
BL_W230_T2.2_D30                   91          0.580        | 834   91          13.8        
BL_W150_T1.8_D15                   91          0.580        | 1091  91          14.4        
BL_W150_T1.8_D10                   91          0.580        | 1092  91          14.4        
BL_W150_T1.8_D8                    91          0.580        | 1093  91          14.4        
BL_W150_T1.8_D6                    91          0.580        | 1078  91          14.4        
BL_W250_T1.8_D6                    88          0.580        | 1257  88          16.6        
BL_W250_T1.8_D8                    88          0.580        | 1267  88          16.6        
BL_W230_T2.2_D10                   91          0.580        | 977   91          14.4        
BL_W250_T1.8_D15                   88          0.580        | 1268  88          16.6        
BL_W250_T1.8_D20                   88          0.580        | 1295  88          16.6        
BL_W170_T2.2_D40                   91          0.580        | 1054  91          14.4        
BL_W170_T2.0_D40                   91          0.580        | 1055  91          14.4        
BL_W150_T1.8_D20                   91          0.580        | 1090  91          14.4        
BL_W170_T2.0_D20                   91          0.580        | 1056  91          14.4        
BL_W170_T2.0_D15                   91          0.580        | 1057  91          14.4        
BL_W170_T2.0_D10                   91          0.580        | 1058  91          14.4        
BL_W170_T2.0_D8                    91          0.580        | 1059  91          14.4        
BL_W150_T1.8_D40                   91          0.580        | 1089  91          14.4        
BL_W160_T2.0_D10                   91          0.580        | 1044  91          14.4        
BL_W140_T1.8_D15                   91          0.580        | 1083  91          14.4        
BL_W150_T1.8_D2                    91          0.580        | 1096  91          14.4        
BL_W160_T2.0_D15                   91          0.580        | 1043  91          14.4        
BL_W230_T1.8_D30                   91          0.580        | 836   91          13.8        
BL_W230_T1.8_D40                   91          0.580        | 1012  91          14.4        
BL_W230_T2.0_D2                    91          0.580        | 1013  91          14.4        
BL_W230_T2.0_D4                    91          0.580        | 978   91          14.4        
BL_W230_T2.0_D6                    91          0.580        | 966   91          14.4        
BL_W230_T2.0_D8                    91          0.580        | 967   91          14.4        
BL_W230_T2.0_D10                   91          0.580        | 969   91          14.4        
BL_W140_T1.8_D4                    91          0.580        | 1094  91          14.4        
BL_W140_T1.8_D6                    91          0.580        | 1079  91          14.4        
BL_W140_T1.8_D8                    91          0.580        | 1081  91          14.4        
BL_W140_T1.8_D10                   91          0.580        | 1082  91          14.4        
BL_W160_T2.0_D20                   91          0.580        | 1042  91          14.4        
BL_W230_T2.2_D15                   91          0.580        | 965   91          14.4        
BL_W140_T1.8_D20                   91          0.580        | 1084  91          14.4        
BL_W160_T2.0_D40                   91          0.580        | 1041  91          14.4        
BL_W160_T2.2_D40                   91          0.580        | 1032  91          14.4        
BL_W140_T1.8_D40                   91          0.580        | 1085  91          14.4        
BL_W230_T2.0_D15                   91          0.580        | 970   91          14.4        
BL_W150_T1.8_D4                    91          0.580        | 1095  91          14.4        
BL_W230_T2.0_D30                   91          0.580        | 839   91          13.8        
BL_W230_T2.0_D40                   91          0.580        | 971   91          14.4        
BL_W230_T2.2_D2                    91          0.580        | 972   91          14.4        
