=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 81.6 BPM
Valid interval: 418-1443 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 89 mmHg
Confidence: 0.116
95% CI: [87 - 91] mmHg
Agreement: 3941/2500 detectors

MAP: 96 mmHg
Est. Diastolic: 99 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W220_T1.8_D8                    93          1.060        | 901   93          16.0        
BL_W190_T1.8_D10                   95          1.060        | 705   95          14.3        
BL_W200_T1.8_D20                   95          1.060        | 642   95          14.3        
BL_W200_T1.8_D25                   95          1.060        | 643   95          14.3        
BL_W200_T1.8_D30                   95          1.060        | 552   95          13.7        
BL_W200_T1.8_D40                   95          1.060        | 644   95          14.3        
BL_W190_T1.8_D8                    95          1.060        | 683   95          14.3        
BL_W220_T1.8_D2                    93          1.060        | 904   93          16.0        
BL_W220_T1.8_D4                    93          1.060        | 903   93          16.0        
BL_W220_T1.8_D6                    93          1.060        | 902   93          16.0        
BL_W200_T1.8_D15                   95          1.060        | 641   95          14.3        
BL_W220_T1.8_D10                   93          1.060        | 900   93          16.0        
BL_W190_T1.8_D6                    95          1.060        | 682   95          14.3        
BL_W190_T1.8_D4                    95          1.060        | 669   95          14.3        
BL_W220_T1.8_D15                   93          1.060        | 899   93          16.0        
BL_W220_T1.8_D20                   93          1.060        | 898   93          16.0        
BL_W220_T1.8_D25                   93          1.060        | 897   93          16.0        
BL_W190_T1.8_D2                    95          1.060        | 680   95          14.3        
BL_W220_T1.8_D40                   93          1.060        | 817   93          15.6        
BL_W220_T1.8_D30                   93          1.060        | 818   93          15.6        
BL_W200_T1.8_D10                   95          1.060        | 640   95          14.3        
BL_W190_T1.8_D30                   95          1.060        | 572   95          13.7        
BL_W190_T1.8_D25                   95          1.060        | 686   95          14.3        
BL_W190_T1.8_D20                   95          1.060        | 685   95          14.3        
BL_W190_T1.8_D15                   95          1.060        | 684   95          14.3        
BL_W200_T1.8_D2                    95          1.060        | 588   95          14.3        
BL_W200_T1.8_D4                    95          1.060        | 653   95          14.3        
BL_W200_T1.8_D6                    95          1.060        | 638   95          14.3        
BL_W200_T1.8_D8                    95          1.060        | 639   95          14.3        
BL_W190_T1.8_D40                   95          1.060        | 687   95          14.3        
BL_W230_T1.8_D25                   91          0.980        | 960   91          18.4        
BL_W230_T1.8_D2                    91          0.980        | 966   91          18.4        
BL_W230_T1.8_D30                   91          0.980        | 973   91          18.4        
BL_W230_T1.8_D40                   91          0.980        | 974   91          18.4        
BL_W230_T1.8_D20                   91          0.980        | 971   91          18.4        
BL_W230_T1.8_D15                   91          0.980        | 970   91          18.4        
BL_W230_T1.8_D10                   91          0.980        | 969   91          18.4        
BL_W230_T1.8_D8                    91          0.980        | 968   91          18.4        
BL_W230_T1.8_D6                    91          0.980        | 967   91          18.4        
BL_W230_T1.8_D4                    91          0.980        | 965   91          18.4        
BL_W170_T1.8_D30                   101         0.912        | 161   101         8.1         
BL_W160_T1.8_D30                   101         0.912        | 71    101         8.1         
BL_W150_T1.8_D30                   101         0.912        | 86    101         8.1         
BL_W250_T1.8_D4                    88          0.900        | 1051  88          20.9        
BL_W250_T1.8_D25                   88          0.900        | 1024  88          20.9        
BL_W250_T1.8_D30                   88          0.900        | 1023  88          20.9        
BL_W250_T1.8_D40                   88          0.900        | 1022  88          20.9        
BL_W250_T1.8_D20                   88          0.900        | 1048  88          20.9        
BL_W250_T1.8_D6                    88          0.900        | 1050  88          20.9        
BL_W250_T1.8_D15                   88          0.900        | 1047  88          20.9        
BL_W250_T1.8_D10                   88          0.900        | 1026  88          20.9        
BL_W250_T1.8_D2                    88          0.900        | 1052  88          20.9        
BL_W250_T1.8_D8                    88          0.900        | 1049  88          20.9        
BL_W180_T1.8_D30                   99          0.848        | 336   99          10.0        
BL_W250_T2.0_D15                   88          0.820        | 1013  88          20.9        
BL_W250_T2.0_D2                    88          0.820        | 1021  88          20.9        
BL_W250_T2.0_D4                    88          0.820        | 1020  88          20.9        
BL_W250_T2.0_D6                    88          0.820        | 1015  88          20.9        
BL_W250_T2.0_D8                    88          0.820        | 1018  88          20.9        
BL_W250_T2.0_D10                   88          0.820        | 1014  88          20.9        
BL_W250_T2.0_D20                   88          0.820        | 1016  88          20.9        
BL_W250_T2.0_D25                   88          0.820        | 1017  88          20.9        
BL_W250_T2.0_D30                   88          0.820        | 1036  88          20.9        
BL_W250_T2.0_D40                   88          0.820        | 1046  88          20.9        
BL_W140_T1.8_D2                    95          0.784        | 678   95          14.3        
BL_W170_T1.8_D2                    95          0.784        | 722   95          14.3        
BL_W170_T1.8_D4                    95          0.784        | 723   95          14.3        
BL_W140_T1.8_D40                   95          0.784        | 681   95          14.3        
BL_W140_T1.8_D30                   95          0.784        | 670   95          14.3        
BL_W140_T1.8_D25                   95          0.784        | 671   95          14.3        
BL_W140_T1.8_D20                   95          0.784        | 672   95          14.3        
BL_W140_T1.8_D15                   95          0.784        | 673   95          14.3        
BL_W140_T1.8_D10                   95          0.784        | 674   95          14.3        
BL_W140_T1.8_D8                    95          0.784        | 675   95          14.3        
BL_W140_T1.8_D6                    95          0.784        | 676   95          14.3        
BL_W140_T1.8_D4                    95          0.784        | 677   95          14.3        
BL_W150_T1.8_D10                   95          0.784        | 711   95          14.3        
BL_W170_T1.8_D6                    95          0.784        | 724   95          14.3        
BL_W170_T1.8_D8                    95          0.784        | 725   95          14.3        
BL_W170_T1.8_D10                   95          0.784        | 726   95          14.3        
