=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 109.1 BPM
Valid interval: 327-868 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 86 mmHg
Confidence: 0.096
95% CI: [84 - 88] mmHg
Agreement: 6431/2500 detectors

MAP: 102 mmHg
Est. Diastolic: 110 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W170_T1.8_D25                   96          1.140        | 213   96          14.2        
BL_W180_T1.8_D25                   95          1.140        | 381   95          14.7        
BL_W190_T1.8_D25                   95          1.140        | 389   95          14.7        
BL_W200_T1.8_D25                   93          1.060        | 615   93          16.9        
BL_W200_T1.8_D20                   93          1.060        | 619   93          16.9        
BL_W220_T1.8_D20                   89          0.900        | 653   89          20.8        
BL_W220_T1.8_D25                   89          0.900        | 664   89          21.0        
BL_W150_T1.8_D25                   96          0.820        | 270   96          14.2        
BL_W160_T1.8_D25                   96          0.820        | 247   96          14.2        
BL_W230_T1.8_D25                   87          0.820        | 694   87          22.6        
BL_W230_T1.8_D20                   87          0.820        | 693   87          22.6        
BL_W230_T2.0_D25                   87          0.820        | 700   87          22.6        
BL_W230_T2.0_D20                   87          0.820        | 699   87          22.6        
BL_W180_T4.5_D25                   95          0.740        | 307   95          14.7        
BL_W140_T2.4_D25                   96          0.740        | 275   96          14.2        
BL_W160_T2.4_D25                   96          0.740        | 239   96          14.2        
BL_W180_T4.2_D25                   95          0.740        | 324   95          14.7        
BL_W170_T2.0_D25                   96          0.740        | 291   96          14.2        
BL_W180_T3.8_D25                   95          0.740        | 352   95          14.7        
BL_W160_T2.2_D25                   96          0.740        | 241   96          14.2        
BL_W180_T4.8_D25                   95          0.740        | 355   95          14.7        
BL_W190_T6.0_D25                   95          0.740        | 445   95          14.7        
BL_W180_T5.0_D25                   95          0.740        | 358   95          14.7        
BL_W160_T2.0_D25                   96          0.740        | 244   96          14.2        
BL_W190_T5.5_D25                   95          0.740        | 439   95          14.7        
BL_W180_T5.5_D25                   95          0.740        | 348   95          14.7        
BL_W150_T2.4_D25                   96          0.740        | 224   96          14.2        
BL_W180_T2.0_D25                   95          0.740        | 297   95          14.7        
BL_W150_T1.8_D15                   102         0.740        | 41    102         8.3         
BL_W180_T2.2_D25                   95          0.740        | 323   95          14.7        
BL_W180_T2.4_D25                   95          0.740        | 334   95          14.7        
BL_W150_T2.0_D25                   96          0.740        | 266   96          14.2        
BL_W180_T2.6_D25                   95          0.740        | 305   95          14.7        
BL_W150_T2.2_D25                   96          0.740        | 288   96          14.2        
BL_W180_T2.8_D25                   95          0.740        | 335   95          14.7        
BL_W140_T1.8_D15                   102         0.740        | 10    102         7.6         
BL_W140_T2.2_D25                   96          0.740        | 272   96          14.2        
BL_W140_T1.8_D25                   96          0.740        | 295   96          14.2        
BL_W180_T3.0_D25                   95          0.740        | 407   95          14.7        
BL_W150_T2.6_D25                   96          0.740        | 231   96          14.2        
BL_W140_T2.0_D25                   96          0.740        | 268   96          14.2        
BL_W180_T3.2_D25                   95          0.740        | 366   95          14.7        
BL_W180_T3.5_D25                   95          0.740        | 360   95          14.7        
BL_W160_T2.6_D25                   96          0.740        | 237   96          14.2        
BL_W190_T3.2_D25                   95          0.740        | 541   95          14.7        
BL_W180_T4.0_D25                   95          0.740        | 402   95          14.7        
BL_W130_T2.2_D25                   96          0.740        | 248   96          14.2        
BL_W190_T2.4_D25                   95          0.740        | 362   95          14.7        
BL_W170_T2.4_D25                   96          0.740        | 283   96          14.2        
BL_W190_T2.0_D25                   95          0.740        | 370   95          14.7        
BL_W130_T1.8_D25                   96          0.740        | 238   96          14.2        
BL_W170_T2.6_D25                   96          0.740        | 211   96          14.2        
BL_W190_T4.5_D25                   95          0.740        | 567   95          14.7        
BL_W190_T4.8_D25                   95          0.740        | 569   95          14.7        
BL_W190_T2.8_D25                   95          0.740        | 501   95          14.7        
BL_W190_T4.0_D25                   95          0.740        | 577   95          14.7        
BL_W190_T4.2_D25                   95          0.740        | 563   95          14.7        
BL_W190_T3.0_D25                   95          0.740        | 526   95          14.7        
BL_W190_T5.0_D25                   95          0.740        | 436   95          14.7        
BL_W130_T2.0_D25                   96          0.740        | 243   96          14.2        
BL_W190_T3.5_D25                   95          0.740        | 506   95          14.7        
BL_W190_T3.8_D25                   95          0.740        | 519   95          14.7        
BL_W170_T2.2_D25                   96          0.740        | 273   96          14.2        
BL_W190_T2.6_D25                   95          0.740        | 342   95          14.7        
BL_W180_T6.0_D25                   95          0.740        | 375   95          14.7        
BL_W190_T2.2_D25                   95          0.740        | 368   95          14.7        
BL_W170_T1.8_D6                    84          0.660        | 935   84          26.4        
BL_W170_T1.8_D4                    84          0.660        | 934   84          26.4        
BL_W170_T1.8_D2                    84          0.660        | 943   84          26.4        
BL_W140_T3.2_D40                   84          0.660        | 1041  84          26.4        
BL_W160_T6.0_D40                   84          0.660        | 971   84          26.4        
BL_W230_T5.5_D30                   84          0.660        | 932   84          26.4        
BL_W230_T5.5_D40                   84          0.660        | 891   84          26.4        
BL_W220_T2.2_D40                   84          0.660        | 898   84          26.4        
BL_W170_T1.8_D15                   84          0.660        | 938   84          26.4        
BL_W140_T4.8_D40                   84          0.660        | 1076  84          26.4        
BL_W170_T1.8_D8                    84          0.660        | 936   84          26.4        
BL_W170_T2.8_D40                   84          0.660        | 995   84          26.4        
BL_W140_T4.8_D25                   96          0.660        | 284   96          14.2        
BL_W170_T1.8_D10                   84          0.660        | 937   84          26.4        
BL_W250_T1.8_D4                    84          0.660        | 882   84          26.4        
BL_W140_T5.5_D40                   84          0.660        | 1078  84          26.4        
BL_W140_T6.0_D25                   96          0.660        | 274   96          14.2        
BL_W160_T4.8_D25                   96          0.660        | 212   96          14.2        
BL_W170_T3.0_D40                   84          0.660        | 997   84          26.4        
BL_W160_T4.8_D40                   84          0.660        | 968   84          26.4        
BL_W230_T4.8_D30                   84          0.660        | 926   84          26.4        
BL_W150_T4.2_D25                   96          0.660        | 258   96          14.2        
BL_W230_T4.8_D40                   84          0.660        | 927   84          26.4        
BL_W170_T3.0_D25                   96          0.660        | 278   96          14.2        
BL_W220_T3.8_D40                   84          0.660        | 847   84          26.4        
BL_W160_T5.0_D25                   96          0.660        | 223   96          14.2        
BL_W160_T5.0_D40                   84          0.660        | 969   84          26.4        
BL_W220_T2.2_D30                   84          0.660        | 899   84          26.4        
BL_W140_T3.2_D25                   96          0.660        | 293   96          14.2        
BL_W140_T5.5_D25                   96          0.660        | 277   96          14.2        
BL_W220_T3.5_D40                   84          0.660        | 906   84          26.4        
BL_W230_T5.0_D30                   84          0.660        | 928   84          26.4        
BL_W230_T5.0_D40                   84          0.660        | 931   84          26.4        
BL_W160_T5.5_D25                   96          0.660        | 232   96          14.2        
BL_W160_T5.5_D40                   84          0.660        | 970   84          26.4        
BL_W220_T3.2_D40                   84          0.660        | 909   84          26.4        
BL_W140_T5.0_D40                   84          0.660        | 1077  84          26.4        
BL_W140_T5.0_D25                   96          0.660        | 281   96          14.2        
BL_W160_T6.0_D25                   96          0.660        | 233   96          14.2        
BL_W140_T4.0_D40                   84          0.660        | 1073  84          26.4        
BL_W250_T1.8_D30                   84          0.660        | 876   84          26.4        
BL_W170_T2.4_D40                   84          0.660        | 952   84          26.4        
BL_W140_T3.5_D40                   84          0.660        | 1071  84          26.4        
BL_W250_T2.0_D40                   84          0.660        | 904   84          26.4        
BL_W250_T1.8_D40                   84          0.660        | 892   84          26.4        
BL_W250_T2.0_D30                   84          0.660        | 903   84          26.4        
BL_W250_T2.0_D2                    84          0.660        | 893   84          26.4        
BL_W250_T2.0_D25                   84          0.660        | 902   84          26.4        
BL_W220_T2.6_D40                   84          0.660        | 920   84          26.4        
BL_W250_T2.0_D4                    84          0.660        | 894   84          26.4        
BL_W250_T1.8_D25                   84          0.660        | 890   84          26.4        
BL_W140_T4.0_D25                   96          0.660        | 265   96          14.2        
BL_W220_T2.8_D40                   84          0.660        | 917   84          26.4        
BL_W250_T2.0_D6                    84          0.660        | 895   84          26.4        
BL_W170_T2.2_D40                   84          0.660        | 950   84          26.4        
BL_W140_T3.8_D25                   96          0.660        | 271   96          14.2        
BL_W250_T2.0_D8                    84          0.660        | 896   84          26.4        
BL_W140_T3.8_D40                   84          0.660        | 1072  84          26.4        
BL_W250_T2.0_D10                   84          0.660        | 897   84          26.4        
BL_W250_T2.0_D15                   84          0.660        | 900   84          26.4        
BL_W250_T2.0_D20                   84          0.660        | 901   84          26.4        
BL_W250_T1.8_D6                    84          0.660        | 883   84          26.4        
BL_W230_T6.0_D30                   84          0.660        | 877   84          26.4        
BL_W230_T6.0_D40                   84          0.660        | 880   84          26.4        
BL_W250_T1.8_D2                    84          0.660        | 881   84          26.4        
BL_W170_T2.8_D25                   96          0.660        | 285   96          14.2        
BL_W140_T4.5_D40                   84          0.660        | 1075  84          26.4        
BL_W220_T2.4_D30                   84          0.660        | 923   84          26.4        
BL_W140_T4.5_D25                   96          0.660        | 286   96          14.2        
BL_W170_T2.6_D40                   84          0.660        | 993   84          26.4        
BL_W170_T1.8_D30                   84          0.660        | 940   84          26.4        
