=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 76.8 BPM
Valid interval: 438-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 108 mmHg
Confidence: 0.201
95% CI: [106 - 110] mmHg
Agreement: 4027/2500 detectors

MAP: 101 mmHg
Est. Diastolic: 98 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W140_T2.2_D10                   117         0.340        | 1081  117         4.2         
BL_W140_T2.0_D4                    118         0.340        | 1175  118         4.9         
BL_W140_T2.0_D6                    118         0.340        | 1191  118         4.9         
BL_W140_T2.0_D8                    118         0.340        | 1158  118         4.9         
BL_W140_T2.0_D10                   118         0.340        | 1150  118         4.9         
BL_W140_T2.0_D15                   118         0.340        | 1216  118         5.1         
BL_W140_T2.0_D20                   118         0.340        | 1159  118         4.9         
BL_W140_T2.0_D25                   117         0.340        | 1074  117         4.2         
BL_W140_T2.2_D2                    117         0.340        | 1076  117         4.2         
BL_W140_T2.2_D4                    117         0.340        | 1077  117         4.2         
BL_W140_T2.2_D6                    117         0.340        | 1080  117         4.2         
BL_W140_T2.2_D8                    117         0.340        | 1082  117         4.2         
BL_W140_T2.0_D2                    118         0.340        | 1190  118         4.9         
BL_W140_T2.2_D15                   118         0.340        | 1217  118         5.1         
BL_W140_T2.2_D20                   118         0.340        | 1160  118         4.9         
BL_W140_T2.2_D25                   117         0.340        | 1078  117         4.2         
BL_W140_T2.4_D15                   118         0.340        | 1218  118         5.1         
BL_W140_T2.4_D20                   118         0.340        | 1161  118         4.9         
BL_W140_T2.4_D25                   117         0.340        | 1075  117         4.2         
BL_W140_T2.6_D15                   118         0.340        | 1219  118         5.1         
BL_W140_T2.6_D20                   118         0.340        | 1162  118         4.9         
BL_W140_T2.6_D25                   117         0.340        | 1073  117         4.2         
BL_W140_T2.8_D15                   118         0.340        | 1220  118         5.1         
BL_W230_T1.8_D20                   101         0.340        | 1246  101         12.2        
BL_W270_T1.8_D2                    100         0.340        | 1307  100         12.6        
