=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 82.9 BPM
Valid interval: 413-1399 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 81 mmHg
Confidence: 0.520
95% CI: [79 - 83] mmHg
Agreement: 1400/2500 detectors

MAP: 104 mmHg
Est. Diastolic: 116 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W200_T1.8_D25                   85          0.340        | 56    85          35.4        
BL_W230_T1.8_D4                    85          0.340        | 17    85          35.4        
BL_W230_T1.8_D6                    85          0.340        | 16    85          35.4        
BL_W230_T1.8_D8                    85          0.340        | 15    85          35.4        
BL_W230_T1.8_D10                   85          0.340        | 14    85          35.4        
BL_W230_T1.8_D15                   85          0.340        | 13    85          35.4        
BL_W230_T1.8_D20                   85          0.340        | 11    85          35.4        
BL_W230_T1.8_D25                   85          0.340        | 24    85          35.4        
BL_W230_T1.8_D30                   85          0.340        | 25    85          35.4        
BL_W230_T1.8_D40                   85          0.340        | 26    85          35.4        
BL_W200_T1.8_D40                   85          0.340        | 23    85          35.4        
BL_W200_T1.8_D30                   85          0.340        | 57    85          35.4        
BL_W230_T1.8_D2                    85          0.340        | 18    85          35.4        
BL_W200_T1.8_D20                   85          0.340        | 55    85          35.4        
BL_W200_T1.8_D15                   85          0.340        | 54    85          35.4        
BL_W200_T1.8_D10                   85          0.340        | 53    85          35.4        
BL_W200_T1.8_D8                    85          0.340        | 52    85          35.4        
BL_W200_T1.8_D6                    85          0.340        | 51    85          35.4        
BL_W200_T1.8_D4                    85          0.340        | 37    85          35.4        
BL_W200_T1.8_D2                    85          0.340        | 49    85          35.4        
BL_W190_T1.8_D40                   85          0.340        | 47    85          35.4        
BL_W190_T1.8_D30                   85          0.340        | 46    85          35.4        
BL_W190_T1.8_D25                   85          0.340        | 45    85          35.4        
BL_W140_T1.8_D2                    85          0.340        | 36    85          35.4        
BL_W220_T1.8_D40                   85          0.340        | 19    85          35.4        
BL_W220_T1.8_D30                   85          0.340        | 20    85          35.4        
BL_W220_T1.8_D25                   85          0.340        | 21    85          35.4        
BL_W220_T1.8_D20                   85          0.340        | 22    85          35.4        
BL_W220_T1.8_D15                   85          0.340        | 12    85          35.4        
BL_W220_T1.8_D10                   85          0.340        | 50    85          35.4        
BL_W220_T1.8_D8                    85          0.340        | 62    85          35.4        
BL_W220_T1.8_D6                    85          0.340        | 61    85          35.4        
BL_W220_T1.8_D4                    85          0.340        | 60    85          35.4        
BL_W220_T1.8_D2                    85          0.340        | 59    85          35.4        
BL_W130_T1.8_D4                    85          0.340        | 58    85          35.4        
BL_W130_T1.8_D2                    85          0.340        | 48    85          35.4        
BL_W140_T1.8_D4                    85          0.340        | 35    85          35.4        
BL_W140_T1.8_D6                    85          0.340        | 34    85          35.4        
BL_W140_T1.8_D8                    85          0.340        | 33    85          35.4        
BL_W140_T1.8_D10                   85          0.340        | 32    85          35.4        
