=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 62.6 BPM
Valid interval: 510-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 118 mmHg
Confidence: 0.089
95% CI: [116 - 120] mmHg
Agreement: 8205/2500 detectors

MAP: 103 mmHg
Est. Diastolic: 95 mmHg
Oscillometric MAP Systolic: 125 mmHg
Oscillometric MAP Diastolic: 99 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W130_T1.8_D6                    137         1.140        | 994   137         5.8         
BL_W140_T1.8_D6                    137         1.140        | 972   137         5.8         
BL_W160_T1.8_D8                    137         1.140        | 986   137         5.8         
BL_W160_T2.0_D8                    137         1.140        | 1004  137         5.8         
BL_W130_T2.0_D6                    137         1.140        | 997   137         5.8         
BL_W140_T2.0_D6                    137         1.140        | 957   137         5.8         
BL_W170_T1.8_D20                   131         1.060        | 380   131         0.5         
BL_W170_T2.0_D2                    132         1.060        | 954   132         0.9         
BL_W170_T1.8_D15                   131         1.060        | 381   131         0.5         
BL_W170_T1.8_D10                   132         1.060        | 952   132         0.9         
BL_W170_T1.8_D8                    132         1.060        | 948   132         0.9         
BL_W170_T1.8_D6                    132         1.060        | 947   132         0.9         
BL_W170_T1.8_D4                    132         1.060        | 944   132         0.9         
BL_W170_T1.8_D2                    132         1.060        | 914   132         0.9         
BL_W160_T2.0_D30                   131         1.060        | 67    131         0.0         
BL_W160_T2.0_D25                   131         1.060        | 72    131         0.0         
BL_W160_T2.0_D20                   131         1.060        | 338   131         0.5         
BL_W160_T2.0_D15                   131         1.060        | 354   131         0.5         
BL_W160_T2.0_D10                   132         1.060        | 816   132         0.9         
BL_W160_T2.0_D6                    132         1.060        | 815   132         0.9         
BL_W160_T2.0_D4                    132         1.060        | 814   132         0.9         
BL_W160_T2.0_D2                    132         1.060        | 813   132         0.9         
BL_W160_T1.8_D30                   131         1.060        | 83    131         0.0         
BL_W160_T1.8_D25                   131         1.060        | 84    131         0.0         
BL_W160_T1.8_D20                   131         1.060        | 340   131         0.5         
BL_W170_T2.0_D30                   131         1.060        | 65    131         0.0         
BL_W200_T2.2_D30                   131         1.060        | 276   131         0.2         
BL_W170_T2.2_D25                   131         1.060        | 40    131         0.0         
BL_W170_T2.2_D20                   131         1.060        | 372   131         0.5         
BL_W170_T2.2_D15                   131         1.060        | 373   131         0.5         
BL_W170_T2.2_D10                   132         1.060        | 951   132         0.9         
BL_W170_T2.2_D8                    132         1.060        | 937   132         0.9         
BL_W170_T2.2_D6                    132         1.060        | 936   132         0.9         
BL_W170_T2.2_D4                    132         1.060        | 931   132         0.9         
BL_W170_T2.2_D2                    132         1.060        | 930   132         0.9         
BL_W170_T1.8_D25                   131         1.060        | 6     131         0.0         
BL_W170_T2.0_D25                   131         1.060        | 66    131         0.0         
BL_W170_T2.0_D20                   131         1.060        | 376   131         0.5         
BL_W170_T2.0_D15                   131         1.060        | 363   131         0.5         
BL_W170_T2.0_D10                   132         1.060        | 938   132         0.9         
BL_W170_T2.0_D8                    132         1.060        | 945   132         0.9         
BL_W170_T2.0_D6                    132         1.060        | 941   132         0.9         
BL_W170_T2.0_D4                    132         1.060        | 940   132         0.9         
BL_W170_T2.2_D30                   131         1.060        | 48    131         0.0         
BL_W170_T1.8_D30                   131         1.060        | 1     131         0.0         
BL_W140_T2.0_D4                    132         1.060        | 903   132         0.9         
BL_W150_T1.8_D6                    132         1.060        | 799   132         0.9         
BL_W150_T1.8_D4                    132         1.060        | 798   132         0.9         
BL_W150_T1.8_D2                    132         1.060        | 797   132         0.9         
BL_W140_T2.0_D30                   131         1.060        | 320   131         0.2         
BL_W140_T2.0_D25                   131         1.060        | 20    131         0.0         
BL_W140_T2.0_D20                   131         1.060        | 538   131         0.5         
BL_W140_T2.0_D15                   131         1.060        | 539   131         0.5         
BL_W140_T2.0_D10                   132         1.060        | 901   132         0.9         
BL_W140_T2.0_D8                    132         1.060        | 902   132         0.9         
BL_W150_T1.8_D8                    132         1.060        | 800   132         0.9         
BL_W140_T2.0_D2                    132         1.060        | 904   132         0.9         
BL_W140_T1.8_D30                   131         1.060        | 323   131         0.2         
BL_W140_T1.8_D25                   131         1.060        | 9     131         0.0         
BL_W140_T1.8_D20                   131         1.060        | 530   131         0.5         
BL_W140_T1.8_D15                   131         1.060        | 547   131         0.5         
BL_W140_T1.8_D10                   132         1.060        | 905   132         0.9         
BL_W140_T1.8_D8                    132         1.060        | 906   132         0.9         
BL_W140_T1.8_D4                    132         1.060        | 907   132         0.9         
BL_W140_T1.8_D2                    132         1.060        | 908   132         0.9         
BL_W150_T2.0_D8                    132         1.060        | 805   132         0.9         
BL_W160_T1.8_D10                   132         1.060        | 812   132         0.9         
BL_W160_T1.8_D6                    132         1.060        | 811   132         0.9         
BL_W160_T1.8_D4                    132         1.060        | 819   132         0.9         
BL_W160_T1.8_D2                    132         1.060        | 843   132         0.9         
BL_W150_T2.0_D30                   131         1.060        | 265   131         0.2         
BL_W150_T2.0_D25                   131         1.060        | 175   131         0.0         
BL_W150_T2.0_D20                   131         1.060        | 645   131         0.5         
BL_W150_T2.0_D15                   131         1.060        | 646   131         0.5         
BL_W150_T2.0_D10                   132         1.060        | 806   132         0.9         
BL_W160_T1.8_D15                   131         1.060        | 341   131         0.5         
BL_W150_T2.0_D6                    132         1.060        | 804   132         0.9         
BL_W150_T2.0_D4                    132         1.060        | 803   132         0.9         
BL_W150_T2.0_D2                    132         1.060        | 793   132         0.9         
BL_W150_T1.8_D30                   131         1.060        | 264   131         0.2         
BL_W150_T1.8_D25                   131         1.060        | 148   131         0.0         
BL_W150_T1.8_D20                   131         1.060        | 654   131         0.5         
BL_W150_T1.8_D15                   131         1.060        | 655   131         0.5         
BL_W150_T1.8_D10                   132         1.060        | 801   132         0.9         
BL_W180_T2.2_D15                   131         1.060        | 459   131         0.5         
BL_W190_T2.2_D6                    131         1.060        | 682   131         0.5         
BL_W190_T2.2_D8                    132         1.060        | 708   132         0.9         
BL_W190_T2.2_D10                   132         1.060        | 709   132         0.9         
BL_W190_T2.2_D15                   131         1.060        | 671   131         0.5         
BL_W190_T2.2_D20                   131         1.060        | 687   131         0.5         
BL_W190_T2.2_D25                   131         1.060        | 158   131         0.0         
BL_W190_T2.2_D30                   131         1.060        | 143   131         0.0         
BL_W180_T2.2_D30                   131         1.060        | 98    131         0.0         
BL_W180_T2.2_D25                   131         1.060        | 95    131         0.0         
BL_W180_T2.2_D20                   131         1.060        | 446   131         0.5         
BL_W190_T2.2_D4                    131         1.060        | 680   131         0.5         
BL_W180_T2.2_D10                   132         1.060        | 768   132         0.9         
BL_W180_T2.2_D8                    132         1.060        | 771   132         0.9         
BL_W180_T2.2_D6                    132         1.060        | 772   132         0.9         
BL_W180_T2.2_D4                    132         1.060        | 773   132         0.9         
BL_W180_T2.2_D2                    132         1.060        | 774   132         0.9         
BL_W180_T2.0_D30                   131         1.060        | 71    131         0.0         
BL_W180_T2.0_D25                   131         1.060        | 74    131         0.0         
BL_W180_T2.0_D20                   131         1.060        | 454   131         0.5         
BL_W180_T2.0_D15                   131         1.060        | 453   131         0.5         
BL_W190_T2.0_D2                    131         1.060        | 609   131         0.5         
BL_W190_T1.8_D2                    132         1.060        | 733   132         0.9         
BL_W190_T1.8_D4                    132         1.060        | 734   132         0.9         
BL_W190_T1.8_D6                    132         1.060        | 735   132         0.9         
BL_W190_T1.8_D8                    132         1.060        | 736   132         0.9         
BL_W190_T1.8_D10                   132         1.060        | 737   132         0.9         
BL_W190_T1.8_D15                   131         1.060        | 587   131         0.5         
BL_W190_T1.8_D20                   131         1.060        | 606   131         0.5         
BL_W190_T1.8_D25                   131         1.060        | 87    131         0.0         
BL_W190_T1.8_D30                   131         1.060        | 90    131         0.0         
BL_W180_T2.0_D10                   132         1.060        | 775   132         0.9         
BL_W190_T2.0_D4                    131         1.060        | 612   131         0.5         
BL_W190_T2.0_D6                    131         1.060        | 614   131         0.5         
BL_W190_T2.0_D8                    132         1.060        | 713   132         0.9         
BL_W190_T2.0_D10                   132         1.060        | 707   132         0.9         
BL_W190_T2.0_D15                   131         1.060        | 677   131         0.5         
BL_W190_T2.0_D20                   131         1.060        | 678   131         0.5         
BL_W190_T2.0_D25                   131         1.060        | 37    131         0.0         
BL_W190_T2.0_D30                   131         1.060        | 207   131         0.0         
BL_W190_T2.2_D2                    131         1.060        | 679   131         0.5         
BL_W200_T2.0_D30                   131         1.060        | 272   131         0.2         
BL_W200_T1.8_D25                   131         1.060        | 7     131         0.0         
BL_W200_T1.8_D30                   131         1.060        | 322   131         0.2         
BL_W200_T2.0_D2                    131         1.060        | 548   131         0.5         
BL_W200_T2.0_D4                    131         1.060        | 549   131         0.5         
BL_W200_T2.0_D6                    131         1.060        | 550   131         0.5         
BL_W200_T2.0_D8                    131         1.060        | 551   131         0.5         
BL_W200_T2.0_D10                   131         1.060        | 552   131         0.5         
BL_W200_T2.0_D15                   131         1.060        | 555   131         0.5         
BL_W200_T2.0_D20                   131         1.060        | 556   131         0.5         
BL_W200_T2.0_D25                   131         1.060        | 62    131         0.0         
BL_W200_T1.8_D20                   131         1.060        | 544   131         0.5         
BL_W200_T2.2_D2                    131         1.060        | 60    131         0.0         
BL_W200_T2.2_D4                    131         1.060        | 59    131         0.0         
BL_W200_T2.2_D6                    131         1.060        | 54    131         0.0         
BL_W200_T2.2_D8                    131         1.060        | 53    131         0.0         
BL_W200_T2.2_D10                   131         1.060        | 52    131         0.0         
BL_W200_T2.2_D15                   131         1.060        | 546   131         0.5         
BL_W200_T2.2_D20                   131         1.060        | 537   131         0.5         
BL_W200_T2.2_D25                   131         1.060        | 36    131         0.0         
BL_W130_T1.8_D4                    132         1.060        | 703   132         0.9         
BL_W180_T1.8_D8                    132         1.060        | 747   132         0.9         
BL_W180_T2.0_D8                    132         1.060        | 749   132         0.9         
BL_W180_T2.0_D6                    132         1.060        | 741   132         0.9         
BL_W180_T2.0_D4                    132         1.060        | 742   132         0.9         
BL_W180_T2.0_D2                    132         1.060        | 745   132         0.9         
BL_W180_T1.8_D30                   131         1.060        | 124   131         0.0         
BL_W180_T1.8_D25                   131         1.060        | 123   131         0.0         
BL_W180_T1.8_D20                   131         1.060        | 450   131         0.5         
BL_W180_T1.8_D15                   131         1.060        | 449   131         0.5         
BL_W180_T1.8_D10                   132         1.060        | 746   132         0.9         
BL_W130_T1.8_D2                    132         1.060        | 863   132         0.9         
BL_W180_T1.8_D6                    132         1.060        | 748   132         0.9         
BL_W180_T1.8_D4                    132         1.060        | 740   132         0.9         
BL_W180_T1.8_D2                    132         1.060        | 750   132         0.9         
BL_W200_T1.8_D2                    131         1.060        | 535   131         0.5         
BL_W200_T1.8_D4                    131         1.060        | 536   131         0.5         
BL_W200_T1.8_D6                    131         1.060        | 540   131         0.5         
BL_W200_T1.8_D8                    131         1.060        | 541   131         0.5         
BL_W200_T1.8_D10                   131         1.060        | 542   131         0.5         
BL_W200_T1.8_D15                   131         1.060        | 543   131         0.5         
BL_W130_T1.8_D8                    132         1.060        | 864   132         0.9         
BL_W130_T2.0_D30                   131         1.060        | 307   131         0.2         
BL_W130_T2.0_D25                   131         1.060        | 167   131         0.0         
BL_W130_T2.0_D20                   131         1.060        | 642   131         0.5         
BL_W130_T2.0_D15                   131         1.060        | 637   131         0.5         
BL_W130_T2.0_D10                   132         1.060        | 869   132         0.9         
