=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 58.4 BPM
Valid interval: 519-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 130 mmHg
Confidence: 0.090
95% CI: [128 - 132] mmHg
Agreement: 8848/2500 detectors

MAP: 102 mmHg
Est. Diastolic: 87 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W170_T2.2_D8                    144         1.200        | 799   144         3.9         
BL_W180_T1.8_D25                   143         1.200        | 476   143         3.4         
BL_W180_T1.8_D20                   144         1.200        | 611   144         3.8         
BL_W180_T1.8_D15                   144         1.200        | 610   144         3.8         
BL_W180_T1.8_D10                   144         1.200        | 764   144         3.9         
BL_W180_T1.8_D8                    144         1.200        | 762   144         3.9         
BL_W180_T1.8_D6                    144         1.200        | 734   144         3.8         
BL_W180_T1.8_D4                    144         1.200        | 731   144         3.8         
BL_W180_T1.8_D2                    144         1.200        | 730   144         3.8         
BL_W170_T2.2_D30                   143         1.200        | 429   143         3.4         
BL_W170_T2.2_D25                   143         1.200        | 397   143         3.4         
BL_W170_T2.2_D20                   144         1.200        | 577   144         3.8         
BL_W170_T2.2_D15                   144         1.200        | 578   144         3.8         
BL_W170_T2.2_D10                   144         1.200        | 798   144         3.9         
BL_W180_T1.8_D30                   143         1.200        | 480   143         3.4         
BL_W170_T2.2_D6                    144         1.200        | 800   144         3.9         
BL_W170_T2.2_D4                    144         1.200        | 581   144         3.8         
BL_W170_T2.2_D2                    144         1.200        | 583   144         3.8         
BL_W170_T2.0_D30                   143         1.200        | 394   143         3.4         
BL_W170_T2.0_D25                   143         1.200        | 390   143         3.4         
BL_W170_T2.0_D20                   144         1.200        | 584   144         3.8         
BL_W170_T2.0_D15                   144         1.200        | 537   144         3.8         
BL_W170_T2.0_D10                   144         1.200        | 802   144         3.9         
BL_W170_T2.0_D8                    144         1.200        | 804   144         3.9         
BL_W170_T2.0_D6                    144         1.200        | 805   144         3.9         
BL_W170_T2.0_D4                    144         1.200        | 806   144         3.9         
BL_W170_T2.0_D2                    144         1.200        | 807   144         3.9         
BL_W180_T2.2_D8                    144         1.200        | 765   144         3.9         
BL_W190_T1.8_D10                   144         1.200        | 698   144         3.8         
BL_W190_T1.8_D8                    144         1.200        | 697   144         3.8         
BL_W190_T1.8_D6                    144         1.200        | 696   144         3.8         
BL_W190_T1.8_D4                    144         1.200        | 695   144         3.8         
BL_W190_T1.8_D2                    144         1.200        | 612   144         3.8         
BL_W230_T2.4_D25                   139         1.200        | 32    139         1.2         
BL_W230_T2.4_D30                   138         1.200        | 97    138         1.5         
BL_W180_T2.2_D30                   143         1.200        | 378   143         3.4         
BL_W180_T2.2_D25                   143         1.200        | 373   143         3.4         
BL_W180_T2.2_D20                   144         1.200        | 596   144         3.8         
BL_W180_T2.2_D15                   144         1.200        | 593   144         3.8         
BL_W180_T2.2_D10                   144         1.200        | 754   144         3.9         
BL_W170_T1.8_D30                   143         1.200        | 506   143         3.4         
BL_W180_T2.2_D6                    144         1.200        | 588   144         3.8         
BL_W180_T2.2_D4                    144         1.200        | 587   144         3.8         
BL_W180_T2.2_D2                    144         1.200        | 626   144         3.8         
BL_W180_T2.0_D30                   143         1.200        | 518   143         3.4         
BL_W180_T2.0_D25                   143         1.200        | 517   143         3.4         
BL_W180_T2.0_D20                   144         1.200        | 621   144         3.8         
BL_W180_T2.0_D15                   144         1.200        | 620   144         3.8         
BL_W180_T2.0_D10                   144         1.200        | 760   144         3.9         
BL_W180_T2.0_D8                    144         1.200        | 752   144         3.9         
BL_W180_T2.0_D6                    144         1.200        | 617   144         3.8         
BL_W180_T2.0_D4                    144         1.200        | 615   144         3.8         
BL_W180_T2.0_D2                    144         1.200        | 614   144         3.8         
BL_W150_T2.0_D8                    150         1.200        | 2143  150         10.1        
BL_W160_T1.8_D25                   143         1.200        | 346   143         3.4         
BL_W160_T1.8_D20                   144         1.200        | 678   144         3.8         
BL_W160_T1.8_D15                   144         1.200        | 679   144         3.8         
BL_W160_T1.8_D10                   144         1.200        | 774   144         3.9         
BL_W160_T1.8_D8                    144         1.200        | 772   144         3.9         
BL_W160_T1.8_D6                    144         1.200        | 771   144         3.9         
BL_W160_T1.8_D4                    144         1.200        | 770   144         3.9         
BL_W160_T1.8_D2                    144         1.200        | 768   144         3.9         
BL_W150_T2.0_D30                   143         1.200        | 471   143         3.4         
BL_W150_T2.0_D25                   143         1.200        | 472   143         3.4         
BL_W150_T2.0_D20                   144         1.200        | 608   144         3.8         
BL_W150_T2.0_D15                   144         1.200        | 609   144         3.8         
BL_W150_T2.0_D10                   144         1.200        | 769   144         3.9         
BL_W160_T1.8_D30                   143         1.200        | 345   143         3.4         
BL_W150_T2.0_D6                    150         1.200        | 2146  150         10.1        
BL_W150_T2.0_D4                    144         1.200        | 767   144         3.9         
BL_W150_T2.0_D2                    144         1.200        | 778   144         3.9         
BL_W150_T1.8_D30                   143         1.200        | 477   143         3.4         
BL_W150_T1.8_D25                   143         1.200        | 479   143         3.4         
BL_W150_T1.8_D20                   144         1.200        | 660   144         3.8         
BL_W150_T1.8_D15                   144         1.200        | 613   144         3.8         
BL_W150_T1.8_D10                   144         1.200        | 803   144         3.9         
BL_W150_T1.8_D8                    150         1.200        | 2144  150         10.1        
BL_W150_T1.8_D6                    150         1.200        | 2145  150         10.1        
BL_W150_T1.8_D4                    144         1.200        | 801   144         3.9         
BL_W150_T1.8_D2                    144         1.200        | 791   144         3.9         
BL_W160_T2.2_D8                    144         1.200        | 787   144         3.9         
BL_W170_T1.8_D25                   143         1.200        | 466   143         3.4         
BL_W170_T1.8_D20                   144         1.200        | 547   144         3.8         
BL_W170_T1.8_D15                   144         1.200        | 548   144         3.8         
BL_W170_T1.8_D8                    144         1.200        | 809   144         3.9         
BL_W170_T1.8_D6                    144         1.200        | 810   144         3.9         
BL_W170_T1.8_D4                    144         1.200        | 811   144         3.9         
BL_W170_T1.8_D2                    144         1.200        | 790   144         3.9         
BL_W160_T2.2_D30                   143         1.200        | 282   143         3.4         
BL_W160_T2.2_D25                   143         1.200        | 271   143         3.4         
BL_W160_T2.2_D20                   144         1.200        | 711   144         3.8         
BL_W160_T2.2_D15                   144         1.200        | 712   144         3.8         
BL_W160_T2.2_D10                   144         1.200        | 786   144         3.9         
BL_W190_T1.8_D15                   144         1.200        | 699   144         3.8         
BL_W160_T2.2_D6                    144         1.200        | 788   144         3.9         
BL_W160_T2.2_D4                    144         1.200        | 681   144         3.8         
BL_W160_T2.2_D2                    144         1.200        | 671   144         3.8         
BL_W160_T2.0_D30                   143         1.200        | 289   143         3.4         
BL_W160_T2.0_D25                   143         1.200        | 290   143         3.4         
BL_W160_T2.0_D20                   144         1.200        | 673   144         3.8         
BL_W160_T2.0_D15                   144         1.200        | 674   144         3.8         
BL_W160_T2.0_D10                   144         1.200        | 789   144         3.9         
BL_W160_T2.0_D8                    144         1.200        | 785   144         3.9         
BL_W160_T2.0_D6                    144         1.200        | 784   144         3.9         
BL_W160_T2.0_D4                    144         1.200        | 780   144         3.9         
BL_W160_T2.0_D2                    144         1.200        | 776   144         3.9         
BL_W200_T2.4_D20                   143         1.200        | 369   143         3.4         
BL_W220_T2.2_D30                   139         1.200        | 51    139         1.2         
BL_W220_T2.4_D2                    138         1.200        | 117   138         1.5         
BL_W220_T2.4_D4                    138         1.200        | 118   138         1.5         
BL_W220_T2.4_D6                    138         1.200        | 115   138         1.5         
BL_W220_T2.4_D8                    138         1.200        | 92    138         1.5         
BL_W220_T2.4_D10                   138         1.200        | 96    138         1.5         
BL_W220_T2.4_D15                   139         1.200        | 48    139         1.2         
BL_W220_T2.4_D20                   139         1.200        | 16    139         0.9         
BL_W220_T2.4_D25                   139         1.200        | 41    139         1.2         
BL_W220_T2.4_D30                   139         1.200        | 83    139         1.2         
BL_W130_T1.8_D2                    150         1.200        | 2128  150         10.1        
BL_W200_T2.4_D30                   143         1.200        | 177   143         3.2         
BL_W200_T2.4_D25                   143         1.200        | 405   143         3.4         
BL_W220_T2.2_D25                   139         1.200        | 25    139         1.2         
BL_W200_T2.4_D15                   143         1.200        | 158   143         2.9         
BL_W200_T2.4_D10                   143         1.200        | 157   143         2.9         
BL_W200_T2.4_D8                    143         1.200        | 155   143         2.9         
BL_W200_T2.4_D6                    143         1.200        | 156   143         2.9         
BL_W200_T2.4_D4                    143         1.200        | 159   143         2.9         
BL_W200_T2.4_D2                    143         1.200        | 160   143         2.9         
BL_W200_T2.2_D30                   143         1.200        | 163   143         3.2         
BL_W200_T2.2_D25                   143         1.200        | 422   143         3.4         
BL_W200_T2.2_D20                   143         1.200        | 423   143         3.4         
BL_W200_T2.2_D15                   143         1.200        | 192   143         3.2         
