=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 61.0 BPM
Valid interval: 518-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 124 mmHg
Confidence: 0.122
95% CI: [122 - 126] mmHg
Agreement: 5558/2500 detectors

MAP: 107 mmHg
Est. Diastolic: 99 mmHg
Oscillometric MAP Systolic: 138 mmHg
Oscillometric MAP Diastolic: 105 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W250_T1.8_D4                    122         0.900        | 1182  122         20.4        
BL_W270_T1.8_D20                   122         0.900        | 1306  122         20.4        
BL_W270_T1.8_D15                   122         0.900        | 1305  122         20.4        
BL_W270_T1.8_D10                   122         0.900        | 1294  122         20.4        
BL_W270_T1.8_D8                    122         0.900        | 1303  122         20.4        
BL_W270_T1.8_D6                    122         0.900        | 1302  122         20.4        
BL_W270_T1.8_D4                    122         0.900        | 1301  122         20.4        
BL_W270_T1.8_D2                    122         0.900        | 1300  122         20.4        
BL_W250_T1.8_D2                    122         0.900        | 1181  122         20.4        
BL_W270_T1.8_D25                   122         0.900        | 1307  122         20.4        
BL_W250_T1.8_D6                    122         0.900        | 1183  122         20.4        
BL_W250_T1.8_D40                   122         0.900        | 1191  122         20.4        
BL_W250_T1.8_D30                   122         0.900        | 1190  122         20.4        
BL_W250_T1.8_D25                   122         0.900        | 1189  122         20.4        
BL_W250_T1.8_D20                   122         0.900        | 1188  122         20.4        
BL_W250_T1.8_D15                   122         0.900        | 1187  122         20.4        
BL_W250_T1.8_D10                   122         0.900        | 1185  122         20.4        
BL_W250_T1.8_D8                    122         0.900        | 1170  122         20.4        
BL_W270_T1.8_D40                   122         0.900        | 1309  122         20.4        
BL_W230_T1.8_D40                   122         0.900        | 1147  122         20.4        
BL_W230_T1.8_D2                    122         0.900        | 1127  122         20.4        
BL_W230_T1.8_D4                    122         0.900        | 1139  122         20.4        
BL_W230_T1.8_D6                    122         0.900        | 1140  122         20.4        
BL_W230_T1.8_D8                    122         0.900        | 1141  122         20.4        
BL_W230_T1.8_D10                   122         0.900        | 1142  122         20.4        
BL_W230_T1.8_D30                   122         0.900        | 1146  122         20.4        
BL_W270_T1.8_D30                   122         0.900        | 1308  122         20.4        
BL_W230_T1.8_D15                   122         0.900        | 1143  122         20.4        
BL_W230_T1.8_D20                   122         0.900        | 1144  122         20.4        
BL_W230_T1.8_D25                   122         0.900        | 1145  122         20.4        
BL_W190_T1.8_D8                    122         0.820        | 1214  122         20.4        
BL_W190_T1.8_D25                   122         0.820        | 1197  122         20.4        
BL_W190_T1.8_D6                    122         0.820        | 1215  122         20.4        
BL_W190_T1.8_D4                    122         0.820        | 1216  122         20.4        
BL_W190_T1.8_D2                    122         0.820        | 1217  122         20.4        
BL_W190_T1.8_D10                   122         0.820        | 1213  122         20.4        
BL_W190_T1.8_D20                   122         0.820        | 1211  122         20.4        
BL_W190_T1.8_D15                   122         0.820        | 1212  122         20.4        
BL_W190_T1.8_D40                   122         0.820        | 1208  122         20.4        
BL_W200_T1.8_D4                    122         0.820        | 1051  122         20.4        
BL_W290_T1.8_D25                   117         0.820        | 1793  117         24.8        
BL_W290_T1.8_D30                   117         0.820        | 1794  117         24.8        
BL_W290_T1.8_D40                   117         0.820        | 1792  117         24.8        
BL_W290_T1.8_D15                   117         0.820        | 1800  117         24.8        
BL_W290_T1.8_D10                   117         0.820        | 1799  117         24.8        
BL_W290_T1.8_D8                    117         0.820        | 1798  117         24.8        
BL_W290_T1.8_D6                    117         0.820        | 1797  117         24.8        
BL_W290_T1.8_D4                    117         0.820        | 1796  117         24.8        
BL_W290_T1.8_D2                    117         0.820        | 1795  117         24.8        
BL_W200_T1.8_D2                    122         0.820        | 1041  122         20.4        
BL_W190_T1.8_D30                   122         0.820        | 1209  122         20.4        
BL_W200_T1.8_D6                    122         0.820        | 1083  122         20.4        
BL_W200_T1.8_D8                    122         0.820        | 1082  122         20.4        
BL_W200_T1.8_D10                   122         0.820        | 1081  122         20.4        
BL_W200_T1.8_D15                   122         0.820        | 1080  122         20.4        
BL_W200_T1.8_D20                   122         0.820        | 1079  122         20.4        
BL_W200_T1.8_D25                   122         0.820        | 1078  122         20.4        
BL_W200_T1.8_D30                   122         0.820        | 1077  122         20.4        
BL_W200_T1.8_D40                   122         0.820        | 1076  122         20.4        
BL_W290_T1.8_D20                   117         0.820        | 1801  117         24.8        
BL_W220_T1.8_D2                    122         0.820        | 1166  122         20.4        
BL_W220_T1.8_D4                    122         0.820        | 1167  122         20.4        
BL_W220_T1.8_D6                    122         0.820        | 1168  122         20.4        
BL_W220_T1.8_D8                    122         0.820        | 1169  122         20.4        
BL_W220_T1.8_D10                   122         0.820        | 1138  122         20.4        
BL_W220_T1.8_D15                   122         0.820        | 1128  122         20.4        
BL_W220_T1.8_D20                   122         0.820        | 1129  122         20.4        
BL_W220_T1.8_D25                   122         0.820        | 1130  122         20.4        
BL_W220_T1.8_D30                   122         0.820        | 1131  122         20.4        
BL_W220_T1.8_D40                   122         0.820        | 1133  122         20.4        
BL_W290_T2.0_D2                    117         0.740        | 1820  117         25.3        
BL_W320_T1.8_D40                   113         0.740        | 1875  113         28.9        
BL_W290_T2.0_D4                    117         0.740        | 1821  117         25.3        
BL_W290_T2.0_D6                    117         0.740        | 1822  117         25.3        
BL_W290_T2.0_D8                    117         0.740        | 1823  117         25.3        
BL_W290_T2.0_D10                   117         0.740        | 1824  117         25.3        
BL_W290_T2.0_D15                   117         0.740        | 1825  117         25.3        
BL_W290_T2.0_D20                   117         0.740        | 1826  117         25.3        
BL_W290_T2.0_D25                   117         0.740        | 1827  117         25.3        
BL_W290_T2.0_D30                   117         0.740        | 1828  117         25.3        
BL_W290_T2.0_D40                   117         0.740        | 1829  117         25.3        
BL_W320_T1.8_D2                    113         0.740        | 1890  113         28.9        
BL_W320_T1.8_D4                    113         0.740        | 1889  113         28.9        
BL_W320_T1.8_D6                    113         0.740        | 1888  113         28.9        
BL_W320_T1.8_D8                    113         0.740        | 1887  113         28.9        
BL_W320_T1.8_D10                   113         0.740        | 1886  113         28.9        
BL_W320_T1.8_D15                   113         0.740        | 1891  113         28.9        
BL_W320_T1.8_D20                   113         0.740        | 1872  113         28.9        
BL_W320_T1.8_D25                   113         0.740        | 1874  113         28.9        
BL_W320_T1.8_D30                   113         0.740        | 1873  113         28.9        
BL_W200_T2.0_D8                    122         0.660        | 1071  122         20.4        
BL_W200_T2.0_D30                   122         0.660        | 1066  122         20.4        
