=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 80.1 BPM
Valid interval: 424-1494 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 102 mmHg
Confidence: 0.140
95% CI: [100 - 104] mmHg
Agreement: 2741/1020 detectors

MAP: 103 mmHg
Est. Diastolic: 103 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W150_T1.8_D10                   104         0.980        | 22    104         0.5         
BL_W140_T2.0_D2                    104         0.980        | 115   104         0.5         
BL_W140_T2.0_D4                    104         0.980        | 116   104         0.5         
BL_W140_T2.0_D6                    104         0.980        | 117   104         0.5         
BL_W140_T2.0_D8                    104         0.980        | 118   104         0.5         
BL_W140_T2.0_D10                   104         0.980        | 119   104         0.5         
BL_W140_T2.0_D15                   103         0.980        | 630   103         0.8         
BL_W140_T2.0_D20                   103         0.980        | 632   103         0.8         
BL_W140_T2.0_D25                   103         0.980        | 730   103         1.3         
BL_W140_T2.0_D30                   102         0.980        | 867   102         1.8         
BL_W150_T1.8_D2                    104         0.980        | 28    104         0.5         
BL_W150_T1.8_D4                    104         0.980        | 29    104         0.5         
BL_W150_T1.8_D6                    104         0.980        | 30    104         0.5         
BL_W150_T1.8_D8                    104         0.980        | 31    104         0.5         
BL_W140_T1.8_D30                   102         0.980        | 871   102         1.8         
BL_W150_T1.8_D15                   103         0.980        | 650   103         0.8         
BL_W150_T1.8_D20                   103         0.980        | 649   103         0.8         
BL_W150_T1.8_D25                   103         0.980        | 792   103         1.3         
BL_W150_T1.8_D30                   102         0.980        | 894   102         1.8         
BL_W150_T2.0_D2                    104         0.980        | 33    104         0.5         
BL_W150_T2.0_D4                    104         0.980        | 34    104         0.5         
BL_W150_T2.0_D6                    104         0.980        | 35    104         0.5         
BL_W150_T2.0_D8                    104         0.980        | 36    104         0.5         
BL_W150_T2.0_D10                   104         0.980        | 37    104         0.5         
BL_W150_T2.0_D15                   103         0.980        | 646   103         0.8         
BL_W150_T2.0_D20                   103         0.980        | 635   103         0.8         
BL_W150_T2.0_D25                   103         0.980        | 812   103         1.3         
BL_W150_T2.0_D30                   102         0.980        | 835   102         1.8         
BL_W130_T2.0_D10                   104         0.980        | 392   104         0.5         
BL_W130_T1.8_D2                    104         0.980        | 380   104         0.5         
BL_W130_T1.8_D4                    104         0.980        | 381   104         0.5         
BL_W130_T1.8_D6                    104         0.980        | 382   104         0.5         
BL_W130_T1.8_D8                    104         0.980        | 387   104         0.5         
BL_W130_T1.8_D10                   104         0.980        | 388   104         0.5         
BL_W130_T1.8_D15                   103         0.980        | 519   103         0.8         
BL_W130_T1.8_D20                   103         0.980        | 520   103         0.8         
BL_W130_T1.8_D25                   103         0.980        | 750   103         1.3         
BL_W130_T1.8_D30                   102         0.980        | 852   102         1.8         
BL_W130_T2.0_D2                    104         0.980        | 390   104         0.5         
BL_W130_T2.0_D4                    104         0.980        | 391   104         0.5         
BL_W130_T2.0_D6                    104         0.980        | 394   104         0.5         
BL_W130_T2.0_D8                    104         0.980        | 393   104         0.5         
BL_W160_T1.8_D2                    104         0.980        | 266   104         0.5         
BL_W130_T2.0_D15                   103         0.980        | 683   103         0.8         
BL_W130_T2.0_D20                   103         0.980        | 706   103         0.8         
BL_W130_T2.0_D25                   103         0.980        | 753   103         1.3         
BL_W130_T2.0_D30                   102         0.980        | 817   102         1.8         
BL_W140_T1.8_D2                    104         0.980        | 110   104         0.5         
BL_W140_T1.8_D4                    104         0.980        | 111   104         0.5         
BL_W140_T1.8_D6                    104         0.980        | 102   104         0.5         
BL_W140_T1.8_D8                    104         0.980        | 113   104         0.5         
BL_W140_T1.8_D10                   104         0.980        | 114   104         0.5         
BL_W140_T1.8_D15                   103         0.980        | 648   103         0.8         
BL_W140_T1.8_D20                   103         0.980        | 652   103         0.8         
BL_W140_T1.8_D25                   103         0.980        | 798   103         1.3         
BL_W170_T2.0_D15                   103         0.980        | 524   103         0.8         
BL_W170_T1.8_D4                    104         0.980        | 186   104         0.5         
BL_W170_T1.8_D6                    104         0.980        | 187   104         0.5         
BL_W170_T1.8_D8                    104         0.980        | 188   104         0.5         
BL_W170_T1.8_D10                   104         0.980        | 189   104         0.5         
BL_W170_T1.8_D15                   103         0.980        | 593   103         0.8         
BL_W170_T1.8_D20                   103         0.980        | 488   103         0.8         
BL_W170_T1.8_D25                   103         0.980        | 765   103         1.3         
BL_W170_T1.8_D30                   102         0.980        | 899   102         1.8         
BL_W170_T2.0_D2                    104         0.980        | 190   104         0.5         
BL_W170_T2.0_D4                    104         0.980        | 191   104         0.5         
BL_W170_T2.0_D6                    104         0.980        | 182   104         0.5         
BL_W170_T2.0_D8                    104         0.980        | 193   104         0.5         
BL_W170_T2.0_D10                   104         0.980        | 194   104         0.5         
BL_W170_T1.8_D2                    104         0.980        | 185   104         0.5         
BL_W170_T2.0_D20                   103         0.980        | 525   103         0.8         
BL_W170_T2.0_D25                   103         0.980        | 770   103         1.3         
BL_W170_T2.0_D30                   102         0.980        | 824   102         1.8         
BL_W170_T2.2_D2                    104         0.980        | 195   104         0.5         
