=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 112.0 BPM
Valid interval: 319-833 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 100 mmHg
Confidence: 0.078
95% CI: [98 - 102] mmHg
Agreement: 2727/1020 detectors

MAP: 102 mmHg
Est. Diastolic: 102 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W150_T1.8_D4                    102         1.200        | 390   102         7.5         
BL_W170_T1.8_D6                    102         1.200        | 384   102         7.5         
BL_W170_T1.8_D8                    103         1.200        | 329   103         6.8         
BL_W170_T1.8_D10                   103         1.200        | 343   103         6.8         
BL_W160_T1.8_D20                   99          1.200        | 517   99          11.1        
BL_W160_T1.8_D15                   102         1.200        | 434   102         7.5         
BL_W160_T1.8_D10                   103         1.200        | 244   103         6.8         
BL_W160_T1.8_D8                    103         1.200        | 206   103         6.8         
BL_W160_T1.8_D6                    102         1.200        | 435   102         7.5         
BL_W160_T1.8_D4                    102         1.200        | 436   102         7.5         
BL_W160_T1.8_D2                    102         1.200        | 437   102         7.5         
BL_W150_T1.8_D2                    102         1.200        | 428   102         7.5         
BL_W150_T1.8_D6                    102         1.200        | 387   102         7.5         
BL_W150_T1.8_D8                    103         1.200        | 341   103         6.8         
BL_W150_T1.8_D10                   103         1.200        | 339   103         6.8         
BL_W150_T1.8_D15                   102         1.200        | 381   102         7.5         
BL_W150_T1.8_D20                   99          1.200        | 631   99          11.1        
BL_W170_T1.8_D15                   102         1.200        | 382   102         7.5         
BL_W170_T1.8_D20                   99          1.200        | 483   99          11.1        
BL_W170_T1.8_D4                    102         1.200        | 385   102         7.5         
BL_W170_T1.8_D2                    102         1.200        | 386   102         7.5         
BL_W170_T1.8_D30                   97          1.140        | 738   97          13.1        
BL_W170_T1.8_D25                   97          1.140        | 655   97          12.5        
BL_W160_T1.8_D30                   97          1.140        | 800   97          13.1        
BL_W160_T1.8_D25                   97          1.140        | 645   97          12.5        
BL_W150_T1.8_D25                   97          1.140        | 692   97          12.5        
BL_W150_T1.8_D30                   97          1.140        | 840   97          13.1        
BL_W140_T2.0_D30                   97          1.060        | 829   97          13.1        
BL_W160_T5.0_D30                   97          1.060        | 743   97          13.1        
BL_W160_T4.8_D30                   97          1.060        | 750   97          13.1        
BL_W160_T2.4_D30                   97          1.060        | 789   97          13.1        
BL_W140_T2.0_D10                   103         1.060        | 210   103         6.8         
BL_W160_T5.5_D30                   97          1.060        | 745   97          13.1        
BL_W160_T6.0_D30                   97          1.060        | 772   97          13.1        
BL_W160_T4.5_D30                   97          1.060        | 739   97          13.1        
BL_W160_T4.2_D30                   97          1.060        | 854   97          13.1        
BL_W140_T2.2_D30                   97          1.060        | 827   97          13.1        
BL_W160_T3.8_D30                   97          1.060        | 846   97          13.1        
BL_W160_T3.5_D30                   97          1.060        | 842   97          13.1        
BL_W160_T3.2_D30                   97          1.060        | 839   97          13.1        
BL_W160_T3.0_D30                   97          1.060        | 862   97          13.1        
BL_W160_T2.8_D30                   97          1.060        | 861   97          13.1        
BL_W160_T2.6_D30                   97          1.060        | 806   97          13.1        
BL_W160_T4.0_D30                   97          1.060        | 849   97          13.1        
BL_W160_T2.2_D30                   97          1.060        | 796   97          13.1        
BL_W160_T2.0_D30                   97          1.060        | 793   97          13.1        
BL_W160_T2.0_D10                   103         1.060        | 237   103         6.8         
BL_W150_T2.0_D10                   103         1.060        | 314   103         6.8         
BL_W150_T2.2_D30                   97          1.060        | 734   97          13.1        
BL_W150_T2.0_D30                   97          1.060        | 844   97          13.1        
