=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 74.4 BPM
Valid interval: 449-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 102 mmHg
Confidence: 0.283
95% CI: [100 - 104] mmHg
Agreement: 1702/1020 detectors

MAP: 96 mmHg
Est. Diastolic: 93 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W120_T1.8_D4                    109         0.420        | 46    109         3.6         
BL_W120_T1.8_D2                    109         0.420        | 27    109         3.6         
BL_W120_T2.0_D40                   109         0.420        | 71    109         3.6         
BL_W120_T2.0_D30                   109         0.420        | 72    109         3.6         
BL_W120_T2.0_D25                   109         0.420        | 70    109         3.6         
BL_W120_T2.0_D20                   110         0.420        | 3     110         3.3         
BL_W120_T2.0_D15                   109         0.420        | 62    109         3.6         
BL_W120_T2.0_D10                   109         0.420        | 63    109         3.6         
BL_W120_T2.0_D8                    109         0.420        | 64    109         3.6         
BL_W120_T2.0_D6                    109         0.420        | 61    109         3.6         
BL_W120_T2.0_D4                    109         0.420        | 60    109         3.6         
BL_W120_T1.8_D40                   109         0.420        | 55    109         3.6         
BL_W120_T1.8_D30                   109         0.420        | 54    109         3.6         
BL_W120_T1.8_D25                   109         0.420        | 58    109         3.6         
BL_W120_T1.8_D20                   110         0.420        | 5     110         3.3         
BL_W120_T1.8_D15                   109         0.420        | 53    109         3.6         
BL_W120_T1.8_D10                   109         0.420        | 52    109         3.6         
BL_W120_T1.8_D8                    109         0.420        | 51    109         3.6         
BL_W120_T1.8_D6                    109         0.420        | 68    109         3.6         
BL_W120_T2.0_D2                    109         0.420        | 59    109         3.6         
BL_W130_T1.8_D40                   106         0.340        | 224   106         7.3         
BL_W130_T1.8_D30                   106         0.340        | 183   106         6.9         
BL_W130_T1.8_D25                   106         0.340        | 184   106         6.9         
BL_W130_T1.8_D20                   106         0.340        | 182   106         6.9         
BL_W130_T1.8_D15                   106         0.340        | 181   106         6.9         
BL_W130_T1.8_D10                   106         0.340        | 179   106         6.9         
BL_W130_T1.8_D8                    106         0.340        | 180   106         6.9         
BL_W130_T1.8_D6                    106         0.340        | 185   106         6.9         
BL_W130_T1.8_D4                    106         0.340        | 186   106         6.9         
BL_W130_T2.0_D40                   106         0.340        | 233   106         7.3         
BL_W130_T2.0_D2                    106         0.340        | 225   106         7.3         
BL_W130_T2.0_D4                    106         0.340        | 234   106         7.3         
BL_W130_T2.0_D6                    106         0.340        | 235   106         7.3         
BL_W130_T2.0_D8                    106         0.340        | 241   106         7.3         
BL_W130_T2.0_D10                   106         0.340        | 238   106         7.3         
BL_W130_T2.0_D15                   106         0.340        | 237   106         7.3         
BL_W130_T2.0_D20                   106         0.340        | 236   106         7.3         
BL_W130_T2.0_D25                   106         0.340        | 93    106         6.9         
BL_W130_T2.0_D30                   106         0.340        | 102   106         6.9         
BL_W120_T3.8_D40                   109         0.340        | 9     109         3.6         
BL_W120_T4.5_D40                   109         0.340        | 40    109         3.6         
BL_W120_T5.0_D25                   109         0.340        | 36    109         3.6         
BL_W120_T4.0_D25                   109         0.340        | 37    109         3.6         
BL_W120_T4.0_D30                   109         0.340        | 47    109         3.6         
BL_W120_T4.0_D40                   109         0.340        | 8     109         3.6         
BL_W120_T4.2_D25                   109         0.340        | 45    109         3.6         
BL_W120_T4.2_D30                   109         0.340        | 44    109         3.6         
BL_W120_T4.2_D40                   109         0.340        | 43    109         3.6         
BL_W120_T4.5_D25                   109         0.340        | 42    109         3.6         
BL_W120_T4.5_D30                   109         0.340        | 41    109         3.6         
BL_W130_T1.8_D2                    106         0.340        | 178   106         6.9         
BL_W120_T4.8_D25                   109         0.340        | 39    109         3.6         
BL_W120_T4.8_D30                   109         0.340        | 38    109         3.6         
BL_W120_T4.8_D40                   109         0.340        | 26    109         3.6         
BL_W120_T5.0_D30                   109         0.340        | 35    109         3.6         
BL_W120_T5.0_D40                   109         0.340        | 34    109         3.6         
BL_W120_T5.5_D25                   109         0.340        | 33    109         3.6         
BL_W120_T5.5_D30                   109         0.340        | 32    109         3.6         
BL_W120_T5.5_D40                   109         0.340        | 31    109         3.6         
BL_W140_T1.8_D40                   106         0.340        | 144   106         6.9         
BL_W140_T2.0_D30                   106         0.340        | 146   106         6.9         
BL_W140_T2.0_D25                   106         0.340        | 145   106         6.9         
BL_W140_T2.0_D20                   106         0.340        | 215   106         7.3         
BL_W140_T2.0_D15                   106         0.340        | 214   106         7.3         
BL_W140_T2.0_D10                   106         0.340        | 213   106         7.3         
BL_W140_T2.0_D8                    106         0.340        | 212   106         7.3         
BL_W140_T2.0_D6                    106         0.340        | 211   106         7.3         
BL_W140_T2.0_D4                    106         0.340        | 210   106         7.3         
BL_W140_T2.0_D2                    106         0.340        | 208   106         7.3         
BL_W140_T2.0_D40                   106         0.340        | 147   106         6.9         
BL_W140_T1.8_D30                   106         0.340        | 143   106         6.9         
BL_W140_T1.8_D25                   106         0.340        | 142   106         6.9         
BL_W140_T1.8_D20                   106         0.340        | 141   106         6.9         
BL_W140_T1.8_D15                   106         0.340        | 140   106         6.9         
BL_W140_T1.8_D10                   106         0.340        | 125   106         6.9         
BL_W140_T1.8_D8                    106         0.340        | 138   106         6.9         
BL_W140_T1.8_D6                    106         0.340        | 137   106         6.9         
BL_W140_T1.8_D4                    106         0.340        | 136   106         6.9         
BL_W140_T1.8_D2                    106         0.340        | 135   106         6.9         
BL_W140_T2.2_D40                   106         0.340        | 150   106         6.9         
BL_W130_T2.2_D4                    106         0.340        | 231   106         7.3         
BL_W130_T2.2_D6                    106         0.340        | 230   106         7.3         
BL_W130_T2.2_D8                    106         0.340        | 218   106         7.3         
BL_W130_T2.2_D10                   106         0.340        | 228   106         7.3         
BL_W130_T2.2_D15                   106         0.340        | 227   106         7.3         
BL_W130_T2.2_D20                   106         0.340        | 226   106         7.3         
BL_W130_T2.2_D25                   106         0.340        | 103   106         6.9         
BL_W130_T2.2_D30                   106         0.340        | 104   106         6.9         
BL_W130_T2.2_D40                   106         0.340        | 223   106         7.3         
BL_W130_T2.2_D2                    106         0.340        | 232   106         7.3         
BL_W140_T2.2_D30                   106         0.340        | 149   106         6.9         
BL_W140_T2.2_D25                   106         0.340        | 148   106         6.9         
BL_W140_T2.2_D20                   106         0.340        | 192   106         7.3         
BL_W140_T2.2_D15                   106         0.340        | 190   106         7.3         
BL_W140_T2.2_D10                   106         0.340        | 189   106         7.3         
BL_W140_T2.2_D8                    106         0.340        | 188   106         7.3         
BL_W140_T2.2_D6                    106         0.340        | 193   106         7.3         
BL_W140_T2.2_D4                    106         0.340        | 209   106         7.3         
BL_W140_T2.2_D2                    106         0.340        | 217   106         7.3         
BL_W120_T2.4_D25                   109         0.340        | 50    109         3.6         
BL_W120_T2.2_D25                   109         0.340        | 67    109         3.6         
