=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 57.6 BPM
Valid interval: 510-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 125 mmHg
Confidence: 0.135
95% CI: [123 - 127] mmHg
Agreement: 4831/1020 detectors

MAP: 109 mmHg
Est. Diastolic: 101 mmHg
Oscillometric MAP Systolic: 131 mmHg
Oscillometric MAP Diastolic: 106 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W170_T1.8_D25                   108         0.580        | 916   108         18.6        
BL_W170_T1.8_D4                    108         0.580        | 922   108         18.6        
BL_W120_T2.2_D2                    149         0.580        | 943   149         21.8        
BL_W170_T1.8_D6                    108         0.580        | 921   108         18.6        
BL_W120_T4.0_D2                    149         0.580        | 950   149         21.8        
BL_W170_T1.8_D8                    108         0.580        | 920   108         18.6        
BL_W170_T1.8_D10                   108         0.580        | 919   108         18.6        
BL_W170_T1.8_D15                   108         0.580        | 918   108         18.6        
BL_W170_T1.8_D20                   108         0.580        | 917   108         18.6        
BL_W170_T1.8_D2                    108         0.580        | 923   108         18.6        
BL_W170_T1.8_D30                   108         0.580        | 914   108         18.6        
BL_W170_T1.8_D40                   108         0.580        | 930   108         18.6        
BL_W120_T2.4_D2                    149         0.580        | 944   149         21.8        
BL_W120_T3.8_D2                    149         0.580        | 949   149         21.8        
BL_W120_T3.2_D2                    149         0.580        | 948   149         21.8        
BL_W120_T3.0_D2                    149         0.580        | 947   149         21.8        
BL_W120_T2.8_D2                    149         0.580        | 946   149         21.8        
BL_W120_T2.6_D2                    149         0.580        | 945   149         21.8        
BL_W120_T4.2_D2                    149         0.580        | 951   149         21.8        
BL_W120_T1.8_D2                    149         0.580        | 941   149         21.8        
BL_W120_T2.0_D2                    149         0.580        | 942   149         21.8        
BL_W120_T4.8_D2                    143         0.500        | 893   143         16.2        
BL_W120_T5.0_D2                    149         0.500        | 952   149         21.8        
BL_W130_T1.8_D2                    143         0.500        | 892   143         16.2        
BL_W130_T2.2_D2                    143         0.500        | 902   143         16.2        
BL_W130_T2.4_D2                    143         0.500        | 899   143         16.2        
BL_W120_T4.5_D2                    143         0.500        | 894   143         16.2        
BL_W130_T2.6_D2                    143         0.500        | 904   143         16.2        
BL_W130_T2.8_D2                    143         0.500        | 908   143         16.2        
BL_W130_T3.0_D2                    143         0.500        | 910   143         16.2        
BL_W130_T3.2_D2                    143         0.500        | 909   143         16.2        
BL_W130_T3.5_D2                    143         0.500        | 907   143         16.2        
BL_W120_T3.5_D2                    143         0.500        | 896   143         16.2        
BL_W130_T3.8_D2                    143         0.500        | 905   143         16.2        
BL_W130_T4.0_D2                    143         0.500        | 903   143         16.2        
BL_W130_T4.2_D2                    143         0.500        | 901   143         16.2        
BL_W130_T2.0_D2                    143         0.500        | 906   143         16.2        
BL_W160_T1.8_D6                    108         0.420        | 924   108         18.6        
BL_W150_T1.8_D10                   108         0.420        | 934   108         18.6        
BL_W150_T1.8_D15                   108         0.420        | 935   108         18.6        
BL_W150_T1.8_D20                   108         0.420        | 936   108         18.6        
BL_W150_T1.8_D25                   108         0.420        | 938   108         18.6        
BL_W150_T1.8_D30                   108         0.420        | 939   108         18.6        
BL_W150_T1.8_D40                   108         0.420        | 937   108         18.6        
BL_W160_T1.8_D2                    108         0.420        | 925   108         18.6        
BL_W160_T1.8_D4                    108         0.420        | 915   108         18.6        
BL_W150_T1.8_D8                    108         0.420        | 933   108         18.6        
BL_W160_T1.8_D8                    108         0.420        | 913   108         18.6        
BL_W160_T1.8_D10                   108         0.420        | 912   108         18.6        
BL_W160_T1.8_D20                   108         0.420        | 926   108         18.6        
BL_W160_T1.8_D25                   108         0.420        | 927   108         18.6        
BL_W160_T1.8_D30                   108         0.420        | 928   108         18.6        
BL_W160_T1.8_D40                   108         0.420        | 929   108         18.6        
BL_W120_T6.0_D2                    143         0.420        | 900   143         16.2        
BL_W120_T5.5_D2                    143         0.420        | 897   143         16.2        
BL_W140_T3.5_D2                    140         0.420        | 888   140         12.7        
BL_W140_T2.2_D2                    140         0.420        | 881   140         12.7        
BL_W140_T2.4_D2                    140         0.420        | 886   140         12.7        
BL_W140_T2.6_D2                    140         0.420        | 889   140         12.7        
BL_W140_T2.0_D2                    140         0.420        | 879   140         12.7        
BL_W140_T2.8_D2                    140         0.420        | 891   140         12.7        
BL_W140_T1.8_D2                    140         0.420        | 880   140         12.7        
BL_W140_T3.0_D2                    140         0.420        | 883   140         12.7        
BL_W140_T3.2_D2                    140         0.420        | 890   140         12.7        
BL_W160_T1.8_D15                   108         0.420        | 911   108         18.6        
BL_W140_T3.8_D2                    140         0.420        | 887   140         12.7        
BL_W140_T4.0_D2                    140         0.420        | 885   140         12.7        
BL_W140_T4.2_D2                    140         0.420        | 884   140         12.7        
BL_W140_T4.5_D2                    140         0.420        | 882   140         12.7        
